County ID,County name,Medicare enrollees (2015),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2015)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2015)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2015)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2015)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2015)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2015)"
2013,AK-Aleutians East Borough,106,6215.82,4895.03,,,2689.31,2249.57,1221.59,1011.01,,,,,92.89,72.55
2016,AK-Aleutians West Census Area,125,8123.36,6617.06,3444.24,2595,3015.39,2625.69,1327.16,1118.6,,,,,175.11,165.33
2020,AK-Anchorage Municipality,22674,8394.48,7032.03,3751.31,3128.42,2674.36,2214.48,1352.92,1148.59,227.24,195.98,207.11,187.72,138.77,123.54
2050,AK-Bethel Census Area,878,7777.12,5536.68,3438.72,1975.55,2721.08,2289.13,1426.23,1178.33,,,,,40.25,32.67
2060,AK-Bristol Bay Borough,96,7260.21,6431.54,,,1915.72,1556.48,1440.97,1331.49,,,,,72.6,64.72
2068,AK-Denali Borough,150,7889.37,5791.74,4173.91,2444.63,2061.53,1850.7,1224.93,1071.96,,,,,53.72,50.53
2070,AK-Dillingham Census Area,296,11800.67,7052.76,7433.42,3756.04,2414.22,1852.68,1427.2,1181.19,,,,,41.1,34.01
2090,AK-Fairbanks North Star Borough,6814,8220.23,6335.18,3683.9,2419.06,2286.02,1953.57,1558.37,1321.09,167.99,147.39,368.06,349.61,115.8,102.18
2100,AK-Haines Borough,415,9831.5,8476.65,5178.35,4449.69,2418.81,2118.64,1788.73,1512.8,,,,,56.83,55.09
2105,AK-Hoonah-Angoon Census Area,317,6888.19,5283.89,3506.94,2370.44,1777.79,1568.1,1268.57,1071.45,,,,,60.75,51.14
2110,AK-Juneau City and Borough,3127,7938.69,6548.73,3729.49,2888.5,2081.63,1827.28,1572.33,1341.2,187.94,163.19,216.86,200.96,79.16,66.24
2122,AK-Kenai Peninsula Borough,7304,9532.72,7830.27,4408.98,3518.29,2224.36,1858.43,2309.94,1939.81,226.8,191.47,75.09,71.62,131.91,116.08
2130,AK-Ketchikan Gateway Borough,1532,9893.72,7941.1,4052.09,2868.07,1793.26,1610.29,3267.63,2778.87,334.68,281.44,,,118.86,108.62
