HSA Number,HSA Name,Medicare enrollees (2011),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2011),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2011)
2001,AK-Anchorage,22188,4.55772571414627,4.5750173493201
2016,AK-Barrow,449,,
2017,AK-Bethel,1293,6.03822719288102,6.13156202958261
2002,AK-Cordova,232,,
2018,AK-Dillingham,367,,
2003,AK-Fairbanks,7714,4.7059413377307,4.79047333208404
2004,AK-Homer,1579,4.3301653239472,4.46913062584733
2005,AK-Juneau,3569,5.04845163230017,5.11335593614093
2006,AK-Ketchikan,2003,5.7160402781404,5.80197977138797
2007,AK-Kodiak,950,3.49572663955426,3.58493297990094
2019,AK-Kotzebue,420,,
2008,AK-Nome,456,,
2009,AK-Palmer,7741,4.88602475079558,4.95265846963625
2010,AK-Petersburg,453,,
2011,AK-Seward,396,,
2012,AK-Sitka,989,3.86966497939559,3.96586749946366
2013,AK-Soldotna,4369,4.16331641764617,4.12125593323714
2014,AK-Valdez,280,,
2015,AK-Wrangell,355,,
1001,AL-Alabaster,12658,6.29177775798902,6.3213133694019
1002,AL-Alexander City,3640,5.432181594071,5.69886501190389
1003,AL-Andalusia,4377,5.36180563677008,5.54489614581617
1004,AL-Anniston,14860,5.94506896227683,6.02222861076762
1006,AL-Ashland,1931,7.10453409273216,7.61391362261943
1007,AL-Athens,8574,5.18780161987045,5.34304477371027
1008,AL-Atmore,2429,5.26190653191656,5.45677253847564
1010,AL-Bessemer,13606,5.32281354306963,5.5379556345833
1011,AL-Birmingham,104716,5.09397125941325,5.1753434841203
1012,AL-Boaz,9242,6.03792289373347,6.25229043856742
1013,AL-Brewton,3668,5.34110394864804,5.60114657450032
1014,AL-Bridgeport,1312,6.34662159780504,6.52654291704964
1016,AL-Camden,1021,6.44970337232957,6.75700908663233
1017,AL-Carrollton,1907,6.90269850743383,7.03436386191075
1018,AL-Centre,3750,6.20557296298142,6.58278524627957
1019,AL-Centreville,1389,6.67909556761244,7.21198126518669
1022,AL-Cullman,13540,5.87767411448942,6.02678562349152
1023,AL-Dadeville,1617,4.86729825475769,4.98615459070604
1024,AL-Decatur,10951,5.136772272674,5.26449487621915
1025,AL-Demopolis,2570,4.83127855094324,5.09711649089634
1026,AL-Dothan,27205,5.34206048313586,5.43418144987173
1027,AL-Elba,1353,5.08813628793337,5.13100102939828
1028,AL-Enterprise,5252,5.27306256676929,5.36007981358181
1029,AL-Eufaula,2553,5.73724970009669,5.86909674162438
1031,AL-Evergreen,1315,6.01852165936771,6.12605549361334
1032,AL-Fairhope,6310,4.17001037771408,4.50138341486958
1033,AL-Fayette,2312,6.67302527104643,6.89657225605225
1035,AL-Florala,711,6.10844871374117,5.97602582962888
1036,AL-Florence,15584,5.3737364997416,5.45997352329311
1037,AL-Foley,10862,4.6745002548882,4.67073305679578
1038,AL-Fort Payne,6825,6.10886265329851,6.42577702263595
1039,AL-Gadsden,15701,6.20574672604211,6.3917524166638
1040,AL-Geneva,2553,6.29037754760928,6.57529386283238
1044,AL-Greenville,3334,6.33491232557524,6.6899467456191
1045,AL-Grove Hill,1187,5.06983263851131,5.23917469447181
1046,AL-Guntersville,5716,5.85382430606379,6.0326805443533
1047,AL-Haleyville,3078,6.13347789989799,6.11340167396756
1048,AL-Hamilton,2191,5.57139342520042,5.59409686957442
1049,AL-Hartselle,4536,5.55268605309864,5.70285817859855
1051,AL-Huntsville,47049,4.71413651657903,4.82154013117815
1053,AL-Jacksonville,4427,5.88495224343843,5.94331988716167
1054,AL-Jasper,9442,6.18726299709239,6.3477519515848
1056,AL-Luverne,1516,4.786388203184,4.73878432824766
1057,AL-Mobile,67115,5.32334635752059,5.46229387481937
1058,AL-Monroeville,3538,5.3721931765873,5.38966760552208
1059,AL-Montgomery,38833,4.9674074518532,5.14232025680971
1060,AL-Moulton,4908,6.20734373384706,6.2112280984934
1061,AL-Muscle Shoals/Sheffield,9018,5.91701116653715,6.10602159790254
1063,AL-Oneonta,3698,5.67796240946692,6.55841536304517
1064,AL-Opelika,14954,5.30260743655903,5.34601553162038
1065,AL-Opp,2345,5.26807604535691,5.44804945625152
1066,AL-Ozark,3776,5.07111734223128,5.11461327325346
1068,AL-Phenix City,7865,5.39122610873915,5.58561502019051
1070,AL-Prattville,5393,5.04547628772979,4.90932314882053
1071,AL-Red Bay,1078,7.49041560197271,7.91773427772398
1072,AL-Roanoke,2012,5.61554436963058,5.66911373321823
1073,AL-Russellville,4106,6.08940781521996,6.1340005548729
1074,AL-Scottsboro,5699,6.03827467259981,6.27074056545608
1075,AL-Selma,8697,5.51459293985423,5.72647414119291
1077,AL-Sylacauga,5193,6.55637352300946,7.1234435654534
1078,AL-Talladega,5018,6.34684004888391,6.79429897372521
1079,AL-Tallassee,1793,4.4962851995442,4.74710682142569
1080,AL-Thomasville,2500,5.87423480906279,6.31245981522378
1081,AL-Troy,4309,5.31438468403677,5.69989399165764
