HSA #,HSA name,State,Medicare enrollees (2014),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2014)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2014)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2014)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2014)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2014)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2014)"
49001,Abingdon,VA,6848,8162.1,9514.19,3580.57,4499.69,2085.28,2210.39,1383.13,1593.37,657.07,756.42,220.36,248.52,247.73,232.84
49002,Alexandria,VA,22333,8241.28,8106.57,3325.22,3424.81,2807.58,2611.04,1203.83,1171.71,414.74,402.42,377.79,371.05,121.27,130.3
49003,Arlington,VA,17787,7697.09,7515.5,2792.16,2824.23,2760.23,2586.41,1251.29,1221.12,403.19,391.89,383.38,371.07,113.7,122.01
49004,Bedford,VA,6405,7627.61,8031.41,3380.74,3666.64,2129.94,2172.44,1301.1,1353.54,395.73,410.52,210.35,233.7,195.43,185.77
49005,Big Stone Gap,VA,1465,9883.56,11131.06,4630.98,5398.52,2413.47,2579.61,1483.38,1684.94,902.93,1027.36,177.96,196.97,308.37,289.25
49006,Blacksburg,VA,6738,8093.45,8599.41,3444.62,3702.4,2278.48,2387.42,1252.27,1336,588.97,620.86,287.9,332.96,244.71,226.37
49007,Charlottesville,VA,30976,7860.27,7862.18,3391.83,3229.79,1929.78,1980.84,1728.34,1806.71,315.63,327.58,341.5,375.43,147.88,136.66
49008,Chesapeake,VA,14245,8655.43,9407.53,3430.79,3924.94,2737.39,2876.53,1522.88,1574.12,475.74,490.8,324.68,355.17,170.55,190.51
49009,Clintwood,VA,1439,9537.56,10532.83,3884.48,4434.85,2242.46,2343.91,1628.21,1844.57,1305.11,1471.94,151.97,167.11,379.31,348.44
49010,Culpeper,VA,5157,8528.36,8633.24,3990.32,3862.36,2316.93,2418.86,1578.49,1682.68,241.46,241.02,201.79,237.98,169.13,157.41
49011,Danville,VA,14503,8415.99,8848.54,4040.24,4281.7,2559.09,2633.75,1191.18,1290.8,248.37,276.26,100.66,113.31,284.64,263.29
49012,Emporia,VA,3214,7987.67,8565.08,3662.55,4007.59,2291.94,2394.48,1359.91,1452.9,328.37,357.12,165.58,183.86,172.01,159.89
49013,Fairfax,VA,7932,8134.27,8046.45,3226.12,3328.09,2875.58,2701.81,1035.59,1022.82,422.4,413.77,450.97,446.98,127.57,140.62
49014,Falls Church,VA,50825,8057.64,7696.24,3171.28,3044.77,2902.59,2700.67,1092.24,1069.18,396.67,387.26,371.31,361.76,110.82,119.25
49015,Farmville,VA,4016,7725.6,8315.03,3545.83,3907.11,2019.39,2051.92,1398.29,1515.87,324.26,357.69,248.74,303.5,181.96,169.92
49016,Franklin,VA,3318,8060.11,8588.17,3383.68,3652.81,2538.5,2643.49,1482.76,1604.55,323.03,348.87,131.54,148.29,198.26,183.6
49017,Fredericksburg,VA,29760,9350.53,9648,4179.58,4445.94,2944.32,3007.86,1330.37,1307.49,428.83,417.98,311.28,302.78,149.45,160.07
49018,Front Royal,VA,4463,8481.95,8567.43,3933.71,3903.14,2223.63,2317.1,1411.2,1411.43,469.68,475.86,338.46,330.78,118.32,136.06
49019,Galax,VA,7936,8948.82,9735.19,4071.39,4437.22,2098.61,2272.3,1508.07,1655.62,788.32,888.33,201.82,222.42,303.76,287.45
49020,Gloucester,VA,7673,8241.86,8929.28,3302.24,3749.13,2268.59,2395.3,1885.39,1949.88,327.53,337.63,272.43,303.34,157.02,168.22
49021,Grundy,VA,1883,9841.65,11066.41,4963.31,5456.93,1923.36,2290.17,1717.23,1945.2,745.24,840.35,300.02,359.32,259.8,240.51
49022,Hampton,VA,7981,7887.58,8501.43,2908.15,3308.46,2627.24,2731.65,1545.2,1592.56,403.08,413.87,251.15,279.14,187.37,197.28
49023,Harrisonburg,VA,17643,8161.5,8470.41,3844.27,3887.76,1730.21,1816.17,1963.48,2105.54,264.05,285.67,210.05,236.95,158.34,145.65
49024,Hopewell,VA,4545,9036.83,9697.32,4299.78,4807.59,2758.99,2857.24,1130.79,1156.58,436.3,444.75,247.06,244.07,162.98,186.88
49025,Hot Springs,VA,1032,9720.24,10072.67,4628.64,4532.71,1429.36,1480.36,2832.91,3140.96,280.1,313.03,312.84,376.66,197.98,186.64
49026,Kilmarnock,VA,7676,7184.71,7577.27,2835.27,2990.72,2207.43,2302.46,1417.16,1517.28,282.81,292.43,268.17,313.4,162.45,151.28
49027,Lebanon,VA,3317,9148.48,10570.5,4147.08,5048.32,2118.7,2323.41,1327.54,1515.2,1085.31,1232.84,200.58,223.57,327.68,304.29
49028,Leesburg,VA,14768,8253.02,8344.75,3115.2,3254.55,2909.51,2904.14,1141.64,1113.77,405.72,395.03,537.8,519.96,135.28,149
49029,Lexington,VA,4928,7628,8192.11,3542,3777.36,1869.84,2022.57,1430.34,1552.05,321.38,337.65,248.58,297.86,216.31,203.63
49030,Low Moor,VA,4058,8506.68,9379.99,4163.14,4768.41,2223.57,2300.15,1300.54,1411.21,289.33,320.24,372.08,442.6,162.45,149.95
49031,Luray,VA,3043,8777.33,9856.15,4493.84,5029.56,1597.73,1913.03,1931.68,2102.88,343.45,359.3,257.46,302.38,164.15,153.14
49032,Lynchburg,VA,30814,8147.64,8636.51,3673.82,3992.89,2207.93,2258.83,1312.5,1385.39,384.58,404.18,381.06,425.13,190.28,173.38
49033,Manassas,VA,14440,8369.37,8266.41,3251.62,3249.32,2853.38,2809.22,1144,1112.74,484.97,468.39,489.17,464.65,161.46,173.8
49034,Marion,VA,4870,8538.18,9844.1,3814.33,4584.66,2081.45,2317.95,1484.39,1691.75,673.75,762.69,186.02,212.52,309.64,292.88
49035,Martinsville,VA,10102,7749.9,8524.38,3565.22,4010.53,1950.65,2102,1512.11,1656.14,322.51,349.29,139.97,164.58,252.36,233.47
49036,Nassawadox,VA,5370,7810.64,8479.99,2917.3,3213.84,2217.43,2335.34,1814.89,1982.29,390.34,430.87,310.94,362.99,167.31,155
49037,Newport News,VA,30502,8197,8714.18,3275.16,3602.49,2570.69,2658,1555.75,1607.39,367.81,379.53,245.56,270.73,186.55,197.54
49038,Norfolk,VA,27174,8732.9,9407.92,3419.03,3800.16,2795.62,2963.99,1556.65,1612.35,471.76,487.56,342.32,374.62,170.95,187.32
