provider,hospital,hospcity,hospstate,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
20001,Providence Alaska Medical Center,Anchorage,AK,2001,Anchorage,AK,10,Anchorage,AK
20006,Mat-Su Regional Medical Center,Palmer,AK,2009,Palmer,AK,10,Anchorage,AK
20008,Bartlett Regional Hospital,Juneau,AK,2005,Juneau,AK,10,Anchorage,AK
20012,Fairbanks Memorial Hospital,Fairbanks,AK,2003,Fairbanks,AK,10,Anchorage,AK
20014,South Peninsula Hospital,Homer,AK,2004,Homer,AK,10,Anchorage,AK
20017,Alaska Regional Hospital,Anchorage,AK,2001,Anchorage,AK,10,Anchorage,AK
20018,Yukon-Kuskokwim Delta Reg Hosp,Bethel,AK,2017,Bethel,AK,10,Anchorage,AK
20024,Central Peninsula General Hosp,Soldotna,AK,2013,Soldotna,AK,10,Anchorage,AK
20026,Alaska Native Medical Center,Anchorage,AK,2001,Anchorage,AK,10,Anchorage,AK
21311,Ketchikan General Hospital,Ketchikan,AK,2006,Ketchikan,AK,10,Anchorage,AK
10001,Southeast Alabama Medical Center,Dothan,AL,1026,Dothan,AL,2,Dothan,AL
10005,Marshall Medical Center South,Boaz,AL,1012,Boaz,AL,1,Birmingham,AL
10006,Eliza Coffee Memorial Hospital,Florence,AL,1036,Florence,AL,1,Birmingham,AL
10007,Mizell Memorial Hospital,Opp,AL,1065,Opp,AL,2,Dothan,AL
10008,Crenshaw Community Hospital,Luverne,AL,1056,Luverne,AL,7,Montgomery,AL
10009,Hartselle Medical Center,Hartselle,AL,1049,Hartselle,AL,1,Birmingham,AL
10010,Marshall Medical Center North,Guntersville,AL,1046,Guntersville,AL,5,Huntsville,AL
10011,St Vincent's East,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10012,DeKalb Regional Medical Center,Fort Payne,AL,1038,Fort Payne,AL,1,Birmingham,AL
10015,Southwest Alabama Medical Center,Thomasville,AL,1080,Thomasville,AL,6,Mobile,AL
10016,Shelby Baptist Medical Center,Alabaster,AL,1001,Alabaster,AL,1,Birmingham,AL
10019,Helen Keller Hospital,Sheffield,AL,1061,Muscle Shoals/Sheffield,AL,1,Birmingham,AL
10021,Dale Medical Center,Ozark,AL,1066,Ozark,AL,2,Dothan,AL
10022,Cherokee Medical Center,Centre,AL,1018,Centre,AL,148,Rome,GA
10023,Baptist Medical Center South,Montgomery,AL,1059,Montgomery,AL,7,Montgomery,AL
10024,Jackson Hospital and Clinic,Montgomery,AL,1059,Montgomery,AL,7,Montgomery,AL
10025,Lanier Health Services,Valley,AL,1084,Valley,AL,1,Birmingham,AL
10027,Elba General Hospital,Elba,AL,1027,Elba,AL,2,Dothan,AL
10029,East Alabama Medical Center,Opelika,AL,1064,Opelika,AL,1,Birmingham,AL
10032,Wedowee Hospital,Wedowee,AL,1086,Wedowee,AL,1,Birmingham,AL
10033,University of Alabama Hospital,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10034,Community Hospital,Tallassee,AL,1079,Tallassee,AL,7,Montgomery,AL
10035,Cullman Regional Medical Center,Cullman,AL,1022,Cullman,AL,1,Birmingham,AL
10036,Andalusia Regional Hospital,Andalusia,AL,1003,Andalusia,AL,134,Pensacola,FL
10038,Stringfellow Memorial Hospital,Anniston,AL,1004,Anniston,AL,1,Birmingham,AL
10039,Huntsville Hospital,Huntsville,AL,1051,Huntsville,AL,5,Huntsville,AL
10040,Gadsden Regional Medical Center,Gadsden,AL,1039,Gadsden,AL,1,Birmingham,AL
10043,Chilton Medical Center,Clanton,AL,1001,Alabaster,AL,1,Birmingham,AL
10044,North Mississippi Medical Center,Hamilton,AL,1048,Hamilton,AL,262,Tupelo,MS
10045,Fayette Medical Center,Fayette,AL,1033,Fayette,AL,9,Tuscaloosa,AL
10046,Riverview Regional Med Ctr,Gadsden,AL,1039,Gadsden,AL,1,Birmingham,AL
10047,Georgiana Hospital,Georgiana,AL,1044,Greenville,AL,7,Montgomery,AL
10049,Medical Center Enterprise,Enterprise,AL,1028,Enterprise,AL,2,Dothan,AL
10050,St Vincent's Blount,Oneonta,AL,1063,Oneonta,AL,1,Birmingham,AL
10051,Greene County Hospital,Eutaw,AL,1082,Tuscaloosa,AL,9,Tuscaloosa,AL
10052,Lake Martin Community Hospital,Dadeville,AL,1023,Dadeville,AL,1,Birmingham,AL
10054,Parkway Medical Center,Decatur,AL,1024,Decatur,AL,5,Huntsville,AL
10055,Flowers Hospital,Dothan,AL,1026,Dothan,AL,2,Dothan,AL
10056,St Vincent's Birmingham,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10058,Bibb Medical Center,Centreville,AL,1019,Centreville,AL,9,Tuscaloosa,AL
10059,Lawrence Medical Center,Moulton,AL,1060,Moulton,AL,1,Birmingham,AL
10061,Highlands Medical Center,Scottsboro,AL,1074,Scottsboro,AL,5,Huntsville,AL
10062,Wiregrass Medical Center,Geneva,AL,1040,Geneva,AL,2,Dothan,AL
10064,Physicians Medical Center- Carraway,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10065,Russell Medical Center,Alexander City,AL,1002,Alexander City,AL,1,Birmingham,AL
10066,Florala Memorial Hospital,Florala,AL,1035,Florala,AL,134,Pensacola,FL
10069,Medical Center Barbour,Eufaula,AL,1029,Eufaula,AL,2,Dothan,AL
10073,Clay County Hospital,Ashland,AL,1006,Ashland,AL,1,Birmingham,AL
10078,NE Alabama Regional Med Ctr,Anniston,AL,1004,Anniston,AL,1,Birmingham,AL
10079,Athens-Limestone Hospital,Athens,AL,1007,Athens,AL,5,Huntsville,AL
10083,South Baldwin Regional Med Ctr,Foley,AL,1037,Foley,AL,6,Mobile,AL
10085,Decatur General Hospital,Decatur,AL,1024,Decatur,AL,5,Huntsville,AL
10086,Northwest Medical Center,Winfield,AL,1088,Winfield,AL,1,Birmingham,AL
10087,University of South AL Med Ctr,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10089,Walker Baptist Medical Center,Jasper,AL,1054,Jasper,AL,1,Birmingham,AL
10090,Providence Hospital,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
10091,Grove Hill Memorial Hospital,Grove Hill,AL,1045,Grove Hill,AL,6,Mobile,AL
10092,DCH Regional Medical Center,Tuscaloosa,AL,1082,Tuscaloosa,AL,9,Tuscaloosa,AL
10095,Hale County Hospital,Greensboro,AL,1082,Tuscaloosa,AL,9,Tuscaloosa,AL
10097,Elmore Community Hospital,Wetumpka,AL,1059,Montgomery,AL,7,Montgomery,AL
10099,D.W. McMillan Memorial Hospital,Brewton,AL,1013,Brewton,AL,134,Pensacola,FL
10100,Thomas Hospital,Fairhope,AL,1032,Fairhope,AL,6,Mobile,AL
10101,Citizens Baptist Medical Center,Talladega,AL,1078,Talladega,AL,1,Birmingham,AL
10102,J. Paul Jones Hospital,Camden,AL,1016,Camden,AL,1,Birmingham,AL
10103,Princeton Baptist Medical Ctr,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10104,Trinity Medical Center,Birmingham,AL,1011,Birmingham,AL,1,Birmingham,AL
10108,Prattville Baptist Hospital,Prattville,AL,1070,Prattville,AL,7,Montgomery,AL
10109,Pickens County Medical Center,Carrollton,AL,1017,Carrollton,AL,9,Tuscaloosa,AL
10110,Bullock County Hospital,Union Springs,AL,1083,Union Springs,AL,7,Montgomery,AL
10112,Bryan W. Whitfield Memorial Hosp,Demopolis,AL,1025,Demopolis,AL,1,Birmingham,AL
10113,Mobile Infirmary Medical Center,Mobile,AL,1057,Mobile,AL,6,Mobile,AL
