State #,State name,Medicare enrollees (20% sample) (2004),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2004)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2004)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2004)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2004)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2004)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2004)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2004)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2004)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2004)"
1,Alabama,99345,7169.97,8097.45,3473.72,4109.56,1992.67,2127.11,629.77,682.7,379.43,414.86,430.87,504.47,275.69,273.22
2,Alaska,7273,7355.74,5693.44,3712.63,2856.36,2290.06,1646.54,851.04,737.44,213.17,186.25,76.47,69.83,163.32,155.22
3,Arizona,83372,6751.95,6792.5,3214.8,3289.34,2306.85,2275.61,509.42,512.73,187.26,189.26,345.55,333.19,181.61,187.39
4,Arkansas,68703,6575.31,7388.82,3448.45,4030.38,1793.3,1916.57,625.05,686.48,270.83,302.32,168.7,188.72,269.52,265.29
5,California,385754,7924.77,7079.42,3979.33,3433.64,2489.32,2321.45,686.2,613.73,387.47,346.92,169.86,152.5,210.05,205.57
6,Colorado,54169,6516.21,6603.22,3163.68,3248.92,1788.43,1784.23,722.9,718.55,313.4,311.14,238.76,228.32,290.87,314.83
7,Connecticut,79319,7984.34,6857.48,4289.65,3532.04,2251.86,2061.73,735.71,647.55,436.72,386.46,106.49,74.02,166.47,162.02
8,Delaware,19930,7621.9,7426.95,3868.96,3729.73,2326.61,2303.69,773.54,754.05,285.77,275.28,180.08,179.55,184.21,181.83
9,District of Columbia,9345,6958.29,6228.82,3876.16,3352.55,1954.74,1831.67,716.61,674.83,215.54,202.27,90.93,84.2,128.39,127.54
10,Florida,390107,8069.38,8231.75,3464.61,3729.59,2878.09,2796.11,651.39,657.47,444.53,450,278.67,248.46,347.22,346.26
11,Georgia,147364,6762.45,7021.7,3300.72,3489.31,1973.88,2015.7,687.71,707.34,298.63,308.65,262.45,261.39,244.82,243.85
12,Hawaii,17407,5553.36,5610.2,2949.41,2985.57,1549.57,1611.43,672.65,655.47,114.47,113.39,142.55,129.47,129.44,120.79
13,Idaho,26510,5511.91,6033.77,2694.67,2826.83,1409.59,1735.36,768.82,795.4,259.17,271.68,143.63,156.84,242.72,249.73
14,Illinois,251642,7338.85,7290.88,3930.23,3961.13,1964.73,1918.43,762.98,752.76,337.6,326.73,154.76,146.22,187.95,184.68
15,Indiana,138805,6691.32,7317.89,3486.9,3790.92,1783.76,2070.85,793.43,812.62,218.85,224.93,184.35,192.78,223.5,222.44
16,Iowa,77132,5447.8,5951.75,2695.98,3020.41,1449.51,1550.7,859.39,914.78,137.64,147.92,131.06,137.36,184.03,190.28
17,Kansas,63372,6610.36,7158.17,3369.23,3757.93,1840.14,1907.29,797.38,852.11,186.25,195.86,197.95,217.99,219.21,224.74
18,Kentucky,92252,7023.89,7807.59,3683.72,4126.68,1843.56,2095.99,692.48,739.62,367.38,398.12,161.83,170.28,281.44,281.42
19,Louisiana,81423,8343,9190.32,4242.55,4872.56,2048.91,2102.03,777.79,842.08,783.55,855.27,197.16,220.58,265.49,264.74
20,Maine,35214,6092,6219.95,3161.1,3212.62,1453.9,1497.7,884.36,903.8,315.72,323.75,108.15,115.48,181.96,178.84
21,Maryland,102542,7981.11,7137.65,4233.57,3511.94,2322.36,2227.22,906.44,893.12,231.92,227.87,115.78,109.72,172.66,171.02
22,Massachusetts,118170,8386.77,7494.28,4629.88,4054.81,2022.73,1851.42,913.46,833.63,544.91,499.75,132.66,114.78,145.82,142.6
23,Michigan,229224,7680.18,7374.5,3879.31,3672.72,2135.48,2062.32,874.34,857.92,396.05,388.51,167.74,168.3,226.61,224.35
24,Minnesota,93265,5807.98,5880.01,3217.56,3230.25,1437.23,1503.44,743.65,728.72,137.78,134.32,125.43,124.39,146.46,155.27
25,Mississippi,64400,7260.34,8163.72,3524.96,4090.92,1832.58,1942.35,685.35,759.96,463.45,521.08,451.88,528.51,302.03,316.73
26,Missouri,119569,6666.63,7228.92,3477.86,3858.68,1737.38,1815.51,773.25,826.38,278.45,297.83,175.99,201.25,224.62,228.87
27,Montana,23437,5700.12,6154.69,2784.83,3097.81,1514.79,1582.01,857.82,907.25,181,192.67,118.56,127.49,241.47,246.36
28,Nebraska,41250,6106.19,6507.98,3190.68,3423.3,1608.45,1708.07,870.09,913.41,152.34,157.57,95.66,104.82,198.94,209.23
29,Nevada,29575,7805.73,7569.34,3821.55,3770.49,2491.56,2409.57,559,521.2,407.82,378.97,258.78,221.76,272.56,269.06
30,New Hampshire,28291,6370.16,6115.87,3363.02,3218.83,1524.21,1498.05,817.04,767.66,384.69,364.08,132.42,118.63,163.64,160.62
31,New Jersey,178790,8323.55,7533.03,4355.7,3886.14,2768.43,2536.01,609.66,558.95,299.23,276.74,135.24,122.72,161.62,159.04
32,New Mexico,31375,5560.56,5858.32,2540.71,2717.47,1520.71,1569.84,665.59,685.16,271.1,281.88,323.16,352.05,241.28,253.8
33,New York,316405,8489.26,7194.86,4666.14,3709.56,2557.49,2344.11,645.78,585.74,341.42,298.55,105.37,90.83,179.16,175.57
34,North Carolina,180508,6681.89,7017.18,3440.36,3492.55,1820,2070.22,711.08,727.37,282.33,290.11,189.17,193.56,237.6,243.99
35,North Dakota,17131,5549.68,6145,2922.42,3286.83,1360.79,1465.14,925.63,1016.48,125.62,137.66,65.14,74.91,165.14,177.37
36,Ohio,238074,7247.6,7537.25,3816.61,4051.27,1944.81,1981.22,807.14,824.47,272.87,280.36,188.88,184.58,216.7,213.79
37,Oklahoma,76723,7408.99,8217.19,3708.74,4218.77,1826.54,1917.78,621.72,677.75,573.66,634.7,436.84,517.14,255.43,264.47
38,Oregon,51232,5689.62,5519.27,2800.1,2654.4,1568.03,1581.54,689.12,656.54,249.86,239.39,185.55,182.82,197.86,205.48
39,Pennsylvania,248913,7453.32,7549.25,3961.15,4026.43,2063.21,2072.41,753.24,768.56,334.23,341.59,144.3,144.99,199.13,195.93
41,Rhode Island,15440,7270.45,6771.43,4002.28,3641.91,2082.16,2016.05,548.65,511.44,368.26,346.88,122.41,106.38,140.22,146.38
42,South Carolina,94235,6579.47,7006.95,3326.45,3579.59,1912.77,2041.43,638.52,663.79,255.96,266.88,193.48,206.87,255.76,253.63
43,South Dakota,20324,5406.92,6002.26,2845.31,3206.49,1413.34,1549.14,786.93,852.57,130.54,142.34,51.62,57.71,188.26,201.46
44,Tennessee,122266,7051.52,7737.12,3593.59,3958.56,1927.44,2176.19,608.62,643.03,489.83,522.73,150.99,157.32,284.34,282.46
45,Texas,359396,7815.71,8177.64,3845.46,4106.68,2192.74,2241.55,683.11,708.54,596.02,616.18,251.99,262.91,245.69,242.44
46,Utah,35014,6156.81,6320.53,2813.33,2935.12,1560.93,1593.52,656.79,651.79,493.02,490.84,399.97,406.4,259.57,273.17
47,Vermont,14810,6052.62,5781.29,3187.56,2879.4,1352.13,1378.94,826.27,825.64,467.84,475.57,87.7,91.17,155.41,153.93
49,Virginia,146377,6083.01,6455.35,3043.33,3305.15,1755.88,1830.53,656.03,675.39,274.77,285.59,138.87,145.73,212.4,211.38
50,Washington,101769,6167.22,5874.59,3062.83,2868.12,1814.95,1782.61,743.4,692.45,223.04,208.95,137.13,129.88,183.16,189.64
51,West Virginia,47707,6799.21,7364.62,3711.93,4076.31,1657.68,1760.56,766.44,827.35,245.88,267.08,139.55,152.87,283.29,285.21
52,Wisconsin,124256,6020.88,6195.46,3240.26,3353.85,1547.99,1591.57,780.21,787.6,152.55,153.56,140.7,142.31,160.12,165.33
53,Wyoming,11487,5974.59,6236.48,3091.68,3201.3,1482.86,1560.9,780.79,806.15,191.17,199.58,114.38,122.16,310.94,343.07
99,United States,5410393,7276.09,7276.09,3703.6,3703.6,2086.89,2086.89,720.67,720.67,352.51,352.51,187.91,187.91,224.51,224.51
