State Number,State Name,Medicare enrollees (2003),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2003),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2003)
1,Alabama,558282,5.93134789889653,5.98386036806783
2,Alaska,38155,5.48529595029926,5.50033701983341
3,Arizona,623793,5.05059001377317,5.01326052832244
4,Arkansas,357972,5.61980935394709,5.63313298867322
5,California,3377743,4.84528502127669,5.02199434057258
6,Colorado,414333,5.07923126281779,5.11141884301807
7,Connecticut,450281,4.74355680480817,4.84037896644697
8,Delaware,101260,5.17944850055711,5.1894176982841
9,District of Columbia,58963,4.47715529158393,4.43521195947281
10,Florida,2545974,4.81113766915482,4.96255466645557
11,Georgia,772415,5.770797913306,5.75129373000918
12,Hawaii,154992,4.16570446490507,4.42577958013184
13,Idaho,152494,4.99554820445302,5.16870022202077
14,Illinois,1406310,5.20728519685441,5.25801877123808
15,Indiana,738594,5.55986624419158,5.58902185253955
16,Iowa,421181,4.8804443305304,4.90955434361782
17,Kansas,340389,5.10769364179192,5.14836212738584
18,Kentucky,489099,5.97224139653914,5.99775091753983
19,Louisiana,486491,5.82239388665266,5.9472571092291
20,Maine,182009,5.28212616886245,5.30175781555899
21,Maryland,578409,5.19125766058882,5.1058924312399
22,Massachusetts,807803,5.05354330653524,5.12208444454295
23,Michigan,1202822,5.23001798328158,5.24879209832179
24,Minnesota,587739,4.69687030889815,4.66188995744748
25,Mississippi,329917,5.78159675860294,5.78022542035307
26,Missouri,728972,5.50487277690223,5.69257040009591
27,Montana,121326,5.08244645363513,5.09524791332445
28,Nebraska,224430,5.0435943190696,5.08026447583962
29,Nevada,235657,5.73821483673882,5.823137397113
30,New Hampshire,150296,4.92669412210343,4.93211714154437
31,New Jersey,1041578,5.11436142791983,5.20395092175
32,New Mexico,205576,5.11158593035252,5.36373742206649
33,New York,2194342,4.90062321978562,5.11490559889732
34,North Carolina,973334,5.51200851079385,5.58829447166025
35,North Dakota,90721,4.7625820239907,4.80150168812695
36,Ohio,1457200,5.52291656079773,5.65686621208133
37,Oklahoma,437484,5.95957326663047,6.05900685973163
38,Oregon,437944,5.06160170210677,5.41512150791792
39,Pennsylvania,1822318,5.29409022516895,5.53950060853775
41,Rhode Island,141835,4.96117084216866,5.37998526798817
42,South Carolina,479951,5.52059732981502,5.51703180883035
43,South Dakota,106357,4.71952761786926,4.7449905263467
44,Tennessee,694717,5.91832520477394,6.06758398329533
45,Texas,2036126,5.4484320805461,5.54879924809151
46,Utah,191372,4.97781970482839,5.00634349780618
47,Vermont,76892,5.07688117316156,5.09752778561129
49,Virginia,781989,5.36830813867221,5.38120029659772
50,Washington,656863,4.98823441975938,5.13894948783243
51,West Virginia,267488,6.09212880968491,6.103487876205
52,Wisconsin,696073,4.86942223741152,4.96415974378109
53,Wyoming,58673,5.2341656979532,5.27132975555812
99,United States,33486934,5.20819553083002,5.33310553726476
