State #,State name,Medicare enrollees (20% sample) (2008),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)"
1,Alabama,91181,8676.17,9828.24,4034.91,4774.66,2344.23,2517.85,855.76,938.47,594.51,656.07,561.85,662.22,302.58,301.91
2,Alaska,8490,7594.93,6440.14,4120.47,3180.37,1819.15,1727.17,1020.97,928.12,257.16,233.14,140.28,134.03,172.12,176.61
3,Arizona,81686,8404.15,8411.07,3876.71,3942.5,2746.71,2734.44,734.22,726.86,263.51,258.84,543.41,512.75,231.39,227.47
4,Arkansas,63311,8039.16,8949.86,4129.57,4748.7,2077.85,2218.13,844.67,931.12,414.56,463.86,261.39,277.25,309.84,310.5
5,California,393316,9730.55,8516.55,4949.83,4154.36,2843.8,2640.89,928.72,807.62,486.08,427.46,255.52,222.27,269.71,265.16
6,Colorado,55586,7798.09,7855.93,3652.53,3770.95,2116.72,2099.54,944.97,927.32,367.02,357.69,333.95,316.16,377.14,380.05
7,Connecticut,70671,9934.2,8727.12,5219.74,4423.35,2758.77,2568.48,1011.89,904.06,551.11,494.09,194.14,147.86,208.49,205.73
8,Delaware,20852,9187.73,8905.85,4624.56,4408.41,2619.32,2610.68,944.51,918.72,337.42,325.24,449.12,428.18,217.54,217.95
9,District of Columbia,8409,8737.34,7787.96,4744.43,4110.66,2420.06,2235.4,939.21,870.78,295.78,274.32,239.99,218.52,159.69,160.59
10,Florida,364534,10287.4,10508.4,4082.86,4401.86,3463.8,3394.12,979.89,994.35,989.9,997.24,436.12,387.63,319.28,318.15
11,Georgia,143304,8228.13,8656.22,3739.3,4043.57,2365.5,2432.35,949.26,987.08,468.56,484.81,438.58,441.12,277.22,276.67
12,Hawaii,16943,6707.6,6652.63,3310.23,3250.42,1870.34,1920.53,1001.03,986.32,144.26,141.91,231.87,197.09,145.86,141.25
13,Idaho,24348,6981.61,7360.9,3198.64,3374.2,1558.18,1654.36,1185.88,1233.73,377.56,391.57,373.08,416.15,289.71,294.07
14,Illinois,245497,9267.02,9257.84,4763.57,4842.54,2347.97,2304.57,1077.19,1066.5,603.79,580.51,233.36,222.65,241.27,240.85
15,Indiana,127481,8468.57,9133.58,4360.22,4709.11,2058.23,2317.9,1123.17,1151.99,371.93,378.68,273.29,287.58,279.54,282.47
16,Iowa,71582,7159.38,7703.98,3467.65,3791.85,1669.79,1807.47,1310.17,1369.97,189.86,198.79,268.99,278.1,256.09,259.92
17,Kansas,59730,8011.72,8792.02,3924.44,4466.33,2079.76,2185.74,1179.41,1263.59,280.88,296.36,262.82,289.11,285.08,288.88
18,Kentucky,86080,9027.81,9880.49,4728.87,5161.63,2162.03,2445.31,1025.08,1098.05,541.86,583.88,229.66,246.11,347.64,348.45
19,Louisiana,72203,9946.48,11044.3,4754.26,5447.44,2277.42,2383.36,1068.8,1174.92,1128.48,1255.02,373.55,434.59,323.51,324.35
