HSA #,HSA name,State,Medicare enrollees (20% sample) (2008),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2008)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2008)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2008)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2008)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2008)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2008)"
49001,Abingdon,VA,1273,7587.91,8570.59,3375.13,4026.77,1829.08,1925.61,953.41,1055.69,867.56,966.91,259.92,310.81,345.49,344.1
49002,Alexandria,VA,4098,7948.67,7701.97,3581.3,3619.58,2576.49,2391.77,1000.42,931.29,347.9,326.56,305.99,293.97,154.02,151.73
49003,Arlington,VA,2920,7522.37,7215.36,3273.03,3230.49,2501.96,2344.14,860.81,803.06,411.63,383.79,349.18,324.94,135.74,135.29
49004,Bedford,VA,683,6105.45,6875.07,2756.07,3309.98,1843.3,1918.02,874.23,919.93,206.76,218.91,167.72,194.54,255.41,310.63
49005,Big Stone Gap,VA,265,12271.75,14193.84,7015.68,8499.85,2528.82,2686.21,927.31,1031.26,1428.22,1591.46,,,343.37,346.6
49006,Blacksburg,VA,1228,7382.13,8248.44,3457.92,4044.81,2019.95,2138.9,826.18,891.98,426.01,464.01,319.78,375.19,329.68,331.12
49007,Charlottesville,VA,5162,7504.45,7541.1,3924.28,3858.28,1722.89,1830.41,1107.4,1093.3,299.86,298.04,240.5,251.31,200.69,201.58
49008,Chesapeake,VA,2448,8188,9102.78,3684.36,4374.09,2562.98,2681.73,958.96,1009.63,539.13,569.77,143.66,166.83,290.48,289.16
49009,Clintwood,VA,298,9953.98,10715.13,5016.91,5430.37,2004.18,2065.75,1383.76,1539.6,1192.38,1329.88,,,376.36,374.48
49010,Culpeper,VA,888,7915.39,8023.6,4317.06,4283.25,2016.62,2091.7,976.52,1017.59,212.43,220.37,183.8,198.42,199.86,201.7
49011,Danville,VA,2658,6510.21,7020.63,3143.14,3458.65,2051.48,2171.74,720.87,765.72,219.63,236.54,85.43,99.89,306.8,305.75
49012,Emporia,VA,657,8312.26,8955.17,4529.02,4977.27,2083.06,2147.11,1031.52,1128.18,256.22,276.94,121.31,139.63,283.43,281.56
49013,Fairfax,VA,1107,7417.28,7473.49,3083.36,3329.48,2392.31,2293.54,781.08,736.58,379.32,360.02,657.26,630.99,158.3,157.21
49014,Falls Church,VA,8622,7740.12,7362.22,3426.14,3322.85,2629.44,2448.35,810.61,758.8,344.74,321.7,367.6,351.24,147.45,146.53
49015,Farmville,VA,725,6912.75,7620.25,3541.34,4027.77,1761.12,1852.39,972.9,1063.69,218.97,235.19,126.23,146.96,285.15,285.59
49016,Franklin,VA,611,6916.62,7640.1,3261.28,3733.72,1984.72,2090.97,981.76,1066.15,393.97,427.9,,,211.25,213.42
49017,Fredericksburg,VA,4608,8447.73,8855.43,4070.82,4434.34,2566.02,2679.02,858.17,806.66,380.31,363.6,360.4,363.79,213.03,212.14
49018,Front Royal,VA,714,7591.09,7614.15,3416.59,3398.41,1864.22,2007.29,1197.98,1129.03,353.88,345.41,542.44,516.32,212.25,211.53
49019,Galax,VA,1519,7695.8,8540.12,3823.63,4232.52,1833.44,2096.1,988.64,1080.96,508.51,566.16,125.91,148.71,425.74,424.69
49020,Gloucester,VA,1335,6579.05,7147.42,2965.51,3370.09,2078.75,2156.85,809.37,850.45,296.31,311.33,162.37,193.57,252.98,252.49
49021,Grundy,VA,442,8167.87,9448.8,4028.35,4957.51,1688.59,1794.52,952.35,1057.89,778.69,869.77,,,407.6,409.34
49022,Hampton,VA,1523,6825.2,7494.85,2662.76,3125.42,2339.9,2431.24,986.46,1041.74,382.35,403.8,220.82,251.47,249.11,247.09
49023,Harrisonburg,VA,2977,6649.46,7218.81,3473.54,3857.97,1466.9,1583.08,1258.22,1303.02,153.29,159.08,97.94,111.03,194.91,195.22
49024,Hopewell,VA,792,9214.81,9756.23,5390.79,5808.93,2258.64,2373.57,769.35,792.67,364.06,374.81,153.08,134.39,275.52,270.92
