HSA #,HSA name,State,Medicare enrollees (20% sample) (2005),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2005)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2005)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2005)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2005)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2005)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2005)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2005)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2005)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2005)"
49001,Abingdon,VA,1102,7015.85,7941.92,3524.33,4207.28,1660.93,1782.64,682.99,743.29,687.13,753.13,136.19,136.35,359.26,359.78
49002,Alexandria,VA,4038,6418.23,6212.32,2802.08,2811.07,2303.42,2161.27,677.78,637.25,305.21,287.32,194.29,178.27,144.71,143.7
49003,Arlington,VA,2919,6685.06,6330.53,3252.23,3116.08,2189.96,2051.13,665.4,626,310.85,293.88,174.58,153.2,104.21,102.47
49004,Bedford,VA,752,4660.48,5230.8,2292.83,2743.6,1491.65,1571.97,467.06,483.71,135.57,144.49,,,170.85,171.4
49005,Big Stone Gap,VA,294,7157.87,7956.53,3555.4,4174.33,1890.18,1974.4,700.07,756.11,678.6,737.79,,,281.67,276.71
49006,Blacksburg,VA,1241,6204.92,6963.45,3092.39,3669.54,1784.12,1893.23,606.21,639.8,355.93,383.47,79.83,93.87,289.82,287.79
49007,Charlottesville,VA,5371,6340,6231.11,3291.29,3089.61,1549.88,1649.56,859.81,844.27,250.18,246.55,201.28,215.63,182.13,181.81
49008,Chesapeake,VA,2507,6913.06,7749.23,3380.15,3975.21,2100.62,2255.76,635.08,678.54,379.9,407.15,114.32,132.1,294.33,291.85
49009,Clintwood,VA,320,8323.94,8959.64,3697.97,4085.03,2015.34,2087.1,1123.47,1211.45,1103.03,1195.01,,,330.03,326.18
49010,Culpeper,VA,908,7437.45,7075.95,3829.98,3448.97,2057.16,2121.48,881.18,834.26,224.06,211.24,269.59,277.93,171.97,179.11
