State Number,State Name,Medicare enrollees (2012),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2012),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2012)
1,Alabama,666431,5.25385926901031,5.36906725732104
2,Alaska,59643,4.57271164632849,4.62591579654282
3,Arizona,848651,4.2744970512124,4.24587848484706
4,Arkansas,420721,5.23974288975634,5.38354938107083
5,California,4354304,3.82464767989748,3.97476594152245
6,Colorado,583447,4.11117496842576,4.248701719438
7,Connecticut,509118,4.06654099714851,4.30719289403755
8,Delaware,133552,4.34224533169423,4.38202138044203
9,District of Columbia,65935,3.88919487297499,3.87286232151378
10,Florida,3081757,4.13832278401613,4.50961598863682
11,Georgia,1073617,4.86589583609522,5.04595147709087
12,Hawaii,195812,3.58662980837192,3.70146092321618
13,Idaho,206886,4.49994244758761,4.83104801762969
14,Illinois,1626222,4.33704143381689,4.45171866457784
15,Indiana,862287,4.90613887076686,5.15894847919556
16,Iowa,458205,4.38004252656123,4.58320861326479
17,Kansas,378966,4.59083231500579,4.73296793644913
18,Kentucky,593516,5.26613128488013,5.52614359863989
19,Louisiana,558561,5.170426362987,5.52340291006091
20,Maine,221099,4.42404444741306,4.68994628273393
21,Maryland,714367,4.22923373570393,4.20159563029986
22,Massachusetts,916205,4.16757967835055,4.30442598293778
23,Michigan,1405385,4.55604154988729,4.93286070510015
24,Minnesota,709171,4.08297477202383,4.16026668339333
25,Mississippi,386576,5.25458697951646,5.42292345351511
26,Missouri,842451,4.74202252190719,5.07651636415297
27,Montana,152400,4.35221256351984,4.56644198005195
28,Nebraska,247996,4.42813064437053,4.57628942240716
29,Nevada,332374,4.89604965500763,4.94124014944124
30,New Hampshire,191349,4.32422647118562,4.43045998117145
31,New Jersey,1196855,4.1590662625289,4.31295988945152
32,New Mexico,271837,4.34648565315385,4.53342128323454
33,New York,2591790,4.06551827197331,4.31630199184475
34,North Carolina,1274835,4.76217188944656,4.89472918743532
35,North Dakota,96352,4.22250424919691,4.45653167363534
36,Ohio,1646311,4.78635789055349,5.24664478778093
37,Oklahoma,506763,5.16789757317945,5.38243554742302
38,Oregon,564633,4.32270219339863,4.47704343800029
39,Pennsylvania,1972264,4.52788869962715,4.83664279983651
41,Rhode Island,154286,4.13448279070708,4.28200320093163
42,South Carolina,663264,4.7583018339959,4.84606599817426
43,South Dakota,123114,4.21337946237797,4.50295635236447
44,Tennessee,881148,5.14851869903265,5.39916942977007
45,Texas,2675755,4.66720322673329,4.93898359031221
46,Utah,259060,4.32728946870284,4.68028684748332
47,Vermont,97130,4.43294729634383,4.54684760628922
49,Virginia,1012455,4.4580389671582,4.55230679711084
50,Washington,882185,4.26132093962519,4.49327993445287
51,West Virginia,296023,5.43142439980256,5.71052287376465
52,Wisconsin,807222,4.3370854886013,4.79593427357871
53,Wyoming,72863,4.57837629383381,4.65573936519437
99,United States,40843149,4.42603727739014,4.66977538695683
