PCSA,PCSA_L,PFIPS_ST,PCSA_ST,P_LAT,P_LON,P_POP_LAT,P_POP_LON,PAREA_SM,PP12HI2,PP12HI3,PP12HI4,PP12HI5,PP12HI6,PP12HI7,PP12HI8,PP12HI9,PP12HI10,PP12HI11,PP12HI12,PP12HI13,PP12HI14,PP12HI15,PP12HI16,PP12HI17,PP12HI18,PP12HI19,PP12HI20,PP12HI21,PP12HI22,PP12HI23,PP12HI24,PP12HI25,PP12HI26,PP12HI27,PP12HI28,PP12HI29,PP12HI30,PP12HI31,PP12HI32,PP12HI33,PP12HI34,PP12HI35,PP12HI36,PP12HI37,PP12HI38,PP12HI39,PP12HI40,PP12HI41,PP12HI42,PP12HI43,PP12HI44,PP12HI45,PP12HI46,PP12HI47,PP12HI48,PP12HI49,PP12II2,PP12II3,PP12II4,PP12II5,PP12II6,PP12II7,PP12II8,PP12II9,PP12II10,PP12II11,PP12II12,PP12II13,PP12II14,PP12II15,PP12II16,PP12II17,PP12II18,PP12II19,PP12II20,PP12II21,PP12II22,PP12II23,PP12II24,PP12II25,PP12II26,PP12II27,PP12II28,PP12II29,PP12II30,PP12II31,PP12II32,PP12II33,PP12II34,PP12II35,PP12II36,PP12II37,PP12II38,PP12II39,PP12II40,PP12II41,PP12II42,PP12II43,PP12II44,PP12II45,PP12II46,PP12II47,PP12II48,PP12II49,PH1I1,PH2I2,PH2I3,PH2I4,PH2I5,PH3I2,PH3I3,PH4I2,PH4I3,PH4I4,PH11I1,PH11I2,PH11I3,PH11I4,PAVGFAM,PDENSITY,PTT30,PTT3059,PTT60,PTT30PUB,PTT30OTH,PTT3059PUB,PTT3059OTH,PTT60PUB,PTT60OTH,PHHLI,PHHNLI,PPVTOT,PPV50,PPV5099,PPV100124,PPV125149,PPV150184,PPV185199,PPV200UP,PFPVTOT,PFBPV,PFBPV18,PFBPV5,PFBPV517,PMFBPV18,PMFBPV5,PMFBPV517,PFFBPV18,PFFBPV5,PFFBPV517,PCIVIL,PP42I1,PP42I2,PP42I3,PP42I4,PP42I5,PP42I6,PP42I7,PP42I8,PP42I9,PP42I10,PCVPOP18UP,PMCV1864,PMCV65UP,PFCV1864,PFCV65UP,PMVT1864,PMNVT1864,PMVT65UP,PMNVT65UP,PFVT1864,PFNVT1864,PFVT65UP,PFNVT65UP,PTOTOCH,POWNOCH,PRNTOCH,PMHI,PMHINA,PMHIIS,PPCINCOME,PPCINNA,PPCINIS,PMCR,PMVOWNH,PEDPOP,PBLHS,PSMHS,PHSG,PSMCLG,PCLG,PADD,PMEDPOP,PMBLHS,PMSMHS,PMHSG,PMSMCLG,PMCLG,PMADD,PFEDPOP,PFBLHS,PFSMHS,PFHSG,PFSMCLG,PFCLG,PFADD,PS_PREFA,PS_PREFB,PS_PREFC,PS_VISA,PS_VISB,PS_VISC,PF_NDX,VT_NDX
51001090100,VA00_CHINCOTEAGUE ISLAND,51,VA,3.79460958876,-7.53422848513,3.7928224,-7.5371042,19.31,27,2,2,4,2,4,1,0,2,3,1,1,4,1,0,0,0,0,0,0,0,0,0,0,22,1,2,2,3,0,1,0,3,0,2,1,1,2,1,1,0,0,0,0,2,0,0,0,1354,58,57,64,46,23,11,9,27,57,59,68,74,91,99,120,45,81,55,63,91,68,55,33,1410,41,65,47,29,22,12,4,41,54,47,64,83,98,109,129,53,101,48,68,103,93,64,35,4519,0,0,0,4519,1417,3102,412,658,347,2925,984,1185,756,2.6378,152.2893,835,232,125,0,835,0,232,8,117,94,1499,3183,73,527,147,138,182,119,1997,1035,96,65,24,12,0,0,0,0,0,0,2925,16,0,0,0,0,0,16,0,16,0,2700,923,333,1022,422,306,617,182,151,0,1022,0,422,1593,1323,270,33109,0,0,29752,0,0,507,232000,2529,168,252,935,521,306,347,1138,71,101,447,222,154,143,1391,97,151,488,299,152,204,620,627.9165,381.9116,3023,3137,1906,0.616,0.6305
51001090200,VA00_WALLOPS ISLAND,51,VA,3.79240229757,-7.55575215721,3.79292187074,-7.55321260877,139.16,180,25,21,14,10,8,2,3,8,17,16,9,16,7,8,5,0,2,2,1,0,3,1,2,151,14,19,13,16,7,3,0,5,15,11,12,7,5,4,6,2,3,2,0,3,0,2,2,2782,145,141,119,93,49,18,27,71,146,159,149,193,213,236,222,81,143,78,122,163,109,64,41,2789,140,123,119,81,67,20,27,71,153,157,133,168,205,267,213,92,151,97,131,135,108,78,53,5481,0,0,0,5481,3591,1890,1337,1348,906,8481,3398,2731,2352,2.9156,61.0502,2698,568,223,44,2654,0,568,0,223,279,3118,8172,412,847,763,475,747,292,4636,2185,233,10,0,4,31,8,23,72,6,33,8481,15,0,0,0,0,0,15,0,15,0,6474,2411,694,2544,825,394,2017,279,415,55,2489,0,825,3397,2608,789,40397.2117,0,0,21251.2202,0,0,464.4411,131053.1058,5708,413,1042,2494,1105,352,302,2725,200,406,1382,465,179,93,2983,213,636,1112,640,173,209,1039,793.2861,390.7851,5255,3804,1835,0.3761,0.3492
51001090600,VA00_ACCOMACK,51,VA,3.77993860363,-7.57655993077,3.77620646195,-7.56848715449,149.79,1116,167,103,92,41,31,20,25,90,159,123,103,61,39,28,20,3,5,1,1,2,2,0,0,886,175,106,59,41,24,15,17,67,115,97,56,54,28,7,12,2,3,1,0,4,1,1,1,3595,130,198,225,114,69,26,39,90,139,150,200,209,272,292,313,117,197,121,148,202,153,100,91,3771,118,145,167,108,58,26,30,63,151,151,175,222,278,323,345,132,236,120,161,192,178,181,211,6606,0,0,0,6606,5388,1218,1780,1895,1713,13147,4766,3782,4599,3.0933,90.0203,4868,959,187,20,4848,19,940,47,140,685,5075,13850,1109,1105,588,728,1023,155,9142,3748,389,47,11,26,5,5,0,256,21,129,13229,337,255,92,0,163,0,82,0,0,82,11191,4373,1269,4114,1435,652,3721,720,549,57,4057,4,1431,5760,3974,1786,43979.7333,0,0,22760.8047,0,0,507.1814,129245.1938,10140,991,1371,3635,2206,1022,915,5088,615,690,1848,872,530,533,5052,376,681,1787,1334,492,382,1576,952.0017,550.4403,8284,5862,3659,0.3493,0.4417
51003010100,VA00_CROZET,51,VA,3.81060988728,-7.8675456109,3.80837851008,-7.86730592161,242.83,274,23,27,22,19,15,11,3,19,26,21,22,21,13,12,6,1,1,0,1,1,3,6,1,204,20,23,21,19,4,3,2,7,7,18,18,16,20,7,6,1,0,4,0,3,2,2,1,7050,408,482,535,302,140,67,48,170,331,348,405,508,580,625,584,206,289,150,221,278,168,122,83,7604,410,530,498,324,120,44,37,166,366,369,456,532,672,724,630,243,282,163,245,292,226,146,129,7010,2215,0,2215,4795,6303,707,3337,1538,1428,16112,9524,3183,3405,3.0698,67.1485,4005,2754,165,8,3997,23,2731,0,165,454,5413,15350,465,546,325,421,940,192,12461,4298,192,65,38,27,0,0,0,82,7,62,16306,194,0,0,0,0,0,194,0,0,194,11689,4664,1086,4757,1182,650,4014,379,707,47,4710,11,1171,5867,4781,1086,68976.4031,0,0,37080.1534,0,0,750.407,366201.4223,10771,536,861,2241,2025,2757,2351,5158,291,501,1096,812,1307,1151,5613,245,360,1145,1213,1450,1200,1496,690.4267,484.1928,7535,3552,2563,0.3237,0.3401
51005080100,VA00_CLIFTON FORGE,51,VA,3.77874893291,-8.00067352064,3.77954122675,-7.99454904178,450.93,154,10,19,18,5,0,2,3,9,13,10,14,10,10,6,6,1,5,3,6,3,0,0,1,114,13,9,13,10,5,0,0,5,7,5,10,3,6,5,5,2,0,1,3,7,2,2,1,9705,515,547,624,421,224,108,93,256,449,469,570,681,758,762,714,321,421,265,380,451,314,217,145,10290,450,558,580,389,215,93,74,272,498,477,611,679,769,810,713,299,501,284,386,521,400,341,370,11141,6899,0,6899,4242,9523,1618,3791,3376,2356,21843,10171,6514,5158,2.9153,49.2565,6629,1945,764,15,6614,4,1941,6,758,241,9364,21967,1368,1483,1052,810,2130,503,14621,6293,514,187,48,129,0,0,0,215,14,144,21881,368,330,86,39,205,0,38,0,0,38,17546,6556,1834,6677,2479,1099,5457,1069,765,66,6611,33,2446,9605,7572,2033,40225.4854,15533.5263,0,21683.2898,0,0,345.6385,99309.1257,15886,1223,1701,6125,4656,1411,770,7453,668,803,3039,2012,652,279,8433,555,898,3086,2644,759,491,3149,3237.1813,2635.9951,15072,15813,12630,0.8371,0.838
51009010503,VA00_MADISON HEIGHTS,51,VA,3.76055934211,-7.91452271831,3.75220043444,-7.91022314175,472.15,338,27,28,31,17,25,7,17,22,33,28,25,16,19,14,5,2,3,0,3,9,3,4,0,276,20,33,28,16,22,14,2,18,21,23,11,19,12,8,4,2,2,2,2,6,5,1,5,11281,636,625,764,497,253,130,137,362,573,595,700,745,850,907,862,343,467,266,344,504,337,240,144,12592,629,599,703,461,448,232,207,472,610,642,743,838,965,970,918,354,476,257,408,535,446,349,330,13790,4641,4641,0,9149,12394,1396,6006,3478,2910,30417,16502,6863,7052,2.9941,66.7803,10461,2873,856,57,10404,15,2858,0,856,458,12123,30036,1581,2184,1299,1336,1703,1335,20598,8745,618,30,6,24,35,14,21,315,104,157,30807,1113,171,64,0,107,0,942,552,0,390,24654,9328,2185,10237,2904,1598,7730,1017,1168,153,10084,58,2846,12581,9461,3120,45134.0556,23492.7612,0,21444.8963,11848.907,0,441.724,143803.1075,21293,1582,2725,7568,6019,2201,1198,10060,911,1485,3476,2753,1004,431,11233,671,1240,4092,3266,1197,767,3314,1993.1786,1454.8425,15553,9303,6756,0.439,0.4344
51011040300,VA00_APPOMATTOX,51,VA,3.73722894489,-7.88121179127,3.73599685447,-7.8833952345,333.49,94,6,8,14,7,5,3,5,5,6,4,3,5,5,3,3,3,5,0,0,2,1,0,1,73,5,5,10,3,1,1,0,4,3,6,3,4,9,4,6,1,0,1,1,3,1,0,2,5625,250,348,374,229,136,49,61,180,348,287,367,336,448,430,391,182,248,147,193,256,174,115,76,5858,296,302,323,198,106,67,37,185,333,293,373,345,479,502,427,164,247,155,222,279,232,139,154,6921,0,0,0,6921,6033,888,2914,1864,1255,14917,8088,3852,2977,2.9861,44.8974,4083,2287,198,0,4083,0,2287,0,198,120,5856,14406,765,1225,418,685,833,538,9942,4352,475,67,0,44,73,73,0,224,17,165,14917,56,56,0,0,56,0,0,0,0,0,11335,4379,1065,4510,1381,796,3583,556,509,67,4443,19,1362,5976,4539,1437,48298.71,0,0,22388.2061,0,0,402.5358,133650.0991,10218,824,1236,4281,2668,791,418,4865,434,641,1996,1276,304,214,5353,390,595,2285,1392,487,204,1371,1464.4086,878.0886,7011,7277,4445,0.6405,0.634
51013100900,VA01_ARLINGTON,51,VA,3.88835909306,-7.71042457179,3.88778509136,-7.71035990232,24.79,15269,1222,1012,801,550,368,217,237,1000,2034,1830,1475,1197,1062,825,572,162,228,86,105,115,80,48,43,14340,1158,910,842,457,364,169,172,865,1735,1663,1248,1089,988,804,590,167,258,143,158,215,155,111,79,60866,2930,2368,1832,1065,536,265,320,4288,10376,6924,5141,4549,4209,3711,3635,1427,1892,940,1110,1230,886,625,607,59718,2857,2263,1821,1032,537,252,290,5195,10484,6294,4553,3896,3641,3583,3604,1311,1733,955,1086,1212,937,851,1331,95004,95004,95004,0,0,88576,6428,31664,7173,49739,187500,75886,13187,98427,3.0563,7669.2392,60716,46067,4754,9107,51609,19750,26317,2299,2455,24691,58674,178043,6583,5602,3059,4416,6745,2295,149343,37688,1809,426,82,302,146,76,57,808,332,409,188080,2626,945,544,17,375,9,1681,613,488,580,148144,66416,6771,66445,8512,7025,59391,3739,3032,1126,65319,178,8334,83365,39268,44097,100678.5966,29359.548,0,58125.2865,13393.8543,0,1463.6652,593442.5114,132870,5534,4812,12663,17461,44263,48137,66706,2655,2592,6197,8024,21865,25373,66164,2879,2220,6466,9437,22398,22764,7317,9064.9632,4010.5949,30988,39563,17413,0.5481,0.5619
51013103501,VA02_ARLINGTON,51,VA,3.88547814979,-7.70615845148,3.88578064969,-7.7061257771,1.32,480,14,25,17,11,5,3,7,24,87,70,63,39,42,30,18,5,6,2,5,4,3,0,0,567,41,21,15,11,6,4,5,36,109,78,45,27,29,27,28,12,18,4,4,21,11,8,7,4586,176,108,68,29,16,9,14,254,806,587,387,365,306,301,288,117,175,97,121,135,105,60,62,4525,151,132,64,26,11,9,13,453,934,541,327,244,207,253,259,99,165,73,98,128,96,102,140,8011,8011,8011,0,0,7171,840,1627,505,5039,12671,3696,867,8108,2.6479,9797.6073,3784,3333,445,1016,2768,1913,1420,346,99,1774,4476,11416,554,474,97,93,245,83,9870,2029,69,11,0,0,0,0,0,12,0,12,12675,219,215,0,0,215,0,4,0,0,4,10401,3953,590,4859,999,806,3147,376,214,117,4742,81,918,6250,2166,4084,100345.6531,1796.1563,0,64015.4907,0,0,1578.6239,607942.2438,9884,179,306,864,839,3640,4056,4519,71,80,241,270,1610,2247,5365,108,226,623,569,2030,1809,635,391.6879,116.8489,2594,1113,345,0.184,0.133
51015070300,VA00_MOUNT SIDNEY,51,VA,3.82460999723,-7.88753093506,3.82358516256,-7.89099932439,205.41,429,45,42,53,30,12,4,6,24,33,38,36,33,34,14,14,3,2,2,2,2,0,0,0,348,34,47,58,20,8,6,1,10,22,30,38,18,28,12,4,0,5,0,1,2,4,0,0,10668,563,650,701,469,277,117,118,317,649,607,705,721,917,896,814,290,384,236,321,342,281,187,106,10638,547,649,635,437,227,79,97,296,548,606,672,794,925,913,835,291,426,224,321,407,303,210,196,9451,3818,1168,2650,5633,8854,597,4759,2453,1642,22340,13335,4997,4008,3.0043,112.5143,7522,2595,244,0,7522,19,2576,0,244,363,8487,22014,825,1567,1302,1303,1355,721,14941,6493,568,101,0,52,11,0,11,290,28,160,22361,772,751,729,22,0,0,21,0,0,21,16618,6868,1414,6655,1681,790,6078,863,551,90,6565,31,1650,8850,7176,1674,45022.1436,0,0,21805.341,0,0,563.4438,176202.7871,14986,716,1871,6558,3367,1609,865,7354,411,919,3329,1482,769,444,7632,305,952,3229,1885,840,421,2143,1902.3963,785.0693,9974,8123,3604,0.3663,0.3613
51015070600,VA01_STAUNTON,51,VA,3.80533840981,-7.89272490152,3.80780161021,-7.89175504046,159.28,1014,129,124,95,56,37,15,10,57,108,96,81,74,41,33,22,9,7,2,5,4,5,3,1,783,123,102,82,39,22,9,10,35,74,66,70,34,42,21,20,6,8,3,3,7,4,1,2,17038,1025,1076,993,628,462,182,162,541,989,911,999,1154,1361,1304,1208,439,658,378,576,707,564,408,313,18403,904,938,964,615,388,202,178,556,1036,1021,1092,1224,1392,1391,1284,506,774,422,644,897,661,596,718,18670,13040,12776,264,5630,17025,1645,8074,3865,5086,40758,21813,7432,11513,2.9683,260.1967,13812,3410,572,0,13812,29,3381,0,572,699,15403,39827,1980,3240,1859,1505,1893,1076,28274,11155,1091,258,0,110,87,37,50,584,189,283,40841,686,603,0,0,310,293,83,0,0,83,31418,11942,2830,12694,3952,1736,10206,1634,1196,128,12566,74,3878,16102,11404,4698,48898.8179,0,0,24916.1335,5261.3333,7524,496.5907,192873.7022,28168,1899,2649,11181,6139,4313,1987,13135,914,1357,4912,2856,2082,1014,15033,985,1292,6269,3283,2231,973,4910,5587.7141,3437.127,22903,26797,16536,0.7,0.722
51015071102,VA00_STUARTS DRAFT,51,VA,3.80061179265,-7.91689232383,3.80154523394,-7.90840785503,175.96,129,17,16,15,4,3,3,3,2,8,12,14,8,4,7,3,1,3,1,2,1,1,1,0,113,16,15,7,12,5,1,2,4,2,9,8,9,9,0,2,0,2,2,4,1,1,2,0,7546,398,480,529,318,175,82,64,226,433,388,498,561,651,622,539,208,298,163,237,286,196,126,68,7694,363,438,527,290,200,91,54,190,395,432,506,548,671,632,597,224,300,173,248,316,234,142,123,6806,3073,0,3073,3733,6313,493,3353,1645,1315,16036,9449,3335,3252,3.003,92.6593,5613,1290,333,32,5581,0,1290,0,333,201,5830,14779,373,1119,300,947,1024,426,10590,4251,341,131,33,98,0,0,0,148,21,70,16048,268,256,256,0,0,0,12,0,0,12,11554,4226,1160,4937,1231,821,3405,588,572,107,4830,0,1231,6031,4754,1277,51217.9464,0,0,24381.6173,0,0,585.7267,189632.6462,10609,574,757,4764,2390,1596,528,5029,280,344,2258,1113,741,293,5580,294,413,2506,1277,855,235,1712,1735.4766,888.7079,7477,6946,3514,0.5191,0.47
51017920100,VA00_MILLBORO,51,VA,3.80586923116,-7.97410892495,3.8017866,-7.9764614,529.16,64,9,7,5,1,0,0,0,2,5,5,5,7,10,3,0,1,0,1,1,0,1,0,1,37,3,3,6,3,0,1,0,1,8,2,2,2,1,2,0,0,0,1,0,0,2,0,0,2187,63,96,127,83,62,21,28,57,88,93,122,151,204,168,165,72,107,68,86,139,85,70,32,2176,74,82,114,84,40,23,26,52,73,99,130,157,181,180,159,73,114,59,92,135,111,59,59,3270,0,0,0,3270,2162,1108,824,772,566,4678,2139,1509,1030,2.7765,8.9406,1187,598,410,0,1187,0,598,0,410,35,1990,4745,202,289,544,77,246,0,3387,1494,99,10,0,10,0,0,0,44,0,0,4684,53,47,0,0,47,0,6,0,0,6,3972,1531,493,1419,529,108,1423,212,281,16,1403,0,529,2025,1761,264,50589,0,0,22083,0,0,488,129700,3657,391,371,1731,743,272,149,1858,214,191,1001,296,90,66,1799,177,180,730,447,182,83,626,458.3032,328.356,2270,1562,1145,0.5245,0.5044
51019030103,VA00_FOREST,51,VA,3.73588698663,-7.93400761273,3.73531616808,-7.93004616412,63.85,239,21,20,19,17,11,1,2,19,24,17,21,23,16,8,2,4,5,1,2,4,1,0,1,235,21,27,31,12,9,5,5,11,10,16,19,14,18,11,7,2,5,3,3,3,2,1,0,8906,426,642,782,484,233,86,78,231,319,355,568,641,793,811,645,287,371,188,243,308,213,138,64,9210,404,609,654,435,205,79,93,261,354,409,610,737,850,834,691,238,364,207,266,329,243,179,159,8371,6121,6121,0,2250,7881,490,4934,1646,1301,20544,14337,3378,2829,3.0775,322.121,8415,1346,272,30,8385,0,1346,0,272,582,7467,20352,387,870,292,325,611,215,17652,5873,230,95,16,36,19,19,0,66,23,43,20569,25,0,0,0,0,0,25,0,0,25,15102,6299,1249,6382,1172,931,5368,596,653,78,6304,44,1128,8049,6588,1461,68996.2522,0,0,31091.6011,0,0,466.8946,235104.7662,13547,323,586,3101,4519,3227,1791,6824,126,298,1630,2192,1610,968,6723,197,288,1471,2327,1617,823,1918,2221.7011,670.2638,8290,9696,2861,0.3495,0.3451
