PCSA,PCSA_L,PFIPS_ST,PCSA_ST,P_LAT,P_LON,P_POP_LAT,P_POP_LON,PAREA_SM,PP12CI2,PP12CI3,PP12CI4,PP12CI5,PP12CI6,PP12CI7,PP12CI8,PP12CI9,PP12CI10,PP12CI11,PP12CI12,PP12CI13,PP12CI14,PP12CI15,PP12CI16,PP12CI17,PP12CI18,PP12CI19,PP12CI20,PP12CI21,PP12CI22,PP12CI23,PP12CI24,PP12CI25,PP12CI26,PP12CI27,PP12CI28,PP12CI29,PP12CI30,PP12CI31,PP12CI32,PP12CI33,PP12CI34,PP12CI35,PP12CI36,PP12CI37,PP12CI38,PP12CI39,PP12CI40,PP12CI41,PP12CI42,PP12CI43,PP12CI44,PP12CI45,PP12CI46,PP12CI47,PP12CI48,PP12CI49,PP12DI2,PP12DI3,PP12DI4,PP12DI5,PP12DI6,PP12DI7,PP12DI8,PP12DI9,PP12DI10,PP12DI11,PP12DI12,PP12DI13,PP12DI14,PP12DI15,PP12DI16,PP12DI17,PP12DI18,PP12DI19,PP12DI20,PP12DI21,PP12DI22,PP12DI23,PP12DI24,PP12DI25,PP12DI26,PP12DI27,PP12DI28,PP12DI29,PP12DI30,PP12DI31,PP12DI32,PP12DI33,PP12DI34,PP12DI35,PP12DI36,PP12DI37,PP12DI38,PP12DI39,PP12DI40,PP12DI41,PP12DI42,PP12DI43,PP12DI44,PP12DI45,PP12DI46,PP12DI47,PP12DI48,PP12DI49,PP12EI2,PP12EI3,PP12EI4,PP12EI5,PP12EI6,PP12EI7,PP12EI8,PP12EI9,PP12EI10,PP12EI11,PP12EI12,PP12EI13,PP12EI14,PP12EI15,PP12EI16,PP12EI17,PP12EI18,PP12EI19,PP12EI20,PP12EI21,PP12EI22,PP12EI23,PP12EI24,PP12EI25,PP12EI26,PP12EI27,PP12EI28,PP12EI29,PP12EI30,PP12EI31,PP12EI32,PP12EI33,PP12EI34,PP12EI35,PP12EI36,PP12EI37,PP12EI38,PP12EI39,PP12EI40,PP12EI41,PP12EI42,PP12EI43,PP12EI44,PP12EI45,PP12EI46,PP12EI47,PP12EI48,PP12EI49,PP12FI2,PP12FI3,PP12FI4,PP12FI5,PP12FI6,PP12FI7,PP12FI8,PP12FI9,PP12FI10,PP12FI11,PP12FI12,PP12FI13,PP12FI14,PP12FI15,PP12FI16,PP12FI17,PP12FI18,PP12FI19,PP12FI20,PP12FI21,PP12FI22,PP12FI23,PP12FI24,PP12FI25,PP12FI26,PP12FI27,PP12FI28,PP12FI29,PP12FI30,PP12FI31,PP12FI32,PP12FI33,PP12FI34,PP12FI35,PP12FI36,PP12FI37,PP12FI38,PP12FI39,PP12FI40,PP12FI41,PP12FI42,PP12FI43,PP12FI44,PP12FI45,PP12FI46,PP12FI47,PP12FI48,PP12FI49,PP12GI2,PP12GI3,PP12GI4,PP12GI5,PP12GI6,PP12GI7,PP12GI8,PP12GI9,PP12GI10,PP12GI11,PP12GI12,PP12GI13,PP12GI14,PP12GI15,PP12GI16,PP12GI17,PP12GI18,PP12GI19,PP12GI20,PP12GI21,PP12GI22,PP12GI23,PP12GI24,PP12GI25,PP12GI26,PP12GI27,PP12GI28,PP12GI29,PP12GI30,PP12GI31,PP12GI32,PP12GI33,PP12GI34,PP12GI35,PP12GI36,PP12GI37,PP12GI38,PP12GI39,PP12GI40,PP12GI41,PP12GI42,PP12GI43,PP12GI44,PP12GI45,PP12GI46,PP12GI47,PP12GI48,PP12GI49
51015070600,VA01_STAUNTON,51,VA,3.80533840981,-7.89272490152,3.80780161021,-7.89175504046,159.28,46,4,5,1,1,2,1,0,2,2,0,0,3,9,5,6,0,0,2,2,0,1,0,0,52,6,2,1,2,0,1,1,4,4,2,0,2,9,7,2,1,2,1,0,1,2,1,1,136,10,9,8,3,2,1,1,2,5,12,21,21,12,6,4,2,4,3,4,1,1,4,0,154,8,5,9,6,6,1,2,2,13,16,23,12,11,9,13,4,4,1,2,2,2,3,0,7,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,468,47,68,45,27,17,5,4,25,57,41,44,33,19,18,3,2,4,1,4,0,3,1,0,306,55,37,30,16,7,8,5,14,27,26,29,15,16,9,4,1,2,2,1,1,1,0,0,446,108,73,71,33,8,10,7,17,19,17,5,14,18,13,8,3,4,2,4,4,2,5,1,533,123,95,54,32,14,6,9,22,21,27,21,18,21,19,14,5,4,6,4,9,4,0,5
51015071102,VA00_STUARTS DRAFT,51,VA,3.80061179265,-7.91689232383,3.80154523394,-7.90840785503,175.96,22,2,1,3,1,1,0,0,1,0,0,2,3,1,5,0,2,0,0,0,0,0,0,0,25,2,3,2,3,1,0,0,1,2,1,1,4,3,0,0,1,0,0,0,1,0,0,0,29,3,3,1,0,0,0,0,0,2,6,3,2,1,0,1,1,0,0,6,0,0,0,0,42,3,8,2,0,0,0,0,1,0,4,5,1,3,2,4,0,0,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,4,2,1,2,0,2,0,1,5,3,2,2,1,0,0,1,0,0,0,0,0,0,34,3,3,3,4,1,0,0,2,1,4,1,6,3,1,0,0,1,0,0,0,0,1,0,104,18,15,14,9,1,3,4,1,6,4,6,2,3,2,2,3,3,2,0,0,5,1,0,111,14,17,16,11,2,0,3,4,8,5,2,3,2,4,2,3,2,0,2,5,3,2,1
51017920100,VA00_MILLBORO,51,VA,3.80586923116,-7.97410892495,3.8017866,-7.9764614,529.16,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,3,3,3,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,10,2,1,2,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,1,0,1,0,0,1,2,0,1,1,2,1,0,1,0,0,1,0,0,0,24,3,2,3,1,1,0,0,1,1,1,2,0,1,2,1,0,1,0,1,1,1,0,1
51019030103,VA00_FOREST,51,VA,3.73588698663,-7.93400761273,3.73531616808,-7.93004616412,63.85,13,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,2,1,0,0,1,0,0,21,1,4,1,1,0,0,0,0,0,1,2,0,1,3,4,0,1,1,0,1,0,0,0,224,20,16,34,17,8,3,0,7,3,14,18,23,22,15,4,2,6,2,1,5,2,0,2,266,16,35,28,19,5,2,1,1,16,18,28,29,27,16,3,3,2,3,6,6,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,67,3,7,7,3,5,0,1,5,10,4,6,8,3,2,2,0,1,0,0,0,0,0,0,60,6,8,7,2,2,1,1,6,3,5,3,1,6,4,3,0,1,0,1,0,0,0,0,116,18,14,24,8,6,3,0,4,5,4,4,1,8,8,2,2,2,1,0,0,1,1,0,119,20,9,21,4,5,3,2,6,5,9,8,5,5,6,1,0,2,1,1,3,3,0,0
51019030501,VA02_BEDFORD,51,VA,3.71294019611,-7.95877221949,3.71325264131,-7.9631858289,168.56,21,1,1,2,1,0,0,0,0,1,1,0,1,6,1,1,1,1,0,0,3,0,0,0,19,0,1,3,1,2,0,1,0,0,0,0,2,2,1,2,0,1,1,0,1,0,1,0,20,1,2,2,2,0,0,0,0,1,0,4,2,0,2,0,1,0,0,0,2,0,0,1,35,6,0,2,2,0,0,0,1,2,1,4,2,6,1,1,1,2,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,3,2,4,1,3,0,0,2,1,0,3,2,3,1,0,0,0,0,0,1,1,0,0,20,2,1,3,2,0,1,0,0,1,2,3,1,2,2,0,0,0,0,0,0,0,0,0,84,16,4,13,10,5,1,0,2,3,2,2,4,1,5,3,1,0,2,1,2,3,3,1,70,10,11,6,2,2,0,0,1,4,5,5,1,5,1,3,1,4,1,1,3,2,1,1
51021040200,VA00_BASTIAN,51,VA,3.71339692996,-8.11302842703,3.71507653763,-8.10893539627,357.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,3,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,2,2,1,1,1,3,1,2,0,0,2,2,0,1,1,2,0,0,2,0,0,1,22,2,6,3,1,1,1,0,1,0,0,2,0,0,1,0,1,0,0,0,0,1,2,0
51023040200,VA00_BUCHANAN,51,VA,3.75301441653,-7.96618029132,3.7523937,-7.9706261,130.92,9,0,1,0,1,1,0,0,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,3,3,1,2,1,0,0,0,2,0,2,1,1,1,2,0,0,1,1,2,1,0,0,36,5,0,3,4,1,0,0,1,1,2,2,2,0,1,2,3,1,1,2,3,1,0,1
51023040301,VA00_FINCASTLE,51,VA,3.76346177005,-7.98331138727,3.75813203512,-7.98358567485,274.95,8,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,8,0,1,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,1,2,0,0,0,2,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,10,2,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,33,4,3,3,4,3,0,0,2,2,1,0,0,2,2,4,1,1,0,0,1,0,0,0,28,0,5,7,4,2,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,2,0
51023040302,VA01_TROUTVILLE,51,VA,3.74372016881,-7.99305214837,3.74131277971,-7.99067875395,114.43,25,5,1,4,0,1,1,0,0,2,1,1,3,1,2,1,0,1,1,0,0,0,0,0,19,3,0,3,0,1,1,0,0,1,3,0,2,3,0,0,0,1,0,0,1,0,0,0,51,0,2,7,2,1,1,2,2,5,1,1,6,2,6,5,1,0,1,2,1,1,2,0,68,5,4,1,2,0,1,0,2,6,2,5,8,8,7,6,3,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,2,1,2,0,0,0,0,2,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,13,3,0,2,0,0,0,0,2,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,60,7,8,15,3,2,1,0,1,1,4,1,3,5,2,1,0,2,0,1,1,1,0,1,90,10,20,14,11,3,0,0,3,4,0,7,2,4,2,2,0,3,0,2,2,0,1,0
51023040501,VA02_TROUTVILLE,51,VA,3.7392340523,-7.97461480472,3.73692268851,-7.98036302346,73.17,12,0,1,1,0,1,0,0,0,1,0,0,1,0,1,4,0,0,0,1,0,0,0,1,8,0,1,0,0,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,14,1,0,4,0,2,0,0,0,0,0,0,2,1,0,1,0,2,1,0,0,0,0,0,36,3,7,0,2,0,0,1,1,2,1,2,3,4,3,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,2,0,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,52,5,6,10,4,2,0,0,1,3,1,3,2,4,4,2,0,1,1,1,1,1,0,0,57,14,12,3,4,0,0,0,3,1,2,4,0,2,3,3,0,2,2,2,0,0,0,0
51025930300,VA00_LAWRENCEVILLE,51,VA,3.66707559256,-7.78701189602,3.66930968025,-7.78774474034,308.74,11,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,0,3,0,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,1,0,0,1,11,3,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,20,0,0,1,0,0,0,0,1,0,4,2,1,1,5,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5,1,4,1,1,0,0,3,9,13,3,3,6,6,2,0,0,0,0,0,0,0,0,24,6,3,1,1,1,0,0,0,1,4,3,2,0,0,2,0,0,0,0,0,0,0,0,55,15,9,6,6,2,0,1,1,1,1,1,1,2,3,2,0,1,0,0,3,0,0,0,47,7,7,2,2,4,1,1,1,1,2,3,3,2,5,1,0,1,2,1,0,1,0,0
51027010100,VA00_GRUNDY,51,VA,3.72884225918,-8.20855685465,3.72815039492,-8.20941935955,353.4,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,17,0,1,1,0,0,0,0,0,2,1,5,1,1,2,2,0,0,1,0,0,0,0,0,20,1,0,0,0,0,0,1,3,5,1,0,0,0,0,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,2,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,48,3,6,5,4,1,0,0,1,5,0,0,2,3,2,4,0,2,0,2,4,3,1,0,38,4,5,3,0,1,0,0,2,4,2,0,1,2,4,2,0,3,0,0,4,1,0,0
51027010600,VA00_OAKWOOD,51,VA,3.71915221259,-8.19827425418,3.7198657,-8.1989433,82.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,2,0,0,1,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,9,0,2,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0
51029930102,VA00_NEW CANTON,51,VA,3.75722427928,-7.85287106987,3.75821311787,-7.84834536308,579.66,25,1,1,0,0,0,1,0,1,1,1,1,3,0,7,4,2,0,0,0,0,0,1,1,19,0,1,1,0,1,0,0,0,0,0,2,2,5,3,0,1,0,0,0,2,1,0,0,35,2,2,0,3,2,0,0,1,4,3,5,1,1,4,4,0,1,0,0,1,0,0,1,28,1,4,1,2,0,0,1,0,3,0,2,2,1,3,2,1,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,9,5,6,1,1,3,0,8,8,8,11,5,2,1,0,2,0,0,0,0,0,0,0,33,4,4,3,0,1,2,0,2,3,3,4,2,0,1,0,1,0,0,0,2,0,0,1,133,29,24,17,10,4,2,3,3,3,10,2,5,3,6,1,2,3,0,1,4,1,0,0,143,32,30,13,9,7,2,5,6,6,2,3,5,6,4,3,1,2,1,2,2,2,0,0
51031020900,VA00_BROOKNEAL,51,VA,3.71339410884,-7.90031090401,3.71223700335,-7.90021727425,199.6,9,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,11,0,1,2,0,0,0,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,1,1,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,3,3,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,8,10,11,5,2,0,1,3,2,2,3,2,1,3,5,0,0,0,0,0,0,0,1,69,9,15,10,4,0,1,2,1,3,1,2,1,4,4,5,0,1,3,1,0,1,0,1
51033030100,VA00_RAPPAHANNOCK ACADEMY,51,VA,3.80587896592,-7.72855363227,3.8045262271,-7.73373727348,339.75,60,3,11,4,0,2,0,0,1,2,4,5,3,3,4,5,4,2,1,0,1,0,4,1,50,3,2,1,2,1,0,1,1,2,2,2,1,2,5,6,2,1,2,2,3,4,2,3,27,1,1,3,1,1,0,1,2,4,2,2,1,0,2,2,1,1,0,0,0,1,1,0,42,0,0,3,1,1,0,0,2,5,3,3,3,6,4,8,1,1,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,63,3,4,3,1,1,1,2,6,12,6,10,3,6,2,2,0,1,0,0,0,0,0,0,45,6,6,1,5,2,0,2,3,3,3,6,3,0,0,1,1,0,0,1,1,0,0,1,168,33,31,25,7,3,2,0,2,17,5,5,2,9,6,8,2,3,1,2,2,2,0,1,190,31,26,22,13,5,0,0,7,12,12,14,6,8,11,6,1,6,1,1,4,1,3,0
51033030500,VA00_RUTHER GLEN,51,VA,3.80167387059,-7.74993920294,3.80119738586,-7.75262807476,131.49,44,5,3,6,1,2,0,0,1,1,3,4,5,4,1,3,1,0,2,0,0,0,2,0,43,3,6,5,0,0,2,0,0,1,4,3,2,4,3,3,1,2,1,0,2,1,0,0,38,4,3,1,1,1,2,1,4,4,3,3,1,0,1,1,4,0,1,2,0,1,0,0,59,3,0,0,1,0,1,0,1,6,7,7,6,5,5,3,1,6,1,1,2,3,0,0,9,1,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,75,8,6,6,2,5,3,2,3,8,7,7,5,3,5,0,2,0,1,0,1,1,0,0,82,5,12,12,7,6,1,0,1,7,5,6,6,7,4,1,1,0,0,0,1,0,0,0,204,41,36,30,8,6,3,1,5,10,12,20,6,11,5,3,2,0,2,0,2,0,0,1,221,36,49,30,13,2,0,4,10,15,12,10,10,9,8,3,1,3,2,2,1,1,0,0
51035080500,VA00_DUGSPUR,51,VA,3.67321497967,-8.05886384634,3.6724499,-8.0615874,122.23,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,9,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,6,4,1,0,0,1,0,2,0,2,1,1,1,0,0,0,0,0,0,0,0,0,14,2,1,2,0,0,0,0,1,3,0,1,2,1,1,0,0,0,0,0,0,0,0,0,11,2,1,2,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,12,0,3,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0
51037930100,VA00_CHARLOTTE COURT HOUSE,51,VA,3.70116124327,-7.8661639468,3.70175879446,-7.863084324,475.27,20,1,3,1,1,1,0,0,0,0,2,2,1,1,2,2,0,1,1,0,1,0,0,0,15,3,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,2,0,0,0,2,0,1,8,0,0,0,1,0,0,0,1,0,0,1,1,2,0,0,0,1,0,0,1,0,0,0,18,0,2,3,0,0,0,0,1,0,1,1,2,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,9,8,9,3,3,2,5,7,14,11,1,6,11,6,2,0,2,0,0,0,0,0,0,36,7,3,4,1,0,0,0,3,2,5,3,3,1,2,2,0,0,0,0,0,0,0,0,76,13,12,9,6,5,2,2,1,1,2,2,4,7,3,2,0,1,1,0,3,0,0,0,96,18,13,10,7,6,0,1,1,6,1,7,2,6,3,2,2,1,0,2,3,3,1,1
51041100209,VA03_RICHMOND,51,VA,3.74121318249,-7.7550621648,3.74474592296,-7.7530653103,55.4,150,5,11,10,7,4,5,5,5,14,8,17,13,11,7,9,5,3,3,1,4,2,1,0,140,11,9,18,1,5,2,1,6,6,11,8,11,10,10,9,4,4,2,1,4,5,1,1,769,53,56,43,42,13,14,7,34,64,56,67,54,44,38,55,15,39,13,19,22,15,4,2,873,52,44,44,27,22,8,15,35,67,68,73,76,55,78,81,25,35,13,15,22,12,3,3,28,0,2,3,3,2,1,1,5,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,22,3,0,3,0,0,0,0,0,3,1,7,0,1,1,1,0,1,0,0,0,0,1,0,2254,213,202,154,79,58,41,55,185,296,294,239,184,112,58,35,7,19,7,4,6,2,3,1,1709,219,141,156,82,48,41,23,101,186,215,160,109,100,49,28,16,12,7,2,2,4,3,5,969,175,195,131,64,31,15,8,36,64,58,49,34,31,28,16,6,7,6,3,7,3,1,1,1036,178,155,117,64,32,20,15,38,64,81,66,53,44,39,16,14,14,7,6,8,1,2,2
51041100410,VA00_CHESTER,51,VA,3.73114121382,-7.75182871153,3.73436600456,-7.74694215944,96.33,125,5,10,13,3,5,1,3,7,7,6,11,12,12,10,6,0,5,3,4,0,0,1,1,126,13,11,11,4,6,2,3,2,5,6,17,9,13,9,4,3,3,1,2,1,0,0,1,481,27,29,46,23,19,4,6,18,21,27,41,47,32,43,31,7,15,9,11,15,6,1,3,651,26,30,45,20,16,8,6,20,37,49,51,65,61,58,66,17,22,7,10,20,6,7,4,25,3,1,3,0,0,0,0,0,5,3,2,2,1,1,2,1,1,0,0,0,0,0,0,20,0,1,0,0,0,2,0,1,2,5,1,0,2,0,3,2,1,0,0,0,0,0,0,861,88,99,69,45,28,15,17,41,97,104,92,56,43,29,18,5,3,6,1,3,0,1,1,839,86,114,94,51,23,9,13,35,74,87,78,53,45,30,20,5,4,4,6,5,1,1,1,680,112,116,115,63,24,5,13,22,35,29,26,39,28,16,13,9,6,0,1,4,2,2,0,770,106,107,121,64,25,7,9,34,51,40,45,52,36,27,14,9,7,2,4,5,1,0,4
51041100805,VA07_RICHMOND,51,VA,3.74208019114,-7.74770530739,3.74254456574,-7.7469960658,17.79,119,8,7,9,7,3,3,3,8,7,8,9,12,9,9,5,1,6,2,0,3,0,0,0,106,6,5,9,6,2,2,2,3,8,6,8,7,10,8,10,2,2,1,4,2,1,0,2,355,24,22,17,9,14,8,9,27,37,22,24,16,31,24,28,9,9,3,6,4,6,2,4,376,28,22,18,15,7,7,5,16,35,27,32,19,24,40,28,16,10,4,4,7,6,6,0,13,0,2,0,0,2,0,1,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,25,1,5,4,2,0,0,0,0,2,2,3,1,3,1,0,0,1,0,0,0,0,0,0,2238,233,211,173,97,68,48,47,158,278,269,207,153,135,74,37,15,8,8,8,3,4,2,2,1680,202,191,142,90,58,24,36,78,162,196,181,118,81,53,27,6,10,3,7,4,7,1,3,452,89,72,52,25,9,8,5,16,36,36,39,11,15,12,9,6,5,4,0,0,2,1,0,498,92,76,65,30,8,7,7,22,35,29,30,31,15,19,10,3,1,1,3,6,1,4,3
