HRR ID,HRR name,State,Number of patients in pneumonia cohort (2015),Percent readmitted within 30 days of discharge (2015),,,Percent seeing a primary care clinician within 14 days of discharge to home (2015),,,Percent having an ambulatory visit within 14 days of discharge to home (2015),,,Percent having an emergency room visit within 30 days of discharge (2015),,
,,,,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit
1,Birmingham,AL,2465,13.6289827551688,12.1716797023499,15.0862858079876,48.6867285357978,45.4078527867606,51.965604284835,62.5963597795268,58.8937837998324,66.2989357592213,17.4952408287532,15.8435172770831,19.1469643804232
2,Dothan,AL,529,11.0872202738866,8.25809133269347,13.9163492150798,45.0227790196875,38.3136627547669,51.7318952846082,56.5379624380534,49.0326638017938,64.043261074313,16.3669877250387,12.9277261963188,19.8062492537585
5,Huntsville,AL,679,14.4000001330263,11.5489455649443,17.2510547011084,47.0448089689101,41.0425907708861,53.0470271669341,59.34113216685,52.6148310557232,66.0674332779768,20.4651425816906,17.0629143347966,23.8673708285846
6,Mobile,AL,702,15.2685961659554,12.3889223178118,18.1482700140989,42.2979649578957,36.5770446637439,48.0188852520476,61.4538981824009,54.5682505437488,68.3395458210529,18.6087351420373,15.4341574480876,21.783312835987
7,Montgomery,AL,446,12.757484843896,9.47421078275267,16.0407589050394,50.0811324082805,42.485359429528,57.6769053870331,65.0698957849178,56.412120375946,73.7276711938895,21.0509869653544,16.8399125391747,25.262061391534
9,Tuscaloosa,AL,372,16.2619091659299,12.2139906884261,20.3098276434337,42.3382659553414,34.3159964252796,50.3605354854033,53.3292069519096,44.3662410836656,62.2921728201537,19.3448040808775,14.9371800000044,23.7524281617505
10,Anchorage,AK,379,9.87008659617711,6.68972740376282,13.0504457885914,45.7749291284167,38.5916713343625,52.9581869224709,52.3570200695624,44.6868591357884,60.0271810033365,14.5106497729063,10.6403371035445,18.380962442268
11,Mesa,AZ,561,13.2935100092719,10.2646452768493,16.3223747416945,51.852800198273,45.3991942319867,58.3064061645592,69.8554621031721,62.3749033592103,77.3360208471339,20.0316685094635,16.3050777159954,23.7582593029316
12,Phoenix,AZ,1788,14.5374455298417,12.7635243507078,16.3113667089756,50.8671658350106,47.2119995066923,54.522332163329,66.5785398667212,62.3993891873378,70.7576905461046,20.5939087399781,18.4782570784046,22.7095604015516
14,Sun City,AZ,288,13.5954376637509,9.32849349054451,17.8623818369574,54.2108492389421,44.962689627317,63.4590088505672,72.8682280511271,62.1330896714092,83.6033664308449,21.3052816519772,15.9586725459081,26.6518907580462
15,Tucson,AZ,573,12.258707086216,9.38692343132848,15.1304907411036,47.5200892080491,41.0307614693563,54.0094169467419,61.9379095025662,54.5361243566294,69.339694648503,17.7582538244494,14.2949097187003,21.2215979301986
16,Fort Smith,AR,487,9.83337096643666,7.02205560450341,12.6446863283699,50.2208974628972,42.4872738161809,57.9545211096134,58.7745347305116,50.4390936198119,67.1099758412112,16.5818703304025,12.9252822404444,20.2384584203607
18,Jonesboro,AR,369,16.2995970001783,12.1404245057344,20.4587694946221,53.2277729811082,44.2487830813166,62.2067628808998,64.2852340150862,54.4463605216613,74.1241075085111,21.5686617726396,16.7820084976907,26.3553150475885
19,Little Rock,AR,2301,12.7542665473787,11.2963324434341,14.2122006513233,49.6755270994057,46.2048741421561,53.1461800566553,62.3303357982428,58.4515151226955,66.2091564737901,17.2084728115174,15.5135465515108,18.903399071524
21,Springdale,AR,426,13.5849964771721,10.0582180658648,17.1117748884794,48.8153507597568,41.0291784241622,56.6015230953514,60.279395958882,51.6163924365341,68.9423994812299,17.8699747438575,13.8256187301766,21.9143307575385
22,Texarkana,AR,346,12.0645042337377,8.41578113269846,15.7132273347769,57.1386371871288,46.8723722321192,67.4049021421383,67.4453184003212,56.3126743265976,78.5779624740448,20.3719699677792,15.6332622291681,25.1106777063903
23,Orange County,CA,946,15.2888042121788,12.7916328575229,17.7859755668346,44.4959645500736,39.3658415784181,49.6260875217292,64.7899257292834,58.5787271757551,71.0011242828116,20.1746696248187,17.3059658661608,23.0433733834765
