HRR ID,HRR name,State,Number of patients in medical cohort (2015),Percent readmitted within 30 days of discharge (2015),,,Percent seeing a primary care clinician within 14 days of discharge to home (2015),,,Percent having an ambulatory visit within 14 days of discharge to home (2015),,,Percent having an emergency room visit within 30 days of discharge (2015),,
,,,,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit,Rate,Lower conf. limit,Upper conf. limit
1,Birmingham,AL,27769,14.4670028687434,14.0194483412275,14.9145573962593,41.5459991581043,40.6493739323539,42.4426243838546,59.6790650036915,58.6071091382957,60.7510208690874,19.117975678046,18.6034628367599,19.6324885193322
2,Dothan,AL,5925,13.741137311484,12.7988838913199,14.6833907316481,43.5179168694249,41.54968447411,45.4861492647397,58.3829494638289,56.1088458301677,60.65705309749,19.8871887307546,18.753429781065,21.0209476804442
5,Huntsville,AL,8292,14.5252385466913,13.7040798230129,15.3463972703697,43.5037213137645,41.8334182650219,45.174024362507,60.9027182371459,58.9293345068786,62.8761019674132,19.7288844596558,18.7711065888517,20.6866623304599
6,Mobile,AL,9105,14.4153142497114,13.6373533177678,15.193275181655,39.2421243030377,37.7586024493388,40.7256461567367,60.231147187908,58.3968396148261,62.0654547609898,18.7505490342204,17.863628086099,19.6374699823418
7,Montgomery,AL,5018,14.3050696868438,13.2659146200879,15.3442247535998,48.3299974278742,46.0662406150609,50.5937542406875,64.4036173792288,61.7941107537444,67.0131240047132,19.6289864664529,18.4153994652138,20.8425734676919
9,Tuscaloosa,AL,3855,14.6282631502138,13.4273505325844,15.8291757678431,38.3527411854088,36.0503777539199,40.6551046168977,53.0344407112351,50.3315407154103,55.7373407070598,18.2092821443663,16.8726739122943,19.5458903764383
10,Anchorage,AK,4044,12.7986347447506,11.6900095710526,13.9072599184487,46.2476805024704,44.0004260426536,48.4949349622872,57.716374292822,55.209921104028,60.2228274816161,18.3717413878721,17.0371733944079,19.7063093813363
11,Mesa,AZ,7543,13.864372496153,13.0201121105715,14.7086328817344,44.2401345086757,42.558254448331,45.9220145690204,66.9484824571223,64.8845349198012,69.0124299944434,20.1674071965642,19.1447482083114,21.190066184817
12,Phoenix,AZ,22039,14.1160699936773,13.6181018511059,14.6140381362486,45.2044717883353,44.2073828449684,46.2015607317023,64.4543255383123,63.2662762910043,65.6423747856203,20.8373844396255,20.229772691407,21.4449961878441
14,Sun City,AZ,4014,14.2949519488911,13.1244787866125,15.4654251111696,47.6729181251818,45.2964988676111,50.0493373827525,70.9344944744434,68.0354850222958,73.833503926591,22.8311823597693,21.3477635618458,24.3146011576927
15,Tucson,AZ,8055,14.0840801300344,13.2617946895973,14.9063655704716,42.7684664913805,41.135144293315,44.4017886894461,60.7341246403763,58.789449774305,62.6787995064476,19.5560914653976,18.584076538022,20.5281063927733
16,Fort Smith,AR,4894,14.6622716296726,13.581465932372,15.7430773269732,46.2309808865576,43.9628258551124,48.4991359180028,59.1561150722112,56.5952966470905,61.7169334973319,20.6666698956959,19.3792833184934,21.9540564728984
18,Jonesboro,AR,3865,17.1231774884372,15.8098173255122,18.4365376513622,53.0325909211707,50.3066482796233,55.758533562718,64.2461628297726,61.2522486375915,67.2400770219538,22.7640592211477,21.2452599492768,24.2828584930186
19,Little Rock,AR,21350,15.3759454055915,14.849411971906,15.9024788392771,44.3442341715335,43.2785779861008,45.4098903569661,60.1903666505956,58.9508085095107,61.4299247916806,20.5038433495649,19.8954299924122,21.1122567067175
21,Springdale,AR,4705,14.3083477540467,13.2208340570035,15.3958614510898,47.0849945920016,44.7610661587651,49.4089230252381,60.8764197741209,58.2353269085067,63.517512639735,21.0493539109117,19.7274028946246,22.3713049271989
22,Texarkana,AR,3530,15.1163254373134,13.8341965772141,16.3984542974127,49.8725218752342,47.0024788573882,52.7425648930802,61.7868333492316,58.6010364482042,64.972630250259,23.3854577211183,21.7906368064204,24.9802786358162
23,Orange County,CA,16104,14.4506542354529,13.8627507826928,15.038557688213,41.6945911180267,40.5135671273267,42.8756151087267,65.0277756463332,63.5479465724677,66.5076047201986,19.27683095684,18.5973583265532,19.9563035871268
25,Bakersfield,CA,6620,15.1503385797738,14.2075320671475,16.0931450924001,46.9383113238419,45.0162334119986,48.8603892356853,66.6328661536072,64.3472517038499,68.9184806033644,22.4402952575735,21.2892080955289,23.591382419618
31,Chico,CA,4893,15.7872268320403,14.6699411370598,16.9045125270207,47.1422655448116,44.9728243636596,49.3117067259637,67.3088556974275,64.7160960827845,69.9016153120705,22.4102011603268,21.0754890593733,23.7449132612803
33,Contra Costa County,CA,5684,14.5434343517747,13.5522138150161,15.5346548885333,39.4587778725952,37.5484398287824,41.369115916408,59.7263964541121,57.3704694015304,62.0823235066937,21.943847963722,20.726368724308,23.1613272031361
43,Fresno,CA,7090,14.8662854723238,13.9657824004183,15.7667885442294,43.8378098632416,42.061968312989,45.6136514134942,65.6158982959616,63.4426613517161,67.7891352402071,21.858445991437,20.764940006498,22.9519519763759
56,Los Angeles,CA,49896,15.4672648591361,15.1230332923736,15.8114964258986,37.1150107810492,36.4647200151678,37.7653015469306,61.4038867047083,60.565275826793,62.2424975826235,18.5642062245835,18.187550050658,18.940862398509
58,Modesto,CA,6647,14.5420176605718,13.6211483820277,15.4628869391158,50.2554370595062,48.273095067741,52.2377790512715,66.3326358247506,64.0573197580212,68.60795189148,21.9424273435419,20.8079068211326,23.0769478659513
62,Napa,CA,2843,12.7989279539554,11.4804423857303,14.1174135221806,43.8088514033853,40.9434876034308,46.6742152033397,64.2339571383066,60.7621317672186,67.7057825093946,21.4043371731723,19.6944808871443,23.1141934592003
65,Alameda County,CA,7273,14.4832489346504,13.6121653928595,15.3543324764413,41.0276364477285,39.2131161607012,42.8421567347558,65.1053825033134,62.8149784169425,67.3957865896844,21.2395640053762,20.1875881066718,22.2915399040806
69,Palm Springs/Rancho Mirage,CA,3112,13.3572461892978,12.0751961555138,14.6392962230819,42.1273694487942,39.5097357538613,44.745003143727,64.1790879774576,60.9483628318017,67.4098131231134,20.0886919288866,18.5112124921523,21.6661713656209
73,Redding,CA,4280,12.5867541404819,11.5191771816893,13.6543310992745,46.8189769769884,44.49114042105,49.1468135329269,64.5821235114607,61.847753346909,67.3164936760124,21.5447584392604,20.1433821142055,22.9461347643153
77,Sacramento,CA,16605,13.5907973009931,13.0288449785494,14.1527496234368,50.164096158393,48.9079935343861,51.4201987823999,65.1760518100245,63.7433343432506,66.6087692767984,20.6288993482336,19.9356891015772,21.3221095948901
