State #,State name,Medicare enrollees (2010),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2010)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2010)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2010)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2010)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2010)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2010)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2010)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2010)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2010)"
1,Alabama,460689,8865.08,10048.35,3865.1,4649.18,2499.87,2632.52,1001.7,1104.88,693.28,770.13,539.12,629.62,280.71,280.9
2,Alaska,46308,8591.04,6976.15,4569.79,3467.89,2161.63,1829.22,1223.83,1092.98,257.49,228.13,132.17,124.45,151.7,151.43
3,Arizona,435526,9185.4,9100.66,4169.75,4160.18,2981.56,2980.8,883.93,859.78,340.08,327.5,563.89,527.83,236.58,233.39
4,Arkansas,324004,8389.97,9378.04,4111.63,4821.72,2199.2,2308.97,985.77,1081.65,487.46,540.71,301.32,322.42,303.02,303.49
5,California,2039490,10557.36,9176.37,5373.79,4477.15,3050.28,2843.01,1064.01,906.26,518.43,445.65,293.06,248.96,254.72,251.77
6,Colorado,291925,8452.96,8553.73,3891.39,4000.86,2258.06,2290.58,1122.24,1100.31,477.41,465.54,379.45,366.72,319.09,324.82
7,Connecticut,346653,10216.79,8972.87,5313.12,4505.3,2894.89,2732.42,1000.07,865.15,612.55,528.54,209.48,164.79,199.78,196.21
8,Delaware,110185,9564.9,9270.95,4494.96,4288.86,2734.96,2723.9,1097.29,1057.7,356.48,341.31,687.59,664.81,216.4,216.09
9,District of Columbia,43261,8943.13,7988.72,4683.79,4027.29,2531.29,2347.54,1096.15,1034.79,304.26,285.9,250.66,232.32,159.02,159.73
10,Florida,1823109,10832.42,11097.49,4344.08,4742.09,3730.92,3609.19,1000.81,1027.23,992.72,1007.23,479.51,429.23,275.62,274.86
