GEOID,HRR name,State,Fee-for-service Medicare beneficiaries*,Average number of contact days with the health care system per beneficiary,Percent of beneficiaries whose predominant provider was a primary care physician,Average number of unique clinicians seen per beneficiary,Percent of beneficiaries having an annual wellness visit,Average number of inpatient days per beneficiary
1,Birmingham,AL,224163,16.1611502777197,60.6867720334695,3.26727355119193,4.48409998766804,4.7069394318736
2,Dothan,AL,47867,16.6386322942914,62.2382906057555,3.36961093676977,3.56034406821945,4.57378202145935
5,Huntsville,AL,69825,16.589300055159,63.5978186731469,3.43286642859676,7.93921851992555,4.5765521199955
6,Mobile,AL,73898,16.3088252384425,51.4429042004502,3.65061751940087,2.85913373831547,4.12682531699799
7,Montgomery,AL,42027,16.5386595164302,62.3341107189202,3.37269580828497,4.03642770123197,4.02898728780905
9,Tuscaloosa,AL,28426,16.528995386524,64.2668928205068,3.47899081327644,19.3211943219948,4.7098787250036
10,Anchorage,AK,50381,11.8541637931014,47.1212853098578,2.6314020546387,7.19899648883663,2.47514470050457
11,Mesa,AZ,74734,19.6979393910979,53.6916907658366,3.89417799193597,16.6548398237717,3.2230531205418
12,Phoenix,AZ,238759,17.7995803069067,51.4568042637683,3.5372577855322,12.9542602536285,3.27333885062816
14,Sun City,AZ,42937,20.6912424263681,53.3265028143202,4.12388512957604,17.9050017150281,2.78322224621784
15,Tucson,AZ,94458,16.9102832504842,52.0319138377762,3.44344395057086,17.0786171056962,2.68956187276335
16,Fort Smith,AR,40068,14.2245149656674,59.6295848396122,2.68395024191386,3.40588796711739,5.16411222988223
18,Jonesboro,AR,28069,14.5549473713916,70.8361982368263,2.84449150313077,5.68757148293961,5.31591406361616
19,Little Rock,AR,186703,15.31875682963,60.2931983971031,2.99295006792426,6.99256779586468,4.64817077705852
21,Springdale,AR,46725,15.6440579905228,56.4362758962877,2.98633288070463,6.94490409338863,4.29582650584848
22,Texarkana,AR,31052,15.0112284322616,56.303750033365,2.99047310259582,4.72001290938688,5.49641059866801
23,Orange County,CA,171091,21.1149107280397,50.633960442488,3.62645950769462,13.987826819109,4.18610541062407
25,Bakersfield,CA,64573,17.8205780504332,59.8793419838782,3.0329704562559,8.38096009390426,4.06271595365308
31,Chico,CA,43379,15.5202362928856,59.5554063844703,3.11300788449553,7.95286988867577,3.84778504431331
33,Contra Costa County,CA,57591,15.8659834543047,47.8257345852483,3.1986047383088,11.4763784303794,3.57347991585737
43,Fresno,CA,76509,16.947971622524,57.2037518540834,3.1337558360542,13.0545129353648,3.80844041711098
56,Los Angeles,CA,470602,20.96999891565,51.3894198831254,3.48175578289444,9.17926029433132,5.55686416157182
58,Modesto,CA,64257,16.3725087624094,60.582410500545,3.09549070029848,6.80633761872013,3.72651509820307
62,Napa,CA,32617,13.5421905608301,55.9914067447383,2.72942752093959,8.96231315792038,3.56895173211916
65,Alameda County,CA,72076,16.3132947714838,49.4968607554353,3.02565844071119,16.1409171924668,4.2046610102184
69,Palm Springs/Rancho Mirage,CA,37476,19.5817480673797,46.2262224719975,3.87878310256284,10.6592685492348,3.1143792110239
73,Redding,CA,49705,15.1405245412528,59.1751093245918,2.70713281197876,10.2802483425955,3.39128215379957
77,Sacramento,CA,167169,16.2977452579204,59.7453525477028,3.07351667593617,10.407841556215,3.29382256688735
78,Salinas,CA,38995,16.6303707403859,57.3777593215661,3.20819713997479,10.4915115190336,3.0188543730022
79,San Bernardino,CA,99741,17.7258713100244,53.3969212270798,2.99076101120595,8.95107617513498,4.76889460660185
80,San Diego,CA,194969,17.1274673354301,48.8716512532718,3.18615083837775,10.6051914384544,3.93612370621143
81,San Francisco,CA,89845,15.363280907155,51.7494956076929,2.98489452586953,12.0178978747889,3.67335739851202
82,San Jose,CA,97935,16.5792000602644,53.3608755514552,3.23834559757326,12.9129685901777,3.42446024049105
83,San Luis Obispo,CA,32304,17.6105977944876,59.2423597959411,3.14916478591838,14.541409678393,2.4007924000797
85,San Mateo County,CA,49955,15.469646947815,46.3952584015115,3.34816668767393,16.5834183475592,2.59673586649291
86,Santa Barbara,CA,44321,17.3064113477379,53.0142979316906,3.33449834321846,14.8344069599145,2.3813170663274
87,Santa Cruz,CA,26439,16.844594611754,53.0671627566963,3.42482354197043,16.1310833863612,2.76510754807777
89,Santa Rosa,CA,37337,16.0377302961717,51.210004530398,2.90064438310594,14.3821002732511,3.11593383660843
91,Stockton,CA,35666,15.6486062882984,56.8839175963287,3.0019791174724,11.4286727218249,4.52369573990326
96,Ventura,CA,64145,19.84532805623,49.6926334116111,3.54748276639096,10.5552064041654,3.25790385890224
101,Boulder,CO,18304,16.5027101378296,49.169632053507,3.57411069703739,21.8499074658783,3.77593303726574
102,Colorado Springs,CO,67087,14.0224571798647,53.7259787675417,2.9730345668613,13.6412686009591,3.50166267520904
103,Denver,CO,139561,15.4389702674681,53.3449813157454,3.19694649367492,13.852006684759,3.95473409540772
104,Fort Collins,CO,30388,15.5673269811092,52.1510395653176,3.35129951324334,14.955237943148,4.22582100815249
105,Grand Junction,CO,30014,11.680570578052,58.0190742999987,2.65629403318786,11.9784871613363,2.45830261826782
106,Greeley,CO,32111,13.7272069845806,57.9841366641295,3.16930141674899,7.93405754308185,4.20172147238119
107,Pueblo,CO,16561,14.788833655607,65.6965581866587,2.999259049267,11.7926723988915,4.35023187195957
109,Bridgeport,CT,59676,19.79679612103,48.5760227125104,3.9205149565951,16.7572977130965,4.79059698156167
110,Hartford,CT,148551,18.2681263531793,54.8138326341129,3.67096313933162,21.0637127352515,5.82931278619383
111,New Haven,CT,142268,19.8166853480874,51.5537693275958,3.89026871095393,20.178627178891,5.59831559121369
112,Wilmington,DE,87831,19.3506438427067,60.7393447302975,3.55505489422812,6.43878316525456,4.19444633727194
113,Washington,DC,236130,17.5352111493598,51.3845883400736,3.60064145653777,10.7143740946076,3.97222033079907
115,Bradenton,FL,41961,21.7080552411289,52.3291772581378,4.09096501057113,13.8380723723281,4.40882619241894
116,Clearwater,FL,53047,20.5614451020935,53.953469659696,4.00927131738927,26.1075659177945,4.99549131334226
118,Fort Lauderdale,FL,265321,24.309333839558,46.704686629027,4.68769234683729,17.6670426856812,4.0251856992764
119,Fort Myers,FL,177214,21.5099707997377,55.2013754081603,4.24228801187645,19.1275142159021,3.87115978103378
120,Gainesville,FL,62480,17.6487841105284,59.2826161357578,3.32388132173222,11.9865049274986,4.98062129678802
122,Hudson,FL,46901,21.5161192134154,57.5363126137891,3.74927421583203,10.849588328529,5.1485709371002
123,Jacksonville,FL,150706,20.5984441513742,57.8891939053717,3.99840541347655,9.75327896710639,5.11562467578348
124,Lakeland,FL,30485,20.7862896649943,58.5798539191529,3.76646975954475,10.3652836899466,5.37047937851336
127,Miami,FL,158263,22.1780130835163,46.8812362700453,4.03419311279721,7.64983998808695,5.19565665306903
