GEOID,HRR name,State,Percent of male beneficiaries age 75 and over having screening PSA,Percent of female beneficiaries age 75 and over having screening mammogram,Percent of decedents enrolled in hospice in the last 3 days of life,Percent of beneficiaries with dementia receiving a feeding tube during the last 6 months of life,Average number of ICU days per decedent during the last 6 months of life
1,Birmingham,AL,23.4782381524636,23.5283245541078,13.9124416903124,6.41247102309983,3.38638320166327
2,Dothan,AL,22.9342527642373,29.0207450368057,13.2242098344588,5.94060862594348,2.29796945968989
5,Huntsville,AL,28.0022628091159,27.3517541136293,14.5071398927173,6.61277264770519,4.73972658554957
6,Mobile,AL,21.7668278455753,23.296768163707,16.4973869416089,6.34300194382274,3.29579428602073
7,Montgomery,AL,26.0686660333831,28.1932336239303,14.6629225695186,7.04348220600488,2.11179555650078
9,Tuscaloosa,AL,22.65625,25.2977608384945,15.4717687432842,4.08151495434586,3.07118078566976
10,Anchorage,AK,13.7426900584795,18.5906617015182,8.14537313637686,,2.01389391561993
11,Mesa,AZ,20.6035066596433,26.9870506809556,22.7718518038266,5.68310025394665,4.34597532727431
12,Phoenix,AZ,19.8581229290148,23.2802660177221,20.1069393560268,5.16342969719803,3.54481227873501
14,Sun City,AZ,23.862455848743,37.2363636363636,25.2446218889323,3.78447217176501,4.99015177187514
15,Tucson,AZ,18.7598158678581,30.9824008405569,20.6923679129681,3.16609547565412,3.58866898971647
16,Fort Smith,AR,17.5510204081633,20.6975888091294,22.9331389020654,6.49171592691037,2.03639576337313
18,Jonesboro,AR,16.6841552990556,19.183014651105,16.4974620544402,6.30128783842984,1.9607388880682
19,Little Rock,AR,19.6405571364385,20.2884071630537,16.7960415970256,6.75187986872713,2.47464662124048
21,Springdale,AR,17.0241898676403,23.4741784037559,19.2593210437315,3.1427724335972,1.58205398325979
22,Texarkana,AR,20.1957462827028,19.9768652400231,17.4846305260299,5.38893570736532,3.35447126658993
23,Orange County,CA,25.4033839008354,22.8722431141376,17.2996096939091,10.7541217621885,5.45589129846718
25,Bakersfield,CA,21.5342849636571,21.6361745089641,14.5883451075741,6.52048508074714,4.01233724336635
31,Chico,CA,17.0587539898333,28.5005048805116,12.0786561481251,3.78262947116325,3.09003299262245
33,Contra Costa County,CA,18.3776816131111,25.6223175965665,15.5037676763176,3.75107127028523,4.03332948469527
43,Fresno,CA,18.6505190311419,24.7104061523672,14.1320196233128,6.6930418543165,3.97593391738281
56,Los Angeles,CA,27.4715528057803,19.5883790925405,12.9208015929337,12.7994921084254,7.12045795784339
58,Modesto,CA,18.8548781516148,22.7800607468287,14.1758348691404,3.9817644099505,4.88956200346397
62,Napa,CA,12.6067700094907,23.4582977164489,10.8098833882442,4.08023242657641,3.91208816167654
65,Alameda County,CA,15.9141874719689,21.4295966700158,12.932410287393,5.4168177393952,4.23180780019874
69,Palm Springs/Rancho Mirage,CA,24.6750061319598,34.170495150587,19.6696111603383,,4.50700537822351
73,Redding,CA,13.0191166776533,24.0213936904116,14.1193237326356,3.66056356561239,2.93211279115862
77,Sacramento,CA,16.0924329348418,25.346973495702,14.0712316640829,4.00742071633342,3.46331590812627
78,Salinas,CA,18.5643564356436,26.1424847958297,12.6005302552879,2.25254466023312,3.54665720928577
79,San Bernardino,CA,19.4939237556184,18.444811556341,15.1273216445456,10.0527547939743,5.04006342713288
80,San Diego,CA,18.0305567182922,20.0148018824958,16.8444376190805,7.75836953286008,4.39732644755103
81,San Francisco,CA,15.4919110501343,19.9693240058359,11.2278924889943,2.85810085146548,3.83873405623504
