GEOID,HRR name,State,Percent of beneficiaries filling prescriptions for high-risk medications,Percent of diabetic beneficiaries age 65-75 receiving recommended tests,Percent of beneficiaries admitted for an ambulatory care-sensitive condition,Percent of beneficiaries readmitted within 30 days following medical discharge
1,Birmingham,AL,25.2806902720906,49.5452913725021,5.22561762676445,15.1473418182229
2,Dothan,AL,27.2718755583862,53.8563127311146,5.36528029944123,14.0178350753279
5,Huntsville,AL,24.3601927043956,48.6592232083214,4.61068046588903,14.8136588567533
6,Mobile,AL,25.0106140509147,46.1501991276313,4.67006499670473,15.0038432205315
7,Montgomery,AL,23.8644114412911,53.0120481927711,4.88725945560397,15.8059620750254
9,Tuscaloosa,AL,24.902988806652,53.9923094322551,5.97086790130403,14.3214387832619
10,Anchorage,AK,16.9552315745245,38.3690987124464,3.57364041145794,14.727699086055
11,Mesa,AZ,17.8799067941171,55.1553449183781,3.51579645495004,14.9847149626184
12,Phoenix,AZ,17.8286799903374,47.0527107894077,3.39887421382,14.592253508573
14,Sun City,AZ,18.3953482589061,60.1218369259606,3.39954498764836,14.8361523060782
15,Tucson,AZ,16.9996018604014,52.4577980677354,2.89675424193492,15.4655158395188
16,Fort Smith,AR,20.8131154649982,43.2567254587565,5.36530486910526,15.6144893724449
18,Jonesboro,AR,20.3690898790416,47.2527472527472,5.58824874838224,16.4470502033794
19,Little Rock,AR,20.645212091543,49.8311688311688,4.88743890605918,16.5299407775601
21,Springdale,AR,17.1845448946088,50.8587786259542,4.25206200329779,15.7347281144282
22,Texarkana,AR,23.5097912093752,46.1403892411983,5.19022440323094,17.2724914126822
23,Orange County,CA,20.9133016943354,53.909486879847,3.02874324501264,15.4522782234784
25,Bakersfield,CA,21.5851548616746,43.3170731707317,4.46939683334065,15.6736366720958
31,Chico,CA,17.837096977965,49.1302588996764,3.78015749203071,15.2401994021542
33,Contra Costa County,CA,18.1826734502826,46.1317537246455,3.25771576526064,15.4224983556015
43,Fresno,CA,18.8586080711395,46.5260651415937,3.83302303854204,15.640028653496
56,Los Angeles,CA,20.9961224739074,50.5604496745776,4.00650338964226,16.3065405229115
58,Modesto,CA,19.245901160893,48.3037496061338,3.51023933282109,15.5673048211585
62,Napa,CA,16.148954789696,45.4142947501581,3.26478214246683,14.1793233564607
65,Alameda County,CA,16.3513886823017,48.5700610266842,3.15774531282705,16.0316258948146
69,Palm Springs/Rancho Mirage,CA,19.1762897836241,49.796046438657,2.88827234526224,13.7944060331857
73,Redding,CA,16.0912508770588,50.9255688391824,3.03869550015939,14.0493413651444
77,Sacramento,CA,17.6722014851696,49.750255115742,3.01519666309559,15.3522079191512
78,Salinas,CA,14.6535832067557,51.0054054054054,2.7981402864522,13.7819606117266
79,San Bernardino,CA,21.1995907091979,44.865474010424,4.0466949294018,16.222997009373
80,San Diego,CA,18.2366820952557,51.1121387283237,3.02247033500578,15.6630503401075
81,San Francisco,CA,15.1693982589991,45.6548498276711,2.95810704377585,14.4367624207526
82,San Jose,CA,17.4111219060081,48.6987282068559,2.6401603366133,15.3953805295838
83,San Luis Obispo,CA,16.6893076197704,54.1636495293266,2.19738754965875,13.1423248027422
85,San Mateo County,CA,13.9447521293264,54.9820788530466,2.17710983706912,15.5566476014229
86,Santa Barbara,CA,15.5911911163737,54.9345182413471,2.27499111559378,12.9189030680239
87,Santa Cruz,CA,16.0779475838875,53.64,2.55319645758574,13.2485934492663
89,Santa Rosa,CA,14.6121613509237,50.3380662609872,2.44195155844894,13.0380279250965
91,Stockton,CA,18.5482941281056,49.1581108829569,3.73466231235607,15.6515425873586
96,Ventura,CA,16.7802955031847,51.6110797060486,2.9965044466734,14.5054832018225
101,Boulder,CO,15.2528193636414,56.259204712813,2.59827514798118,12.6492023954231
102,Colorado Springs,CO,17.7448819524116,46.1978860833823,3.09567667465156,12.8112464384703
103,Denver,CO,15.9631930775354,47.7925718290119,3.08552603097044,14.6481179108209
104,Fort Collins,CO,15.5937393875776,48.7003058103976,3.40408066297658,13.3201327708792
105,Grand Junction,CO,14.1277969206353,47.5839475839476,2.47279851094461,12.1787614966018
