GEOID,HRR name,State,Multiple chronic conditions - Fee-for-service Medicare beneficiaries*,Dementia - Fee-for-service Medicare beneficiaries*,Multiple chronic conditions - Average number of contact days with the health care system per beneficiary,Dementia - Average number of contact days with the health care system per beneficiary,Multiple chronic conditions - Average number of inpatient days per beneficiary,Dementia - Average number of inpatient days per beneficiary,Multiple chronic conditions - Average number of unique clinicians seen per beneficiary,Dementia - Average number of unique clinicians seen per beneficiary,Multiple chronic conditions - Percent of beneficiaries whose predominant provider was a primary care physician,Dementia - Percent of beneficiaries whose predominant provider was a primary care physician,Multiple chronic conditions - Percent of beneficiaries filling prescriptions for high-risk medications,Dementia - Percent of beneficiaries filling prescriptions for high-risk medications
1,Birmingham,AL,52314,25667,29.6645341819886,26.3070295148981,16.8371159065795,22.4138283658028,4.25858661376877,3.39801566028222,66.5315890945071,73.5422770704659,33.4487592444083,31.0564953822036
2,Dothan,AL,10956,4936,30.0439696338034,25.9235265200303,16.2923527908935,21.043803811059,4.40791855165134,3.49948052351465,67.8379981530343,70.6134482407097,36.4646010867803,35.0658667385431
5,Huntsville,AL,15246,7062,30.1408551102268,25.6742786359502,16.693706878614,21.8903943258531,4.77194286067054,3.6904964915081,64.6963024635219,70.9367999853232,31.7092966829534,29.9047756003702
6,Mobile,AL,15793,7721,31.0658078129046,26.7879909314792,15.7965760277691,20.2562471013935,5.0547447415882,4.19319492894801,52.8285348361255,57.1200804114401,35.4314245809038,35.6164680278249
7,Montgomery,AL,9568,5713,31.0313235196528,27.1937678253726,14.9504089986188,17.5581026612088,4.53384193878903,3.81420844483612,66.3137456753754,68.7373076624655,32.2468009817146,30.412535173478
9,Tuscaloosa,AL,6854,3432,30.8083972616429,28.1475841109592,16.8071224240746,20.7283838796066,4.71718104566886,3.98069299266009,65.6604007068144,67.7824758602553,32.9352818990675,31.3250802110514
10,Anchorage,AK,7213,3709,26.901671395109,19.8941377789122,11.5005887492198,9.95941572432785,4.36081349723191,3.32622571224909,58.9874716490345,64.2071837184034,24.8559779988706,22.796128286963
11,Mesa,AZ,14896,5422,37.115143132929,30.7500568772507,11.6507049946911,13.3442623983982,5.89881869399258,4.66438696250944,58.9686335488749,65.4673726022588,23.9509230360923,22.4939651738678
12,Phoenix,AZ,44103,16454,34.6296259068348,28.8463874531559,12.9162087910219,16.2165485292375,5.35616436942405,4.31785254653366,57.8132050517125,66.6949454639675,25.908774701023,23.9072713026022
14,Sun City,AZ,9378,4192,38.5730486852499,33.4265183052131,10.2460680983409,12.3603676913695,6.02752698139401,5.11125848378447,56.7416081726817,67.5380394557652,25.238080271455,22.6281882088478
15,Tucson,AZ,15934,6359,33.7902087115102,27.1509281609866,11.8376588217736,13.690846355269,5.17274933847239,4.06621302613406,58.8706643015148,63.5584423897287,24.554845475527,21.6175018033354
16,Fort Smith,AR,8758,4018,28.5582711704618,25.1444427275273,18.928565523568,24.9734286246427,3.64471728385712,2.85997191661198,66.4829689954756,71.8888442001628,30.802814845478,27.4122318475534
18,Jonesboro,AR,6243,3467,28.5606795910347,25.3838487560152,18.883010148746,23.0441676719942,3.9516000937358,3.23487626595564,78.4551648729977,83.3382899072919,28.7868645462287,24.796027609164
19,Little Rock,AR,40479,18895,30.0742585954854,26.6817128140249,16.8784116445742,22.7766797825584,4.18393694418766,3.28070144803133,65.19082424942,75.0177640246419,29.5276451712526,28.8276528314462
21,Springdale,AR,9568,4476,31.0189680424401,27.3297467166485,16.4740725271414,23.3725212837062,4.51374879801009,3.50549591434969,60.2737492429337,63.1301507709068,25.9761992043292,25.6150490117972
22,Texarkana,AR,7665,3625,29.0462387347526,27.3760868933907,19.19234352702,25.8998538969448,4.09752042344517,3.45016972802928,59.1738943316451,60.9126497796731,34.2540501065486,36.1698611918708
23,Orange County,CA,37190,16670,39.0406095259309,34.3137380133321,15.9033293753811,21.4311889577256,5.16524149045793,4.25239487384231,55.4920282936772,66.8497727267154,27.9662351231002,28.0808535351488
25,Bakersfield,CA,15278,5789,32.885352661689,28.0587818117159,14.0240489878415,19.4173832049085,4.28918407344353,3.53480921110952,63.7975086453059,72.2047190889525,28.979708404977,28.4163822137234
31,Chico,CA,8781,3106,28.7555992543281,23.3370241905182,14.7067773453031,20.2434736678158,4.60154201425199,3.57042603955181,67.0733229626908,74.9760719766089,25.8684857829071,22.9781587879424
33,Contra Costa County,CA,10656,4981,32.5433482447084,25.8933873353188,14.9613834843075,18.0508437859895,4.92788700696156,3.72023083866432,60.5723969336353,72.5750271282638,24.5738205657519,20.9306969713414
43,Fresno,CA,16226,7376,31.6079261525534,25.5718821660882,14.6344808500841,18.4024958662694,4.53442328268817,3.51654290208019,65.5903877953454,74.9981533479754,25.8638514843608,25.2705945354306
56,Los Angeles,CA,119381,54678,38.6768801336084,36.9041073315388,19.5903379778344,27.9137320040943,4.8451722445177,4.18859634221871,59.7212065744221,67.4009367986538,28.2431078484008,27.3322755680709
58,Modesto,CA,14221,5180,29.979014516563,23.9338008956986,13.6484264090545,16.9835806097813,4.37090250072823,3.35770375710275,68.8174669292379,77.0535196847753,27.678057689627,24.4721804385606
62,Napa,CA,5633,2354,28.6899198034458,23.0830851804617,15.2834010912307,18.2264624540232,4.24330608159793,3.31371243387717,67.1301499413644,74.5530547504538,23.7081765114027,24.8709822427374
65,Alameda County,CA,14210,6769,32.8408310283764,27.2807998436779,17.6141447037918,21.3491680373586,4.50941996978317,3.59176050943275,58.9816734816416,68.607954071809,23.1067346277282,20.3454724813646
69,Palm Springs/Rancho Mirage,CA,7163,2935,37.0960652331479,30.7894003401687,12.5967264014861,15.5314261021477,5.59095549900354,4.64140427377174,52.7771906771314,64.4326583931737,26.1772298499794,26.0662762221559
73,Redding,CA,8478,3581,30.9645342173123,24.1472853247934,15.1885610373427,17.9157270799175,4.15845841476754,3.23130650574111,67.6372716278803,76.6585453990229,25.430449939533,23.534429690125
77,Sacramento,CA,32782,14523,30.6498782931123,24.5019522263085,13.1400054383227,15.5718708458988,4.49115466813201,3.55094531162465,69.6928359056476,77.1143848297421,25.9214912127883,23.4742831167775
78,Salinas,CA,7100,3322,31.3678497104678,23.4246112169989,13.0925734738934,15.1015142376015,4.69101460817984,3.53837004096654,63.4161878581539,77.4796009971857,21.0234232823598,21.0246396428895
79,San Bernardino,CA,25162,9279,33.9513859287901,30.7337725392732,16.3116494112129,23.1026253775349,4.38717612428626,3.62324383381537,63.9481857941064,73.5235138602563,28.2328024653831,26.1236527198158
80,San Diego,CA,41029,17189,33.9253788019082,29.4356900488412,15.3144115635661,20.2803390019226,4.90291009200013,3.94906968835757,61.4829509164752,71.8814576302702,25.9321557149042,25.0877354126673
81,San Francisco,CA,16014,8441,31.5232464635621,26.5249409287748,16.3674817114044,17.4280551778162,4.50854792652952,3.62583062432513,65.9541857130596,74.3552367665446,21.1693371216956,19.5283269889644
82,San Jose,CA,17147,7838,32.3021430838254,26.0898639502689,14.8781280834171,17.7837121560736,4.81915736217835,3.69971414042573,58.3738999049976,68.2270549816626,23.9164731673478,21.2902928233443
