GEOID,State name,Fee-for-service Medicare beneficiaries*,Average number of contact days with the health care system per beneficiary,Percent of beneficiaries whose predominant provider was a primary care physician,Average number of unique clinicians seen per beneficiary,Percent of beneficiaries having an annual wellness visit,Average number of inpatient days per beneficiary
1,Alabama,479731,16.3813638391743,60.8237748370739,3.3732104955676,5.52732222769265,4.48767033912471
2,Alaska,50381,11.8541637931014,47.1212853098578,2.6314020546387,7.19899648883663,2.47514470050457
3,Arizona,463872,18.1432758104283,52.1966930997093,3.63014709537874,14.6907050028747,3.10110482822668
4,Arkansas,327226,15.1622193884841,60.7158330732972,2.95263352427489,6.6252393055209,4.64208072295207
5,California,2141909,17.9259648414623,53.0486094009243,3.24302687387599,11.0746397628318,4.08301162568515
6,Colorado,311049,14.7434985342209,55.01281434441,3.13018531063513,14.4521354218952,3.65183664728556
7,Connecticut,339353,19.1051854829494,52.5662932922889,3.80775219943381,20.0616784664191,5.54753622318485
8,Delaware,115151,19.2665397461541,59.9627282510557,3.72014716044924,8.26220667112151,3.91431033063164
9,District of Columbia,44035,16.4005163976963,44.3796404491493,3.39863930271952,10.9656672549038,3.94126989892177
10,Florida,1810231,21.2935587820313,53.9289347545641,4.04936073523832,13.2333610955203,4.58171790964255
11,Georgia,704601,16.7829573970994,56.9422788645856,3.513575994931,12.4236965912486,4.07244170451799
12,Hawaii,82365,16.4850978333199,59.8838970215926,3.04410760974188,3.23338207965043,3.11533240399003
13,Idaho,126762,12.3251669093646,50.4068592127057,2.82400847070012,10.6796787561493,3.28200566678746
14,Illinois,1286007,16.8162866074697,59.2547029449391,3.22381556231325,8.49990201463646,5.24821353256532
15,Indiana,628564,15.5349863829204,58.4924895029196,3.18991730804796,8.64737245798992,5.60338720149818
16,Iowa,362793,13.5413540210939,57.2244644968273,3.01900350056089,7.80482847032728,4.27991873058135
17,Kansas,301935,15.0166016782668,61.9001310963478,3.06447215237038,8.0517548589349,4.49831627051407
18,Kentucky,439346,16.5260420209977,58.8367704828829,3.3069415748901,6.55071615663058,5.69087516502011
19,Louisiana,363767,16.7612949080447,52.720225227837,3.28563141159303,4.67222669056412,5.9955438117372
20,Maine,162920,13.2739354784471,54.7590122961134,2.77546856187501,15.469462951391,3.78483520196135
21,Maryland,557192,17.8954715929949,56.0440948868997,3.60904880298495,9.68670146504715,4.0658311498986
22,Massachusetts,615219,17.9586346237481,56.7752462982748,3.62975196505863,21.9401247335216,5.49318306933592
23,Michigan,927407,16.8017667499901,62.4840003580211,3.25530470221787,14.0930187538995,4.78315834836221
24,Minnesota,286365,12.1365548185811,53.7769456164795,2.84993424194913,8.11916486917871,3.70350581011282
25,Mississippi,316552,15.5474104180704,51.5855542562339,3.26019621825282,6.49320526288993,4.9773879974871
26,Missouri,569222,14.7642313787527,59.2815604157725,3.0851406629102,8.8422342804412,5.20035181271937
27,Montana,116089,11.396204795342,48.2259173720089,2.70084945297983,11.9304438452861,3.21080005069326
28,Nebraska,198296,13.751855567889,60.7534294344367,2.95895950889063,6.45959975462605,4.81417540134132
29,Nevada,184793,17.2753103855219,49.2098862969743,3.21632830159184,8.65724368938033,4.10881396201014
30,New Hampshire,161960,14.139046783243,53.1292077760267,3.21020648395444,13.7409883909287,4.66567079267908
31,New Jersey,878554,21.2466602330329,52.2258380260639,3.6905071638703,11.7403579005033,4.86267331044262
32,New Mexico,162776,13.707555400461,53.5948478917411,2.9757413900451,8.53990198486242,3.23521068517949
33,New York,1429542,21.4742750744729,52.7989889095036,3.73871101239364,12.1031705374779,4.89949840617916
34,North Carolina,936766,16.5230506172726,61.6963264981635,3.61225991557834,13.0895907928847,4.244972240003
35,North Dakota,76245,12.2762960259443,54.4166549071238,2.91590156456292,8.17343352902676,5.42260748776363
36,Ohio,878769,16.4831632862055,61.7456783860878,3.26258843086141,7.66673806485032,5.41002005755895
37,Oklahoma,385309,15.2717661845068,60.0397794590784,2.9182015448722,4.47621983708194,4.39459076351521
38,Oregon,272767,12.8347403505433,54.115884165025,2.7837023669859,9.04472590915805,2.5050644927882
39,Pennsylvania,1021739,17.9595818199729,62.7708405653728,3.31997456557208,7.47378113464609,5.32686920749964
41,Rhode Island,75584,19.3152280479873,58.4406920325567,3.66382297377217,25.5649286396249,4.66417125866269
42,South Carolina,498553,16.9717464483334,61.3833218961944,3.53965359845274,10.9173041745178,4.1367462233612
43,South Dakota,97016,12.4431096613316,56.2885222525146,2.74191839066374,7.26610834765566,4.45806618103654
44,Tennessee,573247,16.5540579268462,57.504661042986,3.32244954472521,10.2545012544858,5.29821768790917
45,Texas,1803863,17.0991800539828,55.9747655973684,3.25746885361216,10.9253997870307,4.88889339438699
46,Utah,137725,13.5119201150976,58.4446562246724,2.90091849634422,10.3407149582475,3.25781798178766
47,Vermont,81526,11.9741094431191,60.460086475391,3.01248371526026,12.6161893809045,3.6252820965076
49,Virginia,760611,16.2621458987421,61.1863681860891,3.48019070733078,9.41924527094394,4.15298893539389
50,Washington,539373,14.1424191987788,55.1509969283741,3.05994186603229,11.1291935050556,3.48999469267849
51,West Virginia,199748,15.1929870837334,61.974525657984,3.00808623649114,3.8013616707791,4.92285548664596
52,Wisconsin,475453,13.8330786109348,57.4383652742475,2.97967651985559,11.3024712088006,4.32048573597766
53,Wyoming,63022,13.2771529328108,48.9606453579847,2.7293673588477,6.84566221483165,3.87744795080332
99,United States,25823281,17.1157270836343,56.8567255260863,3.36084748487227,10.6639237670844,4.62505202185578
