GEOID,State name,Percent of beneficiaries filling prescriptions for high-risk medications,Percent of diabetic beneficiaries age 65-75 receiving recommended tests,Percent of beneficiaries admitted for an ambulatory care-sensitive condition,Percent of beneficiaries readmitted within 30 days following medical discharge
1,Alabama,25.3274453613295,49.9267874903304,5.10012741001004,14.9675642690324
2,Alaska,16.9552315745245,38.3690987124464,3.57364041145794,14.727699086055
3,Arizona,17.6814215917061,49.7016325764684,3.38452307876746,14.9031824337859
4,Arkansas,20.1887469272402,49.2709525084589,4.87776631402743,16.5633692112428
5,California,18.7222682013052,49.5520421084388,3.33717674599673,15.4846206437716
6,Colorado,16.1888762380882,47.9755113399193,2.8947759648022,13.8975355914529
7,Connecticut,14.9165261846785,60.0577106139933,4.12684056451858,15.5181868296349
8,Delaware,17.7459789054143,60.8687738882485,3.90703350933903,14.5898963174998
9,District of Columbia,16.375509175,52.2295321637427,3.35046211032563,15.8436319910447
10,Florida,19.5303663796072,57.9866249815007,4.20317759359492,15.7162741836023
11,Georgia,23.5498885004856,50.6857757777343,4.33289623474894,15.1385045895767
12,Hawaii,21.143929445136,61.7529482310614,2.55166285882659,13.0624323267318
13,Idaho,15.9632867858316,45.3968253968254,2.75357299440193,13.6773455068827
14,Illinois,16.140941303564,52.1083395177959,4.59852323657507,16.0654777269003
15,Indiana,19.3853478221134,45.1637193651242,4.87092674591063,15.0493834454356
16,Iowa,13.1744518153138,60.7796462668612,4.03818311136202,14.514018907546
17,Kansas,17.3117282229578,54.385092440908,4.32806443365157,14.6824542082363
18,Kentucky,24.7784817023351,49.3538498527379,6.19192342637582,16.0899875965789
19,Louisiana,26.1217530784416,47.2244584309133,5.48095563414743,16.1307947837627
20,Maine,14.9599082815674,64.1489301959903,3.94598926116301,14.2625467243517
21,Maryland,17.2636044899846,55.1200688412617,3.87258647648634,
22,Massachusetts,12.6723762323955,65.599772768044,4.43613565673388,15.5396327169636
23,Michigan,15.8726468013759,51.7732631845842,4.57571072596442,15.7931930768861
24,Minnesota,11.6779611324546,60.2871574593326,3.34008980281945,14.8060770249639
25,Mississippi,23.5305305190114,46.2508527836927,5.43310601665606,15.9422056184453
26,Missouri,18.3186098453684,53.0644144020621,4.57298429938254,15.5695060035475
27,Montana,13.9191690039945,48.3016800584368,3.47799988807098,13.8006868362694
28,Nebraska,14.1141913532561,53.3506441625886,4.03245750516104,14.4817586175225
29,Nevada,17.5933493868366,46.7943274456522,3.75994616538566,15.7701197038865
30,New Hampshire,14.164832515063,63.5125936010892,3.74969503530585,14.5224784685686
31,New Jersey,16.6946743360438,55.3460057613245,4.30316024776388,15.9765662900446
32,New Mexico,18.5556544981627,41.2303097451708,3.62321616409315,14.0264551329885
33,New York,15.4803303820291,58.3164521646308,4.18876415559837,15.9898616614149
34,North Carolina,21.3928543127506,57.7416515809584,4.10667820013539,14.9492360526037
35,North Dakota,12.7917850612585,59.5033917829259,4.05624773709813,14.6916645861405
36,Ohio,18.0379524634245,49.9852925109466,4.99435385193085,15.9363895389831
37,Oklahoma,23.4856756842299,45.4721169671221,5.01715397908745,15.7434600735534
38,Oregon,16.8912022087454,53.5688417725686,2.82432761029082,13.6195662134962
39,Pennsylvania,15.2433097570518,56.0923187144977,4.45569060181853,15.2747254098742
41,Rhode Island,13.7970916595774,60.6142621793363,3.98985623438657,15.6385979145787
42,South Carolina,21.1539465889636,53.9411128009098,3.92703739778281,14.9829817960009
43,South Dakota,11.1455790832627,53.0540486236689,4.1091999542544,14.1729894073161
44,Tennessee,23.8384757989482,51.4548201579101,5.02148907151769,15.8474501256255
45,Texas,21.9474201414214,51.3383438559547,4.46189931069931,15.3392637854453
46,Utah,17.263165416867,48.7320837927233,2.6424772100952,12.9172093230671
47,Vermont,13.0732045293613,55.3897799328609,3.64611221705064,13.8529799287149
49,Virginia,18.8170116462892,56.9135153038362,3.92354572514926,15.27869196472
50,Washington,17.2402332524959,53.5560436566719,2.94807751653814,14.5008705332304
51,West Virginia,20.2285716976434,47.1662408931782,6.0502120160729,16.9320076825536
52,Wisconsin,13.3526514425767,59.3361076540137,3.68550277452356,14.5572844905688
53,Wyoming,14.689673517721,38.1585507728104,3.78573143004899,15.0570211369817
99,United States,18.395383603837,53.2055883323232,4.22179059650646,15.4637730154935
