PCSA,PCSA_L,PFIPS_ST,PCSA_ST,P_LAT,P_LON,P_POP_LAT,P_POP_LON,PAREA_SM,PG_DOC,PF_DOC,PI_DOC,PP_DOC,PS_DOC,PO_DOC,PG_FEDDOC,PS_FEDDOC,PO_FEDDOC,PG_NFEDDOC,PS_NFEDDOC,PO_NFEDDOC,PG_IMG,PS_IMG,PO_IMG,PG_CMG,PS_CMG,PO_CMG,PG_NIMG,PS_NIMG,PO_NIMG,PG_LT50DOC,PS_LT50DOC,PO_LT50DOC,PG_GT50DOC,PS_GT50DOC,PO_GT50DOC,PG_F_DOC,PS_F_DOC,PO_F_DOC,PG_M_DOC,PS_M_DOC,PO_M_DOC,PG_RESDOC,PS_RESDOC,PO_RESDOC,P_PRIM4,P_PRIM4RET,PPA_PC,PPA_PC_3SP,PPA_PC_OB,PPA_PC_OTH,PRHC10,PFQHC10,PFQHCGF,PFQHCGF_FT,PFQHCGF_PT,PFQHCGF_YR,PFQHCGF_SO,PFLALGF,PFLALGF_FT,PFLALGF_PT,PFLALGF_YR,PFLALGF_SO,PRHC_HRSA,PSITE_NA,PSITE_IHS,PSITE_SA,PG_ALOC,PF_ALOC,PI_ALOC,PCRG_DOC,PCRF_DOC,PCRI_DOC,PPOP_GDOC,PCRG_ALOC,PCRF_ALOC,PCRI_ALOC,PARG_ALOC,PARF_ALOC,PARI_ALOC,PDNTFED,PDNTNF_ALL,PDNTNF_PRA,PDNTNF_FTP,PDNTNF_PTP,PDNTNF_PTF,PDNTNF_FTF,PDNTNF_HSP,PDNTNF_ORG,PDNTNF_GOV,PDNTNF_RES,PDNTNF_M,PDNTNF_F,PDNTNF_GEN,PDNTNF_PED,PDNTNF_OTH,PDNTNF_A45,PDNTNF_A55,PDNTNF_A65,PDNTNF_65U,PDNTNF_AUK,PPVT_PC10,PPVT_AM10,PPVT_OBG10,PPVT_ED10,PVDEN_10,PVT_PC10,PVT_AM10,PVT_OBGY10,PVT_ED10,PVT_RHC10,PVT_FQHC10,PCR_PC10,PCR_AM10,PCR_OBGY10,PCR_ED10,PCR_RHC10,PCR_FQHC10,PAR_PC10,PAR_AM10,PAR_OBGY10,PAR_ED10,PAR_RHC10,PAR_FQHC10,PHDEN_10,PHOS_10,PHOS_M10,PHOS_S10,PHDAY_10,PHDAY_M10,PHDAY_S10,PHREIM_10,PHREIM_M10,PHREIM_S10,PACS_10,PCRHOS_10,PCRHOS_M10,PCRHOS_S10,PCRDAY_10,PCRDAY_M10,PCRDAY_S10,PCRREIM_10,PCRREI_M10,PCRREI_S10,PCRACS_10,PARHOS_10,PARHOS_M10,PARHOS_S10,PARDAY_10,PARDAY_M10,PARDAY_S10,PARREIM_10,PARREI_M10,PARREI_S10,PARACS_10,PTMDEN_10,PTMORT_10,PCRTMOR_10,PARTMOR_10,PMDEN_10,PMORT_10,PCRMOR_10,PARMOR_10,PHMDEN_10,PHMORT_10,PCRHMOR_10,PARHMOR_10,PCS_PC10,PCS_AM10,PCS_OBGY10,PCS_ED10,PCS_RHC10,PCS_FQHC10,PCSHOS_10,PCSHOS_M10,PCSHOS_S10,PCSDAY_10,PCSDAY_M10,PCSDAY_S10,PCSREIM_10,PCSREI_M10,PCSREI_S10,PCSACS_10,PCSTMOR_10,PCSMOR_10,PCSHMOR_10,PAS_PC10,PAS_AM10,PAS_OBGY10,PAS_ED10,PAS_RHC10,PAS_FQHC10,PASHOS_10,PASHOS_M10,PASHOS_S10,PASDAY_10,PASDAY_M10,PASDAY_S10,PASREIM_10,PASREI_M10,PASREI_S10,PASACS_10,PASTMOR_10,PASMOR_10,PASHMOR_10,PBENE_N10,PFEMALE_P,PMALE_P,PBLACK_P,PNBLACK_P,PHISP_P,PNHISP_P,PWHITE_P,PNWHITE_P,PPCT00_14,PPCT65_UP,PAGE00_14,PAGE15_64,PAGE65_UP,PAGE00_00,PAGE01_02,PAGE03_04,PAGE05_09,PAGE10_14,PAGE15_19,PAGE20_29,PAGE30_39,PAGE40_49,PAGE50_59,PAGE60_64,PAGE65_69,PAGE70_74,PAGE75_79,PAGE80_84,PAGE85_UP,PW00_14,PW15_64,PW65_UP,PB00_14,PB15_64,PB65_UP,PO00_14,PO15_64,PO65_UP,PH00_14,PH15_64,PH65_UP
51001090100,VA00_CHINCOTEAGUE ISLAND,51,VA,3.79460958876,-7.53422848513,3.7928224,-7.5371042,19.31,5,4,1,0,1,0,0,0,0,5,1,0,1,0,0,0,0,0,4,1,0,3,1,0,2,0,0,2,1,0,3,0,0,0,0,0,5,5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,5.0026,3.239,1.3448,170.0102,136.0082,34.002,588.2,170.0971,110.1321,45.727,147.206,95.5722,31.9193,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,83.1711,89.847,11.809,20.4451,718,1814,4046,118,235,41,981,3.9499,7.0585,0.2965,0.3273,57.1031,1366.2953,3.9646,7.0182,0.2742,0.359,57.4776,1470.3304,738,187,129,58,870,544,326,2147630,874949,1272681,27,253.3875,174.7967,78.5908,1178.8618,737.1274,441.7344,2910.0678,1185.5678,1724.5,36.5854,269.5015,191.1867,78.1733,1275.5847,818.4338,455.1473,3077.3007,1316.0642,1743.114,40.1391,824,41,49.7573,56.3532,738,38,51.4905,58.5521,86,-999,-999,-999,0.0742,0.0992,0.0273,0.0214,8.918,43.6225,18.5295,15.39,10.3195,145.4797,104.3713,66.0759,277.3436,145.21,188.7665,7.0409,7.7708,8.3529,-999,0.0744,0.0986,0.0252,0.0234,8.9765,46.944,19.7079,16.8331,10.2647,157.4159,115.8837,68.0822,293.2817,161.1934,190.804,7.7248,8.8009,9.4984,-999,759,0.506,0.494,0.0078,0.9922,0.0167,0.9833,0.9534,0.0466,0.0408,0.2727,365,1774,802,16,50,48,131,120,144,244,256,374,471,285,249,199,164,122,68,344,1682,778,4,15,4,17,77,20,13,34,2
51001090200,VA00_WALLOPS ISLAND,51,VA,3.79240229757,-7.55575215721,3.79292187074,-7.55321260877,139.16,3,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,3,3,1,1,0,0,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,6.0608,2.9388,2.0588,35.3107,11.7702,11.7702,2832,71.3374,34.5898,24.2325,66.6654,32.4793,20.7869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.8131,90.4206,8.6207,25.5452,1278,2408,6357,131,582,203,2734,4.1823,7.2723,0.189,0.4554,158.8419,2139.2801,4.2832,7.4479,0.1847,0.4497,170.7964,1876.3239,1360,470,343,127,2549,1648,901,5890099,2904668,2985431,119,345.5882,252.2059,93.3824,1874.2647,1211.7647,662.5,4330.9551,2135.7853,2195.1699,87.5,348.7764,253.9169,94.8222,1838.3572,1191.4004,646.7597,4239.9391,2084.395,2155.5879,89.4746,1574,77,48.9199,54.3494,1360,67,49.2647,54.1585,214,-999,-999,-999,0.0572,0.0754,0.0165,0.0189,11.1485,40.9137,15.9408,13.6178,8.2863,113.6632,81.9062,50.0527,213.6292,114.4735,141.3039,8.0211,5.5749,6.0186,-999,0.0586,0.0773,0.0161,0.0186,11.9876,35.8846,16.0879,13.7102,8.4141,111.4856,80.5298,48.8635,209.1397,111.7191,138.756,8.2021,6.1937,6.6165,-999,1407,0.5098,0.4902,0.276,0.724,0.039,0.961,0.6738,0.3262,0.0504,0.1829,1448,5494,1554,113,208,208,491,428,506,915,914,1191,1368,600,525,402,287,200,140,837,3701,1187,477,1532,336,134,261,31,106,207,18
51001090600,VA00_ACCOMACK,51,VA,3.77993860363,-7.57655993077,3.77620646195,-7.56848715449,149.79,10,5,3,2,3,1,0,0,0,10,3,1,2,1,0,1,0,0,8,2,1,6,0,0,4,3,1,4,0,0,6,3,1,1,0,0,10.1,10.1,1,1,0,0,1,2,3,1,2,0,3,0,0,0,0,0,1,0,0,0,9.7148,4.5812,3.3062,74.162,37.081,22.2486,1348.4,72.047,33.975,24.5191,67.1368,32.3172,21.2135,1,4,4,4,0,0,0,0,0,0,0,3,1,3,0,1,1,1,2,0,0,83.7691,91.5577,6.7593,28.5948,1822,2721,8007,272,994,836,4458,4.399,7.3002,0.2533,0.5456,458.8364,2446.7618,4.4433,7.4642,0.2761,0.4924,475.2899,2097.6928,1909,599,439,160,3041,2034,1007,5689908,2587161,3102747,122,313.7768,229.9633,83.8135,1592.9806,1065.4793,527.5013,2980.5699,1355.2441,1625.3258,63.9078,291.8131,207.4029,84.5651,1433.1684,933.8503,500.727,2747.423,1185.9454,1580.3662,57.9705,2210,141,63.8009,59.7053,1909,131,68.6223,63.2182,301,-999,-999,-999,0.0491,0.0633,0.0154,0.0173,15.8692,36.6456,12.8206,10.9756,6.626,99.5196,72.6944,42.9881,183.9222,101.2396,119.7835,5.7859,5.373,5.9956,-999,0.0496,0.0647,0.0167,0.0156,16.4382,31.4175,11.9232,9.8988,6.6855,89.5355,63.7138,40.8062,169.5354,88.5926,116.4701,5.2484,5.0281,5.5234,-999,1988,0.5092,0.4908,0.2853,0.7147,0.1485,0.8515,0.6193,0.3807,0.0587,0.181,2512,8532,2440,160,377,366,818,791,752,1603,1475,1705,2093,904,711,513,448,368,400,1338,5146,1867,717,2586,544,457,800,29,702,1286,14
51003010100,VA00_CROZET,51,VA,3.81060988728,-7.8675456109,3.80837851008,-7.86730592161,242.83,5,3,1,1,6,1,0,0,0,5,6,1,0,2,0,0,0,0,5,4,1,4,3,0,1,3,1,3,3,1,2,3,0,2,6,1,6.4,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6109,4.4741,5.7131,30.6636,18.3981,6.1327,3261.2,83.4717,27.4383,35.0371,80.2981,26.5336,32.4865,0,3,3,1,2,0,0,0,0,0,0,2,1,3,0,0,0,2,1,0,0,87.4927,92.0728,13.8804,24.4862,1699,7538,12634,356,768,0,-999,4.4414,7.4408,0.3614,0.452,0,-999,4.4512,7.4341,0.3445,0.4727,0,-999,1864,543,356,187,2149,1336,813,4988651,2221851,2766800,96,291.309,190.9871,100.3219,1152.897,716.7382,436.1588,2676.3149,1191.9802,1484.3348,51.5021,304.7293,202.8659,101.089,1215.2858,765.7327,447.9898,2787.7342,1272.9579,1509.8975,54.8871,2084,90,43.1862,46.6772,1864,86,46.1373,50.2504,220,-999,-999,-999,0.0511,0.0662,0.0192,0.0163,0,-999,12.5013,10.1223,7.3363,92.6651,66.7556,41.6531,175.5085,92.9047,118.4053,5.2564,4.5522,4.9751,-999,0.0512,0.0661,0.0183,0.0171,0,-999,13.0772,10.7519,7.3924,97.6797,71.3189,42.783,182.8152,99.2162,120.4444,5.6019,4.9202,5.4186,-999,1916,0.5156,0.4844,0.0379,0.9621,0.0293,0.9707,0.9165,0.0835,0.0735,0.1457,3330,10601,2375,156,384,414,1177,1199,1021,1397,1795,2555,2758,1075,827,608,420,286,234,2948,9754,2242,114,393,111,268,454,22,136,318,24
51005080100,VA00_CLIFTON FORGE,51,VA,3.77874893291,-8.00067352064,3.77954122675,-7.99454904178,450.93,10,5,2,3,10,2,1,0,0,9,10,2,3,1,1,0,0,0,7,9,1,4,2,0,6,8,2,4,2,2,6,8,0,0,0,0,11,11,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3221,8.2783,6.5234,45.0227,22.5114,9.0045,2221.1,77.989,37.2712,29.37,72.2425,34.6441,24.2715,0,7,7,5,2,0,0,0,0,0,0,6,1,6,0,1,1,2,2,2,0,86.7269,90.5959,11.7211,30.5281,3519,15828,24870,756,2064,275,25,4.5834,7.1529,0.3759,0.5865,78.1472,7.1043,4.6339,7.2249,0.3643,0.6153,79.2787,7.2065,3636,1396,1085,311,7672,5609,2063,10244660,5373246,4871414,356,383.9384,298.4048,85.5336,2110.011,1542.6293,567.3817,2817.5633,1477.7904,1339.7728,97.9098,399.0991,313.9377,86.3214,2205.7294,1629.7476,581.0724,2919.0456,1561.7186,1361.9463,103.3684,4011,189,47.1204,50.7009,3636,172,47.3047,51.2674,375,17,45.3333,49.7707,0.0361,0.0451,0.0137,0.0129,4.7125,1.4209,10.2759,9.0592,4.8502,66.6047,48.0263,29.8671,125.9386,66.8131,84.7954,5.1892,3.4275,3.607,10.9949,0.0365,0.0455,0.0133,0.0135,4.7807,1.4413,10.6816,9.5308,4.8948,69.6262,50.7385,30.5878,130.4746,70.6076,86.1988,5.4785,3.6879,3.9091,12.0712,3764,0.512,0.488,0.0678,0.9322,0.0121,0.9879,0.9076,0.0924,0.0625,0.199,3795,13995,4421,222,439,461,1284,1389,1412,2064,2359,3144,3325,1691,1412,1056,767,616,570,3323,12739,4097,253,981,273,219,275,51,82,157,29
51009010503,VA00_MADISON HEIGHTS,51,VA,3.76055934211,-7.91452271831,3.75220043444,-7.91022314175,472.15,7,6,0,1,0,0,0,0,0,7,0,0,2,0,0,0,0,0,5,0,0,2,0,0,5,0,0,1,0,0,6,0,0,0,0,0,7,7,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,19.586,13.0616,3.3598,22.2011,19.0295,0,4504.2857,62.1186,41.4259,10.6559,59.9492,39.6279,9.5969,0,3,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,1,85.6085,90.2493,17.8571,23.7472,4035,14873,26260,1442,1678,42,684,3.8659,6.688,0.6308,0.4159,10.4089,169.5167,3.9037,6.7695,0.6365,0.4092,10.7719,156.17,4198,1386,1017,369,5982,4100,1882,9998125,5136364,4861761,278,330.1572,242.2582,87.899,1424.9643,976.6556,448.3087,2381.6401,1223.5264,1158.1136,66.222,328.8725,240.3799,88.421,1399.3018,958.3616,440.8713,2341.3169,1196.7004,1144.1932,66.136,5099,217,42.5574,44.7752,4198,181,43.1158,44.8276,901,36,39.9556,45.718,0.031,0.0407,0.0166,0.0102,1.6061,6.4816,8.8683,7.5966,4.5758,64.2553,46.465,28.404,120.5757,64.78,80.0859,3.9717,2.889,3.2048,6.6593,0.0313,0.0412,0.0168,0.01,1.6621,5.9713,8.8338,7.5377,4.603,63.0981,45.5946,27.9328,118.5343,63.3597,79.1233,3.9666,3.0395,3.332,7.6197,4331,0.5232,0.4768,0.1898,0.8102,0.0195,0.9805,0.7676,0.2324,0.0644,0.1648,5502,20833,5195,336,686,707,1742,2031,2387,3772,3459,4476,4694,2045,1650,1302,963,700,580,4042,15972,4187,1011,4078,895,449,783,113,167,407,40
51011040300,VA00_APPOMATTOX,51,VA,3.73722894489,-7.88121179127,3.73599685447,-7.8833952345,333.49,3,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4508,5.889,2.3298,20.0361,13.3574,6.6787,4991,63.1189,39.3308,15.5603,60.1205,37.4375,13.6899,0,2,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,88.4503,92.885,15.8662,25.731,2043,8753,14914,636,936,50,257,4.4347,7.4503,0.5478,0.4581,24.4738,125.7954,4.5023,7.5804,0.5411,0.4589,25.4653,116.8536,2127,839,644,195,3702,2625,1077,6343092,3384672,2958420,165,394.4523,302.7739,91.6784,1740.4795,1234.1326,506.347,2982.1777,1591.2891,1390.8886,77.574,400.0018,307.2111,92.8334,1742.787,1238.9212,504.4858,2980.5539,1592.3584,1388.4847,79.3828,2551,151,59.1925,63.8893,2127,135,63.4697,68.0642,424,16,37.7358,43.5806,0.0466,0.0604,0.0217,0.015,3.4611,7.8469,13.618,11.931,6.5652,89.446,64.5901,39.6277,168.2056,90.0503,111.9605,6.0391,4.817,5.4626,9.434,0.0473,0.0614,0.0215,0.015,3.6013,7.2891,13.8096,12.1058,6.6479,89.5646,64.8407,39.482,168.114,90.1108,111.767,6.1799,5.1992,5.858,10.8951,2205,0.5131,0.4869,0.2008,0.7992,0.0112,0.9888,0.7745,0.2255,0.0667,0.1741,2732,9634,2607,174,319,316,925,998,928,1659,1672,2077,2249,1049,872,644,496,307,288,1927,7517,2153,631,1942,434,174,175,20,48,107,12
51013100900,VA01_ARLINGTON,51,VA,3.88835909306,-7.71042457179,3.88778509136,-7.71035990232,24.79,151,36,87,28,341,46,12,21,2,139,320,44,45,75,12,0,5,1,106,266,34,92,190,27,59,151,19,75,129,26,76,212,20,28,50,17,208.2,208.2,24,6,2,16,0,1,3,2,1,0,3,0,0,0,0,0,0,0,0,0,122.2128,31.211,62.9946,79.421,18.9348,45.7591,1259.1126,64.2799,16.4159,33.1331,71.0924,16.8361,36.5899,15,130,125,106,18,0,1,0,1,0,4,77,44,113,3,9,43,37,20,7,18,67.46,85.3588,16.1906,24.1969,11005,30732,77081,2979,4624,67,36,2.8026,7.0143,0.4643,0.4202,6.0881,3.2712,2.8013,7.033,0.4752,0.4082,6.0237,3.2663,12930,2897,2047,850,13782,9185,4597,28110930,14547506,13563424,479,224.0526,158.314,65.7386,1065.8933,710.3635,355.5298,2174.0858,1125.0971,1048.9887,37.0456,225.613,159.0846,66.5455,1072.8357,712.9653,359.8624,2192.7236,1128.7467,1063.493,37.2338,14670,587,40.0136,39.0771,12930,526,40.6806,40.1165,1740,61,35.0575,34.2117,0.016,0.0252,0.0085,0.0062,0.7438,0.5452,4.1627,3.4991,2.2548,35.9237,26.0597,15.9554,67.4294,36.27,45.0225,1.6927,1.6515,1.7738,4.4886,0.016,0.0253,0.0087,0.006,0.7359,0.5444,4.1917,3.5162,2.2825,36.1576,26.1552,16.1498,68.0074,36.3876,45.6451,1.7013,1.6129,1.7492,4.3804,13762,0.5,0.5,0.0874,0.9126,0.1557,0.8443,0.7125,0.2875,0.037,0.0842,26534,147581,16011,2406,4421,4022,8644,7041,6749,46706,37808,26294,21501,8523,5593,3477,2562,1987,2392,16998,105835,12637,2493,12707,1424,7043,29039,1950,5945,22326,1338
51013103501,VA02_ARLINGTON,51,VA,3.88547814979,-7.70615845148,3.88578064969,-7.7061257771,1.32,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0.1,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7416,2.5088,5.1434,0,0,0,0,75.5752,19.4628,39.9021,81.6055,18.8876,38.1375,3,2,2,2,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,57.757,83.4579,13.3117,20.4673,1065,2419,7245,242,360,-999,-999,2.2808,6.8122,0.3935,0.338,-999,-999,2.2719,6.8158,0.4212,0.3214,-999,-999,1152,266,179,87,1723,942,781,3207498,1242763,1964735,48,230.9028,155.3819,75.5208,1495.6597,817.7083,677.9514,2784.2865,1078.7873,1705.4991,41.6667,225.629,150.2874,75.7525,1453.2914,786.7153,671.929,2727.0348,1038.0823,1699.9963,40.2794,1233,52,42.1736,39.5393,1152,47,40.7986,38.6318,81,-999,-999,-999,0.0463,0.08,0.0253,0.0178,-999,-999,14.1576,11.6138,8.0967,122.4896,89.0908,54.081,229.0041,123.9444,152.1704,6.0141,5.8484,5.9511,-999,0.0461,0.08,0.0271,0.0169,-999,-999,13.8342,11.233,8.1215,119.0198,85.714,53.6006,224.2952,119.2677,151.6794,5.8138,5.4831,5.635,-999,1278,0.5147,0.4853,0.0605,0.9395,0.0812,0.9188,0.7632,0.2368,0.0157,0.1291,1080,10146,1664,132,196,181,368,203,157,3577,2749,1593,1408,662,499,377,297,219,272,781,7778,1279,43,495,242,256,1873,143,133,845,69
51015070300,VA00_MOUNT SIDNEY,51,VA,3.82460999723,-7.88753093506,3.82358516256,-7.89099932439,205.41,8,7,0,1,4,0,1,0,0,7,4,0,0,1,0,0,0,0,8,3,0,4,1,0,4,3,0,2,0,0,6,4,0,0,0,0,7,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5091,13.2804,4.8827,34.6141,30.2873,0,2889,97.3913,57.4609,21.1261,96.4881,56.1816,20.0172,0,7,7,6,1,0,0,0,0,0,0,6,1,6,0,1,3,0,2,2,0,85.0941,91.8556,12.0423,27.7756,2593,10454,18315,658,1255,26,35,4.0551,7.0868,0.4647,0.484,10.027,13.4979,4.0964,7.1071,0.44,0.5226,10.1095,14.4192,2730,799,588,211,3663,2344,1319,7652690,3512112,4140578,163,292.674,215.3846,77.2894,1341.7582,858.6081,483.1502,2803.1832,1286.4879,1516.6952,59.707,310.2288,233.4635,77.6172,1443.3308,942.6473,499.8239,2959.7896,1411.4209,1544.8458,64.8897,3142,134,42.648,46.8539,2730,119,43.5897,48.0171,412,15,36.4078,41.9456,0.0395,0.0523,0.0181,0.0137,1.9665,2.2816,10.3541,8.8823,5.3208,75.7278,54.4117,34.2914,144.1036,75.7399,97.7996,4.6766,3.6842,3.9959,9.4004,0.0399,0.0524,0.0172,0.0148,1.9826,2.4373,10.9751,9.6279,5.3434,81.4604,59.7374,35.4748,152.1542,83.0951,99.6148,5.0826,4.0476,4.4017,10.8303,2796,0.4926,0.5074,0.0273,0.9727,0.0336,0.9664,0.941,0.059,0.0659,0.1392,4239,15655,3218,237,524,489,1466,1523,1555,2506,2872,3640,3639,1443,1131,773,602,406,306,3900,14706,3142,68,517,46,271,432,30,279,485,13
