zipcode12,hsanum,hsacity,hsastate,hrrnum,hrrcity,hrrstate
20101,49046,Reston,VA,426,Arlington,VA
20102,49046,Reston,VA,426,Arlington,VA
20103,49046,Reston,VA,426,Arlington,VA
20104,49046,Reston,VA,426,Arlington,VA
20105,49028,Leesburg,VA,426,Arlington,VA
20106,49060,Warrenton,VA,426,Arlington,VA
20108,49033,Manassas,VA,426,Arlington,VA
20109,49033,Manassas,VA,426,Arlington,VA
20110,49033,Manassas,VA,426,Arlington,VA
20111,49033,Manassas,VA,426,Arlington,VA
20112,49033,Manassas,VA,426,Arlington,VA
20113,49033,Manassas,VA,426,Arlington,VA
20115,49060,Warrenton,VA,426,Arlington,VA
20116,49060,Warrenton,VA,426,Arlington,VA
20117,49028,Leesburg,VA,426,Arlington,VA
20118,49028,Leesburg,VA,426,Arlington,VA
20119,49060,Warrenton,VA,426,Arlington,VA
20120,49013,Fairfax,VA,426,Arlington,VA
20121,49013,Fairfax,VA,426,Arlington,VA
20122,49013,Fairfax,VA,426,Arlington,VA
20124,49013,Fairfax,VA,426,Arlington,VA
20128,49060,Warrenton,VA,426,Arlington,VA
20129,49028,Leesburg,VA,426,Arlington,VA
20130,49063,Winchester,VA,435,Winchester,VA
20131,49028,Leesburg,VA,426,Arlington,VA
20132,49028,Leesburg,VA,426,Arlington,VA
20134,49028,Leesburg,VA,426,Arlington,VA
20135,49063,Winchester,VA,435,Winchester,VA
20136,49033,Manassas,VA,426,Arlington,VA
20137,49060,Warrenton,VA,426,Arlington,VA
20138,49060,Warrenton,VA,426,Arlington,VA
20139,49060,Warrenton,VA,426,Arlington,VA
20140,49060,Warrenton,VA,426,Arlington,VA
20141,49028,Leesburg,VA,426,Arlington,VA
20142,49028,Leesburg,VA,426,Arlington,VA
20143,49033,Manassas,VA,426,Arlington,VA
20144,49060,Warrenton,VA,426,Arlington,VA
20146,49046,Reston,VA,426,Arlington,VA
20147,49028,Leesburg,VA,426,Arlington,VA
20148,49028,Leesburg,VA,426,Arlington,VA
20149,49028,Leesburg,VA,426,Arlington,VA
20151,49013,Fairfax,VA,426,Arlington,VA
20152,49013,Fairfax,VA,426,Arlington,VA
20153,49013,Fairfax,VA,426,Arlington,VA
20155,49033,Manassas,VA,426,Arlington,VA
20156,49033,Manassas,VA,426,Arlington,VA
20158,49028,Leesburg,VA,426,Arlington,VA
20159,49028,Leesburg,VA,426,Arlington,VA
20160,49028,Leesburg,VA,426,Arlington,VA
20163,49046,Reston,VA,426,Arlington,VA
20164,49046,Reston,VA,426,Arlington,VA
20165,49028,Leesburg,VA,426,Arlington,VA
20166,49046,Reston,VA,426,Arlington,VA
20167,49046,Reston,VA,426,Arlington,VA
20168,49033,Manassas,VA,426,Arlington,VA
20169,49033,Manassas,VA,426,Arlington,VA
20170,49046,Reston,VA,426,Arlington,VA
20171,49046,Reston,VA,426,Arlington,VA
20172,49046,Reston,VA,426,Arlington,VA
20175,49028,Leesburg,VA,426,Arlington,VA
20176,49028,Leesburg,VA,426,Arlington,VA
20177,49028,Leesburg,VA,426,Arlington,VA
20178,49028,Leesburg,VA,426,Arlington,VA
20180,49028,Leesburg,VA,426,Arlington,VA
20181,49033,Manassas,VA,426,Arlington,VA
20182,49033,Manassas,VA,426,Arlington,VA
20184,49063,Winchester,VA,435,Winchester,VA
20185,49063,Winchester,VA,435,Winchester,VA
20186,49060,Warrenton,VA,426,Arlington,VA
20187,49060,Warrenton,VA,426,Arlington,VA
20188,49060,Warrenton,VA,426,Arlington,VA
20190,49046,Reston,VA,426,Arlington,VA
20191,49046,Reston,VA,426,Arlington,VA
20192,49046,Reston,VA,426,Arlington,VA
20194,49046,Reston,VA,426,Arlington,VA
20195,49046,Reston,VA,426,Arlington,VA
20197,49028,Leesburg,VA,426,Arlington,VA
20198,49060,Warrenton,VA,426,Arlington,VA
20330,49003,Arlington,VA,426,Arlington,VA
20625,49057,Tappahannock,VA,431,Richmond,VA
22003,49014,Falls Church,VA,426,Arlington,VA
22009,49014,Falls Church,VA,426,Arlington,VA
22015,49014,Falls Church,VA,426,Arlington,VA
22025,49065,Woodbridge,VA,426,Arlington,VA
22026,49065,Woodbridge,VA,426,Arlington,VA
22027,49014,Falls Church,VA,426,Arlington,VA
22030,49014,Falls Church,VA,426,Arlington,VA
22031,49014,Falls Church,VA,426,Arlington,VA
22032,49014,Falls Church,VA,426,Arlington,VA
22033,49013,Fairfax,VA,426,Arlington,VA
22034,49014,Falls Church,VA,426,Arlington,VA
22035,49013,Fairfax,VA,426,Arlington,VA
22036,49014,Falls Church,VA,426,Arlington,VA
22037,49014,Falls Church,VA,426,Arlington,VA
22038,49014,Falls Church,VA,426,Arlington,VA
22039,49014,Falls Church,VA,426,Arlington,VA
22040,49014,Falls Church,VA,426,Arlington,VA
22041,49003,Arlington,VA,426,Arlington,VA
22042,49014,Falls Church,VA,426,Arlington,VA
22043,49014,Falls Church,VA,426,Arlington,VA
22044,49003,Arlington,VA,426,Arlington,VA
22046,49014,Falls Church,VA,426,Arlington,VA
22060,49002,Alexandria,VA,426,Arlington,VA
22066,49046,Reston,VA,426,Arlington,VA
22067,49014,Falls Church,VA,426,Arlington,VA
22079,49002,Alexandria,VA,426,Arlington,VA
22081,49014,Falls Church,VA,426,Arlington,VA
22082,49014,Falls Church,VA,426,Arlington,VA
22101,49014,Falls Church,VA,426,Arlington,VA
22102,49014,Falls Church,VA,426,Arlington,VA
22103,49014,Falls Church,VA,426,Arlington,VA
22106,49014,Falls Church,VA,426,Arlington,VA
22107,49014,Falls Church,VA,426,Arlington,VA
22108,49014,Falls Church,VA,426,Arlington,VA
22109,49014,Falls Church,VA,426,Arlington,VA
22116,49014,Falls Church,VA,426,Arlington,VA
22118,49014,Falls Church,VA,426,Arlington,VA
22119,49014,Falls Church,VA,426,Arlington,VA
22121,49002,Alexandria,VA,426,Arlington,VA
22122,49002,Alexandria,VA,426,Arlington,VA
22124,49014,Falls Church,VA,426,Arlington,VA
22125,49065,Woodbridge,VA,426,Arlington,VA
22134,49065,Woodbridge,VA,426,Arlington,VA
22135,49065,Woodbridge,VA,426,Arlington,VA
22150,49014,Falls Church,VA,426,Arlington,VA
22151,49014,Falls Church,VA,426,Arlington,VA
22152,49014,Falls Church,VA,426,Arlington,VA
22153,49014,Falls Church,VA,426,Arlington,VA
22158,49014,Falls Church,VA,426,Arlington,VA
22159,49014,Falls Church,VA,426,Arlington,VA
22160,49014,Falls Church,VA,426,Arlington,VA
22161,49014,Falls Church,VA,426,Arlington,VA
22172,49065,Woodbridge,VA,426,Arlington,VA
22180,49014,Falls Church,VA,426,Arlington,VA
22181,49014,Falls Church,VA,426,Arlington,VA
22182,49014,Falls Church,VA,426,Arlington,VA
22183,49014,Falls Church,VA,426,Arlington,VA
22185,49014,Falls Church,VA,426,Arlington,VA
22191,49065,Woodbridge,VA,426,Arlington,VA
22192,49065,Woodbridge,VA,426,Arlington,VA
22193,49065,Woodbridge,VA,426,Arlington,VA
22194,49065,Woodbridge,VA,426,Arlington,VA
22195,49065,Woodbridge,VA,426,Arlington,VA
