State #,State name,Medicare enrollees (20% sample) (2007),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2007)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2007)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2007)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2007)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2007)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2007)"
1,Alabama,94649,8174.37,9274.11,3796.88,4484.82,2224.43,2417.03,773.65,845.62,530.42,584.34,597.94,698.61,272.67,271.03
2,Alaska,8101,7336.45,6181.93,4064.18,3134.17,1734.13,1664.1,911.05,806.04,253.87,224.67,163.21,151.51,164.3,162.22
3,Arizona,80993,7984.79,7941,3719.27,3749.82,2626.98,2594.46,643.53,641.42,235.17,232.84,543.59,508.44,211.51,208.68
4,Arkansas,63231,7771.52,8565.5,3988.92,4514.18,2050.04,2183.37,809.91,887.95,371.33,413.04,261.99,278.71,287.89,287.42
5,California,388965,9092.06,8020.72,4595.15,3898.36,2718.93,2532.6,846.75,741.55,455.32,402.86,231.47,202.62,244.34,240.78
6,Colorado,55068,7529.13,7600.76,3589.08,3709.42,2075.83,2055.33,846.31,834.44,344.18,338.55,330.37,318.15,339.63,342.51
7,Connecticut,73622,9125.23,7965.93,4855.45,4086.25,2590.95,2388.82,812.27,728.62,507.84,454.87,178.79,135,184.88,182.97
8,Delaware,20639,8504.83,8365.01,4178.28,4082.6,2523.22,2519.31,897.09,878.75,312.44,304.83,393.49,378.55,202.11,201.99
9,District of Columbia,8741,8013.97,7028.05,4180.08,3584.94,2451,2158.2,907.24,846.59,236.68,220.02,211.1,183.72,131.83,132.52
10,Florida,368323,9584.73,9784.91,3860.34,4159.52,3290.29,3222.33,868.65,879.06,840.41,845.34,406.46,361.36,306.68,305.84
11,Georgia,141634,7850.81,8234.71,3637.3,3906.75,2293.21,2358.64,875.05,907.86,405.6,420.08,394.9,396.74,252.67,251.72
12,Hawaii,17166,6230.56,6249.32,3030.67,3032.17,1812.3,1870.04,904.44,885.68,132.28,129.76,229.75,199.33,122.4,119.56
13,Idaho,24994,6470.61,6789.19,3009.46,3131.1,1518.88,1612.38,1016.3,1064.24,345.27,359.79,309.15,347.39,275.23,279.47
14,Illinois,244788,8734.57,8700.93,4501.23,4565.27,2256.17,2196.15,1001.78,993.1,528.93,509.69,230.92,221.65,215.48,214.5
15,Indiana,129815,7943.15,8568.07,4089.73,4393.08,1989.7,2263.54,1042.28,1068.24,328.38,335.2,244.1,253.27,246.59,248.84
16,Iowa,71267,6604.92,7125.31,3210.42,3526.02,1602.5,1732.51,1142.7,1196.83,166,174.23,256.24,264.65,228.91,231.79
