HRR #,HRR label,Medicare Enrollees (CMHS 5% Sample) (1998),Total Medicare reimbursements per enrollee (Part A and B) (1998),Total Part A Medicare reimbursements per enrollee (1998),Total Part B Medicare reimbursements per enrollee (1998),Medicare reimbursements for inpatient short stays per enrollee (1998),Medicare reimbursements for inpatient long stays per enrollee (1998),Medicare reimbursements for outpatient services per enrollee (1998),Part B Medicare reimbursements for professional & laboratory services per enrollee (1998),Part B Medicare reimbursements for medical & surgical services per enrollee (1998),Part B Medicare reimbursements for medical care per enrollee (1998),Part B Medicare reimbursements for surgical services per enrollee (1998),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (1998)",Part B Medicare reimbursements for durable medical equipment per enrollee (1998),Medicare reimbursements for home health services per enrollee (1998),Medicare reimbursements for hospice services per enrollee (1998),Medicare reimbursements for skilled nursing facilities per enrollee (1998)
1,AL-Birmingham,11883.6387786865,5941.46918900704,3632.62136637635,2308.83847400312,2784.17329127072,111.175683599976,425.092315609177,1191.02971754845,905.280963843857,562.585912331345,343.187710698405,285.792605670384,187.975309995138,482.983097521043,77.635781062814,427.55400108689
2,AL-Dothan,2231.83093261719,5239.20279991738,3117.97565889032,2121.15806003034,2168.42545449985,-152.989663463661,375.993189467842,1085.88811868794,870.943421011678,525.728656496417,346.203019060293,214.673653611055,183.058594713873,384.267229622323,-289.630050396962,297.295489902104
5,AL-Huntsville,2715.32833862305,4936.88299590201,2821.02287771524,2112.04105927238,2164.6109625717,-112.032133010903,401.518807783222,1104.21595023243,819.954768985471,523.82700832729,295.996534005287,284.0124783956,165.967041808738,350.766023280353,59.8637013160918,290.525965988021
6,AL-Mobile,3614.74139404297,6566.87385637483,4019.64981730949,2547.23201083367,2923.90859792638,137.253903758071,457.704682567597,1165.74103707685,910.873065120839,574.879830782335,336.390166916466,254.713435544838,192.06889783462,734.057477104117,150.148643901901,484.213474727606
7,AL-Montgomery,2275.99714660645,5666.20972435864,3471.66718329024,2194.34202308915,2508.78994245988,-164.639340613945,291.634888753983,1240.06988767091,930.810255461197,591.066389699483,340.498512737448,309.676328242666,175.494396489254,350.736591215554,-214.516701222295,398.974367740327
9,AL-Tuscaloosa,1413.83116149902,5486.33628615754,3251.84942784933,2234.4730925471,2593.63754566499,-67.6505009397232,369.623956281366,1141.96459876617,852.640478962615,528.049264810262,325.604530083198,289.61035461402,128.021014798645,526.919428608908,-114.222473858386,283.929706716092
10,AK-Anchorage,1442.9984588623,6124.47373678466,3821.25510327352,2306.52941563698,3088.38351446826,,884.096960857053,985.046045668449,753.821167548038,449.166106039334,302.559664131544,231.207678820671,103.128274846004,365.202718669045,,320.85846569827
11,AZ-Mesa,2292.49279785156,5707.32071575035,3409.72593680276,2297.30528859007,2489.43963151188,-71.2853249677121,314.059466995798,1379.44143347153,1008.29943098621,609.943869114069,397.437044603743,370.862247646446,133.320572503442,296.715647993047,-144.91351870882,539.473421044639
12,AZ-Phoenix,7907.5606842041,5704.58727349018,3435.82932539611,2268.01773992417,2482.4857823517,154.9852022208,405.567650983131,1273.14433312246,939.691602518728,573.506197484686,365.000760857847,333.034861820934,138.6448703748,332.787073021109,125.123738372486,491.230628952525
14,AZ-Sun City,2106.99520874023,5176.58162153099,2931.4529662854,2245.95951534757,2273.28473029762,-54.9161459796949,275.60677747727,1488.86249974564,1060.40443557376,641.973871855414,417.809579693419,428.59145691635,75.4328504042977,159.809595161044,-109.940559162351,372.28984190571
15,AZ-Tucson,3199.48880004883,5274.19039566814,3150.42588104694,2123.84277016076,2098.68265222929,319.15584092188,445.402588304657,1185.52296305509,913.245684642177,584.683797141766,328.457340372068,272.291532898376,105.28987860009,297.140067090228,133.362924692567,418.703890984516
16,AR-Fort Smith,1998.24613952637,5576.91706185529,3269.40596370607,2306.14494628812,2418.51904859882,-264.4215569959,457.82601500349,1015.30109726675,796.23159947179,508.179206455198,287.862896634539,219.258587459514,185.103406791368,776.023795423552,-63.1526771774253,184.311447428195
