Provider ID,Hospital Name,City,State,Number of deaths among cancer patients assigned to hospital (2003-07),Point estimate - Percent of cancer patients dying in hospital (2003-07),Lower conf. Limit - Percent of cancer patients dying in hospital (2003-07),Upper conf. Limit - Percent of cancer patients dying in hospital (2003-07),Point estimate - Percent of cancer patients admitted to hospital during the last month of life (deaths 2003-07),Lower conf. Limit - Percent of cancer patients admitted to hospital during the last month of life (deaths 2003-07),Upper conf. Limit - Percent of cancer patients admitted to hospital during the last month of life (deaths 2003-07),Point estimate - Hospital days per cancer patient during the last month of life (deaths 2003-07),Lower conf. Limit - Hospital days per cancer patient during the last month of life (deaths 2003-07),Upper conf. Limit - Hospital days per cancer patient during the last month of life (deaths 2003-07),Point estimate - Percent of cancer patients admitted to intensive care during the last month of life (deaths 2003-07),Lower conf. Limit - Percent of cancer patients admitted to intensive care during the last month of life (deaths 2003-07),Upper conf. Limit - Percent of cancer patients admitted to intensive care during the last month of life (deaths 2003-07),Point estimate - ICU days per cancer patient during the last month of life (deaths 2003-07),Lower conf. Limit - ICU days per cancer patient during the last month of life (deaths 2003-07),Upper conf. Limit - ICU days per cancer patient during the last month of life (deaths 2003-07),Point estimate - Percent of cancer patients receiving life-sustaining treatment during the last month of life (deaths 2003-07),Lower conf. Limit - Percent of cancer patients receiving life-sustaining treatment during the last month of life (deaths 2003-07),Upper conf. Limit - Percent of cancer patients receiving life-sustaining treatment during the last month of life (deaths 2003-07),Point estimate - Percent of cancer patients receiving chemotherapy during the last two weeks of life (deaths 2003-07),Lower conf. Limit - Percent of cancer patients receiving chemotherapy during the last two weeks of life (deaths 2003-07),Upper conf. Limit - Percent of cancer patients receiving chemotherapy during the last two weeks of life (deaths 2003-07),Point estimate - Percent of cancer patients enrolled in hospice during the last month of life (deaths 2003-07),Lower conf. Limit - Percent of cancer patients enrolled in hospice during the last month of life (deaths 2003-07),Upper conf. Limit - Percent of cancer patients enrolled in hospice during the last month of life (deaths 2003-07),Point estimate - Hospice days per cancer patient during the last month of life (deaths 2003-07),Lower conf. Limit - Hospice days per cancer patient during the last month of life (deaths 2003-07),Upper conf. Limit - Hospice days per cancer patient during the last month of life (deaths 2003-07),Point estimate - Percent of cancer patients enrolled in hospice during the last three days of life (deaths 2003-07),Lower conf. Limit - Percent of cancer patients enrolled in hospice during the last three days of life (deaths 2003-07),Upper conf. Limit - Percent of cancer patients enrolled in hospice during the last three days of life (deaths 2003-07),Point estimate - Percent of cancer patients seeing ten or more physicians during the last six months of life (deaths 2003-07),Lower conf. Limit - Percent of cancer patients seeing ten or more physicians during the last six months of life (deaths 2003-07),Upper conf. Limit - Percent of cancer patients seeing ten or more physicians during the last six months of life (deaths 2003-07)
490004,Rockingham Memorial Hospital,Harrisonburg,VA,93,30.6503,21.2957,44.1141,50.1813,37.813,66.5953,3.5283,2.2831,4.7735,,,,,,,,,,,,,60.3811,46.4625,78.4693,13.2361,10.9833,15.4889,,,,44.0356,32.1684,60.2808
490005,Winchester Medical Center,Winchester,VA,185,33.7459,26.4053,43.1271,59.2602,49.1926,71.3883,4.1342,3.2508,5.0175,7.8974,4.7601,13.1022,0.1627,-0.3235,0.649,,,,6.0267,3.4204,10.6192,57.9129,47.8643,70.0712,11.65,10.0518,13.2482,5.7914,3.2059,10.4621,32.7942,25.5095,42.159
490007,Sentara Norfolk General Hospital,Norfolk,VA,136,34.294,25.7571,45.6602,60.7166,48.8896,75.4048,5.7717,4.7413,6.8022,25.9805,18.733,36.032,1.9519,1.3848,2.5191,8.5714,4.9736,14.772,,,,38.0906,28.9423,50.1307,6.1093,4.2451,7.9735,,,,61.3135,49.6726,75.6824
490009,University of Virginia Medical Center,Charlottesville,VA,227,30.6552,24.3649,38.5695,58.3058,49.248,69.0296,5.1169,4.3194,5.9144,25.6728,19.9275,33.0744,1.1974,0.7585,1.6364,12.2202,8.5391,17.4882,4.1255,2.2834,7.4536,51.2766,42.7042,61.5698,10.2432,8.8004,11.686,,,,50.4773,42.0336,60.6172
490011,Bon Secours DePaul Medical Center,Norfolk,VA,100,25.1732,17.0056,37.2637,66.1774,51.9824,84.2488,5.7615,4.5603,6.9627,22.0024,14.4832,33.4251,0.7447,0.0836,1.4059,,,,,,,41.7108,30.8194,56.4511,6.655,4.4817,8.8283,,,,52.4395,39.8423,69.0197
490017,Maryview Medical Center,Portsmouth,VA,121,24.1208,16.8596,34.5092,57.6726,45.6939,72.7917,3.8376,2.7453,4.93,12.6773,7.7643,20.6992,0.138,-0.4633,0.7392,8.075,4.4689,14.5909,,,,58.6249,46.2907,74.2455,10.4469,8.4706,12.4232,,,,55.9914,44.0529,71.1653
490018,Augusta Health Care,Fishersville,VA,111,23.4981,15.9965,34.5176,64.1321,50.9795,80.6781,4.1561,3.0162,5.296,15.3375,9.533,24.6762,0.4771,-0.1503,1.1045,,,,,,,54.1399,42.0306,69.7379,8.4482,6.3859,10.5106,,,,41.9976,31.1414,56.6383
490021,Centra Health,Lynchburg,VA,234,37.3061,30.298,45.9353,66.8282,57.2254,78.0423,5.6502,4.8646,6.4358,22.5706,17.281,29.4792,0.6622,0.2298,1.0946,5.3591,3.1104,9.2336,6.8134,4.1715,11.1287,35.9721,29.0045,44.6135,6.5688,5.1475,7.9901,,,,40.3199,32.7471,49.644
490022,Mary Washington Hospital,Fredericksburg,VA,181,33.6055,26.1935,43.115,56.3628,46.5011,68.3159,5.6647,4.7717,6.5577,21.4798,15.7517,29.2911,1.3067,0.8152,1.7982,10.1616,6.4784,15.9391,,,,47.3689,38.2912,58.5988,9.0713,7.4557,10.6868,,,,57.6725,47.4859,70.0444
490024,Carilion Medical Center,Roanoke,VA,244,39.3722,32.2878,48.0111,65.4686,56.0867,76.4198,6.6265,5.857,7.396,33.379,26.906,41.4093,2.0599,1.6364,2.4835,6.4951,3.9769,10.6078,5.5756,3.2997,9.4215,44.2491,36.6039,53.4911,7.5513,6.1592,8.9434,4.9424,2.8056,8.7067,52.0669,43.7095,62.0223
