stepnum,step,param,value
1,MAKE DENOM,-- DENOMINATOR --,---
1,MAKE DENOM,years:,2006-2013
1,MAKE DENOM,pct data:,100 (segs: 1 2 3 4 5)
1,MAKE DENOM,age range:,65-99 (ageby: 31Dec)
1,MAKE DENOM,Part A min req:,0
1,MAKE DENOM,Part B min req:,FULL
1,MAKE DENOM,...A/B definition:,in ('2' 'B' '3' 'C')
1,MAKE DENOM,max HMO:,0
1,MAKE DENOM,...HMO definition:,not in ('0' '4')
1,MAKE DENOM,Part D min req:,0
1,MAKE DENOM,low income subsidy def:,in ('01' '02' '03' '04' '05' '06' '07' '08')
2,GET EVENTS,--- EVENTS ---,---
2,GET EVENTS,event files used:,OP
2,GET EVENTS,pct data:,100 (segs: 1 2 3 4 5)
2,GET EVENTS,confirm visit setting:,1
2,GET EVENTS,year range:,2006-2013
2,GET EVENTS,ICD Dx code data source(s):,O
2,GET EVENTS,CPT code data source(s):,O
2,GET EVENTS,--- CPT codes ---,---
2,GET EVENTS,46083,oc1
2,GET EVENTS,46221,oc2
2,GET EVENTS,46250,oc1
2,GET EVENTS,46255,oc1
2,GET EVENTS,46257,oc1
2,GET EVENTS,46260,oc1
2,GET EVENTS,46261,oc1
2,GET EVENTS,--- ICD codes ---,---
2,GET EVENTS,4550-4560,rodx
3,CREATE RATES,--- RATES ---,---
3,CREATE RATES,geo level:,HRR
3,CREATE RATES,rate multiplier:,1000
3,CREATE RATES,adjusters:,AGE SEX RACE
3,CREATE RATES,stratification:,NONE
3,CREATE RATES,--- AGE format ---,---
3,CREATE RATES,LOW-70,ageLT70
3,CREATE RATES,70-75,age70_74
3,CREATE RATES,75-80,age75_79
3,CREATE RATES,80-85,age80_84
3,CREATE RATES,85-HIGH,age85plus
3,CREATE RATES,--- RACE format ---,---
3,CREATE RATES,2,raceB
3,CREATE RATES,**OTHER**,raceOth
