HRR Name,State,Percent of population that is obese (BMI of 30 or more) (2010),Percent of Medicare beneficiaries with type II diabetes (2010-11),"Bariatric surgery per 100,000 Medicare beneficiaries (2007-11)",Percent having primary care visit within 30 days following bariatric surgery (2007-11),Percent readmitted within 30 days following bariatric surgery (2007-11)
Birmingham,AL,31.6999999880791,24.7171889145166,48.7862888911995,34.3025374275203,4.79369118755525
Dothan,AL,32.5999999046326,25.6475487952383,25.0563945734327,41.0720660548357,
Huntsville,AL,30.7999999523163,24.5345578120995,44.3748140911266,49.2129170264187,
Mobile,AL,30.0999999642372,23.2657734435952,60.6700965123969,35.0411427600039,8.90265871199129
Montgomery,AL,32.7999999523163,23.2201972460386,28.0856424256784,39.6517641383626,
Tuscaloosa,AL,33.1999999284744,25.1017851229586,53.8733103822291,36.0075507677725,
Anchorage,AK,27.7999999523163,18.3634259113726,35.8193756260685,46.8122275968128,
Mesa,AZ,23.3999999761581,20.9510693960904,32.6388969060564,35.8575749834719,
Phoenix,AZ,23.3999999761581,19.506088375736,27.2247362107922,37.5596632588428,
Sun City,AZ,22.8999999761581,19.4858929968769,36.3956187005886,,
Tucson,AZ,21.5999999642372,17.4143405549395,35.1519607058379,38.5416143326498,
Fort Smith,AR,29.1999999880791,24.0803083645448,32.9844657083298,19.4540584617929,
Jonesboro,AR,30,24.69129714228,11.5829791281705,,
Little Rock,AR,29.2999999523163,21.0688934847381,19.0709972477777,39.0302699208524,
Springdale,AR,26.5999999642372,20.4893454878102,32.8124943028457,45.4089179551024,
Texarkana,AR,30.8999999761581,23.6060012578169,56.7849180853849,30.2654908215448,
Orange County,CA,19.3999999761581,22.0040380255349,36.8835618631108,35.5846724462638,
Bakersfield,CA,28.5999999642372,26.9728878061578,27.7735449670507,48.6449451501584,
Chico,CA,25.1999999880791,21.4449892172311,31.789957747955,40.8182848512308,
Contra Costa County,CA,22.6999999880791,18.5981735693717,14.2140431698001,,
Fresno,CA,25.8999999761581,27.2379350369793,34.6942611749782,45.2738286008022,
Los Angeles,CA,20.0999999642372,25.1004238484445,32.0952292532845,39.0213245686552,6.92446340906765
Modesto,CA,28,25.62252288551,51.693829934887,45.7433624742721,
Napa,CA,21.3999999761581,17.5950669522542,13.4755009870123,,
Alameda County,CA,19,20.8315104362741,9.27139884944551,,
Palm Springs/Rancho Mirage,CA,25.5,16.7725953560902,35.6238601012683,42.4856267903417,
Redding,CA,24.5999999642372,19.3966285575873,15.9721721943958,,
Sacramento,CA,23.8999999761581,19.901374319885,20.798466249832,51.3366302921334,
Salinas,CA,22,23.621753401323,40.666717021585,28.4405098870137,
San Bernardino,CA,26.3999999761581,24.4156349672289,34.2608893831014,36.536717919409,
San Diego,CA,22.3999999761581,21.6002420746045,27.3681539414937,35.0673409787815,
San Francisco,CA,18.0999999642372,18.3409323693068,4.04915344849266,,
San Jose,CA,19.0999999642372,23.5223853098541,17.9695160142878,39.428230661248,
San Luis Obispo,CA,22,17.4713325048969,23.5673218021477,,
San Mateo County,CA,17.2999999523163,16.2703757805523,7.93463500005249,,
Santa Barbara,CA,22,19.4404114659307,26.7773876022577,,
Santa Cruz,CA,18.0999999642372,18.3551492831224,21.170683548686,,
Santa Rosa,CA,20,15.5530633373491,8.39154978606015,,
Stockton,CA,28.5999999642372,23.7765924158008,31.1217388039273,39.2831271787815,
Ventura,CA,22.8999999761581,21.476979810753,36.4482945744124,33.857842663986,
Boulder,CO,13.3999999761581,14.1214668289893,17.7701494208908,,
Colorado Springs,CO,19.7999999523163,18.2969877876029,19.4864042819273,38.3193741920965,
Denver,CO,18.8999999761581,16.8690589181474,37.8402927124164,50.171933829828,
Fort Collins,CO,19.3999999761581,16.4424968753206,55.5993428533186,40.6824443237181,
Grand Junction,CO,17.6999999880791,14.1198511266423,20.7628500002712,,
Greeley,CO,20.7999999523163,19.5619738326615,40.7647393493755,27.2171703220364,
Pueblo,CO,22.5999999642372,22.5812816930704,15.9562716418582,,
Bridgeport,CT,18,19.6521979909771,36.3995234614208,44.2289701927636,
Hartford,CT,22.0999999642372,22.140758037834,45.923861755627,31.3376968869667,6.11457504887461
New Haven,CT,22.5999999642372,22.2020172268082,45.7311995995053,32.1770073233751,9.49621981558391
Wilmington,DE,27.7999999523163,23.3704940190574,33.9657121941707,34.0370676461154,
Washington,DC,26,21.6793195599226,14.9249130130978,41.5711962058399,
Bradenton,FL,23,20.9097767304138,24.0146749368011,,
Clearwater,FL,26,20.6315349391052,23.629683758408,,
Fort Lauderdale,FL,20.2999999523163,20.4051847474578,33.8592940929308,40.9618796426578,9.97701729386657
Fort Myers,FL,23.8999999761581,19.9898584502538,25.7793978499044,40.4212295855868,
Gainesville,FL,27.7999999523163,23.1521143715783,44.9869176011519,34.8240697142413,
Hudson,FL,24.3999999761581,25.5694252010955,29.1962619622967,42.2110359653764,
Jacksonville,FL,27.5,24.2271873133235,38.9775207546981,37.7663370700839,6.6098325623785
Lakeland,FL,29.1999999880791,26.9795763548614,24.1780134762853,,
Miami,FL,21,27.369449714397,46.3795232531744,38.2366523190907,9.46454350496884
Ocala,FL,25.3999999761581,23.6709520471257,31.1023855862381,40.1013197390255,
Orlando,FL,24.2999999523163,24.6881171842689,24.6920291739783,37.1221360355614,13.0432049295625
Ormond Beach,FL,24.6999999880791,22.8368610374478,50.010499495204,43.001476238869,
Panama City,FL,25.5,24.6707350211509,20.2078102369335,,
Pensacola,FL,26.7999999523163,25.2495471789971,40.3775488089115,29.7422602724594,
Sarasota,FL,21.2999999523163,18.8839714627262,23.9775877490756,57.5719681374253,
St. Petersburg,FL,26,20.9919403722831,39.8466883702496,49.6901340483774,
Tallahassee,FL,29.1999999880791,24.3028052106099,16.4641035771853,38.7143499658457,
Tampa,FL,24.8999999761581,24.3994670558084,18.1755612913259,52.6765172023735,
Albany,GA,30.3999999761581,22.9597240170789,9.67417275381833,,
Atlanta,GA,26.2999999523163,22.3468440606649,21.4866326232673,41.9783775030164,7.47920121840076
Augusta,GA,31.3999999761581,22.6647013245617,41.8948762459073,35.6151384904427,
Columbus,GA,31.1999999880791,26.1459217872748,14.9633215376684,,
Macon,GA,30.8999999761581,25.1487730398315,14.5550347183363,42.9008161684317,
