State Number,State Name,Medicare enrollees (1999),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (1999),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (1999)
1,Alabama             ,542177,5.78917550429316,5.97343349743247
2,Alaska              ,32492,5.40276166869613,5.51693084145717
3,Arizona             ,573401,5.13338812041572,5.37682273307829
4,Arkansas            ,353406,5.79775941503392,5.98371549772744
5,California          ,3217865,4.9854337912465,5.49577349918728
6,Colorado            ,385528,5.0585015830759,5.59362136243995
7,Connecticut         ,449925,4.93463006362284,5.46783541960688
8,Delaware            ,94888,5.41372719587255,5.61015158739229
9,District of Columbia,61249,4.79652620329977,4.93904729038104
10,Florida             ,2459474,4.94967374673546,5.28954874139942
11,Georgia             ,724917,5.7792124008242,5.93700323099772
12,Hawaii              ,145985,4.22398051308047,4.53486606071017
13,Idaho               ,140743,5.0917681109834,5.38148526276943
14,Illinois            ,1402978,5.43073221780461,5.67003759154718
15,Indiana             ,724352,5.75379695210188,5.91592502970426
16,Iowa                ,422459,5.02397862690437,5.13097145171916
17,Kansas              ,342332,5.144008636064,5.32447769763199
18,Kentucky            ,477550,6.08735014861575,6.26966413126438
19,Louisiana           ,478324,5.80694607000092,6.26139647508266
20,Maine               ,176046,5.41016204219964,5.54432706118351
21,Maryland            ,552450,5.38855960481805,5.49672088983182
22,Massachusetts       ,813092,5.15172090685245,5.62398189309063
23,Michigan            ,1179736,5.48376976932694,5.64901505757331
24,Minnesota           ,571975,5.00000748743115,5.09245962114643
25,Mississippi         ,322417,5.79561616146372,5.89731066088718
26,Missouri            ,722728,5.65979596993817,6.03424626078335
27,Montana             ,116382,5.20434623195596,5.34316261844123
28,Nebraska            ,224353,5.08875361163427,5.21718583182438
29,Nevada              ,199801,5.82046585773121,6.08912994839591
30,New Hampshire       ,142801,5.20389927196296,5.5107355761178
31,New Jersey          ,1038541,5.28035452802753,5.59807791401396
32,New Mexico          ,191055,5.1428031133369,5.55784493319092
33,New York            ,2193029,5.09284817243634,5.48886365142607
34,North Carolina      ,917327,5.59814352080528,5.79419970750479
35,North Dakota        ,91351,4.79129004694795,4.90453218706872
36,Ohio                ,1445853,5.69019675104095,6.09867191494242
37,Oklahoma            ,430804,5.85588868057219,6.14804172218581
38,Oregon              ,420617,5.18850967194725,5.57714837901552
39,Pennsylvania        ,1842708,5.44480074505412,5.93291823310073
41,Rhode Island        ,144745,5.01168803718431,5.88366972629394
42,South Carolina      ,447548,5.6041035609336,5.69929531994646
43,South Dakota        ,105078,4.68422312852587,4.78669386970464
44,Tennessee           ,665661,5.84649040428604,6.07687585546426
45,Texas               ,1918568,5.53097540816464,5.92807824832487
46,Utah                ,175891,4.86288282376202,4.99504480469234
47,Vermont             ,74064,5.1724815053827,5.30912980198589
49,Virginia            ,734672,5.46045517263321,5.62599623403818
50,Washington          ,624396,5.16056173213808,5.66864912456496
51,West Virginia       ,267222,6.11305828335351,6.23271204367327
52,Wisconsin           ,683168,5.17105899114625,5.37345396536629
53,Wyoming             ,55820,5.42776388546291,5.56772448750153
99,United States       ,32519944,5.33933576269381,5.67464902491244
