Medicare Severity Diagnostic-Related Group code,Medicare Severity Diagnostic-Related Group label,# of records with this Medicare Severity Diagnositic-Related Group code in 2007,# of people with this Medicare Severity Diagnotic-Related Group code in 2007,# of records with this Medicare Severity Diagnositic-Related Group code in 2008,# of people with this Medicare Severity Diagnotic-Related Group code in 2008,# of records with this Medicare Severity Diagnositic-Related Group code in 2009,# of people with this Medicare Severity Diagnotic-Related Group code in 2009,# of records with this Medicare Severity Diagnositic-Related Group code in 2010,# of people with this Medicare Severity Diagnotic-Related Group code in 2010,# of records with this Medicare Severity Diagnositic-Related Group code in 2011,# of people with this Medicare Severity Diagnotic-Related Group code in 2011,# of records with this Medicare Severity Diagnositic-Related Group code in 2012,# of people with this Medicare Severity Diagnotic-Related Group code in 2012,# of records with this Medicare Severity Diagnositic-Related Group code in 2013,# of people with this Medicare Severity Diagnotic-Related Group code in 2013,# of records with this Medicare Severity Diagnositic-Related Group code in 2014,# of people with this Medicare Severity Diagnotic-Related Group code in 2014
1,Heart Transplant or Implant of Heart Assist System with MCC,199,196,861,836,1043,1000,1284,1229,1457,1395,1495,1456,1553,1515,1742,1692
2,"Heart Transplant or Implant of Heart Assist System without
MCC",53,53,204,202,240,233,298,292,354,344,335,332,311,305,241,239
3,"ECMO or Tracheostomy with Mechanical Ventilation 96+
Hours or Principal Diagnosis Except Face, Mouth and Neck
with Major O.R.",5693,5689,22902,22819,21636,21554,19939,19860,19647,19540,18166,18079,16073,15986,15229,15144
4,"Tracheostomy with Mechanical Ventilation 96+ Hours or
Principal Diagnosis Except Face, Mouth and Neck without
Major O.R.",5323,5311,22915,22665,22932,22681,21753,21504,22405,22167,20816,20616,18876,18644,17560,17366
5,Liver Transplant with MCC or Intestinal Transplant,228,228,929,926,931,925,1032,1024,1043,1039,1029,1026,795,791,859,851
6,Liver Transplant without MCC,100,100,312,312,352,351,285,284,339,339,330,330,294,292,269,269
7,LUNG TRANSPLANT,81,81,423,422,460,459,519,518,591,587,536,534,528,526,461,460
8,SIMULTANEOUS PANCREAS/KIDNEY TRANSPLANT,119,119,507,507,541,541,516,516,474,473,501,501,436,436,407,407
9,BONE MARROW TRANSPLANT,441,437,1810,1779,2102,2076,1756,1739,0,0,0,0,0,0,0,0
10,PANCREAS TRANSPLANT,33,33,135,134,135,135,131,129,105,104,85,85,67,67,57,57
11,"Tracheostomy for Face, Mouth, and Neck Diagnoses with
MCC",359,359,1483,1453,1613,1594,1621,1594,1757,1735,1628,1601,1435,1411,1480,1458
12,"Tracheostomy for Face, Mouth, and Neck Diagnoses with CC",494,489,2028,1985,1959,1913,1941,1892,1925,1880,1991,1951,1679,1644,1724,1692
13,"Tracheostomy for Face, Mouth, and Neck Diagnoses without
CC/MCC",277,277,1076,1044,1031,1003,922,899,917,897,867,844,819,801,740,720
14,ALLOGENEIC BONE MARROW TRANSPLANT,.,.,0,0,0,0,153,153,703,700,776,765,872,864,991,978
15,AUTOLOGOUS BONE MARROW TRANSPLANT,0,0,0,0,0,0,487,486,1386,1378,0,0,0,0,0,0
16,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,0,0,0,0,0,0,0,0,431,431,1792,1777,1908,1887,1897,1876
17,"AUTOLOGOUS BONE MARROW TRANSPLANT W/O
CC/MCC",0,0,0,0,0,0,0,0,80,80,259,258,187,186,228,228
