HCPC (Health Care Common Procedure Code System) Code ,HCPC (Health Care Common Procedure Code System) Label,# of records with this HCPC code in 2004,# of people with this HCPC code in 2004,# of records with this HCPC code in 2005,# of people with this HCPC code in 2005,# of records with this HCPC code in 2006,# of people with this HCPC code in 2006,# of records with this HCPC code in 2007,# of people with this HCPC code in 2007,# of records with this HCPC code in 2008,# of people with this HCPC code in 2008,# of records with this HCPC code in 2009,# of people with this HCPC code in 2009,# of records with this HCPC code in 2010,# of people with this HCPC code in 2010,# of records with this HCPC code in 2011,# of people with this HCPC code in 2011,# of records with this HCPC code in 2012,# of people with this HCPC code in 2012,# of records with this HCPC code in 2013,# of people with this HCPC code in 2013,# of records with this HCPC code in 2014,# of people with this HCPC code in 2014
0001F,HRT FAILURE ASSESSED,.,.,0,0,0,0,0,0,0,0,30,30,.,.,20,20,.,.,40,35,.,.
0008T,UPR GI W/ESOPH DUO&/JEJUN W/SUTR ESOPG/GASTRIC,.,.,30,30,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00100,ANESTHESIA SALIVARY GLANDS WITH BIOPSY,1065,950,730,695,235,230,175,165,520,430,150,150,175,165,200,185,230,180,240,205,145,125
00102,ANESTHESIA CLEFT LIP INVOLVING PLASTIC REPAIR,.,.,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,.,.,0,0
00103,ANESTHESIA EYELID RECONSTRUCTIVE PROCEDURE,235,235,315,305,340,340,390,355,570,530,580,540,640,585,715,650,740,665,775,735,555,525
00104,ANESTHESIA ELECTROCONVULSIVE THERAPY,1740,180,1830,170,1900,170,2070,160,2500,195,2200,245,2520,230,1515,240,1650,170,1810,185,945,105
0010T,TB TST CELL IMMU MSR GAMMA INTERFERON ANTIG RSPN,85,85,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00120,ANESTHESIA EXTERNAL MIDDLE & INNER EAR W/BIOPSY,415,370,495,450,535,500,665,605,545,530,500,430,305,290,345,330,350,335,380,360,250,220
00124,ANES EXTERNAL MIDDLE & INNER EAR W/BX OTOSCOPY,.,.,25,25,35,30,15,15,45,45,25,25,50,50,40,40,60,60,50,50,20,20
00126,ANES XTRNL MID & INNER EAR W/BX TYMPANOTOMY,20,20,45,45,75,75,140,130,220,210,140,140,275,235,220,205,295,275,235,230,160,160
00140,ANESTHESIA EYE NOT OTHERWISE SPECIFIED,1275,1085,2010,1635,1700,1370,1735,1410,1685,1370,1575,1310,1235,1020,1110,970,995,880,1495,1260,1105,965
00142,ANESTHESIA EYE LENS SURGERY,11800,9235,18940,14265,24900,18155,28750,20420,32450,22875,36590,25380,36615,25150,38450,25390,40605,26715,40475,26265,38250,24950
00144,ANESTHESIA EYE CORNEAL TRANSPLANT,20,20,60,55,35,35,45,45,120,120,105,100,65,60,80,70,110,105,95,95,145,145
00145,ANESTHESIA EYE VITREORETINAL SURGERY,370,340,490,430,495,480,540,505,355,320,335,290,220,175,295,285,320,290,280,245,265,255
00147,ANESTHESIA EYE IRIDECTOMY,15,15,0,0,.,.,0,0,.,.,865,715,1280,1025,340,290,0,0,.,.,.,.
00148,ANESTHESIA EYE OPHTHALMOSCOPY,.,.,.,.,.,.,0,0,.,.,20,15,35,30,40,35,35,25,15,15,15,.
00160,ANESTHESIA NOSE & ACCESSORY SINUSES NOS,460,435,670,660,735,705,770,760,985,940,1115,1055,1050,970,1055,1015,1035,985,1175,1145,895,835
00162,ANES NOSE & ACCESSORY SINUSES RADICAL SURGERY,0,0,.,.,.,.,25,20,.,.,25,25,15,15,0,0,.,.,0,0,.,.
00164,ANES NOSE & ACCESSORY SINUSES BIOPSY SOFT TISSUE,.,.,20,20,80,75,45,40,50,50,45,45,50,50,70,70,50,45,65,60,30,25
0016T,DSTRJ LOCLZD LES CHOROID TRANSPUPILLARY THERMOTH,60,50,15,15,.,.,.,.,20,20,.,.,25,15,0,0,0,0,0,0,0,0
00170,ANESTHESIA INTRAORAL WITH BIOPSY NOS,490,465,555,530,540,525,755,735,910,865,980,945,930,900,1310,1180,1285,1205,1225,1170,455,425
00172,ANES INTRAORAL W/BIOPSY REPAIR CLEFT PALATE,0,0,0,0,.,.,.,.,.,.,15,15,0,0,.,.,0,0,0,0,0,0
00174,ANES INTRAORAL W/BX EXC RETROPHARYNGEAL TUMOR,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0
00176,ANESTHESIA INTRAORAL W/BIOPSY RADICAL SURGERY,0,0,.,.,0,0,0,0,.,.,25,25,0,0,0,0,0,0,0,0,0,0
0017T,DSTRJ MACULAR DRUSEN PC,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0018T,DLVR HI PWR FOCAL MAG PLSS STIMJ CORTCL NEURONS,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00190,ANESTHESIA FACIAL BONES OR SKULL NOS,45,45,55,55,85,80,110,110,125,125,170,165,125,125,150,140,110,110,110,110,70,60
00192,ANES FACIAL BONES/SKULL RAD SURG W/PROGNATHISM,0,0,.,.,0,0,.,.,0,0,0,0,0,0,0,0,15,15,0,0,.,.
0019T,EXTRACORPOREAL SHOCK WAVE MUSCSKEL NOS LOW ENRGY,.,.,0,0,.,.,.,.,0,0,0,0,0,0,0,0,.,.,.,.,0,0
0020T,XTRACORP SHOCK WAVE THERAPY; INVLV PLANTAR FASC,120,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00210,ANESTHESIA INTRACRANIAL PROCEDURE NOS,15,15,60,55,60,60,60,60,.,.,.,.,0,0,.,.,0,0,0,0,0,0
00212,ANESTHESIA INTRACRANIAL PROCEDURE SUBDURAL TAPS,.,.,0,0,.,.,0,0,.,.,0,0,.,.,0,0,0,0,.,.,0,0
00214,ANES INTRACRANIAL BURR HOLES W/VENTRICULOGRAPHY,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0
00215,ANES INTRACRANIAL/ELEVATION DEPRSD SKULL FX XDRL,0,0,0,0,0,0,.,.,0,0,0,0,.,.,0,0,.,.,.,.,0,0
00216,ANESTHESIA INTRACRANIAL VASCULAR PROCEDURE,.,.,20,20,20,15,15,15,.,.,0,0,.,.,.,.,.,.,0,0,.,.
00218,ANES INTRACRANIAL PROCEDURE IN SITTING POSITION,0,0,0,0,0,0,0,0,0,0,0,0,.,.,.,.,0,0,0,0,0,0
00220,ANES INTRACRANIAL CEREBROSPINAL FLUID SHUNTING,35,35,15,15,70,65,80,65,30,30,.,.,.,.,.,.,.,.,15,15,0,0
00222,ANES INTRACRANIAL ELECTROCOAGULATION ICRA NERVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
0023T,INF AGT RX SUSECPT PHENOTYPE PREDICTION HIV 1,100,95,160,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0026T,LIPOPROTEIN DIR MEAS IDL REMNANT LIPOPROTEINS,7635,4865,6180,4240,55,50,505,475,165,155,0,0,0,0,0,0,0,0,0,0,0,0
0027T,NDSC LSS EDRL ADS W/MCHNL/SLN NJX W/RAD EDRLG,115,110,155,145,145,125,95,90,50,45,0,0,0,0,0,0,0,0,0,0,0,0
0028T,DXA BDY COMPOS STD 1+ SITS,.,.,30,30,35,35,115,105,55,55,0,0,0,0,0,0,0,0,0,0,0,0
0029T,TX INCONT PLSD MAG NEUROMODULATION PR D,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00300,ANES INTEG MUSC&NRV HEAD NCK&POSTERIOR TRUNK NOS,1340,1300,1995,1930,2295,2175,2985,2840,3650,3435,4030,3710,3715,3405,4625,4245,4570,4160,4400,4080,3595,3315
0030T,ANTIPROTHROMBIN ANTIBODY EACH IG CLASS,75,40,210,100,280,150,145,90,240,140,240,155,305,185,190,145,220,155,0,0,0,0
00320,ANES ESOPH THYR LARX TRACH&LYMPHTC NCK NOS 1YR/>,550,545,875,815,965,915,1055,1005,1345,1235,1315,1220,1290,1175,1430,1335,1330,1265,1390,1290,1375,1320
00322,ANES ESOPH THYRD LARX TRACH & LYMPH NCK BX THYRD,0,0,.,.,0,0,.,.,.,.,0,0,.,.,0,0,0,0,.,.,.,.
00326,ANESTHESIA LARYNX & TRACHEA CHILDREN <1 YEAR,.,.,.,.,0,0,0,0,.,.,0,0,0,0,0,0,.,.,20,20,20,20
00350,ANESTHESIA MAJOR VESSELS NECK NOS,115,115,245,245,100,100,55,55,110,110,65,65,60,60,35,35,35,35,20,15,15,15
00352,ANESTHESIA MAJOR VESSELS NECK SIMPLE LIGATION,60,60,125,120,130,130,175,175,190,185,215,205,245,240,190,185,270,245,290,270,175,175
00400,ANES INTEG EXTREMITIES ANTERIOR TRUNK PERINEUM,3160,2930,4270,4030,5620,5230,5940,5520,6710,6260,7130,6540,6755,6145,7115,6485,7700,6890,8255,7515,5660,5215
00402,ANESTHESIA RECONSTRUCTION BREAST,120,115,170,160,320,275,230,205,250,220,180,155,205,190,215,200,255,230,255,225,165,160
00404,ANESTHESIA RADICAL/MODIFIED RADICAL BREAST,15,15,115,115,190,185,440,425,505,485,470,460,485,455,425,405,400,395,440,410,455,430
00406,ANES RADICAL/MODIFIED RADICAL BREAST W/NODES,0,0,.,.,0,0,20,15,.,.,15,15,.,.,.,.,15,15,20,20,30,30
00410,ANES INTEG SYS XTR ANT TRNK&PR ELEC CONV ARRHYTS,95,95,245,215,290,245,290,265,325,295,415,350,355,315,505,445,565,480,665,575,660,585
0042T,CEREBRAL PERFUSION ANALYS CT W/BLOOD FLOW&VOLUME,170,170,295,290,335,335,760,725,1000,965,1630,1605,1630,1590,1630,1615,1955,1940,2030,1985,2040,2000
0043T,CARBON MONOXIDE EXP GAS ALYS,0,0,.,.,130,120,15,15,.,.,0,0,0,0,0,0,0,0,0,0,0,0
0044T,WHBDY INTEG PHTGRPHY DYSPLSTC NEVUS FAMIL MLNMA,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00450,ANESTHESIA CLAVICLE AND SCAPULA NOS,25,25,55,55,60,60,70,70,145,135,145,135,100,85,175,150,145,140,200,175,95,85
00454,ANESTHESIA CLAVICLE & SCAPULA BIOPSY CLAVICLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.
