Diagnostic-Related Group code,Diagnostic-Related Group label,# of records with this Diagnositic-Related Group code in 2004,# of people with this Diagnotic-Related Group code in 2004,# of records with this Diagnositic-Related Group code in 2005,# of people with this Diagnotic-Related Group code in 2005,# of records with this Diagnositic-Related Group code in 2006,# of people with this Diagnotic-Related Group code in 2006,# of records with this Diagnositic-Related Group code in 2007,# of people with this Diagnotic-Related Group code in 2007
1,"Craniotomy, Age Greater than 17 with CC",26939,25942,24492,23568,24541,23611,18575,17911
2,"Craniotomy, Age Greater than 17 without CC",10628,10076,10029,9564,9595,9161,7119,6821
3,"Craniotomy, Age 0-17",.,.,.,.,.,.,.,.
6,Carpal Tunnel Release,395,388,275,272,276,273,185,184
7,"Peripheral and Cranial Nerve and Other Nervous
System Procedures with CC",15824,15465,15380,15041,14442,14169,10763,10599
8,"Peripheral and Cranial Nerve and Other Nervous
System Procedures without CC",3668,3612,3551,3481,2932,2884,2112,2079
9,Spinal Disorders and Injuries,5610,4844,5475,4798,5545,4775,3460,3057
10,Nervous System Neoplasms with CC,23035,19413,22779,19284,22274,18831,15822,13677
11,Nervous System Neoplasms without CC,4952,4298,4738,4239,4489,3909,3157,2790
12,Degenerative Nervous System Disorders,149683,124886,156241,129607,159708,131436,110406,92685
13,Multiple Sclerosis and Cerebellar Ataxia,10741,7783,11100,8038,11398,8220,7875,5930
14,Intracranial Hemorrhage or Cerebral Infarction,270098,241029,316232,274533,298916,259589,206531,184962
15,"Nonspecific Cerebrovascular and Precerebral
Occlusion without Infarction",120539,104475,56978,50187,48468,42432,30025,26612
16,Nonspecific Cerebrovascular Disorders with CC,19795,18727,21502,20333,24840,23359,17444,16545
17,"Nonspecific Cerebrovascular Disorders without
CC",4843,4573,5109,4850,5275,4984,3598,3412
18,Cranial and Peripheral Nerve Disorders with CC,37452,31739,38015,32113,38133,32295,27738,23801
19,"Cranial and Peripheral Nerve Disorders without
CC",10842,9827,10492,9390,9892,8845,6973,6318
20,Nervous System Infection Except Viral Meningitis,8818,7091,8802,7096,6635,5423,0,0
21,Viral Meningitis,2392,2211,2326,2129,2265,2133,1661,1569
22,Hypertensive Encephalopathy,3520,3351,3372,3216,3549,3382,2749,2629
23,Nontraumatic Stupor and Coma,13795,13212,14289,13687,14153,13598,9120,8785
24,"Seizure and Headache, Age Greater than 17 with
CC",68989,59378,68121,59002,51939,45526,0,0
25,"Seizure and Headache, Age Greater than 17
without CC",32126,28513,31193,27704,22824,20479,0,0
26,"Seizure and Headache, Age 0-17",42,39,44,37,47,41,27,25
27,"Traumatic Stupor and Coma, Coma Greater than
One Hour",5969,5809,6472,6321,6855,6698,5247,5145
28,"Traumatic Stupor and Coma, Coma Less than
One Hour, Age Greater than 17 with CC",21513,19621,24052,22031,25661,23413,19209,17825
29,"Traumatic Stupor and Coma, Coma Less than
One Hour, Age Greater than 17 without CC",8885,8263,9129,8516,9257,8703,7005,6608
30,"Traumatic Stupor and Coma, Coma Less than
One Hour, Age 0-17",.,.,0,0,0,0,0,0
31,"Concussion, Age Greater than 17 with CC",5318,5207,5373,5258,5575,5463,3946,3882
32,"Concussion, Age Greater than 17 without CC",2218,2173,2145,2091,2040,2000,1435,1401
34,Other Disorders of Nervous System with CC,44606,41606,47316,44012,48818,45191,35121,32795
35,Other Disorders of Nervous System without CC,22386,20561,23017,21093,22447,20542,15500,14295
