drug_id,LABEL,nrecs2006,nppl_any2006,nrecs2007,nppl_any2007,nrecs2008,nppl_any2008,nrecs2009,nppl_any2009,nrecs2010,nppl_any2010,nrecs2011,nppl_any2011,nrecs2012,nppl_any2012,nrecs2013,nppl_any2013
d00001,acyclovir,356285,147785,427665,171105,476545,190760,545420,217905,566935,231445,647620,258145,707650,276700,785940,301995
d00002,amiodarone,1246295,240835,1392300,254795,1388625,256055,1358680,259115,1343710,261825,1370950,273835,1412735,289595,1555590,330125
d00003,ampicillin,119405,80810,123680,81550,119810,79460,113845,75705,113990,76000,115325,77800,113140,75980,119880,80625
d00004,atenolol,9239215,1483215,10278250,1510260,9742305,1451715,8979970,1404510,8340795,1336060,7873620,1311925,7560690,1309205,7686525,1388450
d00006,captopril,743830,118250,686910,101245,575190,85740,474405,73120,403655,63415,342460,55760,295690,49760,266640,46440
d00007,cefazolin,10270,4625,12645,5215,13705,5150,12550,5070,13350,4965,13895,4755,13200,4765,16905,5350
d00008,cefotaxime,1510,845,975,570,1195,655,870,485,770,450,645,320,440,235,220,120
d00009,ceftazidime,12925,5380,12655,5820,11875,5400,13115,6065,14350,6275,13640,5870,12940,5315,13040,5410
d00010,ceftizoxime,50,30,,,0,0,0,0,0,0,0,0,0,0,0,0
d00011,ciprofloxacin,2572850,1721720,3131705,2061240,3226170,2137570,3354210,2217035,3556935,2349095,3823550,2515940,3860640,2551570,4082785,2728660
d00012,codeine,18655,5715,20440,6215,14155,4535,13370,4595,16570,5805,19245,6470,19045,6225,19000,5825
d00013,enalapril,3738430,599000,4025905,599925,3838390,577320,3502065,546055,3249915,516990,2984185,492235,2783340,471035,2666690,479665
d00014,gentamicin,28155,13535,36035,16435,39245,17050,42390,18325,41935,18475,38615,18110,38195,18085,43845,19210
d00015,ibuprofen,2360610,900405,2570190,967335,2602840,976530,2605625,990525,2708385,1035305,2872890,1108430,2959575,1156830,3119440,1245030
d00016,labetalol,679815,110920,776235,119710,779665,121210,780915,124375,766405,124925,761145,127395,769625,130600,822010,144590
d00017,meperidine,56555,21735,72385,27785,67505,25965,77775,30905,69405,27180,63210,25545,38135,13730,28535,9975
d00018,nadolol,373200,59815,413795,61090,398785,60705,378245,61380,365665,61220,358250,62820,363470,66125,367750,70140
d00019,naproxen,2066695,742450,2238515,785735,2123275,756845,2047420,744285,2037365,760750,2103335,798555,2110315,806595,2190610,854355
d00020,quinidine,53660,9050,47505,8180,36560,6025,29060,4865,23250,4110,18750,3375,16455,2985,13830,2770
d00021,ranitidine,4074860,751420,4053850,731760,3857760,698965,3800805,728585,4095045,792215,4268090,825810,4277625,834415,4462925,895210
d00022,warfarin,9587055,1317810,11068475,1404855,11251300,1427635,11169330,1441505,11272535,1475850,11307160,1500790,11363635,1503445,11851095,1602550
d00023,allopurinol,2646045,464860,3147770,512040,3218235,538675,3381675,575185,3549875,621195,3855660,691540,4158460,757895,4681780,877890
d00024,azathioprine,171015,29970,192590,31275,196625,31860,192140,32155,208940,35700,221955,38665,224195,39385,244380,44015
d00025,chloramphenicol,,,20,20,30,20,,,,,,,0,0,,
d00026,fenoprofen,13465,4325,12550,3845,11690,3515,9605,2830,7215,2170,5575,1560,3940,1100,3485,980
d00027,haloperidol,888955,148395,997650,159680,1031680,161820,1058435,165760,1108935,172690,1179065,180185,1207960,179810,1223330,178955
d00028,ketoprofen,81125,27485,84550,28130,88020,29340,75595,24745,66220,22730,57595,19450,53410,19500,59335,21820
d00029,nafcillin,1795,500,2680,670,2805,750,2980,760,3880,845,4845,990,5020,1100,5005,1200
d00030,pentamidine,335,115,490,130,130,40,110,35,30,25,20,15,55,25,220,60
d00031,probenecid,86860,17015,95355,17340,94180,17430,83885,16160,75785,14960,74560,15145,72205,14635,74780,15665
d00032,propranolol,1517225,241195,1683110,249955,1661520,250520,1625520,251810,1618780,258700,1650950,270070,1701135,286440,1837205,319775
d00033,sulindac,253530,73375,245920,67455,224545,60305,200270,54105,182735,50595,168310,46910,157030,44510,152790,43240
d00034,zidovudine,19820,3510,22490,3635,21385,3515,21235,3225,20615,3095,18345,2690,18205,2560,17605,2530
d00035,chloroquine,4265,2160,6105,3300,6055,3295,5965,2945,6315,2930,5745,2680,5680,2570,5695,2555
d00036,cyclophosphamide,10105,2700,9415,2275,7965,2110,7850,2050,7865,2140,7825,2010,7890,2070,8290,2225
d00037,doxycycline,989350,625150,1191450,743235,1328925,830080,1426065,886775,1532775,951985,1720425,1068430,1989895,1212050,2050450,1266205
d00038,flucytosine,245,110,275,90,215,115,85,50,85,55,60,50,105,70,195,105
d00039,indomethacin,383270,176560,411410,185630,400180,181865,385790,178230,383785,180120,410010,192520,406715,189720,335345,165765
d00040,oxazepam,2825,725,12405,2320,13415,2265,10920,1905,12740,2210,6080,1085,7860,1390,65135,13555
d00041,tetracycline,221090,104620,236945,109875,228670,106700,219595,103815,209950,99945,189840,95210,18250,13765,2160,1890
d00042,chlorpropamide,20625,3555,19295,3055,14685,2345,11055,1745,8255,1400,6450,1125,2715,685,1685,430
d00043,clindamycin,604910,427470,727460,510975,735145,525380,779960,556915,831890,596315,914460,656230,1004955,720915,1174085,841695
d00044,clonidine,3090160,532645,3402555,561280,3416880,567980,3393675,579570,3419700,595255,3446785,613615,3464995,629985,3599965,671535
d00045,diltiazem,5333730,792730,5805265,804440,5598475,792535,5309960,777840,5113495,771845,4904190,770675,4831295,783395,5196965,872905
d00046,erythromycin,225735,154540,224205,150075,198745,129290,182340,115220,170840,103695,160235,93860,138015,77610,130475,70830
d00047,rifampin,58670,32405,68110,38310,66090,36135,61810,33320,59225,29975,59340,28810,61565,28340,62910,27080
d00048,verapamil,2468195,378435,2656330,370190,2449215,346450,2191695,324785,1996620,306070,1855695,295590,1742970,288485,1789540,309245
d00049,acetaminophen,1240,945,110,70,,,,,,,0,0,,,2725,1070
d00050,methadone,782215,116595,900080,119100,937260,117910,961365,118590,986605,121040,1014095,122780,1007085,119750,985950,115950
d00051,nifedipine,2725975,417450,3002505,425500,2841930,405730,2602810,384875,2458020,370905,2355950,368785,2265190,364340,2299930,389505
d00052,ceftriaxone,169260,99980,177315,105180,189705,112105,190890,109685,193580,112115,203945,115950,207540,118060,216380,121385
d00053,cephradine,15,15,,,,,0,0,0,0,0,0,0,0,0,0
d00054,tolmetin,9365,2600,8985,2195,7880,1895,6945,1725,5890,1585,4930,1285,3865,1010,3575,945
d00055,cefotetan,115,75,20,20,385,235,465,280,370,200,370,155,360,205,420,215
d00056,cefuroxime,265465,208215,333530,258305,382470,293770,408690,312990,452115,344380,511545,387925,548780,414810,660205,502790
d00057,piperacillin,320,135,275,100,230,100,210,105,100,40,,,0,0,0,0
d00058,carbamazepine,1517690,177365,1587095,179850,1561130,178065,1518295,176700,1511530,178450,1485665,179285,1453785,178295,1458510,180725
d00059,lidocaine,82730,59725,87380,63950,94910,69120,97720,69370,102950,73110,104335,73740,110015,77230,121735,83405
d00060,methotrexate,811760,139025,969685,152520,1016035,160575,1021190,167040,1053065,175795,1107520,189490,1157780,203015,1306440,231220
d00061,lithium,879810,113775,956195,119330,951290,118865,928500,117755,944970,120165,958020,122245,969715,124490,1002070,126315
d00064,chlorpromazine,203020,32060,215610,33255,215580,33310,217685,33510,229785,35695,235325,37355,232285,37460,239470,37665
d00065,foscarnet,230,25,225,40,545,25,240,25,80,20,0,0,,,0,0
d00066,ganciclovir,3270,815,3105,870,2830,800,1505,560,395,85,450,100,320,100,210,55
d00067,aztreonam,3360,1390,5000,1970,5570,2095,2965,1135,3475,1500,6760,2615,6615,2550,8240,2990
d00068,ethambutol,21920,5180,24890,5850,25095,5610,24210,5690,25970,5760,28035,6295,31625,6890,32460,7175
d00069,tobramycin,12570,5255,14195,5375,14460,5700,14880,6150,15770,6580,18500,7970,16360,7170,16540,7170
d00070,furosemide,15654335,2689430,16987570,2781815,16807505,2780465,16348950,2768245,16137685,2796520,16033150,2853285,15856455,2890485,17218265,3119540
d00071,fluconazole,867550,489690,1006175,560285,1053395,585335,1134300,627810,1206420,663730,1287455,708560,1373605,753535,1513555,834400
d00072,cefixime,1055,850,1465,1150,2095,1660,4395,3625,9885,8140,12635,10235,16225,13055,17985,13890
d00073,cefprozil,37765,31360,45910,37660,48005,38895,49175,40130,50160,40370,52140,41550,48755,39765,47150,38195
d00075,procainamide,18605,2865,15315,2205,2440,980,0,0,0,0,0,0,0,0,0,0
d00077,amphotericin b,1355,515,1765,550,1280,550,1225,445,1200,420,1740,540,1740,605,1240,550
d00078,didanosine,58525,8575,55200,7200,42630,5490,34690,4325,27210,3435,20625,2615,16580,2030,12655,1555
d00079,cyclosporine,74175,11340,61560,8075,58730,8080,51535,7405,50025,7215,48115,7155,49415,7400,51920,8185
d00080,cefadroxil,113085,87285,124945,95515,117795,90540,112675,85190,111900,83890,108805,82175,109255,80680,116600,86430
d00081,cefaclor,71725,53540,72275,52605,68020,49525,46135,34760,26935,19830,20805,14965,17030,11820,15345,10545
d00082,imipenem-cilastatin,16520,5825,18715,6315,17995,6150,17965,5915,18725,5795,17180,5480,15660,5265,16575,5025
d00083,valproic acid,344215,48585,359280,49920,357365,49465,350955,47875,349470,47380,339055,45795,330135,44555,327300,43855
d00084,prednisolone,15860,8645,18975,10170,19870,11040,15985,9505,15135,9325,16770,10500,15875,9940,17590,11090
d00085,ribavirin,34075,7985,37805,8715,36330,8330,34345,7935,33945,7685,35710,9000,46960,10995,29145,7375
d00086,amantadine,244420,47240,255625,46625,261315,50375,247140,47615,240235,41750,242790,42940,254120,45740,278510,52530
d00087,amikacin,6745,2920,8575,3460,9380,4330,9910,4585,8280,4000,4945,2155,9205,3865,10290,3745
d00088,amoxicillin,2492930,1687765,2790550,1860770,2669150,1809970,2637130,1793520,2716085,1857365,2883895,1981420,3064465,2105320,3574325,2458625
d00089,amoxicillin-clavulanate,1064800,794605,1262650,941865,1352750,1010075,1424230,1060100,1528850,1137400,1634915,1217200,1753230,1306995,2099690,1573105
d00090,ampicillin-sulbactam,5495,1905,4530,1690,4870,1760,4875,1520,5690,1700,5725,1680,4965,1520,7565,1955
d00091,azithromycin,2592275,1876815,3291040,2325745,3764810,2642945,3865725,2693265,4144715,2869370,4557540,3135480,4576715,3171285,4561215,3225095
d00092,carbenicillin,2040,1080,1820,815,190,145,0,0,0,0,0,0,0,0,0,0
d00094,cefoxitin,285,155,495,195,775,270,960,325,1310,460,1535,600,1950,485,1335,500
d00095,cefpodoxime,28475,22860,35745,28530,39380,31895,42520,33525,47800,37965,55975,44535,60615,47790,67005,52675
d00096,cephalexin,2268720,1560375,2456140,1680250,2387510,1640395,2392010,1644600,2463520,1695645,2564395,1767140,2672855,1836345,2997760,2056960
d00097,clarithromycin,356770,280095,372375,284190,377285,290505,360950,277745,359550,277615,324105,253995,286515,222605,306895,241165
d00098,dapsone,57755,11435,63025,12135,61405,11755,59935,12060,58945,11850,60370,12580,63315,12920,65560,13610
d00100,griseofulvin,25940,13660,31580,16150,26350,13390,22955,11345,19165,9995,17085,8890,13230,6770,12655,6745
d00101,isoniazid,37415,10325,41075,10970,39410,10710,36910,10045,35860,9740,35985,9735,37630,10235,34800,9800
d00102,itraconazole,21465,8340,24135,8630,20585,7295,19500,7085,19430,7145,20890,7510,20810,7145,22665,7890
d00103,ketoconazole,48015,26185,56330,29420,54880,28100,52810,26970,51330,26195,49085,25410,49945,25455,43605,23300
d00104,lomefloxacin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d00105,loracarbef,855,625,155,110,0,0,0,0,0,0,0,0,0,0,0,0
d00106,methenamine,71240,13645,84820,15150,78575,15570,79735,14740,86435,16460,95840,18270,109410,21645,145980,27820
d00108,metronidazole,566950,428315,639740,479190,656025,492850,676735,508615,717905,537870,752890,568505,789285,593980,839980,638515
d00110,minocycline,130085,46340,155460,56375,166600,61285,167540,63140,174020,64580,187560,70525,220830,80985,336570,136145
d00112,nitrofurantoin,1399805,624505,1595865,705175,1641850,732595,1752165,800340,1776710,823335,1846550,879180,1664140,807105,1762805,885525
d00113,norfloxacin,8195,4220,6740,3115,5155,2210,4015,1690,3445,1490,3405,1530,3090,1375,2690,1210
