Revenue Center Code,Revenue Center Label,# of records with this revenue center code in 2004,# of people with this revenue center code in 2004,# of records with this revenue center code in 2005,# of people with this revenue center code in 2005,# of records with this revenue center code in 2006,# of people with this revenue center code in 2006,# of records with this revenue center code in 2007,# of people with this revenue center code in 2007,# of records with this revenue center code in 2008,# of people with this revenue center code in 2008,# of records with this revenue center code in 2009,# of people with this revenue center code in 2009,# of records with this revenue center code in 2010,# of people with this revenue center code in 2010,# of records with this revenue center code in 2011,# of people with this revenue center code in 2011,# of records with this revenue center code in 2012,# of people with this revenue center code in 2012,# of records with this revenue center code in 2013,# of people with this revenue center code in 2013,# of records with this revenue center code in 2014,# of people with this revenue center code in 2014
0001,Total Charge,134820420,23907840,139068810,24184955,137431325,23599060,136653595,23209115,137251760,22973170,140522015,22973230,144457765,23337435,149057135,23807070,153283780,24149835,154215055,24211145,154895850,24077295
0023,"Home Health services paid under PPS submitted as TOB 32X and 33X, effective 10/00.  This code may appear multiple times on a claim to identify different HIPPS/Home Health Resource Groups (HRG).",0,0,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0
0100,All inclusive rate-room and board plus ancillary,0,0,.,.,.,.,.,.,15,15,35,15,20,20,195,55,.,.,0,0,0,0
0101,All inclusive rate-room and board,.,.,15,15,.,.,.,.,0,0,.,.,.,.,.,.,30,25,0,0,0,0
0110,Private medical or general-general classification,140,90,580,160,210,65,100,80,205,145,460,195,540,230,350,225,240,185,160,125,385,105
0111,Private medical or general-medical/surgical/GYN,55,50,105,85,255,155,265,140,255,175,180,140,315,190,195,140,180,115,125,125,485,290
0112,Private medical or general-OB,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,.,.,0,0
0113,Private medical or general-pediatric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0
0114,Private medical or general-psychiatric,0,0,.,.,.,.,.,.,15,.,.,.,.,.,60,20,0,0,0,0,495,.
0116,Private medical or general-detoxification,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0
0117,Private medical or general-oncology,.,.,0,0,.,.,.,.,.,.,.,.,15,.,.,.,25,20,15,15,160,20
0118,Private medical or general-rehabilitation,60,.,20,20,35,20,50,35,.,.,90,.,0,0,.,.,15,.,.,.,15,.
0119,Private medical or general-other,.,.,0,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0120,Semi-private 2 bed (medical or general) general classification,1225,435,1195,600,1245,510,875,480,2375,675,4885,735,3305,730,1195,795,1165,620,1130,625,1655,615
0121,Semi-private 2 bed (medical or general) medical/surgical/GYN,370,210,555,410,1000,650,1150,765,1280,950,1315,1090,1455,1080,1435,1080,1250,920,1065,760,1285,890
0122,Semi-private 2 bed (medical or general)-OB,.,.,15,15,20,20,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0
