HSA Number,HSA Name,Medicare enrollees (2005),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2005),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2005)
49001,VA-Abingdon,6307,5.94135363878319,6.08823815865639
49002,VA-Alexandria,24247,4.423438973501,4.44595992228788
49003,VA-Arlington,18009,4.51365192630905,4.46422691830647
49004,VA-Bedford,3943,4.83771933596781,4.92060094886518
49005,VA-Big Stone Gap,2036,6.60222977800916,7.03664806965752
49006,VA-Blacksburg,6738,4.73098570554715,4.78156659506868
49007,VA-Charlottesville,28420,5.0353513573303,5.02657216930207
49008,VA-Chesapeake,13942,5.47918658710774,5.51159604827646
49009,VA-Clintwood,2018,6.51775198310551,6.00247443996712
49010,VA-Culpeper,4705,4.93377842093419,4.92106209268905
49011,VA-Danville,17051,5.88998356293291,6.00605771056425
49012,VA-Emporia,4279,5.46860732460659,5.43935985154915
49013,VA-Fairfax,5835,5.20215443674869,5.30502870501797
49014,VA-Falls Church,49441,3.9206106082806,3.91938435274745
49015,VA-Farmville,4849,4.70675460755039,4.70167628603937
49016,VA-Franklin,3657,5.63288803395096,5.62965739516686
49017,VA-Fredericksburg,23947,5.15827651734288,5.16562044827109
49018,VA-Front Royal,3782,5.38105622734177,5.42493767319737
49019,VA-Galax,8014,5.33726898252636,5.42889599697267
49020,VA-Gloucester,7344,5.15970466412208,5.18565425811387
49021,VA-Grundy,2891,6.62925058915375,6.6291422314493
49022,VA-Hampton,9394,5.01159739368946,5.0907687941835
49023,VA-Harrisonburg,17164,4.78083437390992,4.82268535453349
49024,VA-Hopewell,4611,5.71573270457212,5.68015132398907
49025,VA-Hot Springs,1015,5.63931417899263,5.65926539188045
49026,VA-Kilmarnock,8060,4.83785375633115,4.83690204904533
49027,VA-Lebanon,4142,6.43378676609595,6.47005936118824
49028,VA-Leesburg,10404,4.68199709936315,4.79411106325832
49029,VA-Lexington,5307,4.64573339208226,4.69697547339477
49030,VA-Low Moor,4294,6.97447733387063,6.92094295410768
49031,VA-Luray,2936,5.06649969314073,5.10825786656313
49032,VA-Lynchburg,31036,4.82173710596385,4.88007251011642
49033,VA-Manassas,10996,5.28095015008466,5.48526712241537
49034,VA-Marion,5686,6.70700796310133,6.76074512501559
49035,VA-Martinsville,12764,5.20179123085877,5.27705926385144
49036,VA-Nassawadox,6164,5.53370254361502,5.52894794950172
49037,VA-Newport News,32996,4.93751391230123,4.9754230211797
49038,VA-Norfolk,32578,5.39827477778605,5.42438664828106
49039,VA-Norton,4154,6.7508850659093,7.10592412259716
49040,VA-Pearisburg,3264,5.55437988582524,5.57414884915509
49041,VA-Pennington Gap,2616,6.93256796586835,6.8558901635112
49042,VA-Petersburg,14587,5.38460811525386,5.36947629495365
49043,VA-Portsmouth,20210,5.06775448635607,5.10537111624848
49044,VA-Pulaski,3164,5.57917985392798,5.61320883729062
49045,VA-Radford,4835,6.02833746005215,5.99489719283736
49046,VA-Reston,10346,5.03053825728552,5.10113498798826
49047,VA-Richlands,3972,6.28631318617656,6.09100429375224
49048,VA-Richmond,109273,5.20498665194358,5.22375429934817
49049,VA-Roanoke,37669,5.1477764189116,5.191781535369
49050,VA-Rocky Mount,3895,6.19013337541344,6.14366386601766
49051,VA-Salem,7955,5.52864783097775,5.52763180730833
49052,VA-South Boston,9680,5.31628163826923,5.31322397400042
49053,VA-South Hill,5113,5.61319349061695,5.64610822884781
49054,VA-Staunton,17476,4.97014396279032,4.98602670350285
49055,VA-Stuart,2691,4.98565970822146,5.04716998558911
49056,VA-Suffolk,8892,5.02971704402767,5.03517336295201
49057,VA-Tappahannock,4339,5.19029311496397,5.1544183311413
49058,VA-Tazewell,2056,6.02761314795392,6.28761926217122
49059,VA-Virginia Beach,27849,4.94480534478927,4.95679998224772
49060,VA-Warrenton,7289,5.01784148603044,5.07476745975526
49062,VA-Williamsburg,13942,3.64599887960505,3.67325738822242
49063,VA-Winchester,17397,5.30084024194785,5.30194259473315
49065,VA-Woodbridge,9399,4.88133620292435,4.95411171785758
49066,VA-Woodstock,4247,5.49143102816429,5.50512820607407
49067,VA-Wytheville,5276,5.11786976840299,5.12317897286892
