HRR #,HRR label,Medicare Enrollees (CMHS 5% Sample) (2002),Total Medicare reimbursements per enrollee (Part A and B) (2002),Total Part A Medicare reimbursements per enrollee (2002),Total Part B Medicare reimbursements per enrollee (2002),Medicare reimbursements for inpatient short stays per enrollee (2002),Medicare reimbursements for inpatient long stays per enrollee (2002),Medicare reimbursements for outpatient services per enrollee (2002),Part B Medicare reimbursements for professional & laboratory services per enrollee (2002),Part B Medicare reimbursements for medical & surgical services per enrollee (2002),Part B Medicare reimbursements for medical care per enrollee (2002),Part B Medicare reimbursements for surgical services per enrollee (2002),"Part B Medicare reimbursements for diagnostic, laboratory, and X-ray services per enrollee (2002)",Part B Medicare reimbursements for durable medical equipment per enrollee (2002),Medicare reimbursements for home health services per enrollee (2002),Medicare reimbursements for hospice services per enrollee (2002),Medicare reimbursements for skilled nursing facilities per enrollee (2002)
1,AL-Birmingham,11873.6418304443,6561.92052140626,3883.2125345719,2678.55501418836,2709.0803996932,269.112894675104,533.598194759057,1446.6490449319,1098.43250726446,745.975175780993,352.835229909871,348.216502300736,247.2796456608,350.277506429117,282.57192468103,451.852874539338
2,AL-Dothan,2289.07969665527,6081.36448932897,3671.7864913572,2409.54811002267,2431.15391032194,238.811061525094,476.431466833797,1294.7052233434,1027.74798492026,658.831303342317,370.307981269024,266.717004638099,231.174806180296,286.085150699356,382.897515616967,442.555681142476
5,AL-Huntsville,3002.49555969238,6129.09578539316,3278.97975345902,2841.58308730807,2386.64629478062,206.111592402889,592.507915131733,1520.9279909936,1179.80044247381,841.833835512101,338.215243730929,341.446004591261,248.407228377092,295.876850828839,90.8825156759368,453.563237908855
6,AL-Mobile,3790.57653808594,6273.2195287869,3634.0577294553,2639.14173232731,2485.8409385466,226.586526356044,561.288087477664,1403.50538427297,1071.1980602658,716.490572447191,355.42947722007,332.270917624019,221.971399973251,361.659015201328,348.200039378481,397.110894668974
7,AL-Montgomery,2335.82972717285,5640.96240247141,3079.81013517221,2565.14773346797,2027.30208675594,348.502551822474,385.103767344379,1474.83744954761,1089.77868688912,762.327405692008,327.232831082652,385.662348016137,230.320613145807,304.195244762029,216.182764798322,345.475315679104
9,AL-Tuscaloosa,1380.9979095459,6747.39059999012,4035.32633433146,2709.82073027204,2958.62155094868,336.264132843614,527.234531959977,1390.02593634463,1037.17602552563,683.039213847234,356.202516071643,353.153319480841,191.977014667777,450.954623068048,-124.250575043858,421.853873121881
10,AK-Anchorage,1673.16418457031,6417.68003999966,3930.09291336268,2497.39634350088,3171.29860673731,196.944530480245,1001.50583656436,1040.26464574868,809.982164157253,526.864991954572,281.569521683785,230.708388283624,116.82184372296,243.005306225162,,392.062611511561
11,AZ-Mesa,2709.82490539551,6127.27166368078,3348.22779038638,2775.97306832292,2283.05102884062,309.519137902728,438.728687906167,1705.40356638617,1246.24301735597,848.220856948442,397.555992834235,458.860741800082,168.292770701519,188.702961016748,283.351237558009,353.030476587082
12,AZ-Phoenix,9447.3973236084,6099.24387415528,3393.35693325288,2702.26137477402,2406.58046640661,288.634550335171,480.619491280497,1574.57083636265,1156.85129456447,782.882701372532,373.261111788896,417.202312436138,167.18470746344,169.110094627506,258.662329373751,320.289892936385
14,AZ-Sun City,2124.0779876709,5790.74709795377,2919.47160988733,2874.87219194049,2080.28619546234,395.74095561559,457.284829246006,1872.94207002986,1342.0712645817,887.701711185966,453.788946984546,531.195416707752,115.302130781058,109.287443659707,194.840469905589,177.455733431448
