HSA #,HSA name,State,Medicare enrollees (2011),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)"
49001,Abingdon,VA,6646,8548.62,9848.87,3769.81,4686.83,2078.26,2216.69,1128.63,1241.8,926.18,1020.78,325.41,384,360.53,357.54
49002,Alexandria,VA,20625,8605.4,8305.41,3741.66,3714.82,2840.75,2649.01,1072.92,1019.19,427.98,407.33,366.84,356.3,167.59,167.14
49003,Arlington,VA,16298,8079.92,7838.54,3374.87,3400.52,2681.39,2506.38,1010.41,960.82,461.15,438.85,399.15,375.11,159.13,158.15
49004,Bedford,VA,5706,7185.93,7744.8,3213.29,3604.77,2127.08,2179.69,933.48,993.78,392.46,417.37,269.76,306.15,236.29,235.81
49005,Big Stone Gap,VA,1370,9906.38,11392.9,4916.83,5884.04,2451.15,2753.59,1095.23,1208.75,1088.66,1201.97,97.79,98.34,307.07,304.1
49006,Blacksburg,VA,6577,8381.54,9201.46,3812.1,4305.27,2278.06,2435.42,1078.24,1153.66,583.56,630.16,298.02,348.12,334.73,335.67
49007,Charlottesville,VA,28524,7649.7,7790.67,3689.85,3663.02,1859.4,1948.72,1252.26,1289.9,335.53,343.96,327.07,359.83,181.97,182.11
49008,Chesapeake,VA,13376,8471.91,9389.87,3768.08,4411.96,2680.96,2857.91,1031.85,1079.8,515.98,539.07,218.83,244.1,256.33,255.5
49009,Clintwood,VA,1434,9999.18,11364.65,4216.34,4910.1,2332.13,2699.74,1491.62,1645.41,1525.74,1682.75,97.05,105.14,415.81,413.82
49010,Culpeper,VA,4829,8521.86,8736.48,4294.5,4267.83,2389.86,2549.03,1140.97,1188.68,265.42,264.68,193.19,227.26,214.72,214.88
49011,Danville,VA,13787,8100.12,8670.86,4195.66,4580.98,2408.6,2500.36,860,918.9,241.29,260.03,114.01,129.76,294.29,295.73
49012,Emporia,VA,3360,8590.65,9368.44,4628.62,5141.33,2163.14,2330.48,1113.76,1190.78,318.4,344.63,90.24,98.32,249.88,247.32
49013,Fairfax,VA,6531,8222.5,8119.4,3499.5,3619.33,2802.83,2642.32,849.58,817.79,405.92,389.63,500.1,490.3,161.83,161.06
49014,Falls Church,VA,46387,8051.32,7681.17,3350.92,3250.61,2855.59,2656.08,863.48,824.06,379.8,362.49,426.56,414.85,158.73,157.47
49015,Farmville,VA,3890,7877.87,8787,3789.05,4449.38,2059.43,2131.65,1184.37,1280.03,259.95,279.95,304.69,363.86,290.78,288.06
49016,Franklin,VA,3340,7567.81,8166.27,3630.31,4004.76,2205.04,2308.71,1027.39,1102.8,366.06,394.55,100.81,115.38,246.31,245.56
49017,Fredericksburg,VA,25590,9506.47,9911.24,4645.17,4982.84,2889.04,3015.64,971.11,930.59,415.73,399.17,363.04,363.94,221.55,220.34
49018,Front Royal,VA,4072,8215.39,8264.98,4166.42,4072.92,2068.41,2255.96,1028.89,994.29,297.99,297.03,453.76,439.65,206.74,203.65
49019,Galax,VA,7607,8537.37,9378.35,3986.69,4284.46,1971.76,2299.99,1143.68,1238.22,913.48,1008.39,185.54,207.66,374.05,378.37
49020,Gloucester,VA,7180,7447.31,8109.51,3189.21,3581.66,2164.24,2332.18,1179.22,1233.75,342.51,357.63,277.98,314.15,277.04,275.22
49021,Grundy,VA,2183,9383.29,10577.82,5040.76,5588.63,1787.51,2166.54,1316.9,1455.06,787.05,870.91,170.35,204.31,341.55,344.55
49022,Hampton,VA,7960,7987.54,8573.55,3307.81,3735.01,2755.88,2804.29,1084.79,1135.27,422.53,440.89,195.25,220.55,254.01,256.29
49023,Harrisonburg,VA,16038,8074.98,8325.8,4326.85,4359.31,1664.2,1779.49,1440.92,1496.95,275.8,286.72,183.27,213.04,188.95,188.73
49024,Hopewell,VA,4393,9232.04,9900.62,4807.51,5291.54,2598.35,2757.32,851.12,866.66,443.31,451.22,283.35,291.52,248.22,245.58
49025,Hot Springs,VA,970,9942.27,9904.87,5601.94,5196.72,1581.25,1677.88,2061.61,2257.86,283.41,310.6,141.55,169.37,239.07,238.32
49026,Kilmarnock,VA,7510,7150.41,7630.99,3023.95,3136.25,2103.48,2305.24,1179.7,1257.06,268.91,289.41,373.51,447.17,199.4,196.64
49027,Lebanon,VA,3497,9826.59,11363.96,4500.1,5497.16,2098.51,2346.05,1216.3,1341.81,1433.93,1581.4,279.3,331.11,418.48,413.81
49028,Leesburg,VA,12363,8735.5,8757.65,3688.06,3796.63,2935.64,2937.74,909.37,864.44,436.27,414.72,569.83,551.63,189.55,185.58
49029,Lexington,VA,4509,7673.74,8078.71,3771.18,3813.56,1799.93,1975.87,1258.59,1367.1,349.71,380.08,207.42,253.54,287.16,286.38
49030,Low Moor,VA,3860,8462.12,9366.19,4393.79,5052.27,2143.66,2216.84,1101.02,1192.83,311.58,337.67,272.09,332.56,232.7,231.62
49031,Luray,VA,2737,8947.42,9791.42,4855.25,5254.26,1582.36,1856.28,1653.59,1758.31,378.42,380.82,270.7,324.56,212.66,213.3
49032,Lynchburg,VA,28040,7814.66,8522.13,3843.14,4352.67,2159.39,2218.78,866.87,933.07,363.67,393.17,356.58,399.07,227.22,227.34
49033,Manassas,VA,12584,8796.59,8723.36,3812.4,3857.44,2745.26,2717.91,1001.58,950.89,534.92,507.52,500.02,490.33,215.72,213.21
49034,Marion,VA,4744,8601.94,9715.49,3750.91,4516.99,2229.01,2324.89,1199.8,1321.23,729.92,805.37,348.95,417.75,358.87,362.94
49035,Martinsville,VA,9783,7360.64,8141.05,3798.25,4287.49,1844.03,2006.13,1031.26,1117.05,323.62,351.89,87.95,103.9,268.35,267.37
49036,Nassawadox,VA,5460,8207.9,8861.12,3578.97,3907.33,2151.7,2235.88,1349.96,1460.12,443.22,480.55,486.63,573.81,209.96,208.77
