State #,State name,Medicare enrollees (2011),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)","Price, age, sex & race-adjusted – v"
1,Alabama,471540,8911.18,10083.1,3852.13,4642.47,2561.05,2677.16,1047.84,1154.96,641.69,714.1,548.3,641.73,275.64,272.73
2,Alaska,48314,8725.9,7008,4582.05,3370.71,2209.73,1888.21,1296.19,1157.17,263.25,234.18,128.57,118.74,148.26,148.04
3,Arizona,449419,9325.65,9196.04,4123.23,4076.61,3116.12,3119.17,927.09,902.2,321.1,309.98,596.48,547.88,234.35,230.18
4,Arkansas,326417,8484.27,9497.79,4147.91,4904.68,2247.5,2338.16,1035.39,1134.92,445.83,494.59,313.6,335.99,292.24,290.94
5,California,2079302,10719.5,9336.37,5425.69,4519.3,3144.02,2948.78,1076.31,916.38,505.34,435.51,320.02,270.06,244.09,241.52
6,Colorado,302208,8491.64,8567.47,3908.46,4000.29,2290.04,2314.37,1132.67,1111.23,432.89,422.65,409.96,396.45,312.71,318.04
7,Connecticut,344264,10352.51,9101.72,5341.53,4521.76,2940.77,2790.29,1077.37,931.9,575.71,497.25,231.42,184.7,198.67,196.1
8,Delaware,112352,9679.84,9375.04,4484.36,4252.67,2775.71,2778.73,1169.35,1128.21,329.39,315.32,720.45,697.82,223.06,223.23
9,District of Columbia,43763,9071.99,8127.54,4623.97,3989.23,2628.19,2433.54,1164.19,1099.56,292.52,275.36,277.68,258.98,166.55,167.1
10,Florida,1819990,10931.82,11240.15,4357.1,4782.59,3848.84,3737.03,1006.98,1034.39,970.22,985.2,486.96,437.77,251.15,253.88
11,Georgia,693835,8917.15,9484.93,3820.91,4243.73,2676.03,2738.79,1109.65,1156.08,513.7,532.19,554,573.32,261.03,258.43
12,Hawaii,82718,7244.67,6953.96,3464.73,3222.41,2066.85,2075.53,1152.08,1102.82,128.43,123.02,327.27,322.39,116.28,114.18
13,Idaho,125148,7587.93,8167.29,3430.15,3557.56,1637.85,1929.17,1456.2,1540.66,379.19,395.48,408.73,461.01,270.09,273.64
14,Illinois,1278430,10065.04,10103.43,4935.12,5060.75,2586.42,2534,1308.52,1309.22,709.3,690.99,291.04,276.4,234.03,231.26
15,Indiana,631455,9307.89,10094.22,4731.1,5159.93,2242.61,2520.79,1344.1,1389.29,430.87,443.92,296.77,313.66,262.82,263.94
