County ID,County name,Medicare enrollees (2011),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2011)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2011)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2011)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2011)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2011)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2011)"
2105,2105,255,8316.91,6581.79,4483.15,3207.33,2348.98,2047.79,966.15,860.99,327.64,310.59,,,57.65,60.9
2195,2195,418,11596.59,9477.68,5885.68,4266.24,2127.33,1998.28,2978.84,2659.29,102.82,91.47,,,111.88,111.65
2198,2198,538,6980.58,5750.44,3001.34,2172.09,1997.32,1789.38,1423.35,1273.81,115.14,100.22,,,121.64,121.08
2230,2230,92,7498.74,6457.46,4611.94,3729.28,1826.63,1726.59,699.93,631.89,,,,,160.33,163.36
2275,2275,336,11118.92,9778.35,5950.38,5073.52,1610.08,1513.67,2998.3,2679.36,,,,,97.31,101.15
8014,8014,2458,8321.75,8403.58,3129.96,3272.69,2648.19,2673.93,996.81,958.57,492.89,470.84,778.28,753.36,258.01,261.73
2013,AK-Aleutians East Borough,77,5810.46,4465.74,,,2556.28,2273.88,710.9,617.8,,,,,84.9,87.44
2016,AK-Aleutians West Census Area,89,4554.12,3413.39,,,1531.85,1241.56,624.34,547.42,,,,,,
2020,AK-Anchorage Municipality,18179,7905.94,6649.84,3977.51,3225.54,2281.35,1932.71,988.14,880.69,278.99,249,164.97,151.5,167.7,168.41
2050,AK-Bethel Census Area,799,7281.3,5221.16,4040.98,2518.72,2081.76,1770.33,910.1,795.91,,,,,54.82,55.24
2060,AK-Bristol Bay Borough,49,7091.97,4921.56,,,1289.07,1078.73,612.76,537.23,,,,,111.38,112.31
2068,AK-Denali Borough,192,9758.6,7496.37,6096.33,4261.94,2256.91,1941.44,1045,930.45,,,,,64.54,65.23
2070,AK-Dillingham Census Area,279,11868.63,5741.39,8218.91,2920.84,1464.61,1222.45,1211.03,1061.95,,,,,148.47,144.59
2090,AK-Fairbanks North Star Borough,5418,8953.66,6659.4,4961.82,3120.61,2289.04,1976.09,1222.98,1100.05,228.85,206.49,33.96,30.63,119.76,116.98
2100,AK-Haines Borough,354,9828.9,8271.01,5288.61,4184.44,2756.12,2471.51,1462.99,1315,,,,,122.94,118.68
2110,AK-Juneau City and Borough,2437,8406.77,6892.59,4421.21,3325.31,1961.24,1719.8,1302.6,1172.78,264.18,239.25,302.23,283.12,105.01,104.81
2122,AK-Kenai Peninsula Borough,5783,9432.2,7809.06,4930.91,3850.01,2029.24,1724.04,1852.62,1655.14,265.7,237.83,49.59,45.32,158.51,155.81
2130,AK-Ketchikan Gateway Borough,1260,10763.22,8917.78,5739.61,4351.51,1830.54,1674.62,2103.63,1894.68,801.72,713.21,,,157.71,157.61
2150,AK-Kodiak Island Borough,802,9907.91,7181.83,5687.38,3485.25,1630.83,1352.66,1925.4,1734.16,281.79,251.13,,,111.24,111.21
2164,AK-Lake and Peninsula Borough,161,8787.67,6225.86,5734.73,3707.4,1850.26,1566.5,826.18,721.09,,,,,96.99,93.7
2170,AK-Matanuska-Susitna Borough,6290,8669.29,7003.14,4454.87,3340.15,2383.2,1992.2,971.52,863.03,380.73,336.24,284.16,268.72,184.43,185.75
2180,AK-Nome Census Area,485,10220.62,7181.08,5156.79,2941.83,1464.6,1131.2,2527.94,2220.11,,,,,83.05,85.1
2185,AK-North Slope Borough,443,9139.11,6552.52,4869.17,2852.01,2025.32,1770.47,1739.55,1532.91,,,,,68.46,68.49
