HRR Name,State,Number of Medicare beneficiaries,"Inpatient decompression for lumbar spinal stenosis per 100,000 Medicare beneficiaries","Inpatient fusion for lumbar spinal stenosis per 100,000 Medicare beneficiaries"
Birmingham,AL,1398742,124.606182435802,44.6934240501728
Dothan,AL,282577,121.335128112768,49.984676331854
Huntsville,AL,402264,118.482879347779,65.4068229282497
Mobile,AL,464724,119.594656758516,44.8426816283022
Montgomery,AL,272362,96.2275218834623,37.2215363750517
Tuscaloosa,AL,167593,82.2127940878697,27.9672060773165
Anchorage,AK,254882,63.4636095088055,35.467241324316
Mesa,AZ,398308,74.910992570135,34.194865843512
Phoenix,AZ,1324677,76.6484867944754,31.9243448769296
Sun City,AZ,267810,93.1476989098618,49.9787702844869
Tucson,AZ,572030,97.5812165919547,49.6641191618358
Fort Smith,AR,250102,62.8296295647866,24.1232732298569
Jonesboro,AR,174688,100.29738557658,24.5660904431086
Little Rock,AR,1130527,109.535273840592,27.6056217215983
Springdale,AR,292036,61.0225155260388,22.5100021768349
Texarkana,AR,194169,127.974063405683,27.3564860718146
Orange County,CA,1061288,46.7263052301472,30.8438211713666
Bakersfield,CA,372840,63.0684475406158,18.3929249177062
Chico,CA,237544,80.4782399398662,29.7166400592059
Contra Costa County,CA,332781,52.5190165267852,24.9893080277878
Fresno,CA,465467,37.0429740363214,12.5225864753734
Los Angeles,CA,3308910,61.7057600921702,22.7558041741516
Modesto,CA,366226,74.2894135161552,26.1255495398899
Napa,CA,183811,67.6274230290562,25.4158758387641
Alameda County,CA,480509,48.3286572014502,14.9359641975648
Palm Springs/Rancho Mirage,CA,220793,66.1206085857316,36.9212942230914
Redding,CA,275138,54.1470780085097,18.9183961101126
Sacramento,CA,978357,67.8967149594449,28.8543398453133
Salinas,CA,219866,108.466986200075,39.3304349006922
San Bernardino,CA,664846,54.1838738413813,22.9825980914786
San Diego,CA,1205041,57.6924103696088,29.1993105453822
San Francisco,CA,611589,62.248901411397,19.8691472422531
San Jose,CA,577960,60.7662089011455,17.6095653261826
San Luis Obispo,CA,170941,63.8977658195586,21.1847067903928
San Mateo County,CA,327617,82.8222736033539,26.0833286033152
Santa Barbara,CA,234230,153.929948627662,44.9517050514153
Santa Cruz,CA,127842,140.3908553921,21.6076805314681
Santa Rosa,CA,214000,47.6286223787608,28.5074595119196
Stockton,CA,224961,63.0721279640525,40.1860235453266
Ventura,CA,361823,121.052399434267,45.8620014395211
Boulder,CO,101347,110.644059846361,68.4075368285426
Colorado Springs,CO,381179,47.8957454818089,41.1200692306207
Denver,CO,848970,89.6392296565048,46.1277916559067
Fort Collins,CO,168987,120.493492661733,59.8051680016857
Grand Junction,CO,159589,91.045322447777,64.2930004113182
Greeley,CO,185433,146.791128404173,64.0118043633232
Pueblo,CO,103911,43.9557857468626,42.5058485396919
Bridgeport,CT,419634,82.7101454514672,23.9518086814707
Hartford,CT,1039959,69.9892145223572,39.5345637595577
New Haven,CT,965608,54.7318933681973,34.7630043976114
Wilmington,DE,500184,40.6231484530367,30.6607049051996
Washington,DC,1441278,81.2947884216989,39.5875307299932
Bradenton,FL,261124,85.5164467590859,127.493294978403
Clearwater,FL,385591,84.6920587526361,48.6121388532587
Fort Lauderdale,FL,1715571,68.1588119551026,65.9420805457916
Fort Myers,FL,1053852,112.678851817,47.694377328901
Gainesville,FL,373306,104.674250859846,49.5173844743203
Hudson,FL,349227,100.796562231287,45.0846919451084
Jacksonville,FL,854278,84.6013164357734,35.5962197025552
Lakeland,FL,229025,79.4496631883495,43.2097428946142
Miami,FL,1068243,31.845212894261,31.4980977264047
Ocala,FL,637897,134.917633619599,59.9643554990561
Orlando,FL,2222114,65.5585583861094,54.1672685292721
Ormond Beach,FL,301636,53.8515454576373,27.6899759143782
Panama City,FL,157359,46.7656455888508,64.6178064961136
Pensacola,FL,527166,102.030113812751,41.4746431149875
Sarasota,FL,547740,77.2244183041599,80.5471144083203
St. Petersburg,FL,278090,118.085200206204,36.4322800489743
Tallahassee,FL,420477,68.9921443003964,61.2475988827633
Tampa,FL,542844,67.0838213015582,30.4563733077902
Albany,GA,125218,53.0481835045313,52.9096398585966
Atlanta,GA,2441602,65.7138344817147,32.7935112614535
Augusta,GA,396573,66.7226537522948,47.8921668519387
Columbus,GA,195141,124.963982980669,81.7022875987587
Macon,GA,435234,58.6618247825105,39.5772733385348
Rome,GA,188040,87.0560894540452,35.6198768724146
Savannah,GA,488566,97.2826138138636,58.6521546026485
Honolulu,HI,576993,40.3276053438248,26.8140757466888
Boise,ID,401406,120.203549770375,86.9200294675347
Idaho Falls,ID,110210,59.6210734599242,70.9022712393807
Aurora,IL,111932,43.7388759708986,21.5476871989739
Blue Island,IL,572392,59.8677869066263,51.8797658320414
Chicago,IL,1238208,46.4268947809275,28.4296274880609
Elgin,IL,364742,68.471260878053,39.0918188781249
Evanston,IL,756091,86.8820277093249,51.9460533688713
Hinsdale,IL,249779,73.5447052440236,48.0007835532713
Joliet,IL,372502,65.3946298756943,36.9174286430887
Melrose Park,IL,777643,69.609301833073,34.9515669835959
Peoria,IL,500641,73.3378287635717,33.6688341329867
Rockford,IL,503483,60.6001536601905,41.9782377825478
Springfield,IL,725016,77.7319394459747,79.8514101818598
Urbana,IL,293657,147.660390731666,33.7464906824056
Bloomington,IL,106732,186.646838014278,72.5028011765777
Evansville,IN,523772,83.2534256495252,31.9931351245504
Fort Wayne,IN,521594,67.8243768026437,83.4965669065843
Gary,IN,357341,64.4273562051339,53.1493456318388
Indianapolis,IN,1729082,69.9479200666933,36.2194308996179
Lafayette,IN,120404,71.7464756628771,68.0506241959436
Muncie,IN,133807,98.4214095689809,71.7123944367581
Munster,IN,221961,82.2240849798669,53.8714842526448
South Bend,IN,463173,34.8086080557072,74.2836987663388
Terre Haute,IN,141641,49.9449164129091,32.8740843261917
Cedar Rapids,IA,199297,74.3838276794379,20.3512329320881
Davenport,IA,379339,107.51305641627,54.2806453318057
Des Moines,IA,785272,101.835104912504,40.5569508662466
Dubuque,IA,87363,139.241386213757,32.8922316094193
Iowa City,IA,232634,118.306668657903,56.7699223011156
Mason City,IA,149020,216.748480641847,89.1893203750192
Sioux City,IA,206199,112.571127038718,48.3247124425527
Waterloo,IA,159472,88.0331166943246,44.7932048998594
Topeka,KS,321952,98.2979665096946,66.5540585414192
Wichita,KS,974015,92.7423699006025,58.433772759083
Covington,KY,200691,83.3486216034236,18.002229137522
Lexington,KY,915667,50.0004604430892,27.9265163563503
Louisville,KY,1098043,68.9268870390473,39.7991663855772
Owensboro,KY,107837,116.046715374071,31.9734598307957
Paducah,KY,324320,63.7314598762737,60.4007622915008
Alexandria,LA,204932,106.418450882779,49.6659379933636
Baton Rouge,LA,370119,38.0370006571609,30.6249639831055
Houma,LA,145992,73.7650859840631,56.4466394216604
Lafayette,LA,378712,48.9332697857249,60.3575503679639
Lake Charles,LA,165315,94.8043536874569,43.1476736651054
Metairie,LA,207018,53.6931231635085,29.3306886001988
Monroe,LA,201108,166.795377484198,38.4544104085988
New Orleans,LA,235393,48.5889181944598,37.2423318304014
Shreveport,LA,486473,124.013116992988,34.9777563345921
Slidell,LA,92030,167.261559487624,42.0800029816947
Bangor,ME,343868,83.6133505345646,9.1533269235693
Portland,ME,813159,91.559354515914,27.0276910792925
Baltimore,MD,1598239,91.2533321458139,48.8750875499183
Salisbury,MD,393863,54.028822076127,38.7845542951113
Takoma Park,MD,440271,70.0139008610337,50.4211676529001
Boston,MA,2905066,85.3517409985915,26.7756351496305
Springfield,MA,469764,72.0465875374752,33.6586397319606
Worcester,MA,307221,77.4194076824783,50.205425054238
Ann Arbor,MI,771202,83.6907487413355,41.0699651733422
Dearborn,MI,342156,73.3375034831821,52.1043055386101
Detroit,MI,1108678,95.1292029694027,54.3108263156753
Flint,MI,339333,88.073613643955,39.9342354970895
Grand Rapids,MI,605380,106.320791920945,89.8551235993294
Kalamazoo,MI,432238,96.4015830477657,55.4194446708839
Lansing,MI,388435,134.802950737465,27.1026915959716
Marquette,MI,171068,116.600235651574,19.5950474978139
Muskegon,MI,178442,131.925247351884,57.9305974984577
Petoskey,MI,153544,74.0314293642314,52.3078588958924
Pontiac,MI,239421,102.473829184911,53.81191655339
Royal Oak,MI,459439,83.9961411987454,69.3863113331106
Saginaw,MI,555906,100.317449006333,68.0726703670961
St. Joseph,MI,109088,100.337344440035,22.4082915687175
Traverse City,MI,206670,117.289622881876,54.6093757020091
Duluth,MN,257760,96.8821852134034,36.779530070515
Minneapolis,MN,1434362,102.220914240402,45.9447004693374
Rochester,MN,298010,104.115222426893,21.0559332234571
St. Cloud,MN,130611,166.661141035792,20.4066572272218
St. Paul,MN,400552,123.390368322245,41.8537810868164
Gulfport,MS,114522,104.005428119107,41.6364738153121
Hattiesburg,MS,195547,60.624169092068,69.3764987969004
Jackson,MS,666746,75.3904579304428,33.2671237073141
Meridian,MS,149597,79.0194668650602,20.4918639083643
Oxford,MS,97154,79.6263320165809,23.0247515914062
Tupelo,MS,269844,66.5448695088698,17.8519942682808
Cape Girardeau,MO,218620,85.4914613483143,34.3526894376559
Columbia,MO,520521,70.181031610104,54.2195941123648
Joplin,MO,292890,89.7480543584661,50.306626017043
Kansas City,MO,1338356,112.737789607944,40.1938053584892
Springfield,MO,594758,56.0670898617239,41.6523545240049
St. Louis,MO,1977157,68.5115572164075,32.6153753444358
Billings,MT,394864,125.922755594051,54.7312747044632
Great Falls,MT,113357,79.7680567798316,40.4941321523156
Missoula,MT,274625,78.6271550062062,48.6655204841442
Lincoln,NE,445555,123.497673158536,43.4852506965768
Omaha,NE,847677,119.111117746592,45.2930381658925
Las Vegas,NV,694803,68.3032674618524,40.6384091983182
Reno,NV,419773,81.837509615095,44.8833912134107
Lebanon,NH,346236,70.9702624047988,32.2679264063059
Manchester,NH,576524,81.2240319518254,35.1308772301623
Camden,NJ,2018098,48.394368849121,24.6900837108596
Hackensack,NJ,855222,43.5330623536916,27.1802793677775
Morristown,NJ,657767,64.7833156384964,35.71277141588
New Brunswick,NJ,609813,48.4759870250728,23.7379945304711
Newark,NJ,828334,35.789377863215,18.6194371078027
Paterson,NJ,242770,63.3756113147259,20.0147459473203
Ridgewood,NJ,276298,59.9511837904412,21.6423765491145
Albuquerque,NM,798793,71.9907744597233,33.4969206253002
Albany,NY,1232672,65.8907465142393,33.8150420874183
Binghamton,NY,297971,55.2164498674896,55.0963411745665
Bronx,NY,447503,25.3365805167811,17.4744077372794
Buffalo,NY,692313,70.9906237251416,26.8522890127232
Elmira,NY,266299,61.8677134154429,20.3877588244949
East Long Island,NY,2629006,38.4914205586405,30.9037247119277
Manhattan,NY,2320335,35.636992138908,23.1570224671199
Rochester,NY,499889,100.218131847036,37.5214651637502
Syracuse,NY,729887,83.0245966824808,27.7063463522013
White Plains,NY,712135,57.6062647349004,31.4610825469912
Asheville,NC,578469,74.6891918896802,47.242885644226
Charlotte,NC,1270661,72.3719161314595,65.159446665426
Durham,NC,845359,91.7461836442633,37.1437572870195
Greensboro,NC,315613,84.0214146572178,28.2864787980502
Greenville,NC,560227,69.9307073080526,31.8589695626611
Hickory,NC,203696,88.715706296666,51.8664492197756
Raleigh,NC,938652,83.073586416291,36.4312528821277
Wilmington,NC,306199,82.7114030249313,50.1919139465932
Winston-Salem,NC,610810,66.0390783814806,39.1891720638319
Bismarck,ND,184179,130.194913347678,44.4091593707683
Fargo/Moorhead MN,ND,375347,110.314008995273,33.6798675043563
Grand Forks,ND,123966,95.8289748181473,24.986081092746
Minot,ND,104868,88.8757422659557,37.3038390514671
Akron,OH,376023,141.962568052548,76.4058132679551
Canton,OH,385753,108.116868295196,54.7130935160256
Cincinnati,OH,879493,73.4228440254473,41.908594593727
Cleveland,OH,1340774,75.9627365367053,57.2234414030331
Columbus,OH,1636441,64.6025970958313,55.4705746369548
Dayton,OH,711358,72.8507542732057,51.4353255648444
Elyria,OH,163416,95.1065672254859,31.693419066779
Kettering,OH,255125,64.3530866719008,65.0599290393005
Toledo,OH,607040,131.703508070703,50.9717572262688
Youngstown,OH,448648,78.9218876714333,55.3830792077865
Lawton,OK,138559,112.702501282411,47.5594147535905
Oklahoma City,OK,1176503,95.741218730341,29.298634461729
Tulsa,OK,788484,76.917002512088,29.3033283374344
Bend,OR,121059,154.179361676099,33.0636718475952
Eugene,OR,391361,149.841960692748,57.2190436982778
Medford,OR,323665,107.176813624152,60.1484006425275
Portland,OR,898954,148.963856921418,42.2773218036956
Salem,OR,100701,127.534237793702,47.297838318813
Allentown,PA,824563,89.5144634404475,33.4700119071572
Altoona,PA,179896,54.347129030888,50.4464542604521
Danville,PA,360304,70.1304593526341,41.6372181369979
Erie,PA,512378,93.5655637023907,37.4817624303896
Harrisburg,PA,696969,85.7682609166469,64.6040184476602
Johnstown,PA,113991,93.3494135834215,44.82123921139
Lancaster,PA,423965,159.315492400486,54.4395362108278
Philadelphia,PA,1955482,64.6709357082019,27.1145865015635
Pittsburgh,PA,1504518,111.130787759664,59.1182022619036
Reading,PA,394268,61.5211490341665,40.5586695163556
Sayre,PA,155201,67.6922203532626,37.5114318346867
Scranton,PA,270765,89.8439336003914,17.0779520634632
Wilkes-Barre,PA,219944,47.4182548902627,25.2431312613684
York,PA,297112,136.059980091235,62.4096206486511
Providence,RI,615563,55.1992243261029,43.1299027177764
Charleston,SC,651793,98.6070558704042,71.8567384647019
Columbia,SC,726297,85.8771397637595,58.5436894206436
Florence,SC,241915,103.277005883851,74.737520778923
Greenville,SC,564871,97.9726918211938,36.4265370569537
Spartanburg,SC,246860,100.170498916457,25.9559710164257
Rapid City,SD,151118,77.3595127903046,51.804290245682
Sioux Falls,SD,652940,86.2938558660305,72.9801971674279
Chattanooga,TN,451315,50.6779079424929,31.7509087493818
Jackson,TN,267675,67.5018379891731,24.0093701286767
Johnson City,TN,174303,48.4709360280077,37.4952606115195
Kingsport,TN,307496,57.7996919553047,29.9166802977945
Knoxville,TN,846740,70.6477253400604,35.7918340700426
Memphis,TN,1021060,59.3874487848665,23.4537747291368
Nashville,TN,1446374,88.0888177400897,67.8604252940114
Abilene,TX,246124,71.1831393015241,39.3048832076785
Amarillo,TX,302164,131.978176533638,32.7625336739577
Austin,TX,635194,79.8284628846327,49.9807470595731
Beaumont,TX,298469,96.7946219204816,32.6741576878775
Bryan,TX,121785,155.730839916497,35.0888693350947
Corpus Christi,TX,278392,70.4566567330252,44.2320778220266
Dallas,TX,1913948,70.2661490146083,40.2886103695097
El Paso,TX,543167,57.475787029161,35.0747992035996
Fort Worth,TX,812985,55.7824017078542,47.5215704542409
Harlingen,TX,266872,85.5165418569532,40.8348046000697
Houston,TX,2405919,103.299798660958,27.7038083609439
Longview,TX,144511,118.018885579461,67.942493537131
Lubbock,TX,444739,81.9433873752245,34.4584230021773
McAllen,TX,255625,73.2156865542224,37.9038942784211
Odessa,TX,206455,110.86104440641,62.3113882846995
San Angelo,TX,125445,85.5354112705034,34.6655094689022
San Antonio,TX,1184382,55.3599714792952,39.6079872129983
Temple,TX,156536,36.7599103604818,27.8010762050847
Tyler,TX,434016,106.327320776048,88.5319701170564
Victoria,TX,119113,78.1169931468398,38.0066410996403
Waco,TX,219028,44.2325441556537,43.7677248199164
Wichita Falls,TX,163689,74.3371729781071,42.7567387837151
Ogden,UT,183192,94.3508291482468,29.1575151254252
Provo,UT,161789,89.8540472129157,30.7764853715068
Salt Lake City,UT,836139,80.9274407396133,45.6750299883061
Burlington,VT,449412,59.1386491180681,29.968563476623
Arlington,VA,866789,52.4598252998365,66.489686734713
Charlottesville,VA,400815,99.2403710177747,48.5093409892417
Lynchburg,VA,197415,150.957585507878,27.8988391966167
Newport News,VA,362626,104.508153676721,87.4370978599441
