State Number,State Name,Medicare enrollees (2013),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2013),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2013)
1,Alabama,686634,5.19340049116303,5.30907581138673
2,Alaska,62882,4.38825410831145,4.43758152466938
3,Arizona,886893,4.17337753309364,4.14843077778394
4,Arkansas,431126,5.20002205581876,5.33251606291122
5,California,4523401,3.79232845950482,3.95199590051646
6,Colorado,613884,4.01146309760199,4.1513511620295
7,Connecticut,521094,3.98979944989736,4.23123606206444
8,Delaware,139747,4.15777956578075,4.16366874613358
9,District of Columbia,67428,3.88919286812261,3.87594755340298
10,Florida,3195906,4.09040537461403,4.48881651068943
11,Georgia,1124626,4.77320420944579,4.97652549340478
12,Hawaii,203394,3.55074478437107,3.61331627623421
13,Idaho,216580,4.37820820745204,4.74923102773267
14,Illinois,1669018,4.28821082965344,4.41035466126332
15,Indiana,886157,4.86959990000414,5.13463796585675
16,Iowa,467780,4.39716700446531,4.56740970281731
17,Kansas,388779,4.52292657369147,4.67075072212965
18,Kentucky,611845,5.19234870590433,5.52776778156351
19,Louisiana,575561,5.05848594926626,5.43775153068654
20,Maine,229248,4.50389799607545,4.81807368558042
21,Maryland,742347,4.22684173951597,4.21197654503051
22,Massachusetts,944069,4.14067719157506,4.29129867428946
23,Michigan,1445970,4.57765042755076,4.98640491193852
24,Minnesota,732286,4.07482672099811,4.24419359685952
25,Mississippi,397691,5.29547385107243,5.46540586168462
26,Missouri,864348,4.72679369581571,5.03745188304594
27,Montana,158470,4.49874708421457,4.734484377923
28,Nebraska,254047,4.38225727262461,4.50035713796556
29,Nevada,350144,4.83940210632549,4.92196993440524
30,New Hampshire,199895,4.20871258115934,4.31567157348945
31,New Jersey,1225464,4.10905731964963,4.25646337155605
32,New Mexico,282451,4.24332050877802,4.46670044294243
33,New York,2656961,4.01618936053695,4.26603629821111
34,North Carolina,1327843,4.66381227756408,4.80936082296473
35,North Dakota,98199,4.21846198163665,4.45198330194727
36,Ohio,1689093,4.6612575036332,5.12013498313695
37,Oklahoma,519882,5.24877931594086,5.49974709928982
38,Oregon,588663,4.38211611863897,4.60876434289823
39,Pennsylvania,2014714,4.51540978483647,4.83192662623114
41,Rhode Island,157971,4.21447046900717,4.37549066553641
42,South Carolina,693786,4.74782328307284,4.84444086187672
43,South Dakota,127066,3.97050394555695,4.24404890693705
44,Tennessee,911962,5.14558814789092,5.37755212545809
45,Texas,2789064,4.62857768476593,4.94174167392964
46,Utah,270221,4.34386907812454,4.61950345957956
47,Vermont,100853,4.36983610353394,4.50090855205289
49,Virginia,1051532,4.39512317637477,4.47930095610342
50,Washington,921403,4.19852345459626,4.3901317687118
51,West Virginia,303328,5.30103347635282,5.51671411639098
52,Wisconsin,830960,4.35599547203824,4.84662722297563
53,Wyoming,75778,4.46249596347456,4.52672469916651
99,United States,42228444,4.38391004887606,4.63533101651047
