HRR Name,State,Percent of male enrollees age 68-74 having PSA test (2010),"Incidence of prostate cancer per 1,000 male Medicare beneficiaries","Age 75 & under - Prostatectomy per 1,000 male Medicare beneficiaries with prostate cancer","Over age 75 - Prostatectomy per 1,000 male Medicare beneficiaries with prostate cancer","Radiation treatment per 1,000 male Medicare beneficiaries over age 75 with prostate cancer","Hormone therapy per 1,000 male Medicare beneficiaries over age 75 with prostate cancer","No treatment/delayed treatment  per 1,000 male Medicare beneficiaries over age 75 with prostate cancer"
Birmingham,AL,36.87992305,9.40927,286.51838,35.8891613,364.620479,391.9341138,207.9464841
Dothan,AL,41.41990514,5.64237,281.36187,,267.8001616,298.5746063,376.4177242
Huntsville,AL,31.33982983,3.31581,239.43759,,234.1889218,276.4550819,425.4831411
Mobile,AL,36.69332507,3.58509,195.03379,,307.973607,301.4585533,325.3843576
Montgomery,AL,44.88851793,3.26584,,,,468.5150493,
Tuscaloosa,AL,34.91945692,7.66524,,,300.1422737,516.1643672,
Anchorage,AK,26.73421279,4.91922,177.04896,,,,471.457996
Mesa,AZ,39.35049756,5.14796,340.68523,,277.6100526,246.6817993,311.6975002
Phoenix,AZ,40.32404386,6.52115,298.59468,96.1787996,306.413198,271.1018455,324.6424779
Sun City,AZ,55.07683624,10.90728,248.01119,78.7381111,253.1600051,360.3461485,307.0842545
Tucson,AZ,38.58469839,6.49475,150.28415,,234.7394578,256.2546018,439.3182338
Fort Smith,AR,29.54202313,6.79476,234.19281,,,418.5214227,378.0559402
Jonesboro,AR,29.0874175,2.42106,,,,,
Little Rock,AR,43.55788528,19.2781,300.18202,68.858132,253.2629742,319.4096088,358.7808888
Springdale,AR,40.38592702,7.66061,118.8726,,297.0124941,259.2658683,443.6756499
Texarkana,AR,45.82828991,4.02576,421.9041,,,,
Orange County,CA,47.24837967,7.30478,253.75399,73.4038225,161.1037361,326.5032664,439.1849667
Bakersfield,CA,36.80480362,5.56053,174.04463,,251.8782699,453.1101705,183.3178905
Chico,CA,24.00557017,8.0169,157.99877,,170.3262356,229.7820864,500.5942113
Contra Costa County,CA,16.54374961,6.18699,129.90155,,205.5105518,334.4444146,365.352819
Fresno,CA,34.83865277,3.2651,201.05449,,,466.0693715,268.6374195
Los Angeles,CA,46.18690918,8.30299,207.6861,93.1941461,191.5548672,322.8075376,392.3259427
Modesto,CA,31.41300245,4.69806,175.04066,,233.520038,355.1376123,353.4336463
Napa,CA,9.000632257,8.22982,151.66024,,257.4108282,302.4768464,360.665367
Alameda County,CA,31.31351683,6.87555,137.64249,,344.7610374,234.3953827,352.6365555
Palm Springs/Rancho Mirage,CA,24.83368402,6.34549,411.17993,,224.1603729,228.2844124,491.4727223
Redding,CA,30.22302649,5.29467,308.96359,,210.9924821,330.5757884,394.1698
Sacramento,CA,23.85182414,6.72445,185.72961,,311.6687161,375.4243106,276.2711078
Salinas,CA,24.41795844,5.13443,,,,282.1436772,435.9295981
San Bernardino,CA,32.37671387,6.76796,183.48615,111.2557999,117.6877949,343.7660281,427.288936
San Diego,CA,37.79333936,5.12569,230.70304,86.5430909,242.9204194,324.0131168,345.9667137
San Francisco,CA,17.74945476,10.54326,153.38006,,244.4034032,238.9117178,483.6722721
San Jose,CA,38.83517596,5.3817,101.70102,,296.2977827,277.8106063,402.935566
San Luis Obispo,CA,29.41526834,5.8909,,,,,483.2664909
San Mateo County,CA,21.18507152,7.16819,177.11017,,299.5829984,208.8546755,453.4697727
Santa Barbara,CA,37.46473325,6.19024,144.00036,,227.4735171,293.4447978,417.2362658
Santa Cruz,CA,38.46472442,5.83039,,,,,461.9816429
Santa Rosa,CA,24.68398366,9.06562,151.0969,,309.3880147,236.3100362,422.6547269
Stockton,CA,11.10238786,5.63195,174.92976,,,,440.0012919
Ventura,CA,39.88949281,7.40047,137.3949,,179.0978369,301.2353029,430.3976375
Boulder,CO,21.80865438,7.66043,,,,,584.4114743
Colorado Springs,CO,19.28503654,4.23042,158.59117,,,442.7697641,390.2458735
Denver,CO,35.99257539,8.20899,133.53245,,221.2851114,237.4316794,525.932031
