HSA #,HSA name,State,Medicare enrollees (20% sample) (2009),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2009)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2009)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2009)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2009)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2009)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2009)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2009)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2009)"
49001,Abingdon,VA,1276,8327.38,9425.53,3430.13,4163.17,2204.1,2293.67,1132.01,1252.43,904.1,1002,362.84,443.07,325.52,324.19
49002,Alexandria,VA,4132,7953.83,7741.84,3257.31,3295.84,2622.46,2450.4,1103.21,1051.08,402.9,385.94,418.71,407.63,170.46,165.52
49003,Arlington,VA,2849,8267.51,7988.73,3856.89,3836.35,2535.12,2374.42,941.72,897.39,421.44,401.25,382.14,350.5,132.08,129.28
49004,Bedford,VA,664,7669.45,8443.59,3709.36,4320.11,2159.12,2222.9,1002.07,1060.17,414.31,438.79,98.43,113.79,291.41,290.97
49005,Big Stone Gap,VA,252,12193.29,13220.29,6209.44,6896.98,2872.35,2908.86,1116.31,1236.43,1442.97,1598.57,,,363.63,362.02
49006,Blacksburg,VA,1246,7378.14,8169.83,3563.79,4061.63,2033.59,2170.13,842.02,914.35,339.88,372.66,267.87,307.14,323.73,336.67
49007,Charlottesville,VA,5225,8039.58,8012.82,4158.66,3994.11,1804.89,1900.21,1218.27,1228.51,381.42,384.65,291.51,322.36,178.94,178.48
49008,Chesapeake,VA,2486,8212.93,9160.79,3701.08,4421.41,2600.31,2733.92,992.38,1044.62,484.23,509.54,181.08,194.37,254.36,254.72
49009,Clintwood,VA,286,10910.83,12150.13,4867.45,5627.77,2159.38,2245.54,1954.71,2161.61,1248.26,1383.01,,,360.69,355.93
49010,Culpeper,VA,887,7468.35,7503.72,3529.51,3408.91,2326.23,2406.03,1066.99,1107.05,219.97,236.1,133.17,152.53,171.98,172.24
49011,Danville,VA,2664,6995.96,7465.63,3356.07,3621.06,2196.15,2316.47,807.1,856.2,242.14,260.21,138.79,159.96,276.8,274.29
49012,Emporia,VA,652,9810.88,10367.76,5694.75,6002.16,2147.94,2274.51,1243.07,1332.29,265.87,289.52,,,246.49,244.51
49013,Fairfax,VA,1158,8143.71,8139.36,3734.91,3921.27,2668.31,2538.57,877.7,845.87,323.85,314.09,318.75,310.68,196.86,191.88
