State #,State name,Medicare enrollees (20% sample) (2009),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2009)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2009)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2009)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2009)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2009)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2009)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2009)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2009)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2009)"
1,Alabama,88982,8837.39,10049.78,3958.04,4750.44,2440.78,2614.11,956.6,1048.73,672.89,742.8,542.31,633.19,283.94,282.12
2,Alaska,8825,8737.12,7080.14,4597.33,3483.28,2226.65,1872.81,1268.99,1127.92,282.95,253.26,130.6,123.93,141.63,144.03
3,Arizona,83151,8922.14,8940.48,4093.38,4142.42,2904.18,2924.51,840.29,827.7,306.26,300.46,538.01,507.61,228.1,224.2
4,Arkansas,63045,8247.84,9183.54,4103.02,4755.76,2134.8,2265.03,955.03,1039.06,486.39,535.41,280.23,300.76,287.62,288.47
5,California,397769,10351.1,8975.33,5299.13,4395.24,2998.9,2789.82,1005.02,856.21,530.86,457.79,269.27,230.76,249.83,246.15
6,Colorado,56069,8307.29,8397.42,3876.1,3993.34,2227.2,2228.79,1090.23,1077.72,410.79,404.33,376,362.73,319.73,324.5
7,Connecticut,69045,10422.43,9086.41,5471.99,4611.34,2860.28,2673.11,1099.52,950.93,587.94,508.04,211.09,161.61,202.92,199.11
8,Delaware,21204,9451.18,9084.85,4540.6,4300.96,2705.61,2680.02,1058.26,998.49,339.43,323.28,606.51,579.69,214.44,215.21
9,District of Columbia,8393,8864.65,7924.78,4716.59,4054.96,2480.3,2302.18,1038.74,982.13,313.03,301.05,229.68,215.14,159.89,161.26
10,Florida,362165,10859.16,11138.94,4272.64,4657.22,3649.48,3560.53,1069.04,1090.39,1094.21,1107.1,466.45,417.57,291.03,291.05
11,Georgia,144445,8668.92,9167.3,3839.34,4192.37,2497.05,2579.85,1053.37,1092.14,550.08,565.52,485.14,492.96,258.59,258.4
12,Hawaii,16234,7026.94,6848.81,3449.63,3294.91,1957.98,1993.3,1115.81,1070.36,137.83,132.52,227.52,218.93,126.01,123.78
13,Idaho,23672,7257.04,7712.65,3262.89,3472.97,1629.21,1719.54,1322.24,1402.11,416.8,440.73,357.17,400.32,267.37,278.33
14,Illinois,246350,9734.9,9797.79,4886.84,5012.98,2464.11,2422.61,1208.02,1213.44,694.43,681,248.85,236.36,232.74,231.1
15,Indiana,125112,8907.78,9629.44,4536.4,4925.46,2130.35,2392.93,1263.57,1304.04,419.05,429.24,290.99,304.95,265.23,267.06
16,Iowa,70870,7473.49,7986.79,3561.74,3857.14,1725.92,1861.99,1449.28,1503.66,199,206.22,296.35,313.17,239.62,240.99
17,Kansas,58983,8315.6,9122.76,4013.72,4567.44,2139.92,2248.82,1301.35,1395.43,294.09,310.36,298.16,326.36,265.92,269.16
18,Kentucky,85537,9425.15,10374.95,4883.84,5385.16,2226.5,2530.31,1136.08,1216.21,625.05,670.94,251.54,263.65,312.61,314.31
19,Louisiana,71088,10420.93,11589.35,4823.23,5569.45,2403.79,2500.09,1216.55,1336.7,1245.15,1374.72,425.4,493.74,282.6,283.62
20,Maine,32711,8208.99,8387.02,4135.31,4201.69,1651.67,1711.85,1562.9,1597.13,439.75,444.71,220.43,220.19,209.92,220.26
21,Maryland,104138,10137.64,9043.59,5295.18,4347.94,2798.55,2694.49,1329.38,1309.55,315.45,307.59,206.77,199.67,200.13,199.26
22,Massachusetts,115227,10638.45,9600.27,5645.88,4959.55,2413.72,2273.42,1400.1,1274.18,733.7,672.79,267.8,244.71,183.92,181.6
23,Michigan,174078,10144.24,10023.05,4964.64,4858.79,2619.46,2610.21,1247.85,1248.56,744.83,737.73,298.41,299.58,269.46,268.9
24,Minnesota,68330,7519.07,7533.99,3845.6,3792.84,1711.63,1806.8,1325.04,1298.73,231.02,220.56,200.78,203.85,203.39,205.71
25,Mississippi,60839,9475.43,10672.33,4426.46,5185.09,2147.12,2240.67,1169.41,1307.67,893.95,1003.56,504.98,597.95,330.22,333.07
26,Missouri,113225,8774.67,9462.63,4360.34,4829.54,2103.7,2190.18,1283.77,1349.93,410.72,429.02,344.25,388.04,266.39,269.28
27,Montana,21083,7005.5,7584.01,3194.95,3533.65,1651.18,1762.52,1431.69,1513.47,225.6,238.39,226.24,252.92,255.78,262.73
28,Nebraska,38563,8013.28,8510.42,3964.46,4255.63,1926.93,2042.42,1414.62,1472.58,253.11,259.86,209.92,228.88,248.94,252.75
29,Nevada,32964,10113.86,9789.22,4967.96,4847.85,2981.62,2921.25,815.95,764.02,721.19,658.02,358.27,321.64,285.32,284.38
30,New Hampshire,28765,8414.6,8055.51,4118.86,3926.67,1745.03,1741.02,1616.08,1497.9,514.61,480.76,227.35,215.13,206.71,204.57
31,New Jersey,171770,10834.28,9816.53,5439.37,4898.55,3569.56,3267.35,969.65,865.51,390.4,349.52,278.76,249.57,206.07,205.65
32,New Mexico,30806,7347.23,7613.57,3382.86,3496.94,1871.88,1944.82,983.02,1018.87,426.73,442.93,422.82,447.55,271.08,274.65
33,New York,287831,10799.17,9326.21,5733.93,4642.44,3322.6,3085.02,943.95,872.95,451.18,403.96,155.41,137.71,217.53,215.89
34,North Carolina,173880,8368.24,8653.3,3969.65,4061.12,2291.07,2422.06,1065.66,1103.12,415.38,430.02,355.79,362.5,270.97,274.61
35,North Dakota,15920,6763.26,7790.86,3315.43,3944.67,1539.07,1675.34,1482.69,1694.52,125.42,141.87,121.79,148.07,194.33,198.85
36,Ohio,198847,9435.78,9902.79,4762.26,5097.68,2331.19,2406.23,1222.77,1264.73,480.73,494.13,383.21,383.24,251.85,251.5
37,Oklahoma,74387,9223.35,10228.99,4150.04,4752.64,2164.33,2293.95,973.31,1053.23,1168.74,1267.41,530.39,627.61,290.51,294.12
38,Oregon,48681,7239.95,6977.99,3375.16,3189.58,1820.86,1852.76,1155.67,1072.79,326.95,304.11,311.43,306.92,237.22,237.75
39,Pennsylvania,198774,9475.78,9702.56,4784.55,4952.61,2575.07,2585.94,1133.4,1158.08,448.22,456.7,309.22,319.92,225.7,225.83
41,Rhode Island,14104,9498.07,8901.56,4682.32,4317.77,2521.8,2438.15,1138.21,1069.97,545.09,514.62,397.57,355.45,197.11,196.3
42,South Carolina,92636,8529.18,9020.1,3907.65,4188.92,2462.3,2600.68,995.72,1035.4,435.6,451.38,474.72,494.45,267.03,264.08
43,South Dakota,19934,7121.18,7691.42,3598.27,3931.6,1699.66,1846.39,1292.69,1358.95,139.29,146.24,148.62,159.03,238.24,241.54
44,Tennessee,111942,9170.11,10072.45,4345.67,4968.47,2411.48,2546.76,950.92,1018.75,866.03,927.97,305.46,324.97,304.43,302.49
45,Texas,349029,10405.51,10889.25,4609.96,4915.55,2662.64,2752.91,1075.94,1113.06,1284.97,1313.92,456.07,478.16,288.55,288.91
46,Utah,26579,8214.41,8684.68,3355.03,3645.92,1974.14,2034.31,1070.45,1106.84,892.61,917.56,622.34,683.18,323.94,327.37
47,Vermont,15226,7986.54,7310.67,4074.63,3433.05,1405.26,1450.56,1715.13,1643.44,498.19,481.44,144.05,147.32,173.25,172.51
49,Virginia,141029,7865.15,8330.48,3713.54,4028.77,2231.22,2310.64,990.07,1024.28,409.99,425.9,295.12,316.18,225.73,225.49
50,Washington,102236,8080.28,7719.51,3965.41,3716.06,2132.73,2130.82,1186.29,1110.79,317.31,296.03,248.41,234.32,219.92,219.49
51,West Virginia,38629,8805.84,9627.48,4510.6,4998.82,2032.4,2163.26,1267.44,1386.44,403.98,445.17,299.64,335.78,287.94,294.6
52,Wisconsin,96913,7980.24,8152.92,4090.97,4185.26,1830.57,1928.63,1324.16,1307.63,234.73,229.95,299.78,297.48,194.33,195.37
53,Wyoming,11903,7300.7,7372.58,3795.33,3715.29,1664.85,1768.25,1126.76,1153.49,242.06,248.04,140.65,145.27,308.68,313.74
99,United States,5011918,9476.9,9476.9,4579.37,4579.37,2579.16,2579.16,1123.06,1123.06,613.96,613.96,329.08,329.08,252.27,252.27
