HRR Number,HRR Name,Medicare enrollees (2000),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2000),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2000)
10,AK-Anchorage               ,34023,5.57170124378525,5.67152315057814
1,AL-Birmingham              ,275380,5.88147245372326,6.10764347177141
2,AL-Dothan                  ,47162,5.75687115160393,5.85569998005871
5,AL-Huntsville              ,61995,5.86263103345151,5.97448655504767
6,AL-Mobile                  ,89636,5.8321143052188,5.99388215526106
7,AL-Montgomery              ,50053,5.49520941066451,5.57569985034783
9,AL-Tuscaloosa              ,28893,5.80915021826274,5.86094017994972
16,AR-Fort Smith              ,44804,5.83979228367706,6.06280611639557
18,AR-Jonesboro               ,30624,5.91011111853339,6.02829735586615
19,AR-Little Rock             ,196234,5.78427120378309,5.9486442791549
21,AR-Springdale              ,50455,5.38305487311357,5.49704983626118
22,AR-Texarkana               ,34221,6.05730602061262,6.14373139045539
11,AZ-Mesa                    ,100808,5.09740994083904,5.32868292564081
12,AZ-Phoenix                 ,268171,5.39673102898633,5.40467662807765
14,AZ-Sun City                ,72950,4.27343285329759,4.36905196286223
15,AZ-Tucson                  ,133715,4.98737086967249,5.23429743984225
65,CA-Alameda County          ,134153,4.88605590369116,5.4119713013323
25,CA-Bakersfield             ,82422,5.50433664135901,5.90608782917955
31,CA-Chico                   ,41886,5.13931593810616,5.53368680063893
33,CA-Contra Costa County     ,92711,4.9490190424564,5.5037851944873
43,CA-Fresno                  ,95520,4.95949498716311,5.44853299908153
56,CA-Los Angeles             ,809419,4.77365662454357,5.11087233604853
58,CA-Modesto                 ,79068,5.19543426560808,5.83421736464405
62,CA-Napa                    ,38088,5.57962049387863,5.90017149734626
23,CA-Orange County           ,271109,4.84420466047771,5.13011876935057
69,CA-Palm Springs/Rancho Mirage,54532,4.77282882142618,5.04499213021306
73,CA-Redding                 ,45191,5.22188876079862,5.33279364537374
77,CA-Sacramento              ,241378,5.00742299900364,5.60611197581905
78,CA-Salinas                 ,36334,4.70692891658019,4.7708551849426
79,CA-San Bernardino          ,225168,5.42493504855376,6.3334930191278
80,CA-San Diego               ,329844,4.90292318763898,5.43339048982964
81,CA-San Francisco           ,158457,4.61321999328586,5.0219898161971
82,CA-San Jose                ,136428,4.57356487597764,4.95685167219724
83,CA-San Luis Obispo         ,32233,4.52374124642759,4.79106748160802
85,CA-San Mateo County        ,86602,4.40900334564709,4.76599047007981
86,CA-Santa Barbara           ,49705,4.62806914192906,5.10984799337271
87,CA-Santa Cruz              ,24234,4.88473507380516,5.25177338553063
89,CA-Santa Rosa              ,55742,4.96140704270459,5.72731950022675
91,CA-Stockton                ,46388,5.09503565998003,5.56959265362277
96,CA-Ventura                 ,75865,4.89063585180669,5.21954090879315
101,CO-Boulder                 ,20347,4.62979713125768,5.149209953371
102,CO-Colorado Springs        ,69827,5.0265427796003,5.30168079861385
103,CO-Denver                  ,215022,5.07130840190904,5.57272331705478
104,CO-Fort Collins            ,27241,5.01713969046274,5.20704244351008
105,CO-Grand Junction          ,34288,4.81023686150779,4.84281938470665
106,CO-Greeley                 ,32264,4.92584475497075,5.20228850144182
107,CO-Pueblo                  ,22145,4.95319033565276,5.53205869649217
109,CT-Bridgeport              ,87493,4.76164118537964,5.16578592112586
110,CT-Hartford                ,191750,4.93354573558205,5.33071107731613
111,CT-New Haven               ,181978,4.99812573842679,5.49954827341896
113,DC-Washington              ,233146,5.08157972628424,5.14157777373765
112,DE-Wilmington              ,80153,5.52403072725757,5.67045828333812
115,FL-Bradenton               ,49371,4.89612540501346,4.9652338933221
116,FL-Clearwater              ,103004,4.95500849311141,5.22516727180997
118,FL-Fort Lauderdale         ,437195,4.40484991602193,4.53619861930344
119,FL-Fort Myers              ,184132,4.51406299028946,4.71130289995583
120,FL-Gainesville             ,60020,5.97160702026051,6.23124358741648
122,FL-Hudson                  ,95277,4.88906892795876,5.19818748489382
123,FL-Jacksonville            ,144879,5.66914063172106,5.9905799862332
124,FL-Lakeland                ,46193,5.50290086249293,5.55468808008478
127,FL-Miami                   ,340485,4.72577697296473,5.30722232112751
129,FL-Ocala                   ,96293,4.88418799291515,4.99242221879816
130,FL-Orlando                 ,432301,5.03064316764159,5.25427047952375
131,FL-Ormond Beach            ,72784,4.84799937848648,5.23769193002627
133,FL-Panama City             ,25015,5.91375159287515,6.01166013840737
134,FL-Pensacola               ,86883,5.76164022424183,6.00167426882967
137,FL-Sarasota                ,98583,4.39172987175693,4.55326616716961
139,FL-St. Petersburg          ,74618,5.40933241484963,5.79461517086962
140,FL-Tallahassee             ,75910,5.94037708587105,6.09253156565673
141,FL-Tampa                   ,126122,5.44245533158653,5.62675152369706
142,GA-Albany                  ,22490,5.48656290204795,5.544056655439
144,GA-Atlanta                 ,398280,5.77958303623119,5.91729275725491
145,GA-Augusta                 ,67049,5.71887478060124,5.80452998236291
146,GA-Columbus                ,34978,6.08465948711983,6.16058891150069
147,GA-Macon                   ,74781,5.91043236108524,5.98453621991084
148,GA-Rome                    ,32080,6.36771211172571,6.46710309524235
149,GA-Savannah                ,77397,5.61163656682108,5.70410477239848
150,HI-Honolulu                ,148550,4.02940457877246,4.32398841340035
190,IA-Cedar Rapids            ,36636,4.69600365654643,4.76678677094659
191,IA-Davenport               ,69243,5.18413530101376,5.31857202430494
192,IA-Des Moines              ,138734,5.05193297814079,5.1491257874693
193,IA-Dubuque                 ,22390,4.93495949425657,5.31206352007125
194,IA-Iowa City               ,41897,4.96698795483305,5.05230083259959
195,IA-Mason City              ,25966,4.58933977395827,4.67528503154177
196,IA-Sioux City              ,38874,5.02745486515555,5.12079318024369
197,IA-Waterloo                ,31346,4.83288867399739,4.92105604994566
151,ID-Boise                   ,76311,4.97522204348394,5.21536539942651
152,ID-Idaho Falls             ,18373,4.77406054491103,4.83570904306022
154,IL-Aurora                  ,18376,5.62438751156778,5.83157844788624
175,IL-Bloomington             ,19526,5.21043705252976,5.39857339699793
155,IL-Blue Island             ,107166,5.6380017166712,5.85842010827976
156,IL-Chicago                 ,242184,5.3255171066181,5.60279795742919
158,IL-Elgin                   ,49762,5.52395877842822,5.71876482090006
161,IL-Evanston                ,126042,4.62198170122852,4.7457483637456
163,IL-Hinsdale                ,37147,5.24766237786872,5.45793938937799
164,IL-Joliet                  ,55478,5.5120712920323,5.63068815380631
166,IL-Melrose Park            ,141709,5.41044017312299,5.61007797345735
170,IL-Peoria                  ,93766,5.15773115861324,5.33007848287879
171,IL-Rockford                ,87880,5.19301950233078,5.2954717062117
172,IL-Springfield             ,126212,5.32459072928577,5.43343094100149
173,IL-Urbana                  ,56452,5.23715923304041,5.42411401152298
179,IN-Evansville              ,97013,5.73702950059622,5.89682684142427
180,IN-Fort Wayne              ,100737,5.24318922436837,5.33740305856795
181,IN-Gary                    ,59793,5.8220673636844,5.98296978422858
183,IN-Indianapolis            ,299989,5.80363144827478,5.97447324061336
184,IN-Lafayette               ,22965,5.73862565930316,6.0311757880767
185,IN-Muncie                  ,23081,5.74410785818507,5.84525100954204
186,IN-Munster                 ,40645,5.56775958531863,5.73751658088258
187,IN-South Bend              ,84192,5.35102310038768,5.43630126901554
188,IN-Terre Haute             ,25733,6.24705608589701,6.31006768647689
200,KS-Topeka                  ,55767,5.28191894086982,5.40036650939775
201,KS-Wichita                 ,174227,5.21757256506871,5.34517697031611
203,KY-Covington               ,38081,5.9223405812536,6.43602150812959
204,KY-Lexington               ,157713,6.15142056385993,6.22427707723914
205,KY-Louisville              ,195101,5.93619461174129,6.12830188887237
207,KY-Owensboro               ,18414,6.06041880663544,6.16060958998632
208,KY-Paducah                 ,56381,5.89612399191171,6.03775418746008
209,LA-Alexandria              ,34401,6.1178641194013,6.22776853537573
210,LA-Baton Rouge             ,75599,5.66917632300841,6.42741212059736
212,LA-Houma                   ,25598,5.35919239631701,5.77405793026108
213,LA-Lafayette               ,61622,5.63973135773462,5.76650258628796
214,LA-Lake Charles            ,27869,5.70038848540994,5.80509613096345
216,LA-Metairie                ,50320,5.78431379325878,6.53770630782074
217,LA-Monroe                  ,33880,5.59483229077303,5.6552789426404
218,LA-New Orleans             ,86765,5.67058087275289,6.37686274399376
219,LA-Shreveport              ,84478,5.6358958613258,5.71914764560209
220,LA-Slidell                 ,19003,6.17474228725037,6.56254875151232
227,MA-Boston                  ,601564,5.13217934278234,5.49055334438034
230,MA-Springfield             ,99871,5.44971467977264,5.86134418611769
231,MA-Worcester               ,95629,5.18788131863277,6.00763109111155
223,MD-Baltimore               ,283338,5.58433928096854,5.58122194549926
225,MD-Salisbury               ,59275,5.6169315776317,5.72380990949356
226,MD-Takoma Park             ,72704,4.7762081091003,4.7875348031239
221,ME-Bangor                  ,57305,5.57979632271484,5.69002641670796
222,ME-Portland                ,135694,5.30115581793033,5.42074243751431
232,MI-Ann Arbor               ,141965,5.45704137523686,5.63153908574498
233,MI-Dearborn                ,72802,5.50595654192185,5.72159844681719
234,MI-Detroit                 ,225211,5.59528071944459,5.75416779934335
235,MI-Flint                   ,63403,5.68083596504122,5.86029299697242
236,MI-Grand Rapids            ,119263,5.29428210247495,5.38929696135597
238,MI-Kalamazoo               ,79647,5.49052717923365,5.59218499477413
239,MI-Lansing                 ,71256,5.36533386416785,5.50653046571017
240,MI-Marquette               ,32326,5.45212629123145,5.55473166969751
242,MI-Muskegon                ,35163,5.40961803908499,5.50209087155622
243,MI-Petoskey                ,26750,5.18708446673757,5.30034160807322
244,MI-Pontiac                 ,40754,5.63032652057966,5.78944553129984
245,MI-Royal Oak               ,85582,5.06085383802115,5.19249226517948
246,MI-Saginaw                 ,99101,5.40136142500756,5.520534357098
248,MI-St. Joseph              ,19955,5.35119347922188,5.44624715942474
249,MI-Traverse City           ,35035,5.00055859218277,5.07780179469715
250,MN-Duluth                  ,53545,5.1284223421838,5.14601236801635
251,MN-Minneapolis             ,331037,4.83401338458644,4.86122193168923
253,MN-Rochester               ,56291,4.41795797462431,4.49845605664884
254,MN-St. Cloud               ,27100,4.78852478255778,4.92045468083574
256,MN-St. Paul                ,98315,5.1801556420773,5.25065085721709
263,MO-Cape Girardeau          ,37297,5.51400541595149,5.62251257299267
264,MO-Columbia                ,88831,5.40939159299963,5.51403707500714
267,MO-Joplin                  ,51363,5.84192072437509,5.97397080286613
268,MO-Kansas City             ,261707,5.38401191474467,5.77730038866899
270,MO-Springfield             ,114319,5.45317431010502,5.66550359794475
273,MO-St. Louis               ,420389,5.54110454842631,5.9295916211315
257,MS-Gulfport                ,20720,6.6755791739959,7.06523524774998
258,MS-Hattiesburg             ,32823,6.21789172785045,6.32300316484646
259,MS-Jackson                 ,118485,5.63985204922256,5.71358804078951
260,MS-Meridian                ,26393,5.67608362954434,5.75339996411407
261,MS-Oxford                  ,17004,5.75758637211843,5.82086465811017
262,MS-Tupelo                  ,46096,5.61998979592362,5.70845103165601
274,MT-Billings                ,65417,5.02758618743914,5.12389058037648
275,MT-Great Falls             ,20382,5.41000065029836,5.51632614783735
276,MT-Missoula                ,45190,5.05671462279952,5.15522543391229
309,NC-Asheville               ,98058,5.26786537371718,5.36806770586379
311,NC-Charlotte               ,206626,5.77227722459512,5.89500709243508
312,NC-Durham                  ,151549,5.54299147412477,5.65901052864486
313,NC-Greensboro              ,67394,5.63895538686534,5.91583932814996
314,NC-Greenville              ,89022,5.9647244744922,6.04168209543987
315,NC-Hickory                 ,34173,5.78008455815793,5.90192429726223
318,NC-Raleigh                 ,147285,5.80109721056905,5.91469552140196
319,NC-Wilmington              ,46541,5.5118071029384,5.59358309470694
320,NC-Winston-Salem           ,132704,5.68575112620093,6.08331668958342
321,ND-Bismarck                ,31938,4.77654289520037,4.86072248481292
322,ND-Fargo/Moorhead MN       ,72421,4.62218239780971,4.70765855782377
323,ND-Grand Forks             ,23521,4.76981829446951,4.85603016691349
324,ND-Minot                   ,19249,4.53813728126488,4.66609683544174
277,NE-Lincoln                 ,78093,4.74996066079259,4.83780971711914
278,NE-Omaha                   ,155942,5.03008245176006,5.14514648154928
281,NH-Lebanon                 ,56087,5.13401307521524,5.23782367504611
282,NH-Manchester              ,91503,5.23743871984395,5.35326074602699
283,NJ-Camden                  ,381030,5.35447542869201,5.70616310091284
284,NJ-Hackensack              ,159336,4.95318024546821,5.18749875582106
285,NJ-Morristown              ,111407,5.08749001194191,5.26317479828903
288,NJ-New Brunswick           ,105950,5.23807972760242,5.47708044662888
289,NJ-Newark                  ,163284,5.41118907986381,5.63550565189932
291,NJ-Paterson                ,42109,5.3244840513161,5.63466687077039
