State Number,State Name,Medicare enrollees (2000),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2000),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2000)
1,Alabama             ,546979,5.78976278209724,5.94609547339829
2,Alaska              ,34023,5.57170124378526,5.67152315057814
3,Arizona             ,585684,5.08734118407576,5.21426856043769
4,Arkansas            ,354632,5.77283938906871,5.92355122630409
5,California          ,3265689,4.90029084043998,5.32250551745751
6,Colorado            ,393755,4.98528998142303,5.38666759197347
7,Connecticut         ,451819,4.92876273543831,5.36979974814786
8,Delaware            ,96562,5.41170723408539,5.54214589052196
9,District of Columbia,60763,4.76585379525739,4.83536601476123
10,Florida             ,2478910,4.91465502364374,5.18873357337552
11,Georgia             ,737107,5.85317066312187,5.96902293023741
12,Hawaii              ,148550,4.02940457877246,4.32398841340035
13,Idaho               ,143353,4.98419048785647,5.1910270401882
14,Illinois            ,1404916,5.32751137895832,5.51639202763686
15,Indiana             ,728156,5.70650911373591,5.85284039670792
16,Iowa                ,421865,4.9340373595948,5.02840829087916
17,Kansas              ,342330,5.19505057285125,5.37391221279019
18,Kentucky            ,480419,6.02217951103618,6.17048350151928
19,Louisiana           ,480598,5.69225377209481,6.03725088922745
20,Maine               ,177697,5.40212085907747,5.52117150190401
21,Maryland            ,560411,5.38155955910581,5.39906152395255
22,Massachusetts       ,816294,5.17925619277946,5.58061964907546
23,Michigan            ,1188885,5.42111666525365,5.55571901581779
24,Minnesota           ,576221,4.83031112107137,4.85439459449563
25,Mississippi         ,324359,5.91087105958576,6.00541772609562
26,Missouri            ,724838,5.52034038681235,5.82607426569975
27,Montana             ,117342,5.09494043704782,5.19170161927688
28,Nebraska            ,224785,4.91683189220431,5.02189511539413
29,Nevada              ,209285,5.52554229173147,5.82375071580444
30,New Hampshire       ,145141,5.21432326877333,5.32605553582786
31,New Jersey          ,1043176,5.25125371164975,5.51952701699972
32,New Mexico          ,194786,4.89228324828317,5.22835602503221
33,New York            ,2199406,5.01218226699303,5.34979570441664
34,North Carolina      ,931302,5.68141141929502,5.84010428441764
35,North Dakota        ,91435,4.59614429216964,4.69017590085872
36,Ohio                ,1452570,5.61111933780361,5.93348822465483
37,Oklahoma            ,433297,5.90033742515528,6.14167698621174
38,Oregon              ,424376,5.15350365334532,5.59041514640632
39,Pennsylvania        ,1842882,5.41787747504303,5.87571470952319
41,Rhode Island        ,144738,5.16064419142365,5.85358271788532
42,South Carolina      ,455944,5.68060243227928,5.75354150270898
43,South Dakota        ,105337,4.80192594449049,4.90463367879817
44,Tennessee           ,673780,5.93234083206155,6.15089955208118
45,Texas               ,1953832,5.56518173185132,5.87705775398637
46,Utah                ,180244,4.91163609246929,5.03725056402958
47,Vermont             ,74909,5.22426426136876,5.31910105523334
49,Virginia            ,747514,5.44261160011335,5.55613681831428
50,Washington          ,632210,5.06521514352296,5.45868645891854
51,West Virginia       ,267483,6.08901009759806,6.17199739727586
52,Wisconsin           ,686685,5.07034029502046,5.2378736367169
53,Wyoming             ,56513,5.2013711491331,5.326855532118
99,United States       ,32813787,5.29732517615233,5.57995983120333
