State Number,State Name,Medicare enrollees (2015),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2015),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2015)
1,Alabama,728388,5.05459944513905,5.1553171980101
2,Alaska,70464,4.37432771969192,4.40819966082573
3,Arizona,972456,4.10746738144745,4.02592756778387
4,Arkansas,452857,5.12595738140931,5.18231049165268
5,California,4890284,3.67349531968085,3.78750712355095
6,Colorado,675991,3.98586735076395,4.07010252262454
7,Connecticut,543887,3.94785552799731,4.13245107183821
8,Delaware,152115,4.26561568176546,4.26590369136962
9,District of Columbia,71467,3.62966794062526,3.62219568063422
10,Florida,3451863,3.98845923239468,4.36319735511897
11,Georgia,1225805,4.66517397414547,4.86220544919603
12,Hawaii,219418,3.50758021139684,3.54877988731178
13,Idaho,236930,4.26628817914132,4.60916866838419
14,Illinois,1753937,4.21171518438891,4.23254327600327
15,Indiana,936805,4.73829572707045,4.99131464624537
16,Iowa,489530,4.32486053317227,4.45369414920792
17,Kansas,409733,4.52991543081975,4.64075132330164
18,Kentucky,649079,5.11538881974934,5.38615028038197
19,Louisiana,613716,4.74477430357884,5.04952185575305
20,Maine,244736,4.57631584622015,4.91544468679303
21,Maryland,795195,4.07978037080821,4.03773774171394
22,Massachusetts,1000736,4.10278891122142,4.2137958831857
23,Michigan,1527732,4.4582779927101,4.87548973573392
24,Minnesota,780576,4.01857211103965,4.20966292299187
25,Mississippi,420672,5.21972477743602,5.38811726339555
26,Missouri,909855,4.66511246973925,4.92273672964961
27,Montana,171360,4.32902466971803,4.59396678285978
28,Nebraska,268814,4.41913608049447,4.50513106174088
29,Nevada,387857,4.58929530151178,4.70556971197024
30,New Hampshire,215212,4.30830834282209,4.38562266557442
31,New Jersey,1285370,3.96780134416633,4.07453946638265
32,New Mexico,305083,4.09173289317646,4.2368659186779
33,New York,2795933,3.89608921013093,4.08004204685155
34,North Carolina,1430570,4.65026838648991,4.8629926740409
35,North Dakota,102591,4.02715759863691,4.23134827370019
36,Ohio,1778756,4.59754187676461,4.71853612206662
37,Oklahoma,546463,5.08316875758661,5.21382436961363
38,Oregon,641868,4.28349881962476,4.54621788126639
39,Pennsylvania,2103920,4.42442756324154,4.67838386870412
41,Rhode Island,165134,4.25515093102503,4.45179610600369
42,South Carolina,758458,4.58637457462851,4.62253561252242
43,South Dakota,135562,4.04876969272492,4.35691585605892
44,Tennessee,974171,5.04577359851409,5.18222078240812
45,Texas,3029556,4.49901571433387,4.82267798565291
46,Utah,295093,4.19065744999291,4.44672715616389
47,Vermont,108221,4.29513403906669,4.39932544146542
49,Virginia,1131892,4.24437514110771,4.14093219239463
50,Washington,1007727,4.14277814370427,4.28293351421684
51,West Virginia,318817,5.25432652840741,5.49413824400346
52,Wisconsin,882663,4.23924955711155,4.72919764384224
53,Wyoming,81628,4.35055656886139,4.40607554337806
99,United States,45146946,4.28426764459328,4.48815573871642
