HSA Number,HSA Name,Medicare enrollees (2015),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2015),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2015)
49001,VA-Abingdon,11019,5.05118580231031,4.96572496603549
49002,VA-Alexandria,34951,3.61365733173294,3.65340491740032
49003,VA-Arlington,25059,3.56440790679844,3.57329957824903
49004,VA-Bedford,8429,4.0417945350298,3.92330754426724
49005,VA-Big Stone Gap,2354,7.52020163259872,8.43953491857789
49006,VA-Blacksburg,9228,4.60040231683884,4.37568967810974
49007,VA-Charlottesville,41589,4.30839979582598,4.0588809490656
49008,VA-Chesapeake,20437,4.64448515939465,4.46550096864152
49009,VA-Clintwood,2438,5.61301222703058,6.05263499752635
49010,VA-Culpeper,7056,4.26594977751298,3.99698863510812
49011,VA-Danville,19759,4.62868188731819,4.69336400127478
49012,VA-Emporia,4955,4.79629362868146,4.59180173504979
49013,VA-Fairfax,13293,3.4623205018782,3.57538015609901
49014,VA-Falls Church,76605,3.13324913443091,3.1090186905384
49015,VA-Farmville,5386,4.76117612789139,4.737708919918
49016,VA-Franklin,4414,3.80199109776471,3.78896610006718
49017,VA-Fredericksburg,39331,4.14452990517906,4.02664296839281
49018,VA-Front Royal,5551,4.40761826585937,4.27903244491035
49019,VA-Galax,9593,4.96595830217292,4.96650181395519
49020,VA-Gloucester,10194,4.25289158456548,4.1727818209674
49021,VA-Grundy,3788,6.28679281412513,6.47490620399191
49022,VA-Hampton,11544,4.38721060339383,4.17597305716056
49023,VA-Harrisonburg,23017,4.0499561391667,4.03077440605765
49024,VA-Hopewell,5833,5.05991001331435,4.99771900298579
49025,VA-Hot Springs,1222,5.30265281654389,4.87332963101531
49026,VA-Kilmarnock,9558,3.63909148583818,3.68173758305404
49027,VA-Lebanon,5120,5.61348472229242,5.55358472714599
49028,VA-Leesburg,23123,3.297941430447,3.31843840017302
49029,VA-Lexington,6571,4.96048706851796,4.90061979551482
49030,VA-Low Moor,5355,5.34241636827119,5.15413757483378
49031,VA-Luray,3738,5.30998627690693,5.44846267794541
49032,VA-Lynchburg,39442,4.29084933261201,4.2744773917442
49033,VA-Manassas,21863,4.00866110737087,3.89168064916588
49034,VA-Marion,6504,5.24156940705828,5.33431642433366
49035,VA-Martinsville,14798,4.63121744527574,4.91072327260859
49036,VA-Nassawadox,7118,4.55760941097502,4.64520829062148
49037,VA-Newport News,43731,4.44687161434568,4.16799548565906
49038,VA-Norfolk,40336,4.4618123046998,4.3848667615681
49039,VA-Norton,4973,5.36335662905178,5.81162037958348
49040,VA-Pearisburg,4137,4.8960908435565,4.7975923293092
49041,VA-Pennington Gap,3092,5.50581605379234,5.515276308478
49042,VA-Petersburg,18058,4.582377646209,4.3782894533933
49043,VA-Portsmouth,25464,4.59355027546439,4.60629564559292
49044,VA-Pulaski,3612,5.22722881567205,4.76046984764916
49045,VA-Radford,6569,4.62626945322468,4.44695742869975
49046,VA-Reston,21407,3.08855505671972,3.07268309432717
49047,VA-Richlands,4503,5.45049300157803,5.35900197412703
49048,VA-Richmond,158138,4.38761164042805,4.28234080006303
49049,VA-Roanoke,45370,4.31218353075685,4.12506269125616
49050,VA-Rocky Mount,5080,5.02260762170748,4.41854639026933
49051,VA-Salem,10257,4.74385971448989,4.32540326856571
49052,VA-South Boston,11681,4.13697905222774,4.31301368219869
49053,VA-South Hill,6334,4.58443064326461,4.58801195833105
49054,VA-Staunton,22807,4.77689145583894,4.59816528424746
49055,VA-Stuart,3397,5.3048639343591,5.09787447098543
49056,VA-Suffolk,11599,4.72496947051278,4.52254162715285
49057,VA-Tappahannock,5759,4.69568103059868,4.33618053952456
49058,VA-Tazewell,3024,5.8942268043377,6.03001121163592
49059,VA-Virginia Beach,39105,3.98892894745662,3.83636298126927
49060,VA-Warrenton,11454,4.11476219379876,4.09637879884177
49062,VA-Williamsburg,22013,3.25850095433478,3.26273117633421
49063,VA-Winchester,25533,4.29509137439484,4.25023221572112
49065,VA-Woodbridge,18887,3.55695527478625,3.49723291966334
49066,VA-Woodstock,5455,4.6704132605986,4.59021692949214
49067,VA-Wytheville,6659,5.73156898704383,5.51797917646883
