HSA Number,HSA Name,Medicare enrollees (2015),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2015),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2015)
2001,AK-Anchorage,28933,4.17643635253197,4.20392330898596
2016,AK-Barrow,315,,
2017,AK-Bethel,1411,5.23771884647484,5.28624051571574
2002,AK-Cordova,281,,
2018,AK-Dillingham,415,,
2003,AK-Fairbanks,9667,4.46578806662544,4.54079931950882
2004,AK-Homer,2120,3.79787707447971,3.79195949398875
2005,AK-Juneau,4595,4.78526494492979,4.83064558349962
2006,AK-Ketchikan,2551,4.23919342813119,4.2648962337767
2007,AK-Kodiak,1243,3.06895344519817,3.03422698700266
2019,AK-Kotzebue,419,,
2008,AK-Nome,478,,
2009,AK-Palmer,9440,4.55669145878107,4.57811740794975
2010,AK-Petersburg,627,,
2011,AK-Seward,484,,
2012,AK-Sitka,1163,4.44376754120172,4.55113201181062
2013,AK-Soldotna,5569,4.48261491189636,4.4505952184577
2014,AK-Valdez,348,,
2015,AK-Wrangell,405,,
1001,AL-Alabaster,14460,5.3502739179253,5.53785339784106
1002,AL-Alexander City,3953,4.82761015279417,4.81742547980848
1003,AL-Andalusia,4685,5.62476889801817,5.51584216589207
1004,AL-Anniston,15839,5.39541971428358,5.46711882419974
1006,AL-Ashland,2138,5.71905787075721,6.07806038892556
1007,AL-Athens,10048,4.90073452491849,4.97340885481702
1008,AL-Atmore,2603,5.25155253913129,5.0970144332158
1010,AL-Bessemer,15172,4.97029392826682,5.08101595347544
1011,AL-Birmingham,120523,4.74511565157611,4.86770490132869
1012,AL-Boaz,10395,5.76250330137654,5.89275171830911
1013,AL-Brewton,4005,5.25886520183828,5.38943338446159
1014,AL-Bridgeport,1430,6.28725148231453,6.57616770096665
1016,AL-Camden,1124,4.03713579095046,4.38344241506452
1017,AL-Carrollton,1996,5.2341496243781,5.41774900943723
1018,AL-Centre,4308,5.99122411441084,6.34189705545627
1019,AL-Centreville,1741,6.69885152056399,6.52919463751902
1022,AL-Cullman,14857,5.24997462193529,5.20797389696543
1023,AL-Dadeville,1891,3.66093226157484,3.55239162999784
1024,AL-Decatur,12307,5.12632592068592,5.19743853351244
1025,AL-Demopolis,2828,4.09668045122704,4.00288115081889
1026,AL-Dothan,30438,5.01013042515771,5.13717232123655
1027,AL-Elba,1580,5.51042273037088,6.01330410434103
1028,AL-Enterprise,5991,5.19056033512385,5.30094195197339
1029,AL-Eufaula,2789,5.38268182986394,5.63032920956683
1031,AL-Evergreen,1404,5.9957109079965,6.01032497521012
1032,AL-Fairhope,8764,4.14599629737203,4.23837226814178
1033,AL-Fayette,2511,5.52602925393112,5.48919528582324
1035,AL-Florala,787,6.09242373296034,6.35024555582055
1036,AL-Florence,17164,5.33662395978545,5.32935470963348
1037,AL-Foley,12672,4.65009390518115,4.61837162134232
1038,AL-Fort Payne,7708,5.62322105803147,5.63524494756035
1039,AL-Gadsden,17341,5.98465597874099,6.05228125740163
1040,AL-Geneva,2906,6.01391445027237,6.09536719700379
1044,AL-Greenville,3919,4.89496402340342,5.13445717234419
