State Number,State Name,Medicare enrollees (2004),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2004),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2004)
1,Alabama,563075,5.74208429332876,5.80833936319986
2,Alaska,39626,4.87357965779466,4.88497096850661
3,Arizona,642334,4.85510509305431,4.92051586128681
4,Arkansas,360352,5.4501613722614,5.45846656463518
5,California,3411692,4.62012875045585,4.76203266244188
6,Colorado,424048,4.70386012765952,4.74610013503574
7,Connecticut,449956,4.6764919892614,4.75306803075911
8,Delaware,103495,5.08987425734122,5.09051216379003
9,District of Columbia,58552,4.52513801210337,4.46919751758954
10,Florida,2580727,4.73389777538334,4.89067034593039
11,Georgia,788995,5.56649289994205,5.52652313942721
12,Hawaii,157027,4.07908121110169,4.26763295220892
13,Idaho,156695,4.73157453805955,4.91007060687796
14,Illinois,1411020,5.01993802030139,5.07523975372623
15,Indiana,744186,5.33615722832033,5.36913118266448
16,Iowa,421739,4.67588335398647,4.73092944790807
17,Kansas,341556,4.86917614099833,4.90182860838064
18,Kentucky,494380,5.67140713207388,5.67997712093223
19,Louisiana,490440,5.62419396946068,5.74470325814693
20,Maine,183991,5.20559872064275,5.21805598649587
21,Maryland,584845,4.91931975817477,4.79674785437227
22,Massachusetts,804660,4.88912174690359,4.94428240795336
23,Michigan,1210617,5.0645913729725,5.08542751900684
24,Minnesota,593442,4.56246147276639,4.54991559629326
25,Mississippi,333595,5.50355303975814,5.49131834744992
26,Missouri,733285,5.30473911934053,5.50141405467149
27,Montana,123033,4.81666166787481,4.84316808097788
28,Nebraska,224898,4.69411502191391,4.71876346435714
29,Nevada,243323,5.56688643178449,5.62340517865463
30,New Hampshire,152390,5.13775131042234,5.13699537989855
31,New Jersey,1041603,4.89734644887704,4.98552693944825
32,New Mexico,210123,4.72140329959925,4.8664737140825
33,New York,2193523,4.8677149200348,5.10655992706453
34,North Carolina,991008,5.290642961446,5.37592689152464
35,North Dakota,90543,4.41868403480681,4.44025018981947
36,Ohio,1460245,5.29893016583438,5.43164497603112
37,Oklahoma,440624,5.63857866828078,5.77974134773933
38,Oregon,445251,4.8820025532299,5.17075382003662
39,Pennsylvania,1816793,5.16503473679433,5.40447350550154
41,Rhode Island,140639,4.85349695974395,5.26522451942687
42,South Carolina,491285,5.19010627079593,5.1801972943722
43,South Dakota,107238,4.45674956504977,4.47334758943882
44,Tennessee,706083,5.64740790207161,5.81803852828762
45,Texas,2075006,5.26196040913297,5.37757767655833
46,Utah,196211,4.81415530473217,4.85240193739541
47,Vermont,77856,4.95449004580869,4.96765851321287
49,Virginia,794972,5.11152985304463,5.10262272660117
50,Washington,672842,4.74761194711093,4.87693400063562
51,West Virginia,267759,5.9382337779986,5.97375712819126
52,Wisconsin,701244,4.79762330209598,4.93554961840735
53,Wyoming,59509,4.97257520383438,4.96094640249965
99,United States,33808331,5.02623746791878,5.14967460340104
