HSA #,HSA name,State,Medicare enrollees (2012),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)"
49001,Abingdon,VA,6659,8369.56,9621.67,3646.3,4489.74,2096.72,2216.13,1158.02,1305.29,868.38,981.94,266.16,315.26,367.26,364.65
49002,Alexandria,VA,22307,8694.72,8474.51,3690.88,3726.76,2867.38,2674.47,1096.16,1054.88,443.38,425.94,411.48,403.93,194.78,193.72
49003,Arlington,VA,15625,7965.22,7701.75,3181.35,3150.98,2715.89,2551.96,1071.59,1034.27,438.74,423.73,409.65,389.3,153.13,152.05
49004,Bedford,VA,3324,7979.73,8627.87,3684.94,4148.42,2124.4,2176.66,1145.74,1212.1,470.52,498.5,315.43,353.28,238.74,239.27
49005,Big Stone Gap,VA,1382,10502.14,12034.76,5179.58,6090.02,2482.4,2808.97,1523.21,1706.57,937.6,1053.43,73.02,72.79,331.67,330.66
49006,Blacksburg,VA,6639,8236.54,8931.21,3658.76,4027.71,2315.84,2452.58,1073.15,1163.06,591.25,639.8,292.81,343.95,309.47,312.22
49007,Charlottesville,VA,29322,7992.6,8038.04,3777.75,3647.18,1922.34,1984.33,1427.92,1496.89,337.22,350.61,335.49,369.8,187.42,184.89
49008,Chesapeake,VA,13489,8675.04,9545.38,3678.67,4282.65,2763.9,2911.23,1183.47,1243.23,514.75,540.02,273.59,305.29,265.49,265
49009,Clintwood,VA,1447,10031.95,11612.58,4196.06,4979.68,2295.53,2722.65,1533.31,1719.19,1589.26,1780.01,98.02,107.73,410.06,406.91
49010,Culpeper,VA,4961,8770.03,8910.35,4327.85,4277.51,2450.85,2537.18,1290.21,1363.01,291.77,292.29,158.62,189.38,225.94,225.02
49011,Danville,VA,13880,8022.47,8650.65,3829.22,4232.39,2490.83,2584.26,1010.62,1099.25,241.71,267.44,140.98,156.41,325.74,326.72
49012,Emporia,VA,3398,8652.84,9354.22,4369.5,4756.42,2260.91,2455.56,1234.43,1321.14,361.82,393.28,159.36,170.93,243.33,243.58
49013,Fairfax,VA,6999,8232.03,8153.15,3358.78,3502.82,2845.36,2675.92,943.2,920.78,379.28,367.68,533.18,513.55,178.61,179.58
49014,Falls Church,VA,48022,8038.51,7654.61,3220.54,3087.68,2902.55,2705.23,929.46,899.19,393.77,380.18,404.64,394.5,172.39,171.74
