County ID,County name,Medicare enrollees (2012),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)"
2105,2105,268,6310.38,5359.46,2675.97,2174.53,2243.18,1949.88,1041.03,909.62,,,,,52.96,55.18
2195,2195,438,10765.65,9101.96,5483.32,4495.67,1811.83,1623.56,2889.75,2470.56,116.22,97.87,,,115.34,115.7
2198,2198,559,8738.46,7002,4427.49,3222.03,2503.05,2226.19,1300.93,1128.97,135.62,115.55,,,109.42,107.14
2230,2230,98,4637.02,4070.58,,,1180.38,1149.56,754.45,657.05,,,,,56.23,61.32
2275,2275,345,11999.55,10100.1,5995.88,4856.96,1386.86,1285.94,3934.45,3355.4,,,,,85.04,89.59
8014,8014,2609,9001.05,9092.95,3655.09,3835.48,2799.74,2785.72,1181.6,1148.77,570.56,551.43,526.54,506.69,260.12,261.78
2013,AK-Aleutians East Borough,90,6624.3,5258.08,3355.91,2496.85,2045.79,1739.44,857.7,737.03,,,,,133.9,133.45
2016,AK-Aleutians West Census Area,92,6554.34,4836.75,3536.02,2270.05,1863.57,1649.77,835.21,708.99,,,,,,
2020,AK-Anchorage Municipality,19258,7831.98,6581.96,3818.58,3112.9,2338.27,1987.68,990.96,856.08,273,236.24,207.85,189.7,167.62,169.64
2050,AK-Bethel Census Area,829,7442.71,5316.59,4489.72,2928.1,2014.46,1728.83,681.88,573.92,,,,,35.22,35.42
