State #,State name,Medicare enrollees (2012),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2012)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2012)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2012)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2012)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2012)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2012)"
1,Alabama,479607,8892.12,10126.93,3695.59,4487.49,2589.49,2740.28,1159.09,1288.11,607.83,684.21,573.54,668.93,284.13,280.38
2,Alaska,50927,8367.36,6723.65,4211.06,3130.12,2204.03,1885.72,1328.91,1141.81,239.75,206.47,145.37,134.92,148.84,148.57
3,Arizona,463742,9310.12,9187.04,3918.16,3888.37,3175.31,3164.66,1028.57,1005.32,323.41,313.73,619.44,570.56,239.63,235.81
4,Arkansas,327165,8501.51,9594.85,4025.5,4793.68,2218.66,2346.68,1196.26,1320.87,427.46,479.26,341.84,366.68,290.29,288.98
5,California,2141323,10748.92,9312.67,5249.32,4329.51,3144.57,2948.92,1222.82,1036.23,532.95,456.45,360.3,303.84,234.18,232.42
6,Colorado,310958,8523.23,8551.72,3732.26,3815.98,2344.08,2325.9,1287.1,1265.08,408.78,400.69,438.65,428.9,305.71,310.39
7,Connecticut,339279,10322.94,9099.27,5094.25,4302.66,2879.98,2759.43,1323.31,1147.17,587.39,511.32,247.47,199.28,208.9,205.21
8,Delaware,115127,9573.36,9264.5,4237.79,4050.26,2820.68,2786.9,1310.01,1266.38,355.13,340.57,634.6,603.9,229.07,228.6
9,District of Columbia,44026,9392.87,8339.77,4778.91,4035.61,2668.22,2473.67,1237.59,1180.44,290.76,277.09,293.76,277.14,175.48,173.86
10,Florida,1810067,10839.14,11163.26,4160.56,4596.09,3870.85,3753.84,1116.53,1150.9,927.75,946.84,496.46,446.12,256.49,260.16
11,Georgia,704415,8951.49,9548.72,3668.52,4102.29,2752.74,2811.8,1196.81,1257.32,481.94,505.22,608.03,631.35,266.01,262.86
12,Hawaii,82352,7354.13,7041.01,3457.29,3191.62,2092.59,2106,1228.69,1181.5,130.59,126.02,339.75,333.08,109.39,106.96
13,Idaho,126740,7793,8165.36,3390.26,3501.53,1617.59,1694.61,1647.85,1759.26,389.42,408.44,470.74,523.64,278.01,280.75
14,Illinois,1285704,9964.67,10011.32,4700.93,4840.6,2620.11,2551.26,1425.51,1429.19,674.36,659.01,304.13,294.06,239.56,236.8
15,Indiana,628424,9304.25,10079.05,4586.99,5018.17,2253.38,2501.06,1477.78,1535.6,406.96,422.74,314.09,332.47,266.49,267.51
16,Iowa,362710,7773.45,8200.76,3524.64,3734.53,1848.32,1945.27,1627.25,1711.33,215.15,225.71,329,353.93,231.88,231.58
17,Kansas,301860,8618.92,9386.89,3980.17,4502.55,2226.32,2300.86,1538.24,1656.9,284.7,303.35,327.05,354.35,263.92,269.1
18,Kentucky,439246,9490.08,10577.59,4634.53,5207.35,2290.53,2622.56,1393.19,1509.68,597.55,649.05,275.1,285.34,306.58,307.42
19,Louisiana,363669,10335.71,11461.39,4641.81,5347.69,2422.89,2544.34,1412.36,1539.18,1064.34,1168.1,509.04,573.42,266.73,264.41
20,Maine,162888,8225.01,8365.61,3702.53,3726.83,1716.27,1759.39,1894.23,1957.56,404.41,414.86,301.45,304.49,215.4,212.45
21,Maryland,557066,10514.64,9262.6,5024.9,3986.47,2982.5,2816,1699.92,1676.67,342.98,337.71,255.39,244.04,216.33,214.37
