HSA #,Health Service Area Description,State-county,FIPS
137,"Accomack, VA - Northampton, VA",VA: Accomack County (51001),51001
137,"Accomack, VA - Northampton, VA",VA: Northampton County (51131),51131
99,"Albemarle, VA - Charlottesville City, VA",VA: Albemarle County (51003),51003
99,"Albemarle, VA - Charlottesville City, VA",VA: Buckingham County (51029),51029
99,"Albemarle, VA - Charlottesville City, VA",VA: Charlottesville City (51540),51540
99,"Albemarle, VA - Charlottesville City, VA",VA: Culpeper County (51047),51047
99,"Albemarle, VA - Charlottesville City, VA",VA: Fluvanna County (51065),51065
99,"Albemarle, VA - Charlottesville City, VA",VA: Greene County (51079),51079
99,"Albemarle, VA - Charlottesville City, VA",VA: Louisa County (51109),51109
99,"Albemarle, VA - Charlottesville City, VA",VA: Madison County (51113),51113
99,"Albemarle, VA - Charlottesville City, VA",VA: Nelson County (51125),51125
99,"Albemarle, VA - Charlottesville City, VA",VA: Orange County (51137),51137
99,"Albemarle, VA - Charlottesville City, VA",VA: Rappahannock County (51157),51157
97,"Augusta, VA - Staunton City, VA",VA: Augusta County (51015),51015
97,"Augusta, VA - Staunton City, VA",VA: Buena Vista City (51530),51530
97,"Augusta, VA - Staunton City, VA",VA: Highland County (51091),51091
97,"Augusta, VA - Staunton City, VA",VA: Lexington City (51678),51678
97,"Augusta, VA - Staunton City, VA",VA: Rockbridge County (51163),51163
97,"Augusta, VA - Staunton City, VA",VA: Staunton City (51790),51790
97,"Augusta, VA - Staunton City, VA",VA: Waynesboro City (51820),51820
130,"Brunswick, VA - Greensville, VA",VA: Brunswick County (51025),51025
130,"Brunswick, VA - Greensville, VA",VA: Emporia City (51595),51595
130,"Brunswick, VA - Greensville, VA",VA: Greensville County (51081),51081
73,"Carroll, VA - Grayson, VA",NC: Alleghany County (37005),37005
73,"Carroll, VA - Grayson, VA",VA: Carroll County (51035),51035
73,"Carroll, VA - Grayson, VA",VA: Galax City (51640),51640
73,"Carroll, VA - Grayson, VA",VA: Grayson County (51077),51077
69,"Fairfax, VA - Arlington, VA",VA: Alexandria City (51510) - 1980+,51510
69,"Fairfax, VA - Arlington, VA",VA: Arling/Alexan/Fairfax/Falls Chur (51918) - 1969-1979,51918
69,"Fairfax, VA - Arlington, VA",VA: Arlington County (51013) - 1980+,51013
69,"Fairfax, VA - Arlington, VA",VA: Fairfax City (51600) - 1980+,51600
69,"Fairfax, VA - Arlington, VA",VA: Fairfax County (51059) - 1980+,51059
69,"Fairfax, VA - Arlington, VA",VA: Falls Church City (51610) - 1980+,51610
69,"Fairfax, VA - Arlington, VA",VA: Loudoun County (51107),51107
71,"Halifax with South Boston City, VA - Mecklenburg, VA",VA: Halifax County with South Boston City (51083),51083
71,"Halifax with South Boston City, VA - Mecklenburg, VA",VA: Lunenburg County (51111),51111
71,"Halifax with South Boston City, VA - Mecklenburg, VA",VA: Mecklenburg County (51117),51117
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Amelia County (51007),51007
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Charles City County (51036),51036
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Charlotte County (51037),51037
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Chesterfield County (51041),51041
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Colonial Heights City (51570),51570
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Cumberland County (51049),51049
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Essex County (51057),51057
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Goochland County (51075),51075
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Hanover County (51085),51085
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Henrico County (51087),51087
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: King and Queen County (51097),51097
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: King William County (51101),51101
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Lancaster County (51103),51103
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Middlesex County (51119),51119
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: New Kent County (51127),51127
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Northumberland County (51133),51133
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Nottoway County (51135),51135
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Powhatan County (51145),51145
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Prince Edward County (51147),51147
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Richmond City (51760),51760
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Richmond County (51159),51159
33,"Henrico (Richmond), VA - Chesterfield, VA",VA: Westmoreland County (51193),51193
79,"Henry, VA - Patrick, VA",VA: Henry County (51089) - 1980+,51089
79,"Henry, VA - Patrick, VA",VA: Henry/Martinsville (51913) - 1969-1979,51913
79,"Henry, VA - Patrick, VA",VA: Martinsville City (51690) - 1980+,51690
79,"Henry, VA - Patrick, VA",VA: Patrick County (51141),51141
70,"Montgomery, VA - Pulaski, VA",VA: Giles County (51071),51071
70,"Montgomery, VA - Pulaski, VA",VA: Montgomery County (51121),51121
70,"Montgomery, VA - Pulaski, VA",VA: Pulaski County (51155),51155
70,"Montgomery, VA - Pulaski, VA",VA: Radford City (51750),51750
70,"Montgomery, VA - Pulaski, VA",VA: Wythe County (51197),51197
5,"Newport News City, VA - Hampton City, VA",VA: Gloucester County (51073),51073
5,"Newport News City, VA - Hampton City, VA",VA: Hampton City (51650),51650
5,"Newport News City, VA - Hampton City, VA",VA: James City County (51095) - 1982+,51095
5,"Newport News City, VA - Hampton City, VA",VA: James/York/Poquoson/Williamsburg (51911) - 1969-1981,51911
5,"Newport News City, VA - Hampton City, VA",VA: Mathews County (51115),51115
5,"Newport News City, VA - Hampton City, VA",VA: Newport News City (51700),51700
5,"Newport News City, VA - Hampton City, VA",VA: Poquoson City (51735) - 1982+,51735
5,"Newport News City, VA - Hampton City, VA",VA: Williamsburg City (51830) - 1982+,51830
5,"Newport News City, VA - Hampton City, VA",VA: York County (51199) - 1982+,51199
77,"Petersburg City, VA - Prince George, VA",VA: Dinwiddie County (51053),51053
77,"Petersburg City, VA - Prince George, VA",VA: Hopewell City (51670),51670
77,"Petersburg City, VA - Prince George, VA",VA: Petersburg City (51730),51730
77,"Petersburg City, VA - Prince George, VA",VA: Prince George County (51149),51149
77,"Petersburg City, VA - Prince George, VA",VA: Surry County (51181),51181
77,"Petersburg City, VA - Prince George, VA",VA: Sussex County (51183),51183
132,"Pittsylvania (Danville), VA - Danville City, VA",NC: Caswell County (37033),37033
132,"Pittsylvania (Danville), VA - Danville City, VA",VA: Danville City (51590),51590
132,"Pittsylvania (Danville), VA - Danville City, VA",VA: Pittsylvania County (51143),51143
109,"Prince William (Dale City), VA - Fauquier, VA",VA: Fauquier County (51061),51061
109,"Prince William (Dale City), VA - Fauquier, VA",VA: Manassas City (51683) - 1982+,51683
109,"Prince William (Dale City), VA - Fauquier, VA",VA: Manassas Park City (51685) - 1982+,51685
109,"Prince William (Dale City), VA - Fauquier, VA",VA: Prince William County (51153) - 1982+,51153
109,"Prince William (Dale City), VA - Fauquier, VA",VA: Prince William/Manassas (51910) - 1969-1981,51910
14,"Roanoke City, VA - Roanoke, VA",VA: Amherst County (51009),51009
14,"Roanoke City, VA - Roanoke, VA",VA: Appomattox County (51011),51011
14,"Roanoke City, VA - Roanoke, VA",VA: Bedford City (51515) - 1980+,51515
14,"Roanoke City, VA - Roanoke, VA",VA: Bedford City and County (51917) - 1969-1979,51917
14,"Roanoke City, VA - Roanoke, VA",VA: Bedford County (51019) - 1980+,51019
14,"Roanoke City, VA - Roanoke, VA",VA: Botetourt County (51023),51023
14,"Roanoke City, VA - Roanoke, VA",VA: Campbell County (51031),51031
14,"Roanoke City, VA - Roanoke, VA",VA: Craig County (51045),51045
14,"Roanoke City, VA - Roanoke, VA",VA: Floyd County (51063),51063
14,"Roanoke City, VA - Roanoke, VA",VA: Franklin County (51067),51067
14,"Roanoke City, VA - Roanoke, VA",VA: Lynchburg City (51680),51680
14,"Roanoke City, VA - Roanoke, VA",VA: Roanoke City (51770),51770
14,"Roanoke City, VA - Roanoke, VA",VA: Roanoke County (51161),51161
14,"Roanoke City, VA - Roanoke, VA",VA: Salem City (51775),51775
63,"Rockingham, VA - Harrisonburg City, VA",VA: Harrisonburg City (51660) - 1980+,51660
63,"Rockingham, VA - Harrisonburg City, VA",VA: Page County (51139),51139
63,"Rockingham, VA - Harrisonburg City, VA",VA: Rockingham County (51165) - 1980+,51165
63,"Rockingham, VA - Harrisonburg City, VA",VA: Rockingham/Harrisonburg (51914) - 1969-1979,51914
63,"Rockingham, VA - Harrisonburg City, VA",WV: Pendleton County (54071),54071
135,"Stafford, VA - Spotsylvania, VA",VA: Caroline County (51033),51033
135,"Stafford, VA - Spotsylvania, VA",VA: Fredericksburg City (51630) - 1980+,51630
135,"Stafford, VA - Spotsylvania, VA",VA: King George County (51099),51099
135,"Stafford, VA - Spotsylvania, VA",VA: Spotsylva/Stafford/Fredericksbur (51915) - 1969-1979,51915
135,"Stafford, VA - Spotsylvania, VA",VA: Spotsylvania County (51177) - 1980+,51177
135,"Stafford, VA - Spotsylvania, VA",VA: Stafford County (51179) - 1980+,51179
6,"Virginia Beach City, VA - Norfolk City, VA",NC: Currituck County (37053),37053
6,"Virginia Beach City, VA - Norfolk City, VA",VA: Chesapeake City (51550),51550
6,"Virginia Beach City, VA - Norfolk City, VA",VA: Franklin City (51620),51620
6,"Virginia Beach City, VA - Norfolk City, VA",VA: Isle of Wight County (51093),51093
6,"Virginia Beach City, VA - Norfolk City, VA",VA: Norfolk City (51710),51710
6,"Virginia Beach City, VA - Norfolk City, VA",VA: Portsmouth City (51740),51740
6,"Virginia Beach City, VA - Norfolk City, VA",VA: Southampton County (51175),51175
6,"Virginia Beach City, VA - Norfolk City, VA",VA: Suffolk City (51800),51800
6,"Virginia Beach City, VA - Norfolk City, VA",VA: Virginia Beach City (51810),51810
55,"Wise, VA - Lee, VA",VA: Dickenson County (51051),51051
55,"Wise, VA - Lee, VA",VA: Lee County (51105),51105
55,"Wise, VA - Lee, VA",VA: Norton City (51720),51720
55,"Wise, VA - Lee, VA",VA: Wise County (51195),51195
25,"Berkeley, WV - Frederick, VA",VA: Clarke County (51043),51043
25,"Berkeley, WV - Frederick, VA",VA: Frederick County (51069),51069
25,"Berkeley, WV - Frederick, VA",VA: Shenandoah County (51171),51171
25,"Berkeley, WV - Frederick, VA",VA: Warren County (51187),51187
25,"Berkeley, WV - Frederick, VA",VA: Winchester City (51840),51840
25,"Berkeley, WV - Frederick, VA",WV: Berkeley County (54003),54003
25,"Berkeley, WV - Frederick, VA",WV: Hampshire County (54027),54027
25,"Berkeley, WV - Frederick, VA",WV: Jefferson County (54037),54037
25,"Berkeley, WV - Frederick, VA",WV: Morgan County (54065),54065
30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",VA: Alleghany Cnty and Clifton Forge Cty (51005) - 1980+,51005
30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",VA: Alleghany/Clifton Forge/Covingto (51916) - 1969-1979,51916
30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",VA: Bath County (51017),51017
30,"Greenbrier, WV - Alleghany Cnty and Clifton Forge Cty, VA",VA: Covington City (51580) - 1980+,51580
1022,Blank(s),VA: Unknown (51999),51999
