State #,State name,Medicare enrollees (20% sample) (2006),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2006)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2006)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2006)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2006)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2006)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2006)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2006)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2006)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2006)"
1,Alabama,95692,7897.53,8911.95,3706.56,4358.35,2172.79,2339.12,692.06,750.05,473.83,516.08,604.9,706.05,268.66,267.91
2,Alaska,7818,7237.88,5973.55,4068.16,3053.93,1746.9,1648.42,857.89,757.43,244.66,214.38,121.08,110.4,155.43,153.74
3,Arizona,79311,7579.41,7547.74,3586.97,3639.99,2549.19,2491.41,556.07,554.04,220.62,218.91,451.02,430.63,208.62,206.87
4,Arkansas,66712,7369.15,8174.5,3811.99,4371.23,2009.41,2136.58,683.77,745.84,337.37,373.96,239.14,261.96,288.01,286.24
5,California,387001,8784.97,7754.75,4477.27,3812.58,2668.86,2456.41,766.21,682.45,421.06,376.75,219.92,196.01,230.56,227.45
6,Colorado,54819,7279.91,7353.55,3525.47,3632.56,2027.06,2033.15,803.7,782.61,326.77,316.77,270.74,258.42,323.56,327.94
7,Connecticut,76944,8901.95,7789.3,4715.97,3994.18,2516.39,2331.07,861.04,763.06,479.79,425.31,155.59,108.75,179.84,178.48
8,Delaware,20480,8177.72,8047.4,4077.01,4004.92,2481.82,2442.96,810.26,808.45,290.47,290.44,330.92,311.95,188.71,189.07
9,District of Columbia,9042,7749.85,6892.05,4297.53,3655.24,2290.9,2127.63,765.49,748.51,204.1,200.04,109.92,95.37,153.6,156.61
10,Florida,374672,9162.54,9400.13,3753.88,4055.74,3288.92,3248.18,741.5,755,646.55,655.56,360.12,317.22,362.54,360.41
