State Number,State Name,Medicare enrollees (2014),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2014),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2014)
1,Alabama,708995,5.02970409835965,5.12157519100809
2,Alaska,66770,4.38614499011864,4.42176802146878
3,Arizona,930961,4.07266104824791,4.03642579212725
4,Arkansas,443037,5.0183652434676,5.13121646398484
5,California,4720278,3.58680220240581,3.79473260941088
6,Colorado,646425,4.02658768621637,4.1782586810709
7,Connecticut,533788,3.95446963282332,4.16531993185138
8,Delaware,146239,4.25926405303172,4.26498101814131
9,District of Columbia,69769,3.57986230296688,3.6028764827824
10,Florida,3326696,4.03213555737187,4.43855891567704
11,Georgia,1177509,4.6657363290013,4.85561374172823
12,Hawaii,211932,3.50659752994997,3.5496260962486
13,Idaho,226681,4.29929688449943,4.69537611023834
14,Illinois,1715983,4.24651093655006,4.48200110955125
15,Indiana,913687,4.7231582195278,4.96372322248913
16,Iowa,479220,4.34019916818313,4.48650650527294
17,Kansas,400025,4.46352347603693,4.60157802152563
18,Kentucky,632412,5.09843159761367,5.37838793151558
19,Louisiana,594889,4.94970203569274,5.28874478891375
20,Maine,237995,4.33920620552753,4.64158157606642
21,Maryland,771835,4.08967112192954,4.05765429640039
22,Massachusetts,975411,4.02761159480743,4.15348157467371
23,Michigan,1490016,4.50968254327672,4.90785194820992
24,Minnesota,757095,4.01410584531013,4.18477015632966
25,Mississippi,409778,5.04458995265317,5.19494995654175
26,Missouri,889100,4.64154780950826,4.9276380762585
27,Montana,164902,4.30763807203687,4.50159296176306
28,Nebraska,261758,4.26974126736716,4.34633434705745
29,Nevada,369945,4.61519155485793,4.74807974491928
30,New Hampshire,208409,4.23316471170736,4.33355616251761
31,New Jersey,1258923,4.00558705919615,4.13552773741263
32,New Mexico,294088,4.21287238435193,4.39527575398328
33,New York,2734857,3.85975398889165,4.07498101691894
34,North Carolina,1381691,4.58636497881138,4.80849821126846
35,North Dakota,100530,4.10101795989038,4.37013432929726
36,Ohio,1738907,4.5764051477963,4.99341395258837
37,Oklahoma,533884,5.06435034691324,5.22291544301705
38,Oregon,615752,4.19281104132622,4.46549643922893
39,Pennsylvania,2065069,4.37871555277809,4.61710951880095
41,Rhode Island,161843,4.15605839101214,4.3135217999519
42,South Carolina,726672,4.59091100951589,4.64322149639408
43,South Dakota,131450,4.04668203105993,4.33722615293446
44,Tennessee,945875,5.01724678872432,5.22028766463927
45,Texas,2913901,4.51606891537447,4.82962320504927
46,Utah,282989,4.19257761217915,4.41974076155244
47,Vermont,104923,4.21221905123101,4.30288903721101
49,Virginia,1094373,4.25442074038021,4.33383459686613
50,Washington,965646,4.08343260336338,4.27623322208814
51,West Virginia,312319,5.24814113503709,5.51277062513052
52,Wisconsin,857905,4.25638421597792,4.72307201118096
53,Wyoming,78757,4.35913812420695,4.41073747801539
99,United States,43781894,4.26845855503647,4.51827615973343
