HSA Number,HSA Name,Medicare enrollees (2014),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2014),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2014)
49001,VA-Abingdon,10698,4.4534839658925,4.59445355591095
49002,VA-Alexandria,31960,3.37588507537847,3.44775194370958
49003,VA-Arlington,25936,3.65478526225958,3.64890548402411
49004,VA-Bedford,8212,3.97035582441862,4.13443940310973
49005,VA-Big Stone Gap,2424,5.79507296750437,5.79874314536723
49006,VA-Blacksburg,8975,3.95356227646122,4.02281291901643
49007,VA-Charlottesville,39973,4.06066279706424,4.08154450119438
49008,VA-Chesapeake,19679,4.76021173881445,4.9478761811868
49009,VA-Clintwood,2342,5.72443052695953,5.87106946651972
49010,VA-Culpeper,6833,4.26863816867891,4.38982208550823
49011,VA-Danville,19081,4.79650132753963,4.95314341770929
49012,VA-Emporia,4860,4.91320202836042,5.03110701289201
49013,VA-Fairfax,12451,3.22711593611148,3.36392833749274
49014,VA-Falls Church,74160,3.28071352530968,3.26745391079021
49015,VA-Farmville,5279,4.29613911927642,4.29064771519376
49016,VA-Franklin,4302,4.41928062857802,4.83047233179565
49017,VA-Fredericksburg,38007,4.20353348685659,4.32146482199593
49018,VA-Front Royal,5396,5.1847833271933,5.31054570504414
49019,VA-Galax,9198,5.15274478799752,5.39620282477344
49020,VA-Gloucester,9929,4.03531039676816,3.99787160211369
49021,VA-Grundy,3316,5.93271901847391,6.13270639816701
49022,VA-Hampton,11264,4.65526596011082,4.7325733492744
49023,VA-Harrisonburg,22483,3.87462235860008,3.93209142579429
49024,VA-Hopewell,5706,5.02367322155358,5.10518290459797
49025,VA-Hot Springs,1203,5.85533102490619,6.20210571175602
49026,VA-Kilmarnock,9410,3.78351068761981,3.95043293167245
49027,VA-Lebanon,5010,4.99565820230092,4.86201286815037
49028,VA-Leesburg,21341,3.37518180716344,3.44918051018569
49029,VA-Lexington,6418,4.17882547083158,4.1774984848267
49030,VA-Low Moor,5104,4.91049752899551,5.16211962832752
49031,VA-Luray,3640,4.92436826384209,4.95820380442566
49032,VA-Lynchburg,39012,4.58438038022245,4.68710267106712
49033,VA-Manassas,20855,4.18783514196273,4.33465858365718
49034,VA-Marion,6432,4.96687628760473,5.16215316222613
49035,VA-Martinsville,14580,4.70941631094207,4.80056081280021
49036,VA-Nassawadox,6949,4.72211561883965,4.97820976391611
49037,VA-Newport News,42296,4.31326777795891,4.3450074244412
49038,VA-Norfolk,39178,4.7770595688197,4.89768190735867
49039,VA-Norton,4876,5.93742799985128,6.04736833163483
49040,VA-Pearisburg,4095,5.39566254647714,5.98230358900513
49041,VA-Pennington Gap,3044,5.19434625014981,6.12611728700718
49042,VA-Petersburg,17574,4.92959279705755,4.83187532239347
49043,VA-Portsmouth,24764,4.29625949357366,4.29108556008614
49044,VA-Pulaski,3538,5.88538936212704,6.27117956300997
49045,VA-Radford,6649,4.60203467729593,5.0058248947973
49046,VA-Reston,20297,3.19618700757648,3.19060103320759
49047,VA-Richlands,5080,5.46463550125511,5.49228304243759
49048,VA-Richmond,150241,4.29542740342402,4.47748202096573
49049,VA-Roanoke,44036,4.4061491735483,4.49814318592854
49050,VA-Rocky Mount,4940,4.54224209445904,4.97345114907202
49051,VA-Salem,9980,4.44819115085696,4.4195653599555
49052,VA-South Boston,11435,4.54574166468938,4.74191909852954
49053,VA-South Hill,6226,4.3323379592409,4.48332390607296
49054,VA-Staunton,21814,4.66133720957996,4.78461033400424
49055,VA-Stuart,3347,4.53731947223835,4.80498446297751
49056,VA-Suffolk,11277,4.32678818085579,4.46200998789755
49057,VA-Tappahannock,5660,4.19080798939133,4.39428891683911
49058,VA-Tazewell,2435,5.54912115769477,5.61759577806725
49059,VA-Virginia Beach,37672,4.17046626959866,4.33042760467395
49060,VA-Warrenton,10976,4.41646828149918,4.38817157254748
49062,VA-Williamsburg,22254,3.41764864587,3.49807073486304
49063,VA-Winchester,24559,4.73926211850229,4.73169847077642
49065,VA-Woodbridge,17754,4.21039402541973,4.39301070241258
49066,VA-Woodstock,5325,4.17096158760178,4.14376002550105
49067,VA-Wytheville,6460,5.0877835632624,4.97818425954274
