State Number,State Name,Medicare enrollees (2002),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2002),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2002)
1,Alabama             ,553024,5.89369477640198,5.96501080874431
2,Alaska              ,36711,5.2054571825544,5.22069648273294
3,Arizona             ,608229,5.12356509493557,5.14681264257463
4,Arkansas            ,355304,5.79597304371111,5.83197604849525
5,California          ,3337285,4.8604600090907,5.10165209751457
6,Colorado            ,406144,5.16300908128918,5.26173762512053
7,Connecticut         ,450168,4.88524127630403,4.99141143211917
8,Delaware            ,99355,5.17459890189597,5.20852449550394
9,District of Columbia,59414,4.73498541364,4.77894177318392
10,Florida             ,2514976,4.91086148967746,5.0794340995903
11,Georgia             ,758457,5.79627145548326,5.79448814678523
12,Hawaii              ,152792,4.13845687871703,4.40229350084443
13,Idaho               ,148769,4.91798811946336,5.0718704740272
14,Illinois            ,1402273,5.29594184553871,5.37960333570807
15,Indiana             ,732467,5.59924555656115,5.64786837593037
16,Iowa                ,420913,4.93406510645927,4.97391082434127
17,Kansas              ,339821,5.22444878588371,5.32214980786303
18,Kentucky            ,484098,6.14348534711997,6.17883945099471
19,Louisiana           ,483056,5.76628395705585,5.94702888168387
20,Maine               ,180553,5.43694749799782,5.47335579952264
21,Maryland            ,571604,5.2184351854178,5.13542429171296
22,Massachusetts       ,810662,5.13744579432138,5.33592266428485
23,Michigan            ,1195565,5.34826157406853,5.38213178525189
24,Minnesota           ,582996,4.87360469963384,4.85521666269235
25,Mississippi         ,326799,5.92692403417859,5.94886527328844
26,Missouri            ,725785,5.60993998646761,5.82090568956906
27,Montana             ,119743,5.21636656442461,5.25645542779651
28,Nebraska            ,224549,5.08300250066903,5.12808022129101
29,Nevada              ,226138,5.68246237170581,5.73562341103554
30,New Hampshire       ,148387,5.10102517665728,5.13498337530639
31,New Jersey          ,1041810,5.15991226794931,5.27933855227291
32,New Mexico          ,201460,5.02044611389389,5.23706115420246
33,New York            ,2195281,4.97960199319208,5.25351170293922
34,North Carolina      ,957430,5.53049774651248,5.61921474801675
35,North Dakota        ,90927,4.64771371806937,4.67842861750593
36,Ohio                ,1452007,5.62719609790505,5.79279302738111
37,Oklahoma            ,434696,5.97532763469565,6.11533067744775
38,Oregon              ,432249,5.23946961246767,5.64407533932668
39,Pennsylvania        ,1827204,5.32502721800711,5.57804557180969
41,Rhode Island        ,142624,5.16247547690357,5.67726033089832
42,South Carolina      ,470886,5.62267065612436,5.6345850053698
43,South Dakota        ,105861,4.65154942917361,4.70243119165636
44,Tennessee           ,685772,5.94390202208522,6.10913995648675
45,Texas               ,2001329,5.61316927294636,5.74109201416941
46,Utah                ,187000,5.07137704901394,5.13611458359167
47,Vermont             ,76157,5.15013637927458,5.18339381524635
49,Virginia            ,769496,5.366500650744,5.39404232446536
50,Washington          ,645774,5.03549857316886,5.24093396573574
51,West Virginia       ,266723,6.03057353071737,6.04693642400464
52,Wisconsin           ,691417,5.02982895413079,5.11277972069209
53,Wyoming             ,57760,5.43781956603489,5.49050124890789
99,United States       ,33189900,5.2800821936794,5.43763452380494
