State Number,State Name,Medicare enrollees (2010),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2010),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2010)
1,Alabama,631308,5.3974719292014,5.57133080770283
2,Alaska,53262,4.89386943748573,4.97286874075261
3,Arizona,779634,4.37223188125407,4.4042622447551
4,Arkansas,401507,5.26743494717371,5.43787795022595
5,California,4043198,3.95092972655331,4.05406351409845
6,Colorado,529485,4.2692861698725,4.40169344592036
7,Connecticut,485144,4.18063058128509,4.40051743354545
8,Delaware,123213,4.58117460584742,4.59821024091197
9,District of Columbia,63049,3.87670989736461,3.82283546915935
10,Florida,2882124,4.33217160981154,4.67834315589641
11,Georgia,983302,5.11759017170166,5.29933679601101
12,Hawaii,182674,3.56154711252064,3.6980079929612
13,Idaho,190991,4.54108165477286,4.89502981452944
14,Illinois,1549034,4.46446293077454,4.57830698590614
15,Indiana,820308,4.95158617159727,5.20635369461687
16,Iowa,442771,4.47068392184467,4.6552465918815
17,Kansas,363278,4.63439464212919,4.79371426978464
18,Kentucky,561097,5.37998672294297,5.62057096913505
19,Louisiana,527006,5.21623111979672,5.61448939793896
20,Maine,207240,4.68118879105832,4.89841939631825
21,Maryland,666044,4.41626025556844,4.40311575185309
22,Massachusetts,865757,4.32798015940752,4.47200461534797
23,Michigan,1333245,4.67587906178044,4.89037623297038
24,Minnesota,668824,4.2494928548698,4.21025806708775
25,Mississippi,366190,5.40480641101197,5.58110103540003
26,Missouri,804764,4.93021768145463,5.2734697785937
27,Montana,142723,4.61049322166205,4.91305290672167
28,Nebraska,238437,4.51606526600704,4.69004235008871
29,Nevada,301284,5.00247757116258,5.0480191666171
30,New Hampshire,177350,4.44396558284618,4.57851050473633
31,New Jersey,1138027,4.31948957052129,4.4584916213762
32,New Mexico,253077,4.45829371329266,4.67057091219808
33,New York,2468332,4.18517915706188,4.4392810278764
34,North Carolina,1179094,4.93296249183769,5.11090194235561
35,North Dakota,94091,4.38091868370218,4.54117703111446
36,Ohio,1573605,4.84614665391391,5.29726593993361
37,Oklahoma,484087,5.3986208561537,5.60530103673031
38,Oregon,522980,4.47687468200396,4.73491461308621
39,Pennsylvania,1897070,4.6330993756811,4.95476083334666
41,Rhode Island,147914,4.40591625169083,4.67285176338171
42,South Carolina,608512,4.8780139493501,4.9773941266255
43,South Dakota,118035,4.306649818759,4.50876648653506
44,Tennessee,824578,5.2563858676422,5.54147953105343
45,Texas,2472201,4.81221004308946,5.079247857269
46,Utah,240117,4.3820064396319,4.76048562069303
47,Vermont,90436,4.61071242826329,4.72425584376259
49,Virginia,939311,4.56842240821937,4.69334367776748
50,Washington,812082,4.37396594263726,4.6329292383888
51,West Virginia,283685,5.52431519674076,5.80701953619938
52,Wisconsin,765821,4.48664731630586,4.94512521490866
53,Wyoming,68252,4.73094530287336,4.82478911103118
99,United States,38365550,4.56001543050992,4.80083492347189
