County ID,County name,Medicare enrollees (20% sample) (2003),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)"
2016,AK-Aleutians West Census Area,14,4746.83,3782.03,,,,,,,,,,,,
2020,AK-Anchorage Municipality,2773,5468.68,4565.11,2783.08,2137.42,1505.95,1386.05,724.27,630.04,249.24,218.08,,,152.03,137.08
2050,AK-Bethel Census Area,146,7041.13,5373.95,3203.39,2257.5,2099.32,1651.56,1355,1161.6,,,,,58.67,47.28
2060,AK-Bristol Bay Borough,13,7205.27,5685.61,,,1850.85,1525.77,1407.34,1192.72,,,,,,
2068,AK-Denali Borough,14,1151.6,1035.17,,,274.85,275.18,,,,,,,,
2070,AK-Dillingham Census Area,38,5853.58,4397.29,,,963.57,822.48,1294.37,1106.04,,,,,,
2090,AK-Fairbanks North Star Borough,861,6961.18,5633.83,3839.24,2833.71,1807.62,1653.43,852.96,742.78,194.02,169.64,,,192.05,171.87
2100,AK-Haines Borough,45,7880.73,7219.46,,,1282.55,1182.9,2854.57,2467.74,,,,,,
2110,AK-Juneau City and Borough,345,5629.99,4647.51,2936.17,2216.39,1298.56,1201.66,1008.11,882.28,210.01,189.48,,,106.44,100.33
2122,AK-Kenai Peninsula Borough,714,6657.76,5304.25,3698.56,2623.7,1394.62,1290.81,1037.39,902.04,278.76,250.3,,,197.93,178.98
2130,AK-Ketchikan Gateway Borough,204,8107.67,6866.53,4849.39,3942.98,1576.46,1451.21,900.12,788.25,511.45,447.56,,,224.92,201.44
2150,AK-Kodiak Island Borough,106,6027.99,4724.58,3776.22,2724,1167.86,1088.73,797.46,697.51,,,,,58.78,52.23
2164,AK-Lake and Peninsula Borough,16,956.86,803.14,,,451.75,374.64,,,,,,,,
2170,AK-Matanuska-Susitna Borough,778,5537.45,4652.83,2424.73,1851.8,1646.39,1494.23,892.97,774.58,206.72,180.03,,,176.85,177.66
2180,AK-Nome Census Area,87,6275.84,5181.59,3914.03,3188.8,1297.34,1123.09,782.41,669.38,,,,,,
2185,AK-North Slope Borough,52,5158.57,3933.44,2714.37,1877.13,331.89,280.13,1243.37,1063.57,,,,,,
2188,AK-Northwest Arctic Borough,61,4431.34,3027.18,,,785.49,644.46,706.9,598.24,,,,,,
2201,AK-Prince of Wales-Outer Ketchikan Census Area,76,5311.79,4248.43,2787.96,2091.72,1333.4,1132.48,808.18,690.87,,,,,,
2220,AK-Sitka City and Borough,126,7847.1,5986.01,4098.84,2653.51,1052.25,1003.58,1992.8,1730.23,,,,,132.45,120.88
2232,AK-Skagway-Hoonah-Angoon Census Area,44,4084.37,2911.27,,,944.47,733.72,774.61,665.42,,,,,,
2240,AK-Southeast Fairbanks Census Area,102,3777,3016.18,,,1298.33,1215.23,500.71,433.59,,,,,114.24,93.95
2261,AK-Valdez-Cordova Census Area,80,3725.58,3192.34,,,983.15,1110.7,579.54,500.46,,,,,79.55,74.45
2270,AK-Wade Hampton Census Area,73,7120.56,5373.61,3496.55,2410.91,1516.66,1206.52,1431.96,1223.93,,,,,183.56,162.74
2280,AK-Wrangell-Petersburg Census Area,117,8851.37,7264.9,5092.77,3914.14,1576.89,1440.88,1840.67,1609.55,,,,,78.55,78.61
2282,AK-Yakutat City and Borough,31,8671.9,6904.78,,,2093.05,1761.09,1097.46,939.69,,,,,,
2290,AK-Yukon-Koyukuk Census Area,80,7876.59,6531.5,3895.34,3051.56,2453.18,2179.25,1157.97,1008.84,,,,,97.52,91.58
1001,AL-Autauga County,935,7127.83,8128.68,3462.89,4209.79,2225.48,2306.6,438.63,486.07,428.89,486.7,310.96,391.64,281.9,280.01
1003,AL-Baldwin County,4403,6307.85,7320.24,3000.73,3737.23,1871.36,2024.17,550.72,606.14,323.26,359.55,321.64,364.78,255.47,253.05
1005,AL-Barbour County,621,6178.16,7214.64,2874.37,3570.1,1613.22,1744.06,586.99,642.55,346.68,383.63,574.24,693.54,207.97,207.21
1007,AL-Bibb County,425,6448.26,7200.12,3424.07,3934.46,1574.66,1693.64,643.69,690.78,300.44,329.06,,,206.8,207.84
1009,AL-Blount County,839,6865.77,7657.76,3338.23,3878.98,1606.03,1733.21,657.34,687.68,385.58,402.7,518.09,596.15,369.26,369.87
1011,AL-Bullock County,279,3889.47,4702.89,1540.92,2103.06,1348.23,1422.44,367.39,416.33,245.17,276.3,,,148.17,151.15
1013,AL-Butler County,710,6786.19,8125.25,3615.81,4651.44,1805.54,1925.08,394.56,448.6,463.31,531.1,116.52,139.34,365.97,394.29
1015,AL-Calhoun County,3143,7228.91,8182.16,3889.78,4582.89,1945.69,2084.03,604.6,665.91,281.29,309.61,213.95,256.86,300.49,296.78
1017,AL-Chambers County,1090,6238.52,7439.01,3173.81,4029.88,1526.45,1690.64,662.54,745.1,282.43,320.47,315.65,319.44,264.94,314.24
1019,AL-Cherokee County,588,6360.02,7326.38,3479.74,4221.96,1598.42,1710.27,607.25,672.05,326.96,373.04,,,298.4,296.5
1021,AL-Chilton County,743,8403.19,9263.52,4293.71,4938.96,2217.02,2295.56,584.38,605.12,651.09,682.72,360.29,451.45,311.2,306.18
1023,AL-Choctaw County,470,6862.59,8146.23,3513.92,4320.89,1551.69,1697.12,438.49,498.65,417.08,476.76,616.13,769.25,313.14,360.27
1025,AL-Clarke County,746,6305.95,7712.97,2552.98,3406.97,1483.19,1606.03,448.16,502.24,217.05,244.96,1318.71,1638.86,270.81,266.43
1027,AL-Clay County,510,7274.82,8517.54,3985.07,4872.03,1697.12,1827.69,590.63,662.44,265.33,302.87,459.11,586.34,292.98,290.06
1029,AL-Cleburne County,346,8225.77,9027.84,4889.54,5458.65,1861.23,1990.12,573.25,601.61,336.66,370.58,,,413.83,410.04
1031,AL-Coffee County,1172,5753.16,6871.08,2703.08,3477.49,1583.34,1737.81,472.45,522.87,263.98,294.88,489.5,608.12,257.68,253.87
1033,AL-Colbert County,1613,6102.8,7148.01,2574.82,3298.02,1723.8,1855.2,495.57,532.35,494.49,542.44,477.1,595.28,357.41,351.46
