County ID,County name,Medicare enrollees (20% sample) (2003),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)"
51001,VA-Accomack County,1143,6675.3,6967.74,3432.17,3517.18,1603.78,1681.96,885.61,941.07,322.63,348.81,247.73,296.49,173.23,173.36
51003,VA-Albemarle County,2713,6044.35,5650.01,3345.42,2927.49,1277.03,1333.63,822.93,792.68,245.87,237.5,186.09,194.51,162.13,160.72
51510,VA-Alexandria city,1650,6150.9,5957.77,2983.65,2968.47,2192.72,2062.92,550.37,519.37,247.77,235.02,99.68,92.71,104.19,102.3
51005,VA-Alleghany County,130,7048.65,7322.83,4153.34,4199.02,1270.04,1354.99,646.42,691.16,354.57,384.68,,,278.81,278.66
51007,VA-Amelia County,318,4822.35,5373.64,2279.74,2642.83,1396.38,1491.78,434.11,445.2,201.23,206.75,,,179.72,182.53
51009,VA-Amherst County,848,5214.92,5596.54,2828.52,3145.03,1426.34,1471.24,521.39,533.82,140.97,144.49,,,240.58,242.52
51011,VA-Appomattox County,342,4996.85,5356.08,2563.09,2878.21,1494.01,1535.65,600.97,615.4,95.64,99.41,,,177.72,177.6
51013,VA-Arlington County,2449,5716.68,5438.44,2688.42,2561.49,1970.95,1879.06,548.43,518.48,265.19,251.88,150.53,134.76,105.83,105.54
51015,VA-Augusta County,1102,6275.81,6540.99,3577.42,3715.67,1373,1417.94,742.98,782.27,241.7,260.23,160.84,185.36,191.43,190.72
51017,VA-Bath County,77,7417.8,7426.64,4840.32,4639.52,1156.52,1251.27,813.73,861.15,,,,,248.12,244.73
51515,VA-Bedford city,645,4588.09,5030.69,2361.41,2707.65,1296.59,1339.54,498.09,518.45,141.41,150.96,132.2,150.55,158.04,162.68
51019,VA-Bedford County,1078,5226.71,5690.06,2529.14,2872.52,1570.76,1643.4,583.45,608.92,144.9,153.89,159.13,180.04,224.5,221.22
51021,VA-Bland County,134,8828.96,9650.18,4897.97,5340.6,1960.02,2109.55,682.38,746.41,310.98,337.47,,,314.99,310.89
51023,VA-Botetourt County,688,5781.6,6188.73,3206.06,3499.59,1536.15,1595.61,560.43,598.8,228.99,245.33,,,193.97,193.88
51520,VA-Bristol city,772,5994.55,6610.82,3043,3507.45,1562.04,1642.15,505.85,552.55,445.71,491.07,92.94,77.63,359.76,356.14
51025,VA-Brunswick County,460,4850.59,5403.95,2642.78,3046.04,1275.5,1395.01,458.31,478.74,202.45,216.72,,,195.28,192.99
51027,VA-Buchanan County,519,7248.5,8279.86,4063.74,4939.4,1622.85,1697.64,689.84,743.75,388.87,422.89,,,343.51,338.3
51029,VA-Buckingham County,100,5356.78,4991.16,3154.56,2754.07,1082.44,1145.78,741.3,729.86,207.9,200.76,,,118.77,124.39
51530,VA-Buena Vista city,258,5444.89,5895.52,3028.21,3207.9,1250.81,1439.52,720.49,766.67,154.37,168.2,,,215.27,215.17
51031,VA-Campbell County,889,5036.41,5499.64,2649.68,3056,1499.5,1535.38,398.8,409.75,130.48,135.98,,,267.56,264.07
51033,VA-Caroline County,397,4938.55,5264.32,2710.21,2957.61,1273.47,1356.29,436.07,436.62,247.11,244.46,,,175.02,170.67
51035,VA-Carroll County,804,5923.93,6582.26,3140.07,3573.88,1399.6,1559.14,556.21,588.64,354.53,382.59,97.05,103.39,402.17,398.97
51036,VA-Charles City County,121,4553.94,5147.65,2344.04,2818.72,1372.17,1455.56,255.34,261.61,455.36,486.04,,,113.39,112.78
51037,VA-Charlotte County,555,4845.87,5283.05,2669.02,3015.53,1133.79,1179.36,677.3,703.23,126.1,132.65,,,148.2,150.11
51540,VA-Charlottesville city,13,3787.91,3725.83,,,730.92,870.74,,,,,,,,
51550,VA-Chesapeake city,3443,6166.7,6939.99,2993.77,3566.45,1881.27,2003.86,600.65,645.17,278.17,300.58,117.26,134.55,287.92,283.41
51041,VA-Chesterfield County,4417,5849.6,6297.59,3098.9,3411.09,1613.35,1731.2,478.32,485.16,324.18,330.87,147.26,153.45,194.13,192.93
51043,VA-Clarke County,350,5501.88,5826.32,3170.14,3283.51,1364.78,1543.17,361.11,378.34,263.82,282.33,,,205.27,211.18
51560,VA-Clifton Forge city,216,7320.24,8371.28,4149.59,4976.13,1451.82,1536.12,863.47,928.38,455.11,494.74,,,252.04,257.15
51570,VA-Colonial Heights city,685,5728.55,6151.38,3155.2,3417.54,1537.63,1684.48,466.71,473.05,334.4,341.59,,,164.87,165.09
51580,VA-Covington city,454,5879.1,6628.79,3169.3,3719.13,1601.68,1716.53,397.04,425.09,328.9,356.84,,,247.54,244.24
51045,VA-Craig County,134,5230.64,5973.16,2977.42,3589.56,1308.24,1377.14,390.26,417.05,,,,,237.45,238.37
51047,VA-Culpeper County,870,6168.26,5920.04,3369.64,3109.97,1507.16,1566.34,724.4,686.6,184.16,174.09,205.66,206.64,173.25,173.45
51049,VA-Cumberland County,790,5687.1,5952.29,3285.13,3397.38,1247.68,1353.83,534.74,550.41,200.94,205.11,170.11,204.97,228.53,231.41
51590,VA-Danville city,2130,5779.18,6120.17,2988.18,3175.05,1842.6,1951.77,480.85,504.48,208.49,221.15,17.44,20.47,251.39,258.29
51051,VA-Dickenson County,344,6266.24,6997.24,3121.72,3591.69,1350.29,1484.73,797.83,861.29,785.28,853.58,,,253.56,254.46
51053,VA-Dinwiddie County,338,5953.79,6201.16,3291.22,3451.94,1585.5,1669.51,570.64,581.9,194.36,197.93,,,222.89,221.52
51595,VA-Emporia city,399,4868.32,5460.71,2657.47,3036.21,1255.36,1428.19,641.76,684.15,120.79,130.37,,,167.8,167.2
51057,VA-Essex County,361,5739.04,6387.79,2939.43,3392.29,1392.08,1481.81,733.17,767.37,213.05,228.88,287.44,338.81,167.07,170.31
51600,VA-Fairfax city,554,6251.63,5848.62,2941.55,2780.01,1966.76,1851.62,579.23,551.54,311.91,294.84,341.96,258.42,110.9,111.43
51059,VA-Fairfax County,11932,6021.74,5747.78,2874.02,2783.37,2025.1,1910.83,499.19,473.13,281.63,268.02,202.32,174.67,131.87,130.61
51610,VA-Falls Church city,243,4481.19,4127.53,2003.62,1806.97,1841.53,1716.6,415.98,392.76,156.62,148.87,,,53.27,53.22
51061,VA-Fauquier County,1082,6566.03,6516.21,3551.14,3536.48,1506.13,1547.16,892.85,846.13,254.4,240.9,218.07,200.73,141.24,142.49
51063,VA-Floyd County,376,5673.84,6420.5,3294.3,3799.89,1404.48,1571.72,433.3,464.44,284.33,308.28,,,202.28,204.02
51065,VA-Fluvanna County,546,5971.51,5746.86,3042.56,2783.28,1523.45,1570.32,729.09,707.19,223.99,216.39,359.98,373.91,117.48,119.77
51620,VA-Franklin city,389,4898.6,5586.15,2264.82,2745.46,1339.71,1442.92,722.61,780.17,195.54,210.55,,,192.62,195.76
51067,VA-Franklin County,1270,5042.22,5672.33,2601.02,2940.48,1275.63,1475.38,612.17,654.72,223.7,241.57,145.74,176.72,184.37,184.6
51069,VA-Frederick County,1353,5391.25,5765.65,3073.97,3297.17,1371.28,1460.99,432.57,459.76,214.51,229.76,149.45,167.66,162.17,162.51
51630,VA-Fredericksburg city,475,5620.1,5824.69,3218.31,3365.06,1608.57,1702.66,261.75,249.37,311.18,294.66,,,192.09,192.92
51640,VA-Galax city,593,5588.47,6207.33,3073.54,3497.74,1227.79,1345.09,429.28,457.1,424.84,461.73,,,338.71,334.37
51071,VA-Giles County,550,5541.21,6258.62,3153.59,3545.9,1235.47,1477.8,638.18,682.35,258.59,282.79,,,222.48,222.18
51073,VA-Gloucester County,862,4516.57,5012.75,2233.7,2602.52,1390.03,1455.6,428.13,457.91,217.09,233.77,,,151.14,150.48
51075,VA-Goochland County,362,4774.95,5209.37,2493.48,2832.32,1555.16,1636.46,326.81,331.54,226.38,231.61,,,162.8,167.34
51077,VA-Grayson County,468,5509.36,6107.63,2906.88,3231.94,1146.54,1323.99,610.96,650.22,403.66,439.35,,,378.14,379.41
51079,VA-Greene County,244,5346.91,5022.12,2848.77,2508.39,1235.51,1300.27,834.88,806.82,196.45,190.67,,,127.78,129.81
51081,VA-Greensville County,98,4498.83,5082.56,2650.88,3156.94,1375.92,1442.98,258.47,274.65,,,,,203.15,207.15
51083,VA-Halifax County,1165,4478.49,4936.29,2350.5,2706.88,1279.68,1334.34,418.98,446.58,153.76,167.32,,,242.37,245.55
51650,VA-Hampton city,2794,5067.67,5683.57,2379.85,2836.47,1687.15,1774.87,558.75,600.42,203.23,218.69,60.42,69.37,182.76,183.13
51085,VA-Hanover County,1954,5261.48,5706.08,2586.5,2877.39,1569.17,1715.5,605.13,613.03,197.78,203.14,113.84,110.91,186.04,183.05
51660,VA-Harrisonburg city,1112,5321.41,5564.9,3040.57,3102.7,1210.07,1317.69,720.99,772.14,140.49,151,50.16,59.4,168.74,168.98
51087,VA-Henrico County,6334,5788.82,6281.3,2972.02,3348.6,1671.47,1769.62,563.62,572.35,242.9,248.68,130.52,132.22,211.53,211.99
51089,VA-Henry County,1291,5005.35,5623.19,2648.18,3064.72,1182.08,1302.26,566,604.68,324.5,352,62.48,75.04,218.66,223.45
51091,VA-Highland County,93,4427.06,4302.32,,,852.79,885.8,617.51,648.14,,,,,301.06,302.14
51670,VA-Hopewell city,659,6050.87,6541.73,3334.03,3684.7,1482.06,1604.34,571.15,579.59,376.03,387.38,,,248.93,246.47
51093,VA-Isle of Wight County,741,5412.46,5838.97,2694.27,2983.99,1547.33,1618.07,671.57,722.06,135.23,145.73,,,259.27,250.44
51095,VA-James City County,861,4780.86,5101.42,1923.73,2135.16,1971.65,2031.96,512.21,545.43,161.95,174.92,,,140.83,138.76
51097,VA-King and Queen County,114,3942.78,3817.82,1968.07,1750.15,1258.86,1307.8,342.09,357.6,,,,,150.76,154.88
51099,VA-King George County,306,5201.49,5256.66,3012.98,2914.31,1580.8,1759.15,223.19,211.51,173.03,165.05,,,185.39,185.14
51101,VA-King William County,364,5555.25,6087.35,2811.52,3190.45,1658.09,1775.47,596.89,617.2,216.1,226.53,,,203.68,204.49
51103,VA-Lancaster County,493,4296.54,4703.59,2063.3,2333.87,1373.49,1458.16,445.03,472.38,146.75,159.26,,,178.17,172.41
51105,VA-Lee County,557,6547.59,7344.01,3729.44,4325.57,1178.29,1258.23,573.25,619.66,725.03,789.92,,,326.1,321.38
51107,VA-Loudoun County,1916,6727.88,6534.25,3291.71,3231.69,2072.33,2071.86,609,576.56,281.86,268.39,308.53,219.46,161.96,162.53
51109,VA-Louisa County,768,6143.63,5858.37,3456.56,3139.96,1539.47,1596.45,707.78,686.19,206.39,199.48,35.44,41.67,171.13,171.45
