HSA #,HSA name,State,Medicare enrollees (20% sample) (2003),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2003)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2003)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2003)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2003)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2003)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2003)"
49001,Abingdon,VA,1101,5649.34,6220.77,2793.13,3166.84,1337.04,1412.92,550.42,599.48,594.06,653.44,124.07,144.32,281.07,280.33
49002,Alexandria,VA,4082,6207.69,6044.22,2992.33,3013.68,2159.08,2030.26,563.72,532.35,258.58,244.8,105.8,95.87,131.13,129.32
49003,Arlington,VA,3028,5710.91,5445.13,2716.79,2595.91,1975.14,1887.26,533.36,504.39,256.09,243.17,140.34,125.81,101.9,101.41
49004,Bedford,VA,776,4772.17,5227.01,2548.89,2900.49,1281.81,1333.28,495.56,516.24,160.29,171.49,111.85,127.45,172.91,176.62
49005,Big Stone Gap,VA,299,6918.34,7953.71,3743.76,4453.34,1504.43,1706.7,556.37,599.16,722.92,786.36,,,246.33,246.02
49006,Blacksburg,VA,1216,5346.74,6011.72,2638.9,3143.26,1455.96,1542,610.34,651.82,351.34,378.25,66.54,78.11,230.43,227.61
49007,Charlottesville,VA,5103,5917.68,5548.02,3279.43,2882.57,1286.02,1340.94,777.58,750.02,232.35,224.22,185.7,195.29,151.08,151.01
49008,Chesapeake,VA,2442,6166.99,6996.16,3033.02,3656.25,1900.52,2034.65,551.05,591.68,285.7,308.63,95.98,110.1,295.98,291.68
49009,Clintwood,VA,282,6072.63,6780.33,3137.23,3584.82,1389.48,1540.21,694.02,747.99,651.61,708.29,,,227.7,228.38
49010,Culpeper,VA,918,6915.34,6568.25,3826.78,3467.3,1578.45,1635.06,802.75,761,251.87,238.7,240.68,251.99,211.78,211.36
