State #,State name,Medicare enrollees (2013),"Age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2013)","Price, age, sex & race-adjusted - Total Medicare reimbursements per enrollee (Parts A and B) (2013)","Age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Hospital & skilled nursing facility reimbursements per enrollee (2013)","Age, sex & race-adjusted - Physician reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Physician reimbursements per enrollee (2013)","Age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Outpatient facility reimbursements per enrollee (2013)","Age, sex & race-adjusted - Home health agency reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Home health agency reimbursements per enrollee (2013)","Age, sex & race-adjusted - Hospice reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Hospice reimbursements per enrollee (2013)","Age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2013)","Price, age, sex & race-adjusted - Durable medical equipment reimbursements per enrollee (2013)"
1,Alabama,487604,8660.17,9950.36,3516.93,4321.12,2519.28,2685,1266.38,1425.65,568.9,650.03,559.77,655,247.8,238.39
2,Alaska,53842,8531.39,6875.1,4142.22,3085.62,2224.4,1903.9,1551.19,1331.85,211.9,182.74,173.7,159.94,128.67,122.94
3,Arizona,484983,9112.24,8959.92,3711.37,3655.26,3165.24,3179.36,1164.75,1103.92,326.08,308.56,536.29,504,198.14,196.72
4,Arkansas,328852,8348.37,9408.91,3857.14,4608.76,2184.97,2301.73,1309.38,1439.55,413.97,461.97,330.58,352.74,250.71,245.41
5,California,2186165,10567.08,9101.83,5001.13,4090.8,3085.61,2901.28,1372.8,1145.09,556.21,469.77,358.33,301.75,187.29,187.07
6,Colorado,323930,8279.75,8303.42,3501.07,3587.49,2300.38,2278.11,1408.53,1379.52,406.55,397.57,396.58,388.77,258.04,265.76
7,Connecticut,339780,10437.21,9135.43,5050.26,4200.67,2836.32,2718.89,1554.81,1350.95,590.66,515.55,245.5,198.16,177.05,177.28
8,Delaware,118441,9631.98,9273.02,4275.26,4049.16,2827.14,2799.9,1488.1,1435.88,389.45,372.1,444.72,405.64,206.65,206.33
9,District of Columbia,44879,8858.41,7970.79,4278.55,3672.34,2606.41,2425.51,1318.79,1262.94,279.67,267.91,288.97,272.48,145.56,147.15
10,Florida,1823193,10610.36,10979.89,3999.49,4439.9,3796.92,3701.77,1189.27,1232.47,917.69,940.71,470.7,425.65,224.1,228.1
11,Georgia,712308,8725.71,9357.08,3475.17,3914.23,2659.54,2732.59,1344.26,1418.87,449.85,474.51,591.37,614.32,225.98,222.94
12,Hawaii,83307,7266.29,6900.1,3236.99,2949.83,2088.75,2089.21,1366,1295.19,124.66,119.23,367.47,363.07,97.63,93.67
13,Idaho,132551,7810.65,8196.64,3290.2,3393.54,1596.37,1681.27,1787.72,1910.43,407.97,430.87,490.79,547.94,240.7,238.56
14,Illinois,1309253,9792.38,9879.6,4491.07,4640.96,2572.1,2532.12,1575.08,1575.59,654.81,640.58,302.98,292.6,196.14,197.33
15,Indiana,628391,9215.89,9753.38,4426.97,4829.49,2221.31,2262.88,1633.16,1692.89,397.04,410.15,318.95,337.05,220.03,220.71
16,Iowa,370042,7834.35,8297.77,3455.58,3675.12,1806.74,1905.71,1863.06,1980.4,223.69,236.69,294.73,314.71,200.82,195.69
17,Kansas,307072,8556.25,9340.28,3878.23,4407.88,2170.43,2244.38,1676.91,1811.73,292.74,312.97,309.53,334.5,231.94,231.23
18,Kentucky,412284,9354.15,10383.86,4501.97,5042.46,2242.35,2544.58,1523.07,1652.64,569.91,618.85,261.91,269.47,262,259.85
19,Louisiana,368777,10085.94,11201.15,4447.67,5121.94,2338.42,2462.72,1590.65,1743.45,980.23,1082.96,486.44,548.79,228.52,222.22
20,Maine,164657,8195.19,8342.64,3568.46,3589.23,1715.89,1781.34,2059.5,2119.42,397.99,403.01,275.96,280.35,190.08,182.69
21,Maryland,578533,10401.26,9197.08,4793.32,3788.19,2955.84,2793.5,1883.62,1865.48,346.42,342.02,251.33,239.65,177.47,179.74
22,Massachusetts,640214,10687.46,9214.48,5225.06,4254.55,2413.37,2349.43,1863.61,1561.75,712.6,598.22,321.98,293.28,161.5,164.33
23,Michigan,928181,10029.29,10153.15,4614.16,4654.19,2580.09,2584.22,1664.58,1712.87,584.7,597.84,361.84,378.41,223.03,223.94
24,Minnesota,274005,7965.69,7828.33,3759.08,3563.07,1745.33,1853.07,1773.86,1733.63,248.07,236.17,269.76,271.62,183.38,184.3
25,Mississippi,320947,9254.05,10506.65,4043.13,4827.27,2189.21,2306.59,1473.11,1654.95,788.55,890.36,490.34,563.47,268.11,259.58
26,Missouri,574952,8747.75,9456.85,3945.16,4428.64,2114.13,2173.49,1695.44,1799.27,374.7,393.94,393.82,436.15,220.58,221.94
27,Montana,121716,7339.58,7477.41,3185.19,3341.9,1554.25,1553.5,1931.07,1895.99,183.6,180.09,248.83,275.66,199.99,197
28,Nebraska,203850,8462.01,8786.98,3855.29,3995.17,2014.67,2101.85,1844.15,1917.08,270.32,274.99,273.39,294.7,212.31,209.74
29,Nevada,195788,9983.16,9573.9,4560.24,4407.79,3023.5,2940.27,1054.31,983.14,668.56,610.2,509.12,454.8,214.23,213.88
30,New Hampshire,167966,8798.15,8284.38,4057.17,3785.42,1797.97,1781.4,2012.76,1840.12,490.89,451.47,270.39,255.39,182.37,179.19
31,New Jersey,890054,10868.96,10036.93,4993.48,4587.88,3669.77,3423.9,1352.58,1226.28,370.31,336.29,303.68,280.83,196.47,198.81
32,New Mexico,164856,7583.19,7700.08,3304.8,3304.36,1937.57,1984.17,1256.45,1293.24,433.11,447.72,440.34,461.19,220.42,219.24
33,New York,1429898,10779.77,9443.11,5324.94,4354.42,3371.67,3189.16,1296.37,1191.97,442,395.05,174.88,150.29,191.82,193.41
34,North Carolina,961949,8396.82,8937.41,3639.66,3858.29,2387.52,2596.42,1389.16,1473.12,374.44,397.79,380.21,386.74,225.55,223.9
35,North Dakota,76258,7738.74,8073.63,3456.44,3707.65,1609.68,1662,2289.49,2295.03,106.86,107.46,124.25,147.6,188.42,185.8
36,Ohio,881812,9644.32,10176.91,4568.87,4861.4,2328.11,2450.77,1606.21,1686.3,475.96,498.38,460.6,466.73,200.57,208.11
