State Number,State Name,Medicare enrollees (2008),Total Mortality: ASR-adjusted % of deaths among Medicare enrollees (2008),Non-HMO Mortality: ASR-adjusted % of deaths among Medicare enrollees without HMO coverage (2008)
1,Alabama,608540,5.49662266439177,5.66237828761715
2,Alaska,48049,4.89363187967375,4.94585967046455
3,Arizona,730225,4.56253517351159,4.52379143143975
4,Arkansas,387336,5.46455561321998,5.59463384649272
5,California,3827079,4.1545569470527,4.25239549071873
6,Colorado,491408,4.51545879479003,4.6348641990422
7,Connecticut,470329,4.33857346570276,4.50957775455205
8,Delaware,116876,4.79055654115979,4.8083260086507
9,District of Columbia,61251,4.02919439300184,4.02432393972834
10,Florida,2759925,4.41013749436724,4.69814286115585
11,Georgia,918166,5.23739442372426,5.31144395658855
12,Hawaii,171720,3.80342937520274,4.07381135506015
13,Idaho,178630,4.62079456406039,5.02547484148874
14,Illinois,1500433,4.75762335800686,4.87479323338631
15,Indiana,792806,5.16845445655941,5.40693828931955
16,Iowa,434740,4.71063471224103,4.89477413861873
17,Kansas,353443,4.93153457392437,5.07304397402997
18,Kentucky,540662,5.57486828408823,5.78738424033375
19,Louisiana,506746,5.48922038997089,5.85474358565634
20,Maine,198394,4.8071235905722,4.96583612856765
21,Maryland,634204,4.66091439499938,4.63250024116128
22,Massachusetts,836358,4.59783079361151,4.67959704815825
23,Michigan,1286154,4.91433968863432,5.23326160849242
24,Minnesota,640304,4.35282419407277,4.08337451901714
25,Mississippi,353825,5.52116761696491,5.68963393462263
26,Missouri,778227,5.22486549791437,5.5568744536745
27,Montana,135465,4.85590303123671,5.16502695096955
28,Nebraska,232545,4.7276144747564,4.88829188394063
29,Nevada,279573,5.27529149628928,5.31089344452385
30,New Hampshire,167527,4.67096927485118,4.78225119215357
31,New Jersey,1104258,4.50083578945525,4.62799827825394
32,New Mexico,238802,4.67846901343814,4.89185051410287
33,New York,2403518,4.37056502227521,4.62660179845904
34,North Carolina,1112650,5.05839187853261,5.23572311221196
35,North Dakota,92386,4.40037858446244,4.51156452952538
36,Ohio,1537374,5.08341555145005,5.37288040556503
37,Oklahoma,467175,5.69745296977617,5.9492125520158
38,Oregon,494351,4.69156917212092,4.9120124112141
39,Pennsylvania,1863977,4.89009342772717,5.2851018689566
41,Rhode Island,144687,4.61941237337574,4.81541583358316
42,South Carolina,568863,5.01454235795917,5.1438148071833
43,South Dakota,114258,4.4422739168652,4.61708511533481
44,Tennessee,784722,5.47677010376504,5.76006572780645
45,Texas,2322761,5.065886838545,5.31986012437098
46,Utah,224819,4.40064949010272,4.84573446539427
47,Vermont,85577,4.71355456866503,4.81598380539976
49,Virginia,888066,4.80486813900392,4.91698650812233
50,Washington,754772,4.64150200229065,4.87792675831796
51,West Virginia,278152,5.8155746325218,6.09590317406413
52,Wisconsin,740483,4.61267829426872,5.03431081637701
53,Wyoming,64706,4.84099345798552,4.94314433630913
99,United States,36727297,4.76241690206606,4.98808651260429
